,Concept_ID,he,lez
0,Auge::N,עין,вил
1,Ohr::N,אזן,яб
2,Nase::N,אף,нер
3,Nase::N,חטם,нер
4,Mund::N,פה,сив
5,Zahn::N,שן,сас
6,Zahn::N,שן,свах
7,Zunge::N,לשון,мез
8,Lippe::N,שפה,пӏуз
9,Wange::N,לחי,хъвехъ
10,Gesicht::N,פנים,ччин
11,Stirn::N,מצח,пел
12,Haar::N,שערה,чӏар
13,Schnurrbart::N,שפם,спел
14,Schnurrbart::N,שפם,спелар
15,Bart::N,זקן,ччуру
16,Kinn::N,סנטר,чене
17,Kiefer[Anatomie]::N,לסת,чене
18,Kehle::N,גרון,туьд
19,Hals::N,צואר,гардан
20,Genick::N,ערף,кьам
21,Kopf::N,ראש,кьил
22,Rücken::N,גב,далу
23,Bauch::N,בטן,руфун
24,Nabel::N,טבור,пицӏ
25,Busen::N,שד,мам
26,Brust::N,חזה,хур
27,Schulter::N,כתף,къуьн
28,Arm::N,זרוע,гъил
29,Ellenbogen::N,מרפק,кьуьнт
30,Hand::N,יד,капаш
31,Handfläche::N,כף יד,капан юкь
32,Finger::N,אצבע,тӏуб
33,Fingernagel::N,צפרן,кек
34,Nagel[Anatomie]::N,צפרן,кек
35,Zeh::N,אצבע,кул
36,Fuß::N,רגל,кӏвач
37,Ferse::N,עקב,дабан
38,Knie::N,ברך,мет
39,Oberschenkel::N,ירך,
40,Bein::N,רגל,кӏвач
41,Körper::N,גוף,беден
42,Haut::N,עור,хам
43,Blut::N,דם,иви
44,Ader::N,וריד,дамар
45,Sehne::N,גיד,кьуру дамар
46,Knochen::N,עצם,кӏараб
47,Gehirn::N,מוח,мефт
48,Herz::N,לב,рикӏ
49,Magen::N,קבה,хук
50,Leber::N,כבד,лекь
51,Atem::N,נשימה,ял
52,Atem::N,נשימה,нефес
53,Hunger::N,רעב,каш
54,Träne::N,דמעה,вилин нагъв
55,Geschmack::N,טעם,дад
56,Geschmack::N,טעם,тӏям
57,Geruch::N,ריח,ни
58,Schlaf::N,שנה,ахвар
59,Traum::N,חלום,ахвар
60,Himmel::N,שמים,цав
61,Sonne::N,שמש,рагъ
62,Mond::N,ירח,варз
63,Stern::N,כוכב,гъед
64,Luft::N,אויר,гьава
65,Wind::N,רוח,гар
66,Welle::N,גל,лепе
67,Wasser::N,מים,яд
68,Stein::N,אבן,къван
69,Boden::N,קרקע,накьв
70,Erde::N,אדמה,ччил
71,Staub::N,אבק,руг
72,Rauch::N,עשן,гум
73,Funke::N,ניצוץ,цӏелхем
74,Feuer::N,אש,цӏай
75,Licht::N,אור,экв
76,Schatten::N,צל,серин
77,Wetter::N,מזג אויר,гьава
78,Nebel::N,ערפל,ччилин циф
79,Wolke::N,ענן,циф
80,Regen::N,גשם,марф
81,Schnee::N,שלג,жив
82,Eis::N,קרח,мурк
83,Frost::N,צנה,аяз
84,Kälte::N,קר,мекь
85,Kälte::N,קר,мекьивал
86,Hitze::N,חם,зегьем
87,Raureif::N,כפור,къирав
88,Regenbogen::N,קשת,яргъируш
89,Donner::N,רעם,цавун ван
90,Strömung::N,זרימה,
91,Tropfen::N,טפה,стӏал
92,Schaum::N,קצף,каф
93,Schmutz::N,לכלוך,чирк
94,Schmutz::N,לכלוך,кьуруш
95,See::N,אגם,вир
96,Sumpf::N,בצה,уьлен
97,Moor::N,בצה,
98,Wiese::N,מרעה,векь
99,Wald::N,יער,там
100,Hügel::N,תל,кӏунтӏ
101,Anhöhe::N,מעלה,тепе
102,Anhöhe::N,מעלה,гьуьндуьрвал
103,Berg::N,הר,дагъ
104,Gipfel::N,פסגה,кӏукӏ
105,Höhle::N,מערה,кьветӏ
106,Abhang::N,מדרון,гуьне
107,Abhang::N,שפוע,гуьне
108,Quelle::N,מעין,чешме
109,Bach::N,נחל,булах
110,Fluss::N,נהר,вацӏ
111,Ufer::N,גדה,къерех
112,Küste::N,חוף,къерех
113,Festland::N,יבשה,кьурамат
114,Meer::N,ים,гьуьл
115,Bucht::N,מפרץ,бухта
116,Insel::N,אי,остров
117,Blume::N,פרח,цуьк
118,Gras::N,דשא,хъач
119,Wurzel::N,שרש,дувул
120,Baum::N,עץ,ттар
121,Stamm::N,גזע,тан
122,Rinde::N,קלפת עץ,чкал
123,Ast::N,ענף,тӏур
124,Zweig::N,ענף,хел
125,Blatt::N,עלה,пеш
126,Birke::N,שדר,верх
127,Kiefer[Baum]::N,ארן,шамагъаж
128,Weide[Baum]::N,ערבה,цӏвелин ттар
129,Tanne::N,אשוח,ель
130,Horn::N,קרן,карч
131,Feder::N,נוצה,цӏакул
132,Fell::N,פרוה,хам
133,Flügel::N,כנף,лув
134,Klaue::N,טלף,къармах
135,Kralle::N,טפר,пац
136,Kralle::N,טפר,тапас
137,Schwanz::N,זנב,ттум
138,Ei::N,ביצה,кака
139,Nest::N,קן,муг
140,Bau::N,מחלה,тӏеквен
141,Tier::N,חיה,гьайван
142,Herde::N,עדר,суьруь
143,Kuh::N,פרה,ккал
144,Bulle::N,פר,яц
145,Bulle::N,פר,бугъа
146,Pferd::N,סוס,балкӏан
147,Schaf::N,כבשה,хеб
148,Schwein::N,חזיר,вак
149,Hund::N,כלב,кицӏ
150,Katze::N,חתול,кац
151,Bär::N,דב,сев
152,Eichhörnchen::N,סנאי,белка
153,Elch::N,דישון,лось
154,Fuchs::N,שועל,сикӏ
155,Hase::N,ארנב,къуьр
156,Maus::N,עכבר,кьиф
157,Wolf::N,זאב,жанавур
158,Vogel::N,צפור,луван ничхир
159,Schwarm::N,נחיל,луж
160,Schwarm::N,להקה,луж
161,Huhn::N,תרנגלת,верч
162,Hahn::N,תרנגול,кӏек
163,Gans::N,אוז,къаз
164,Adler::N,עיט,лекь
165,Ente::N,ברוז,пӏатӏ
166,Eule::N,ינשוף,тӏиб
167,Kranich::N,עגור,дурна
168,Kranich::N,כרוכיה,дурна
169,Krähe::N,עורב,къаргъа
170,Kuckuck::N,קוקיה,кукупӏ
171,Schwan::N,ברבור,къугь
172,Fisch::N,דג,гъед
173,Barsch::N,אוקונוס,окунь
174,Hecht::N,זאב הים,щука
175,Schlange[Tier]::N,נחש,илан
176,Schlange[Tier]::N,נחש,гъуьлягъ
177,Wurm::N,תולעת,квак
178,Spinne::N,עכביש,хуьшрекан
179,Ameise::N,נמלה,цегв
180,Laus::N,כנה,нет
181,Mücke::N,יתוש,ветӏ
182,Fliege::N,זבוב,тӏветӏ
183,Schmetterling::N,פרפר,чепелукь
184,Beere::N,ענבה,куьлуь емиш
185,Apfel::N,תפוח,ич
186,Pilz::N,פטריה,къарникъуз
187,Zwiebel::N,בצל,чичӏек
188,Saat::N,זרעים,тумар
189,Korn::N,גרעין,твар
190,Heu::N,חציר,векь
191,Heu::N,חציר,векьер
192,Schale::N,קלפה,пириш
193,Schale::N,קלפה,хъуьруьш
194,Grube::N,בור,фур
195,Grube::N,שוחה,фур
196,Falle::N,מלכדת,ракьар
197,Schlinge::N,לולאה,гьалкъа
198,Spur::N,עקבה,гел
