,Concept_ID,lbe,udm
0,Auge::N,я,син
1,Ohr::N,вичӏи,пель
2,Nase::N,май,ныр
3,Mund::N,кьацӏ,ым
4,Zahn::N,ккарччи,пинь
5,Zunge::N,маз,кыл
6,Lippe::N,мурччи,ымдур
7,Wange::N,чӏав,бам
8,Gesicht::N,лажин,ымныр
9,Stirn::N,ненттабакӏ,кымес
10,Haar::N,чӏара,йырси
11,Schnurrbart::N,ссирссилтту,мыйык
12,Bart::N,чӏири,туш
13,Kinn::N,лунттубакӏ,ангес
14,Kiefer[Anatomie]::N,ххинчулул,ан
15,Kiefer[Anatomie]::N,ххинчулул,анлы
16,Kehle::N,кьакьари,гульым
17,Hals::N,ссурссу,чырты
18,Genick::N,махъабакӏ,йырбер
19,Kopf::N,бакӏ,йыр
20,Rücken::N,ттиликӏ,мыш
21,Bauch::N,лякьа,кӧт
22,Nabel::N,цӏумуккутӏ,гогы
23,Busen::N,ккукку,ноны
24,Brust::N,хъазам,мӧля
25,Schulter::N,хъачӏ,пельпум
26,Arm::N,ка,суй
27,Ellenbogen::N,ссюрхъ,гырпум
28,Hand::N,бартка,ки
29,Handfläche::N,хъат,ки пыдэс
30,Handfläche::N,хъат,кырым пыдэс
31,Handfläche::N,битӏянхъ,ки пыдэс
32,Handfläche::N,битӏянхъ,кырым пыдэс
33,Finger::N,кӏисса,чиньы
34,Fingernagel::N,михь,гижы
35,Fingernagel::N,михь,гиждӥнь
36,Nagel[Anatomie]::N,михь,гижы
37,Zeh::N,кӏисса,пыдчиньы
38,Fuß::N,чӏанччан,пыд
39,Ferse::N,никъа,пыдбер
40,Knie::N,ник,пыдес
41,Oberschenkel::N,жира,макес
42,Bein::N,ччан,пыд
43,Körper::N,чурх,мугор
44,Körper::N,чурх,вылтыр
45,Haut::N,бурчу,ку
46,Blut::N,оь,вир
47,Ader::N,тунну,вирсэр
48,Sehne::N,хьхьа,вуж
49,Knochen::N,ттаркӏ,лы
50,Gehirn::N,ня,вим
51,Herz::N,дакӏ,сюлэм
52,Herz::N,къюкӏ,сюлэм
53,Magen::N,лякьа,ӝуш
54,Atem::N,ссихӏ ласаву,лул
55,Atem::N,ссихӏ ласаву,шокан
56,Atem::N,ссихӏ бигьаву,лул
57,Atem::N,ссихӏ бигьаву,шокан
58,Hunger::N,ккаши,кӧтсюман
59,Träne::N,макь,синкыли
60,Geschmack::N,тӏин,шӧм
61,Geschmack::N,тӏааьн,шӧм
62,Geruch::N,кьанкь,зын
63,Schlaf::N,шану,вӧт
64,Traum::N,макӏру,уйвӧт
65,Himmel::N,ссав,ин
66,Sonne::N,баргъ,шунды
67,Mond::N,барз,толэзь
68,Stern::N,цӏуку,кизили
69,Luft::N,гьава,омыр
70,Wind::N,марч,тӧл
71,Welle::N,щатӏи,тулкым
72,Wasser::N,щин,ву
73,Stein::N,чару,из
74,Boden::N,аьрщи,музъем
75,Erde::N,аьрщи,му
76,Staub::N,ххит,пыль
77,Rauch::N,пуркӏу,ӵын
78,Funke::N,пиягь,гизьы
79,Feuer::N,цӏу,тыл
80,Licht::N,чани,тыл
81,Schatten::N,ххют,вужер
82,Wetter::N,гьава,куазь
83,Nebel::N,шархь ттурлу,бус
84,Wolke::N,ттурлу,пилем
85,Regen::N,гъарал,зор
86,Schnee::N,марххала,лымы
87,Eis::N,микӏ,йӧ
88,Frost::N,дяркъу,кезьыт
89,Frost::N,замгьар,кезьыт
90,Kälte::N,дяркъу,кезьыт
91,Hitze::N,кӏиришиву,пӧсь
92,Raureif::N,сил,гӧр
93,Raureif::N,бурса,гӧр
94,Regenbogen::N,ссурул ккуртта,вуюись
95,Donner::N,къув,гудыри
96,Strömung::N,экьинанаву,бызён
97,Tropfen::N,кӏунтӏ,шапык
98,Schaum::N,хьама,шукы
99,Schmutz::N,кьяркьи,нӧд
100,Schmutz::N,кьяркьи,дэри
101,See::N,бяр,ты
102,Sumpf::N,кунцӏа,нюр
103,Wiese::N,кьан,возь
104,Wiese::N,кьан,возьвыл
105,Wald::N,вацӏа,сик
106,Wald::N,вацӏа,нюлэс
107,Hügel::N,бакӏу,выр
108,Hügel::N,бакӏу,вырйыл
109,Berg::N,зунтту,гурезь
110,Gipfel::N,мицӏ,йыл
111,Höhle::N,нух,гу
112,Abhang::N,сун,бам
113,Quelle::N,дайдихьу,ошмес
114,Quelle::N,бакӏ,ошмес
115,Bach::N,чӏрир нех,пичи шур
116,Fluss::N,нех,шур
117,Ufer::N,зума,ярдур
118,Küste::N,зумаинхалу,вудур
119,Küste::N,зуманицӏалу,вудур
120,Festland::N,кьири,мувыр
121,Meer::N,хьхьири,зарезь
122,Insel::N,жазира,вумуӵ
123,Insel::N,жазира,шормуӵ
124,Blume::N,тӏутӏи,сяська
125,Gras::N,уртту,турын
126,Wurzel::N,мархха,выжы
127,Baum::N,мурхь,пу
128,Stamm::N,ттарцӏ,модос
129,Rinde::N,ккамара,сул
130,Ast::N,матӏи,ул
131,Zweig::N,къяртта,вай
132,Blatt::N,чӏапӏи,куар
133,Birke::N,кӏялахӏи,кызьпу
134,Birke::N,кӏялахӏилул мурхь,кызьпу
135,Kiefer[Baum]::N,ттар,пужым
136,Kiefer[Baum]::N,ттарлил мурхь,пужым
137,Weide[Baum]::N,щавщи,бадьпу
138,Tanne::N,ттарлил мурхь,кыз
139,Horn::N,хъи,сюр
140,Feder::N,лелуххул тӏиму,тылы
141,Fell::N,бурчу,ку
142,Flügel::N,хъа,бурд
143,Flügel::N,ххурупӏайрал тӏиму,бурд
144,Klaue::N,михь,гижы
145,Kralle::N,ххяппа,пыд
146,Schwanz::N,магъ,быж
