,Concept_ID,is,mrj
0,Auge::N,auga,сӹнзӓ
1,Ohr::N,eyra,пӹлӹш
2,Nase::N,nef,нер
3,Mund::N,munnur,ышма
4,Zahn::N,tönn,пӱ
5,Zunge::N,tunga,йӹлмӹ
6,Lippe::N,vör,тӹрвӹ
7,Wange::N,kinn,шӹргӹ
8,Wange::N,vangi,шӹргӹ
9,Gesicht::N,andlit,лицӓ
10,Stirn::N,enni,лепкӓ
11,Haar::N,hár,ӱп
12,Schnurrbart::N,yfirskegg,öрш
13,Bart::N,skegg,пандаш
14,Kinn::N,haka,онгылаш
15,Kiefer[Anatomie]::N,kjálki,пӱ арата
16,Kiefer[Anatomie]::N,skoltur,пӱ арата
17,Kehle::N,kverk,логер
18,Hals::N,háls,шӱ
19,Genick::N,hnakki,ланга
20,Kopf::N,höfuð,вуй
21,Rücken::N,hryggur,туп
22,Bauch::N,kviður,мӹшкӹр
23,Nabel::N,nafli,кӹлӹмдӹ
24,Busen::N,barmur,цӹзӹ
25,Brust::N,brjóst,мел
26,Schulter::N,öxl,ӹнгӹжӓ
27,Arm::N,armur,кид
28,Ellenbogen::N,olnbogi,кӹнервуй
29,Hand::N,hönd,лапа
30,Handfläche::N,lófi,кид лапа
31,Finger::N,fingur,парня
32,Fingernagel::N,fingurnögl,кӹч
33,Nagel[Anatomie]::N,nögl,кӹч
34,Zeh::N,tá,парня
35,Fuß::N,fótur,ял лапа
36,Ferse::N,hæll,ялгавал
37,Ferse::N,hæll,ял кавал
38,Knie::N,kné,пылвуй
39,Oberschenkel::N,læri,ӓрдӹ
40,Bein::N,fótleggur,ял
41,Körper::N,búkur,монгыр
42,Körper::N,líkami,монгыр
43,Haut::N,húð,кавашты
44,Haut::N,skinn,кавашты
45,Blut::N,blóð,вӹр
46,Ader::N,æð,вӹршӓр
47,Sehne::N,sin,кукшышӱн
48,Knochen::N,bein,лу
49,Gehirn::N,heili,вим
50,Herz::N,hjarta,шӱм
51,Magen::N,magi,шӱм
52,Leber::N,lifur,мокш
53,Atem::N,andi,шӱлӹш
54,Atem::N,andardráttur,шӱлӹш
55,Hunger::N,hungur,шужымаш
56,Träne::N,tár,сӹнзӓвӹд
57,Geschmack::N,smekkur,тот
58,Geruch::N,lykt,пыш
59,Schlaf::N,svefn,ом
60,Traum::N,draumur,ом
61,Himmel::N,himinn,пӹлгом
62,Sonne::N,sól,кечӹ
63,Mond::N,tungl,тӹлзӹ
64,Stern::N,stjarna,шӹдӹр
65,Luft::N,loft,юж
66,Luft::N,loft,воздух
67,Wind::N,vindur,мардеж
68,Welle::N,alda,ко
69,Welle::N,alda,коэ
70,Welle::N,bylgja,ко
71,Welle::N,bylgja,коэ
72,Wasser::N,vatn,вӹд
73,Stein::N,steinn,кӱ
74,Boden::N,botn,рок
75,Erde::N,jörð,свет
76,Staub::N,ryk,пырак
77,Staub::N,duft,пырак
78,Rauch::N,reykur,шӹкш
79,Funke::N,neisti,ип
80,Funke::N,neisti,тылип
81,Feuer::N,eldur,тыл
82,Licht::N,ljós,соты
83,Licht::N,ljós,валгыды
84,Schatten::N,skuggi,ӹмӹл
85,Wetter::N,veður,игечӹ
86,Nebel::N,þoka,тӹтӹрӓ
87,Wolke::N,ský,пӹл
88,Regen::N,regn,юр
89,Schnee::N,snjór,лым
90,Eis::N,ís,и
91,Frost::N,frost,ӱштӹ
92,Kälte::N,kuldi,ӱштӹ
93,Hitze::N,hiti,шокшы
94,Raureif::N,hrím,пöрш
95,Regenbogen::N,regnbogi,шанавӹл
96,Donner::N,þruma,хӹдӹртӹш
97,Strömung::N,straumur,йогы
98,Tropfen::N,dropi,капльы
99,Tropfen::N,dropi,капльык
100,Schaum::N,froða,шонг
101,Schmutz::N,óhreinindi,лявӹрӓ
102,See::N,stöðuvatn,йӓр
103,Sumpf::N,fen,лӱкӹ
104,Moor::N,mýri,куп
105,Wiese::N,engi,алык
106,Wald::N,skógur,шӹргӹ
107,Hügel::N,hæð,пӱгӹрикӓ
108,Hügel::N,hóll,пӱгӹрикӓ
109,Anhöhe::N,hæð,кӱкшикӓ
110,Anhöhe::N,hóll,кӱкшикӓ
111,Berg::N,fell,кырык
112,Berg::N,fjall,кырык
113,Gipfel::N,tindur,неркӓ
114,Höhle::N,hellir,ы́раж
115,Abhang::N,hlíð,полом
116,Abhang::N,brekka,полом
117,Quelle::N,lind,вӹдсӹнзӓ
118,Quelle::N,uppspretta,вӹдсӹнзӓ
119,Bach::N,lækur,ӓнгӹр
120,Fluss::N,á,вӹд
121,Fluss::N,fljót,вӹд
122,Ufer::N,árbakki,сир
123,Ufer::N,sjávarbakki,сир
124,Küste::N,strönd,сир
125,Festland::N,meginland,мӱлӓндӹ
126,Meer::N,haf,тангыж
127,Meer::N,sjór,тангыж
128,Bucht::N,vík,вӹдъял
129,Insel::N,eyja,острок
130,Blume::N,blóm,пеледӹш
131,Gras::N,gras,шуды
132,Wurzel::N,rót,важ
133,Baum::N,tré,пушӓнгӹ
