,Concept_ID,ga,cs
0,Auge::N,súil,oko
1,Ohr::N,cluas,ucho
2,Nase::N,soc,nos
3,Mund::N,béal,pusa
4,Zahn::N,fiacail,zub
5,Zunge::N,teanga,jazyk
6,Lippe::N,liopa,ret
7,Wange::N,grua,tvář
8,Wange::N,leiceann,tvář
9,Gesicht::N,éadan,obličej
10,Gesicht::N,aghaidh,obličej
11,Stirn::N,baithis,čelo
12,Stirn::N,clár éadain,čelo
13,Haar::N,gruaig,vlas
14,Haar::N,gruaig,vlasy
15,Schnurrbart::N,croiméal,kníry
16,Bart::N,féasóg,vousy
17,Kinn::N,smig,brada
18,Kiefer[Anatomie]::N,giall,čelist
19,Kehle::N,scornach,hrdlo
20,Hals::N,muinéal,krk
21,Genick::N,baic,týl
22,Kopf::N,ceann,hlava
23,Rücken::N,droim,záda
24,Rücken::N,droim,hřbet
25,Bauch::N,bolg,břicho
26,Nabel::N,imleacán,pupek
27,Busen::N,cíoch,ňadra
28,Brust::N,brollach,prsa
29,Schulter::N,gualainn,plece
30,Schulter::N,gualainn,rameno
31,Arm::N,lámh,ruka
32,Ellenbogen::N,uillinn,loket
33,Hand::N,lámh,ruka
34,Handfläche::N,bos,dlaň
35,Finger::N,méar,prst
36,Fingernagel::N,ionga,nehet
37,Nagel[Anatomie]::N,ionga,nehet
38,Zeh::N,ladhar,prst u nohy
39,Fuß::N,cos,noha
40,Fuß::N,troigh,noha
41,Ferse::N,sáil,pata
42,Knie::N,glúin,koleno
43,Oberschenkel::N,ceathrú,stehno
44,Bein::N,cos,noha
45,Körper::N,corp,tělo
46,Körper::N,colainn,tělo
47,Haut::N,cneas,kůže
48,Haut::N,craiceann,kůže
49,Blut::N,fuil,krev
50,Sehne::N,teannán,šlacha
51,Sehne::N,féitheog,šlacha
52,Knochen::N,cnámh,kost
53,Gehirn::N,inchinn,mozek
54,Herz::N,croí,srdce
55,Magen::N,bolg,žaludek
56,Magen::N,goile,žaludek
57,Leber::N,ae,játra
58,Atem::N,anáil,dech
59,Hunger::N,ocras,hlad
60,Träne::N,deoir,slza
61,Geschmack::N,blas,vkus
62,Geruch::N,boladh,vůně
63,Geruch::N,boladh,zápach
64,Schlaf::N,suan,spánek
65,Schlaf::N,codladh,spánek
66,Traum::N,taibhreamh,sen
67,Himmel::N,spéir,nebe
68,Sonne::N,grian,slunce
69,Mond::N,ré,měsíc
70,Mond::N,gealach,měsíc
71,Stern::N,rinn,hvězda
72,Stern::N,réalta,hvězda
73,Luft::N,aer,vzduch
74,Wind::N,gaoth,vítr
75,Welle::N,tonn,vlna
76,Wasser::N,uisce,voda
77,Stein::N,cloch,kámen
78,Boden::N,talamh,půda
79,Erde::N,cré,země
80,Erde::N,ithir,země
81,Staub::N,dusta,prach
82,Staub::N,deannach,prach
83,Rauch::N,toit,dým
84,Rauch::N,toit,kouř
85,Rauch::N,deatach,dým
86,Rauch::N,deatach,kouř
87,Funke::N,drithle,jiskra
88,Feuer::N,tine,oheň
89,Licht::N,solas,světlo
90,Schatten::N,scáth,stín
91,Wetter::N,aimsir,počasí
92,Nebel::N,ceo,mlha
93,Wolke::N,néal,mrak
94,Wolke::N,néal,oblak
95,Wolke::N,scamall,mrak
96,Wolke::N,scamall,oblak
97,Regen::N,báisteach,déšť
98,Regen::N,fearthainn,déšť
99,Schnee::N,sneachta,sníh
100,Eis::N,oighear,led
101,Frost::N,sioc,mráz
102,Kälte::N,fuacht,chlad
103,Hitze::N,teas,horko
104,Hitze::N,teocht,horko
105,Raureif::N,sioc bán,jinovatka
106,Regenbogen::N,stua ceatha,duha
107,Regenbogen::N,bogha báistí,duha
108,Donner::N,toirneach,hrom
109,Strömung::N,sruth,proudění
110,Tropfen::N,deoir,kapka
111,Schaum::N,cúr,pěna
112,Schmutz::N,salachar,špína
113,See::N,loch,jezero
114,Sumpf::N,portach,močál
115,Sumpf::N,portach,bažina
116,Moor::N,caorán,bažina
117,Moor::N,caorán,slatina
118,Moor::N,móinteán,bažina
119,Moor::N,móinteán,slatina
120,Wiese::N,cluain,louka
121,Wiese::N,móinéar,louka
122,Wald::N,coill,les
123,Wald::N,foraois,les
124,Hügel::N,ard,kopec
125,Anhöhe::N,ard,pahorek
126,Anhöhe::N,ardán,pahorek
127,Berg::N,sliabh,hora
128,Gipfel::N,barr,vrchol
129,Gipfel::N,mullach,vrchol
130,Höhle::N,uaimh,jeskyně
131,Höhle::N,pluais,jeskyně
132,Abhang::N,fána,svah
133,Abhang::N,fána,stráň
