,Concept_ID,kn,sq
0,Auge::N,ಕಣ್ಣು,sy
1,Ohr::N,ಕಿವಿ,vesh
2,Nase::N,ಮೂಗು,hundë
3,Mund::N,ಬಾಯಿ,gojë
4,Zahn::N,ಹಲ್ಲು,dhëmb
5,Zunge::N,ನಾಲಿಗೆ,gjuhë
6,Lippe::N,ತುಟಿ,buzë
7,Wange::N,ಗಲ್ಲ,faqe
8,Wange::N,ಗಲ್ಲ,mollëz
9,Gesicht::N,ಮುಖ,fytyrë
10,Stirn::N,ಹಣೆ,ballë
11,Haar::N,ಕೂದಲು,flokë
12,Schnurrbart::N,ಮೀಸೆ,mustaqe
13,Bart::N,ಗಡ್ಡ,mjekër
14,Kinn::N,ಗದ್ದ,mjekër
15,Kiefer[Anatomie]::N,ದವಡೆ,nofull
16,Kehle::N,ಗಂಟಲು,fyt
17,Kehle::N,ಗಂಟಲು,grykë
18,Hals::N,ಕೊರಳು,qafë
19,Genick::N,ಹಿಂಗತ್ತು,arrëz
20,Kopf::N,ತಲೆ,kokë
21,Rücken::N,ಬೆನ್ನು,kurriz
22,Bauch::N,ಹೊಟ್ಟೆ,bark
23,Nabel::N,ಹೊಕ್ಕುಳು,kërthizë
24,Busen::N,ಸ್ತನ,gji
25,Brust::N,ಎದೆ,gjoks
26,Brust::N,ಎದೆ,kraharor
27,Schulter::N,ಭುಜ,sup
28,Schulter::N,ಭುಜ,krah
29,Arm::N,ತೋಳು,krah
30,Ellenbogen::N,ಮೊಣಕೈ,bërryl
31,Hand::N,ಕೈ,dorë
32,Handfläche::N,ಅಂಗೈ,pëllëmbë
33,Finger::N,ಕೈಬೆರಳು,gisht
34,Fingernagel::N,ಉಗುರು,thua
35,Nagel[Anatomie]::N,ಉಗುರು,thua
36,Zeh::N,ಕಾಲ್ಬೆರಳು,gisht i këmbës
37,Fuß::N,ಪಾದ,këmbë
38,Ferse::N,ಹಿಮ್ಮಡಿ,thembër
39,Knie::N,ಮಂಡಿ,gju
40,Oberschenkel::N,ತೊಡೆ,kofshë
41,Bein::N,ಕಾಲು,këmbë
42,Körper::N,ದೇಹ,trup
43,Haut::N,ಚರ್ಮ,lëkurë
44,Blut::N,ರಕ್ತ,gjak
45,Ader::N,ನರ,venë
46,Sehne::N,ನರ,dell
47,Knochen::N,ಮೂಳೆ,asht
48,Knochen::N,ಮೂಳೆ,kockë
49,Gehirn::N,ಮಿದುಳು,tru
50,Herz::N,ಹೃದಯ,zemër
51,Magen::N,ಉದರ,stomak
52,Leber::N,ಯಕೃತ್ತು,mëlçi
53,Atem::N,ಉಸಿರು,frymë
54,Hunger::N,ಹಸಿವು,uri
55,Träne::N,ಕಣ್ಣೀರು,lot
56,Geschmack::N,ರುಚಿ,shije
57,Geruch::N,ವಾಸನೆ,erë
58,Schlaf::N,ನಿದ್ರೆ,gjumë
59,Traum::N,ಕನಸು,ëndërr
60,Himmel::N,ಬಾನು,qiell
61,Sonne::N,ಸೂರ್ಯ,diell
62,Mond::N,ಚಂದ್ರ,hënë
63,Stern::N,ಚುಕ್ಕಿ,yll
64,Luft::N,ವಾಯು,ajër
65,Wind::N,ಗಾಳಿ,erë
66,Welle::N,ಅಲೆ,valë
67,Welle::N,ಅಲೆ,dallgë
68,Wasser::N,ನೀರು,ujë
69,Stein::N,ಕಲ್ಲು,gur
70,Boden::N,ನೆಲ,tokë
71,Boden::N,ನೆಲ,truall
72,Erde::N,ಭೂಮಿ,dhe
73,Erde::N,ಭೂಮಿ,baltë
74,Staub::N,ದೂಳು,pluhur
75,Rauch::N,ಹೊಗೆ,tym
76,Funke::N,ಕಿಡಿ,xixë
77,Funke::N,ಕಿಡಿ,shkëndijë
78,Feuer::N,ಬೆಂಕಿ,zjarr
79,Licht::N,ಬೆಳಕು,dritë
80,Schatten::N,ನೆರಳು,hije
