,Concept_ID,kv,uz
0,Auge::N,син,ko'z
1,Ohr::N,пель,quloq
2,Nase::N,ныр,burun
3,Mund::N,ӧм,og'iz
4,Zahn::N,пинь,tish
5,Zunge::N,кыв,til
6,Lippe::N,тырп,dudoq
7,Wange::N,рожабан,bet
8,Gesicht::N,бан,yuz
9,Stirn::N,кымӧс,manglay
10,Haar::N,юрси,soch
11,Schnurrbart::N,уссэз,mo'ylov
12,Bart::N,тош,soqol
13,Kinn::N,тшӧка,ängak
14,Kiefer[Anatomie]::N,ан,iyak
15,Kehle::N,юан,bo'g'iz
16,Hals::N,юан,bo'yin
17,Genick::N,юр бӧр,gardan
18,Kopf::N,юр,bosh
19,Rücken::N,мышк,orqa
20,Bauch::N,кынӧм,qorin
21,Nabel::N,гӧг,kindik
22,Busen::N,морос,ämchak
23,Brust::N,морос,ko'krak
24,Schulter::N,пельпон,elka
25,Arm::N,ки,bilak
26,Ellenbogen::N,гырдзза,tirsak
27,Hand::N,кикар,qo'l
28,Handfläche::N,ки пыдӧс,kaft
29,Finger::N,чунь,barmoq
30,Fingernagel::N,гыж,tirnoq
31,Nagel[Anatomie]::N,гыж,tirnoq
32,Zeh::N,чунь,oyoq barmog'i
33,Fuß::N,кокпыдӧс,oyoq
34,Ferse::N,кокдзир,tovon
35,Knie::N,пидзӧс,tiz
36,Oberschenkel::N,лядьбей,son
37,Bein::N,кок,oyoq
38,Körper::N,вывтыр,badna
39,Haut::N,кучик,teri
40,Blut::N,вир,qon
41,Ader::N,сӧн,qon tomir
42,Sehne::N,жила,tomir
43,Knochen::N,коска,suyak
44,Gehirn::N,вем,miya
45,Herz::N,сьӧлӧм,qalb
46,Magen::N,жӧвдӧк,oshqozon
47,Leber::N,мус,bag'ir
48,Atem::N,лолалӧм,dam
49,Hunger::N,тшыг,ochlik
50,Träne::N,синва,yosh
51,Geschmack::N,кӧр,tam
52,Geruch::N,дук,jid
53,Schlaf::N,он,uyqu
54,Traum::N,вӧт,tush
55,Himmel::N,небо,osmon
56,Sonne::N,шондi,quyosh
57,Mond::N,тӧлiсь,oy
58,Stern::N,кӧдзыв,yulduz
59,Luft::N,ру,havo
60,Wind::N,тӧв,el
61,Welle::N,гы,to'lqin
62,Wasser::N,ва,suv
63,Stein::N,из,tosh
64,Boden::N,му,tuproq
65,Erde::N,му,er
66,Staub::N,бус,chang
67,Rauch::N,тшын,tutun
68,Funke::N,бичир,yalt
69,Feuer::N,би,o't
70,Licht::N,би,yorug'
71,Schatten::N,вуджӧр,soya
72,Wetter::N,погоддя,havo
73,Nebel::N,туман,tuman
74,Wolke::N,кымӧр,bulut
75,Regen::N,зэр,yomg'ir
76,Schnee::N,лым,qor
77,Eis::N,йы,muz
78,Frost::N,мороз,ajoz
79,Kälte::N,кӧдзыт,ajoz
80,Hitze::N,ӧд,issiq
81,Raureif::N,кижа,qirov
82,Regenbogen::N,енӧшка,kamalak
83,Donner::N,гым,guldur
84,Strömung::N,визывтӧм,oqim
85,Tropfen::N,тёп,tomchi
86,Schaum::N,быг,ko'pik
87,Schmutz::N,нять,gard
88,See::N,ты,ko'l
89,Sumpf::N,арай,botqoq
90,Moor::N,нюр,qir-adir
91,Wiese::N,видз,o'tzor
92,Wald::N,вӧр,o'rmon
93,Hügel::N,мыльк,tepa
94,Anhöhe::N,вывтас,adir
95,Anhöhe::N,вылынін,adir
96,Berg::N,керӧс,tog'
97,Gipfel::N,йыв,cho'qqi
98,Höhle::N,нора,kavak
99,Abhang::N,покат,to'sh
100,Quelle::N,больган,buloq
101,Bach::N,шор,o'zan
102,Fluss::N,ю,daryo
103,Ufer::N,берег,sohil
104,Küste::N,берег,qirg'oq
105,Festland::N,му,materik
106,Meer::N,море,dengiz
107,Bucht::N,курья,qo'ltiq
108,Blume::N,цветок,gul
109,Gras::N,турун,sabza
110,Wurzel::N,вуж,tub
111,Wurzel::N,вуж,tomir
112,Baum::N,пу,daraxt
113,Stamm::N,мыр,o'simta
114,Stamm::N,кер,o'simta
115,Rinde::N,кач,qobiq
116,Ast::N,ув,shox
117,Zweig::N,ув,butoq
118,Blatt::N,лист,barg
119,Birke::N,кыдз,qayin
120,Kiefer[Baum]::N,пожум,qarag'ay
121,Weide[Baum]::N,бадь,shum
122,Tanne::N,кӧз,archa
123,Horn::N,сюр,mugiz
124,Feder::N,гӧн,par
125,Fell::N,кучик,mo'yna
126,Flügel::N,борд,qanot
127,Klaue::N,гыж,tirnoq
128,Kralle::N,кабыр,tirnoq
129,Schwanz::N,бӧж,quyruq
130,Ei::N,кольть,tuxum
131,Nest::N,поз,oshyon
132,Bau::N,осьта,o'pqon
133,Bau::N,нора,o'pqon
134,Tier::N,зверь,hayvon
135,Herde::N,гурт,gala
136,Kuh::N,мӧс,inak
137,Bulle::N,ӧшка,ho'kiz
138,Pferd::N,вӧв,ot
139,Schaf::N,баля,qo'y
140,Schwein::N,порсь,cho'chqa
141,Hund::N,пон,it
142,Katze::N,кань,mushuk
143,Bär::N,ош,ayiq
144,Eichhörnchen::N,ур,tiyin
145,Elch::N,вӧр мӧс,los
146,Fuchs::N,руч,tulki
147,Hase::N,кӧч,kuyon
148,Maus::N,шыр,sichqon
149,Wolf::N,кӧин,bo'ri
150,Vogel::N,кай,qush
151,Schwarm::N,стая,to'da
152,Schwarm::N,чукӧр,to'da
153,Huhn::N,курӧг,tovuq
154,Hahn::N,петух,xo'roz
155,Hahn::N,ай курӧг,xo'roz
156,Gans::N,дзодзог,g'oz
157,Adler::N,куч,burgut
158,Adler::N,кутш,burgut
159,Ente::N,утка,o'rdak
160,Eule::N,тупка,boyo'g'li
161,Kranich::N,тури,turna
162,Krähe::N,рака,qarg'a
163,Kuckuck::N,кӧк,kakku
164,Schwan::N,юсь,oqkush
165,Fisch::N,чери,baliq
166,Barsch::N,ёкыш,olabug'a
167,Hecht::N,сирпинь,cho'rtan
168,Schlange[Tier]::N,змей,ilon
169,Wurm::N,номыр,qurt
170,Spinne::N,черань,o'rgimchak
171,Ameise::N,кӧдзывкар,chumoli
172,Laus::N,ляпа той,bit
173,Mücke::N,ном,chivin
174,Fliege::N,гут,pashsha
175,Schmetterling::N,бабыв,kapalak
176,Beere::N,ягӧд,meva
177,Apfel::N,яблоко,olma
178,Pilz::N,тшак,qo'ziqorin
179,Zwiebel::N,грез,piyoz
180,Saat::N,кӧдзыс,äkin
181,Korn::N,сю,zarra
182,Heu::N,турун,xashak
183,Schale::N,кыш,po'choq
184,Schale::N,киль,po'choq
185,Grube::N,яма,co'ra
186,Falle::N,нальк,qopqon
187,Falle::N,кляпча,qopqon
188,Schlinge::N,лӧч,sirtmoq
189,Spur::N,туй,iz
190,Asche::N,пӧим,kul
191,Dreck::N,нять,kir
192,Eisen::N,кӧрт,temir
193,Gold::N,зарни,tilla
194,Silber::N,язісь,kumush
195,Kohle::N,шом,ko'mir
196,Kohle::N,уголь,ko'mir
197,Glas::N,стекло,oyna
198,Lehm::N,сёй,loy
199,Sand::N,лыа,qum
200,Mensch::N,морт,odam
201,Mann::N,мужик,ärkak
202,Frau::N,инька,ayol
203,Kind::N,кага,bola
204,Kind::N,кага,kichkintoy
205,Junge::N,зонка,bola
206,Mädchen::N,нывкаок,qiz
207,Familie::N,семья,oila
208,Großvater::N,дед,buva
209,Großvater::N,дед,katta ota
210,Großmutter::N,баб,buvi
211,Großmutter::N,баб,katta oyi
212,Eltern::N,ай-мам,ota-ona
213,Vater::N,ай,ota
214,Mutter::N,мам,ona
215,Sohn::N,зон,o'g'il
216,Tochter::N,ныв,qiz
217,Bruder::N,вон,og'a
218,Bruder::N,вон,uka
219,Schwester::N,сой,opa
220,Schwester::N,сой,singil
221,Onkel::N,дядь,amaki
222,Tante::N,айӧлӧн сой,amma
223,Tante::N,айӧлӧн сой,xola
224,Tante::N,ичинь,amma
225,Tante::N,ичинь,xola
226,Ehemann::N,жӧник,är
227,Ehefrau::N,инь,rafiqa
228,Freude::N,гаж,ayish
229,Freude::N,радъялӧм,ayish
230,Gelächter::N,сералӧм,kulgi
231,Glück::N,мичлун,saodat
232,Kummer::N,шог,g'am
233,Wunsch::N,мӧдӧм,orzu
234,Wunsch::N,охотитӧм,orzu
235,Lust::N,охота,rag'bat
236,Geist::N,лов,ruh
237,Gedanke::N,дума,fikr
238,Gedächtnis::N,тӧдвыв,äs
239,Verstand::N,вежӧр,aql
240,Sinn::N,ылӧс,ma'ni
241,Grund::N,мог,sabab
242,Wahrheit::N,правда,haq
243,Gespräch::N,сёрни,gap
244,Märchen::N,сказка,ärtak
245,Erzählung::N,висьт,rivoyat
246,Nachricht::N,юӧр,xabar
247,Nachricht::N,висьталӧм,xabar
248,Neuigkeit::N,новость,yangilik
249,Name::N,ним,ot
