,Concept_ID,ku,te
0,Auge::N,çav,కన్ను
1,Ohr::N,guh,చెవి
2,Nase::N,bêvil,ముక్కు
3,Mund::N,dev,నోరు
4,Zahn::N,didan,పల్లు
5,Zunge::N,ziman,నాలుక
6,Lippe::N,lêv,పెదవి
7,Wange::N,dêm,చెంప
8,Wange::N,hinarik,చెంప
9,Gesicht::N,rû,ముఖము
10,Stirn::N,enî,నుదురు
11,Haar::N,por,వెండ్రుక
12,Schnurrbart::N,simbêl,మీసము
13,Bart::N,rih,గడ్డము
14,Kinn::N,zenî,గడ్డము
15,Kiefer[Anatomie]::N,arguşk,దౌడ
16,Kehle::N,qirik,గొంతు
17,Hals::N,stû,మెడ
18,Hals::N,qirik,మెడ
19,Genick::N,stû,మూపు
20,Kopf::N,serî,తల
21,Rücken::N,pişt,వెన్ను
22,Bauch::N,ûr,కడుపు
23,Bauch::N,zik,కడుపు
24,Nabel::N,navik,బొడ్డు
25,Busen::N,sîng,స్తనము
26,Brust::N,sîng,ఱొమ్ము
27,Schulter::N,mil,భుజము
28,Arm::N,çepil,చేయి
29,Ellenbogen::N,enîşk,మోచేయి
30,Hand::N,dest,చేయి
31,Handfläche::N,kefadest,అరచేయు
32,Finger::N,tilî,చేతిప్రేలు
33,Fingernagel::N,neynuk,గోరు
34,Nagel[Anatomie]::N,bizmar,గోరు
35,Zeh::N,tilî linga,కాలిప్రేలు
36,Fuß::N,ling,అడుగు
37,Ferse::N,pahnî,మడమ
38,Knie::N,kabok,మోకాలు
39,Oberschenkel::N,rahn,తొడ
40,Bein::N,çip,కాలు
41,Körper::N,laş,కాయము
42,Körper::N,gowde,కాయము
43,Haut::N,çerm,చర్మము
44,Blut::N,xwîn,రక్తము
45,Ader::N,reh,సిర
46,Sehne::N,reh,స్నాయువు
47,Knochen::N,hestî,ఎముక
48,Gehirn::N,mêjî,మెదడు
49,Herz::N,dil,హృదయము
50,Magen::N,navêş,కడుపు
51,Leber::N,kezeb,కాలేయము
52,Atem::N,hilm,ఉపిరి
53,Hunger::N,birçîtî,ఆకలి
54,Träne::N,hêstir,కన్నీటిచుక్క
55,Geschmack::N,tam,రుచి
56,Geruch::N,bêhn,వాసన
57,Schlaf::N,xew,నిద్ర
58,Traum::N,xewn,కల
59,Himmel::N,ezman,ఆకాశము
60,Sonne::N,roj,సూర్యుడు
61,Mond::N,heyv,చంద్రుడు
62,Stern::N,stêrk,నక్షత్రము
63,Luft::N,ba,గాలి
64,Wind::N,ba,వీచుచున్నగాలి
65,Welle::N,şewl,అల
66,Wasser::N,av,నీరు
67,Stein::N,kevir,ఱాయి
68,Boden::N,herd,నేల
69,Erde::N,ax,మన్ను
70,Staub::N,toz,దుమ్ము
71,Rauch::N,dû,పొగ
72,Funke::N,çirûşk,అగ్నికణము
73,Feuer::N,agir,అగ్ని
74,Licht::N,ronahî,కాంతి
75,Schatten::N,sî,నీడ
76,Wetter::N,hewa,వాతావరణ స్థితి
77,Nebel::N,mij,పొగమంచు
78,Wolke::N,ewr,మేఘము
79,Regen::N,baran,వాన
80,Schnee::N,berf,హిమము
81,Eis::N,qeşa,మంచుగడ్డ
82,Frost::N,xûsik,పేరిన మంచు
83,Kälte::N,serma,చలి
84,Hitze::N,germayî,వేడిమి
85,Raureif::N,şext,మంచు
86,Regenbogen::N,heftreng,ఇంద్రధనుస్సు
87,Donner::N,gire-gir,ఉరుము
88,Strömung::N,şewl,ప్రవాహము
89,Tropfen::N,dilop,చుక్క
90,Schaum::N,kef,నురుగు
91,Schmutz::N,gemar,మైల
92,See::N,gol,సరస్సు
93,Sumpf::N,hezek,చిత్తడినేల
94,Moor::N,mafêl,చిత్తడినేల
95,Wiese::N,sûrik,పచ్చిక బయలు
96,Wald::N,çiya,అడవి
97,Wald::N,daristan,అడవి
98,Hügel::N,gir,చివ్నకొండ
99,Anhöhe::N,sere gir,కొండ
100,Berg::N,kaş,పర్వతము
101,Gipfel::N,sere gir,శిఖరము
102,Höhle::N,şikeft,గుహ
103,Abhang::N,kaş,ఏటవాలు
104,Quelle::N,kanî,మూలము
105,Bach::N,çem,కాలువ
106,Fluss::N,çem,నది
107,Fluss::N,rûbar,నది
108,Ufer::N,kevî,తీరము
109,Küste::N,berav,తీరము
110,Festland::N,bejahî,భూమి
111,Meer::N,behr,సముద్రము
112,Bucht::N,derav,మరుగు
113,Insel::N,girav,దీవి
114,Blume::N,kulînk,పుష్పము
115,Gras::N,giha,పచ్చగడ్డి
116,Wurzel::N,reh,వేరు
117,Baum::N,dar,చెట్టు
