,Concept_ID,kl,myv
0,Auge::N,isi,сельме
1,Ohr::N,siut,пиле
2,Mund::N,paaq,курго
3,Mund::N,qaneq,курго
4,Zahn::N,kigut,пей
5,Zunge::N,oqaq,кель
6,Lippe::N,qarloq,турва
7,Wange::N,ersaq,чамабока
8,Wange::N,ersaq,чамаумарь
9,Gesicht::N,kiinaq,чама
10,Stirn::N,qaaq,коня
11,Haar::N,meqqoq,черь
12,Bart::N,umik,сакал
13,Kinn::N,talloq,уло
14,Kiefer[Anatomie]::N,alleroq,пейпакар
15,Kiefer[Anatomie]::N,alleroq,пейловажа
16,Kehle::N,malaq,кирьгапарь
17,Hals::N,qungaseq,кирьга
18,Genick::N,pukusuk,човонь
19,Kopf::N,niaqoq,пря
20,Rücken::N,qimerlut,копорь
21,Bauch::N,naaq,пеке
22,Nabel::N,qalaseq,почо
23,Busen::N,iviangeq,поте
24,Brust::N,iviangeq,меште
25,Schulter::N,ersik,лавтов
26,Schulter::N,assaqqoq,лавтов
27,Arm::N,taleq,кедь
28,Ellenbogen::N,ikusik,кенерепакарь
29,Hand::N,assak,кедь
30,Handfläche::N,itumak,кедькуншка
31,Handfläche::N,itumak,кедьлапушка
32,Finger::N,inuak,сур
33,Fingernagel::N,kikiak,кенже
34,Nagel[Anatomie]::N,kukik,кенже
35,Zeh::N,isigak,пильге сур
36,Ferse::N,kimmik,кочкаря
37,Knie::N,seeqqoq,эле
38,Knie::N,seeqqoq,эзне
39,Knie::N,seeqqoq,кумажа
40,Oberschenkel::N,uppat,качо
41,Oberschenkel::N,quttoraq,качо
42,Bein::N,isigak,пильге
43,Körper::N,timi,рунго
44,Haut::N,mattak,киське
45,Blut::N,aak,верь
46,Ader::N,taqaq,сан
47,Sehne::N,ujalu,коське сан
48,Sehne::N,ujaloq,коське сан
49,Knochen::N,saanikut,пакарь
50,Gehirn::N,qarasaq,удем
51,Herz::N,uummat,седей
52,Magen::N,aqajaroq,пеке
53,Leber::N,tinguk,максо
54,Atem::N,anerneq,лексема
55,Atem::N,anerneq,оймень таргсема
56,Hunger::N,kaanneq,вачочи
57,Träne::N,qia,селведь
58,Träne::N,qiak,селведь
59,Geschmack::N,qilanaartuut,тансть
60,Geruch::N,tipi,чине
61,Geruch::N,tipik,чине
62,Traum::N,sinnattoq,он
63,Traum::N,sinnattugaq,он
64,Himmel::N,qilak,менель
65,Sonne::N,seqineq,чи
66,Mond::N,qaammat,ков
67,Stern::N,ulloriaq,теште
68,Luft::N,silaannaq,кошт
69,Wind::N,anori,варма
70,Wind::N,anorsarik,варма
71,Welle::N,aalappaa,толкун
72,Wasser::N,imeq,ведь
73,Stein::N,ujarak,кев
74,Boden::N,nateq,мода
75,Erde::N,issoq,мастор
76,Staub::N,pujualanerit,пуль
77,Staub::N,pujoralanerit,пуль
78,Rauch::N,iseq,качамо
79,Rauch::N,pujoq,качамо
80,Funke::N,illoorneq,сятко
81,Feuer::N,inneq,тол
82,Licht::N,qaamaneq,валдо
83,Schatten::N,tarraq,сулей
84,Schatten::N,tarraq,сулейкс
85,Wetter::N,sila,ушо
86,Nebel::N,pujoq,сув
87,Wolke::N,nuia,пель
88,Regen::N,sialuk,пиземс
89,Schnee::N,aput,лов
90,Eis::N,siku,эй
91,Frost::N,issi,кельме
92,Frost::N,issik,кельме
93,Kälte::N,issi,якшамо
94,Hitze::N,kianneq,пси
95,Hitze::N,kiassuseq,пси
96,Raureif::N,kaneq,лекш
97,Regenbogen::N,neriusaaq,пурьгинечирьке
98,Regenbogen::N,neriusaaq,пурьгинеёнкс
99,Donner::N,kalleq,пурьгине
100,Tropfen::N,kuseriarneq,петнявкс
101,Schaum::N,qapuk,чов
102,Schmutz::N,minguk,рудаз
103,See::N,taseq,эрьке
104,Sumpf::N,maqulluk,чей
105,Wiese::N,masarsuk,луга
106,Hügel::N,qattuneq,губорь
107,Hügel::N,qattuneq,пандыне
108,Hügel::N,majuariaq,губорь
109,Hügel::N,majuariaq,пандыне
110,Hügel::N,majorajaaq,губорь
111,Hügel::N,majorajaaq,пандыне
112,Hügel::N,qaqqannguaq,губорь
113,Hügel::N,qaqqannguaq,пандыне
114,Berg::N,qaqqaq,пандо
115,Höhle::N,qaarusuk,пещера
116,Abhang::N,ippik,пандочама
117,Abhang::N,sivinganeq,пандочама
118,Abhang::N,sivingajaaq,пандочама
119,Abhang::N,kussangajaaq,пандочама
120,Bach::N,kuunnguaq,чудикерькс
121,Fluss::N,kuuk,лей
122,Ufer::N,sissap sinaa,чире
123,Küste::N,sineriak,лейчире
124,Meer::N,imaq,моря
125,Bucht::N,ikeq,усия
126,Bucht::N,kangerluk,усия
127,Bucht::N,kangerliumaneq,усия
128,Insel::N,qeqertaq,усия
129,Blume::N,naasoq,цеця
130,Gras::N,ivigaq,тикше
131,Wurzel::N,niulutaq,юр
132,Wurzel::N,niulutaq,ундокс
133,Baum::N,orpik,чувто
134,Stamm::N,kanaartaq,рунго
135,Rinde::N,ameraq,суд
136,Rinde::N,ameraq,керь
137,Ast::N,avalequt,морго
138,Zweig::N,avalequt,тарад
139,Blatt::N,pilutaq,лопа
140,Birke::N,patitsit,килей
141,Weide[Baum]::N,palleq,каль
142,Tanne::N,orsuerneq,куз
143,Horn::N,nassuk,сюро
144,Feder::N,suluk,толга
145,Fell::N,ameq,пона
146,Flügel::N,suluk,сёлмо
147,Flügel::N,isaroq,сёлмо
148,Klaue::N,kukik,кенже
149,Kralle::N,kukik,кенже
150,Schwanz::N,pamioq,пуло
151,Schwanz::N,paperuusaq,пуло
152,Ei::N,mannik,ал
153,Nest::N,ullut,пизэ
154,Bau::N,ini,варя
155,Bau::N,ini,пизе
156,Tier::N,uumasoq,ракша
157,Herde::N,unguukkat,стада
158,Kuh::N,ussik,скал
159,Bulle::N,angukulak,бука
160,Bulle::N,anguteralak,бука
161,Bulle::N,angutikulooq,бука
162,Schaf::N,sava,реве
163,Schwein::N,puuluki,туво
164,Hund::N,qimmeq,пине
165,Hund::N,qimmeq,киска
166,Katze::N,puisaaq,псака
167,Bär::N,allaq,овто
168,Eichhörnchen::N,sissinnguaq,ур
169,Fuchs::N,terianniaq,ривезь
170,Hase::N,ukaleq,нумоло
171,Maus::N,teriannguaq,чеерь
172,Wolf::N,amaroq,верьгиз
173,Vogel::N,timmiaq,нармунь
174,Huhn::N,kukkukooq,сараз
175,Huhn::N,marloraaqaaq,сараз
176,Hahn::N,kiasiusaq,атякш
177,Gans::N,nerleq,гала
178,Gans::N,nerleq,мацей
179,Adler::N,nattoralik,куцькан
180,Adler::N,nattoralik,тумоатякш
181,Eule::N,uppik,корж
182,Kranich::N,qorlorfik,карго
183,Krähe::N,tuluatsiaq,варака
184,Kuckuck::N,kukkooq,куко
185,Schwan::N,qussuk,локсей
186,Fisch::N,aalisagaq,кал
187,Schlange[Tier]::N,pulateriarsuk,гуй
188,Schlange[Tier]::N,pulateriaarsuk,гуй
189,Spinne::N,aasiaq,шанжав
190,Spinne::N,nissavaarsuk,шанжав
191,Ameise::N,uniaaluk,коткудав
192,Laus::N,kumak,сий
193,Mücke::N,ippernaq,сеське
194,Fliege::N,ippernaq,карво
195,Schmetterling::N,paluaq,нимиляв
196,Schmetterling::N,pakkaluaq,нимиляв
197,Schmetterling::N,utsuppaluaq,нимиляв
198,Schmetterling::N,taqaleqisaaq,нимиляв
199,Beere::N,paarmaq,умарь
200,Beere::N,paarngaq,умарь
201,Apfel::N,iipili,умарь
202,Pilz::N,anngiusaq,панго
203,Zwiebel::N,uanitsoq,чурька
204,Saat::N,naatsiiassaq,видьметь
205,Korn::N,maannineq,сюро
206,Schale::N,niutsivik,кедь
207,Schale::N,niutsivik,ваткавкс
208,Schale::N,ilulissaq qaartussaq,кедь
209,Schale::N,ilulissaq qaartussaq,ваткавкс
210,Grube::N,itersaq,латко
211,Falle::N,pualavoq,тувор
212,Falle::N,pualavoq,кундамка
213,Schlinge::N,orseq,килькш
214,Schlinge::N,norloq,килькш
215,Spur::N,tumaa,челькс
216,Spur::N,tumaa,пильгеки
217,Asche::N,arsat,кулов
218,Dreck::N,minguk,рудаз
219,Eisen::N,savimineq,кшни
220,Eisen::N,saffiugassaq,кшни
221,Gold::N,kuulti,сырне
222,Silber::N,siilviuvoq,сия
223,Kohle::N,aamarsuit aamaruutissat,сэдь
224,Kohle::N,aamarsuit aamaruutissat,уголия
225,Glas::N,igalaaq,сулика
226,Glas::N,imertarfik,сулика
227,Glas::N,igalaamineq,сулика
228,Lehm::N,marraq,сёвонь
229,Sand::N,sioqqat,човар
230,Mensch::N,inuk,ломань
231,Mensch::N,silamiu,ломань
232,Mann::N,angut,аля
233,Mann::N,angut,цёраломань
234,Frau::N,arnaq,ава
235,Kind::N,meeraq,эйкакш
236,Junge::N,nukappiaraq,цёрыне
237,Mädchen::N,arnannguaq,тейтерне
238,Familie::N,ilaqutakka,семия
239,Familie::N,ilaqutariit,семия
240,Großvater::N,aatak,покштя
241,Großmutter::N,aanaq,баба
242,Eltern::N,angajoqqaat,тетят-ават
243,Vater::N,ataata,тетя
244,Vater::N,ataataq,тетя
245,Mutter::N,anaana,ава
