,Concept_ID,ca,ca
0,Auge::N,ull,ull
1,Ohr::N,orella,orella
2,Nase::N,nas,nas
3,Mund::N,boca,boca
4,Zahn::N,dent,dent
5,Zunge::N,llēngua,llēngua
6,Lippe::N,llavi,llavi
7,Wange::N,galta,galta
8,Gesicht::N,cara,cara
9,Stirn::N,front,front
10,Haar::N,cabēll,cabēll
11,Schnurrbart::N,bigoti,bigoti
12,Bart::N,barba,barba
13,Kinn::N,mentó,mentó
14,Kinn::N,mentó,barbeta
15,Kinn::N,barbeta,mentó
16,Kinn::N,barbeta,barbeta
17,Kiefer[Anatomie]::N,queix,queix
18,Kiefer[Anatomie]::N,queix,mandíbula
19,Kiefer[Anatomie]::N,mandíbula,queix
20,Kiefer[Anatomie]::N,mandíbula,mandíbula
21,Kehle::N,gola,gola
22,Kehle::N,gola,gorja
23,Kehle::N,gorja,gola
24,Kehle::N,gorja,gorja
25,Hals::N,coll,coll
26,Genick::N,nuca,nuca
27,Kopf::N,cap,cap
28,Rücken::N,esquena,esquena
29,Bauch::N,panxa,panxa
30,Nabel::N,llombrígol,llombrígol
31,Busen::N,pit,pit
32,Busen::N,pit,mama
33,Busen::N,mama,pit
34,Busen::N,mama,mama
35,Brust::N,pit,pit
36,Schulter::N,espatlla,espatlla
37,Arm::N,braç,braç
38,Ellenbogen::N,colze,colze
39,Hand::N,mà,mà
40,Handfläche::N,palma,palma
41,Finger::N,dit,dit
42,Fingernagel::N,ungla,ungla
43,Nagel[Anatomie]::N,ungla,ungla
44,Zeh::N,dit del peu,dit del peu
45,Fuß::N,peu,peu
46,Ferse::N,taló,taló
47,Knie::N,genoll,genoll
48,Oberschenkel::N,cuixa,cuixa
49,Bein::N,cama,cama
50,Körper::N,cos,cos
51,Haut::N,pell,pell
52,Blut::N,sang,sang
53,Ader::N,vena,vena
54,Sehne::N,tendó,tendó
55,Knochen::N,os,os
56,Gehirn::N,cervell,cervell
57,Herz::N,cor,cor
58,Magen::N,estómac,estómac
59,Leber::N,fetge,fetge
60,Atem::N,alè,alè
61,Atem::N,alè,hàlit
62,Atem::N,hàlit,alè
63,Atem::N,hàlit,hàlit
64,Hunger::N,fam,fam
65,Hunger::N,fam,gana
66,Hunger::N,gana,fam
67,Hunger::N,gana,gana
68,Träne::N,llàgrima,llàgrima
69,Geschmack::N,gust,gust
70,Geschmack::N,gust,sabor
71,Geschmack::N,sabor,gust
72,Geschmack::N,sabor,sabor
73,Geruch::N,olor,olor
74,Schlaf::N,son,son
75,Traum::N,somni,somni
76,Himmel::N,celm,celm
77,Sonne::N,sol,sol
78,Mond::N,lluna,lluna
79,Stern::N,estel,estel
80,Stern::N,estel,estrella
81,Stern::N,estrella,estel
82,Stern::N,estrella,estrella
83,Luft::N,aire,aire
84,Wind::N,vent,vent
85,Welle::N,ona,ona
86,Wasser::N,āigua,āigua
87,Stein::N,pedra,pedra
88,Boden::N,sòl,sòl
89,Erde::N,terra,terra
90,Staub::N,pols,pols
91,Rauch::N,fum,fum
92,Funke::N,guspira,guspira
93,Funke::N,guspira,centella
94,Funke::N,centella,guspira
95,Funke::N,centella,centella
96,Feuer::N,foc,foc
97,Licht::N,llum,llum
98,Schatten::N,ombra,ombra
99,Wetter::N,temps,temps
100,Nebel::N,boira,boira
101,Wolke::N,núvol,núvol
102,Regen::N,pluja,pluja
103,Schnee::N,neu,neu
104,Eis::N,gel,gel
105,Eis::N,gel,glaç
106,Eis::N,glaç,gel
107,Eis::N,glaç,glaç
108,Frost::N,glaçada,glaçada
109,Kälte::N,fred,fred
110,Hitze::N,calor,calor
111,Raureif::N,gebre,gebre
112,Regenbogen::N,arc iris,arc iris
113,Donner::N,tro,tro
114,Strömung::N,corrent,corrent
115,Tropfen::N,gota,gota
116,Schaum::N,escuma,escuma
117,Schmutz::N,brutícia,brutícia
118,See::N,llac,llac
119,Sumpf::N,pantà,pantà
120,Moor::N,pantà,pantà
121,Wiese::N,prat,prat
122,Wiese::N,prat,prada
123,Wiese::N,prada,prat
124,Wiese::N,prada,prada
125,Wald::N,bosc,bosc
126,Hügel::N,puig,puig
127,Hügel::N,puig,pujol
128,Hügel::N,pujol,puig
129,Hügel::N,pujol,pujol
130,Anhöhe::N,turó,turó
131,Berg::N,muntanya,muntanya
132,Gipfel::N,cim,cim
133,Höhle::N,cova,cova
134,Abhang::N,coster,coster
135,Quelle::N,font,font
136,Bach::N,riera,riera
137,Fluss::N,riu,riu
138,Ufer::N,riba,riba
139,Küste::N,costa,costa
140,Festland::N,terra ferma,terra ferma
141,Meer::N,mar,mar
142,Bucht::N,cala,cala
143,Bucht::N,cala,badia
144,Bucht::N,badia,cala
145,Bucht::N,badia,badia
146,Insel::N,illa,illa
147,Blume::N,flor,flor
148,Gras::N,herba,herba
149,Wurzel::N,rel,rel
150,Wurzel::N,rel,arrel
151,Wurzel::N,arrel,rel
152,Wurzel::N,arrel,arrel
153,Baum::N,arbre,arbre
154,Stamm::N,tronc,tronc
155,Rinde::N,escorça,escorça
156,Ast::N,branca,branca
157,Zweig::N,ram,ram
158,Blatt::N,fulla,fulla
159,Birke::N,bedoll,bedoll
160,Kiefer[Baum]::N,pi,pi
161,Weide[Baum]::N,salze,salze
162,Tanne::N,avet,avet
163,Horn::N,corn,corn
164,Horn::N,corn,banya
165,Horn::N,banya,corn
166,Horn::N,banya,banya
167,Feder::N,ploma,ploma
168,Fell::N,pell,pell
169,Flügel::N,ala,ala
170,Klaue::N,urpa,urpa
171,Kralle::N,grapa,grapa
172,Schwanz::N,cua,cua
173,Ei::N,ou,ou
174,Nest::N,niu,niu
175,Bau::N,cau,cau
176,Tier::N,animāl,animāl
177,Herde::N,ramat,ramat
178,Kuh::N,vaca,vaca
179,Bulle::N,toro,toro
180,Pferd::N,cavāll,cavāll
181,Schaf::N,be,be
182,Schaf::N,be,ovella
183,Schaf::N,ovella,be
184,Schaf::N,ovella,ovella
185,Schwein::N,bacó,bacó
186,Hund::N,ca,ca
187,Hund::N,ca,gos
188,Hund::N,gos,ca
189,Hund::N,gos,gos
190,Katze::N,gat,gat
191,Bär::N,ós,ós
192,Eichhörnchen::N,esquirol,esquirol
193,Elch::N,ant,ant
194,Fuchs::N,guilla,guilla
195,Hase::N,llebre,llebre
196,Maus::N,ratolí,ratolí
197,Wolf::N,llop,llop
198,Vogel::N,au,au
199,Vogel::N,au,ocēll
200,Vogel::N,ocēll,au
201,Vogel::N,ocēll,ocēll
202,Schwarm::N,bandada,bandada
203,Huhn::N,gallina,gallina
204,Hahn::N,gall,gall
205,Gans::N,oca,oca
206,Adler::N,àguila,àguila
207,Ente::N,ànec,ànec
208,Eule::N,òliba,òliba
209,Eule::N,òliba,mussol
210,Eule::N,mussol,òliba
211,Eule::N,mussol,mussol
212,Kranich::N,grua,grua
213,Krähe::N,cornella,cornella
214,Kuckuck::N,cucut,cucut
215,Schwan::N,cigne,cigne
216,Fisch::N,peix,peix
217,Barsch::N,perca,perca
218,Hecht::N,lluç,lluç
219,Schlange[Tier]::N,serp,serp
220,Wurm::N,cuc,cuc
221,Spinne::N,aranya,aranya
222,Ameise::N,formiga,formiga
223,Laus::N,poll,poll
224,Mücke::N,mosquit,mosquit
225,Fliege::N,mosca,mosca
226,Schmetterling::N,papallona,papallona
227,Beere::N,baia,baia
228,Apfel::N,poma,poma
229,Pilz::N,bolet,bolet
230,Zwiebel::N,ceba,ceba
231,Saat::N,sembra,sembra
232,Korn::N,gra,gra
233,Heu::N,fenc,fenc
234,Schale::N,closca,closca
