,Concept_ID,uk,ja
0,Auge::N,око,目
1,Ohr::N,вухо,耳
2,Nase::N,ніс,鼻
3,Mund::N,рот,口
4,Zahn::N,зуб,歯
5,Zunge::N,язик,舌
6,Lippe::N,губа,唇
7,Wange::N,щока,頬
8,Gesicht::N,обличчя,顔
9,Stirn::N,лоб,額
10,Haar::N,волосся,髪
11,Schnurrbart::N,вуса,口髭
12,Bart::N,борода,髭
13,Kinn::N,підборіддя,顎
14,Kiefer[Anatomie]::N,щелепа,顎
15,Kehle::N,горло,喉
16,Hals::N,шия,首
17,Genick::N,потилиця,首
18,Kopf::N,голова,頭
19,Rücken::N,спина,背中
20,Bauch::N,живіт,腹
21,Bauch::N,живіт,お腹
22,Nabel::N,пупок,へそ
23,Busen::N,груди,乳房
24,Brust::N,груди,胸
25,Schulter::N,плече,肩
26,Arm::N,рука,腕
27,Ellenbogen::N,лікоть,肘
28,Hand::N,рука,手
29,Handfläche::N,долоня,手のひら
30,Finger::N,палець,指
31,Fingernagel::N,ніготь,爪
32,Nagel[Anatomie]::N,ніготь,爪
33,Zeh::N,палець на нозі,足の指
34,Fuß::N,нога,足
35,Ferse::N,п’ятка,かかと
36,Knie::N,коліно,膝
37,Oberschenkel::N,стегно,上腿
38,Bein::N,нога,足
39,Körper::N,тіло,体
40,Haut::N,шкіра,皮膚
41,Blut::N,кров,血
42,Ader::N,вена,血管
43,Sehne::N,сухожилля,腱
44,Knochen::N,кістка,骨
45,Gehirn::N,мозок,脳
46,Herz::N,серце,心
47,Herz::N,серце,心臓
48,Magen::N,шлунок,胃
49,Leber::N,печінка,肝臓
50,Atem::N,дихання,息
51,Atem::N,дихання,呼吸
52,Hunger::N,голод,空腹
53,Träne::N,сльоза,涙
54,Geschmack::N,смак,味
55,Geruch::N,запах,匂い
56,Schlaf::N,сон,睡眠
57,Schlaf::N,сплячка,睡眠
58,Traum::N,сон,夢
59,Himmel::N,небо,空
60,Sonne::N,сонце,太陽
61,Mond::N,місяць,月
62,Stern::N,зірка,星
63,Luft::N,повітря,空気
64,Wind::N,вітер,風
65,Welle::N,хвиля,波
66,Wasser::N,вода,水
67,Stein::N,камінь,石
68,Boden::N,ґрунт,土地
69,Erde::N,земля,土
70,Staub::N,пил,埃
71,Rauch::N,дим,煙
72,Funke::N,іскра,火花
73,Feuer::N,вогонь,火
74,Licht::N,світло,光
75,Schatten::N,тінь,陰
76,Wetter::N,погода,天気
77,Nebel::N,туман,霧
78,Wolke::N,хмара,雲
79,Regen::N,дощ,雨
80,Schnee::N,сніг,雪
81,Eis::N,лід,氷
82,Frost::N,мороз,霜
83,Kälte::N,холод,寒さ
84,Hitze::N,жар,暑さ
85,Raureif::N,іній,霧氷
86,Regenbogen::N,райдуга,虹
87,Donner::N,грім,雷
88,Strömung::N,струмина,流れ
89,Tropfen::N,крапля,滴
90,Schaum::N,піна,泡
91,Schmutz::N,бруд,汚れ
92,See::N,озеро,湖
93,Sumpf::N,драговина,沼
94,Moor::N,болото,湿原
95,Wiese::N,луг,草原
96,Wiese::N,лука,草原
97,Wald::N,ліс,森
98,Hügel::N,горб,丘
99,Anhöhe::N,височина,高み
100,Berg::N,гора,山
101,Gipfel::N,вершина,頂上
102,Höhle::N,печера,洞窟
103,Abhang::N,схил,斜面
104,Quelle::N,джерело,泉
105,Bach::N,струмок,小川
106,Fluss::N,річка,川
107,Ufer::N,берег,岸
108,Küste::N,узбережжя,海岸
109,Festland::N,суша,陸
110,Meer::N,море,海
111,Bucht::N,бухта,湾
112,Bucht::N,затока,湾
113,Insel::N,острів,島
114,Blume::N,квітка,花
115,Gras::N,трава,草
116,Wurzel::N,корінь,根
117,Baum::N,дерево,木
118,Stamm::N,стовбур,幹
119,Rinde::N,кора,皮層
120,Ast::N,гілка,枝
121,Zweig::N,галузь,小枝
122,Blatt::N,лист,葉
123,Birke::N,береза,樺
124,Kiefer[Baum]::N,сосна,松
125,Weide[Baum]::N,верба,柳
126,Tanne::N,ялиця,樅
127,Horn::N,ріг,角
128,Feder::N,перо,羽根
129,Fell::N,хутро,毛皮
130,Flügel::N,крило,羽
131,Klaue::N,кіготь,鉤爪
132,Kralle::N,лапа,爪
133,Schwanz::N,хвіст,尻尾
134,Ei::N,яйце,卵
135,Nest::N,гніздо,巣
136,Bau::N,лігво,穴
137,Tier::N,тварина,動物
138,Herde::N,стадо,群れ
139,Kuh::N,корова,牛
140,Bulle::N,бик,雄牛
141,Bulle::N,бугай,雄牛
142,Pferd::N,кінь,馬
143,Schaf::N,вівця,羊
144,Schwein::N,свиня,豚
145,Hund::N,собака,犬
146,Katze::N,кішка,猫
147,Bär::N,ведмідь,熊
148,Eichhörnchen::N,білка,栗鼠
149,Elch::N,лось,ヘラジカ
150,Fuchs::N,лисиця,狐
151,Hase::N,заєць,兎
152,Maus::N,миша,鼠
153,Wolf::N,вовк,狼
154,Vogel::N,птах,鳥
155,Schwarm::N,зграя,群れ
156,Huhn::N,курка,鶏
157,Hahn::N,півень,雄鶏
158,Gans::N,гуска,ガチョウ
159,Adler::N,орел,鷲
160,Ente::N,качка,鴨
161,Eule::N,сова,フクロウ
162,Kranich::N,журавель,鶴
163,Krähe::N,ворона,烏
164,Kuckuck::N,зозуля,郭公
165,Schwan::N,лебідь,白鳥
166,Fisch::N,риба,魚
167,Barsch::N,окунь,鱸
168,Hecht::N,щука,川魳
169,Schlange[Tier]::N,змія,蛇
170,Wurm::N,черв’як,虫
171,Spinne::N,павук,蜘蛛
172,Ameise::N,мурашка,蟻
173,Laus::N,воша,虱
174,Mücke::N,комар,蚊
175,Fliege::N,муха,蝿
176,Schmetterling::N,метелик,蝶
177,Beere::N,ягода,漿果
178,Apfel::N,яблуко,林檎
179,Pilz::N,гриб,茸
180,Zwiebel::N,цибуля,玉葱
181,Saat::N,сім’я,種
182,Korn::N,зерно,粒
183,Heu::N,сіно,干し草
184,Schale::N,шкірка,皮
185,Grube::N,яма,穴
186,Falle::N,пастка,わな
187,Schlinge::N,петля,輪
188,Spur::N,слід,跡
189,Asche::N,зола,灰
190,Asche::N,попіл,灰
191,Dreck::N,бруд,泥
192,Eisen::N,залізо,鉄
193,Gold::N,золото,金
194,Silber::N,срібло,銀
195,Kohle::N,вугілля,炭
196,Glas::N,скло,ガラス
197,Lehm::N,глина,ローム
198,Sand::N,пісок,砂
199,Mensch::N,людина,人
200,Mann::N,чоловік,男
201,Mann::N,чоловік,男性
202,Frau::N,жінка,女
203,Frau::N,жінка,女性
204,Kind::N,дитина,子
205,Kind::N,дитина,子供
206,Junge::N,хлопець,男の子
207,Mädchen::N,дівчина,女の子
208,Familie::N,сім’я,家族
209,Familie::N,родина,家族
210,Großvater::N,дідусь,祖父
211,Großvater::N,дідусь,おじいさん
212,Großmutter::N,бабуся,祖母
213,Großmutter::N,бабуся,おばあさん
214,Eltern::N,батьки,親
215,Eltern::N,батьки,両親
216,Vater::N,батько,父
217,Vater::N,батько,お父さん
218,Mutter::N,мати,母
219,Mutter::N,мати,お母さん
220,Sohn::N,син,息子
221,Sohn::N,син,息子さん
222,Tochter::N,дочка,娘
223,Tochter::N,дочка,お嬢さん
224,Bruder::N,брат,弟
225,Schwester::N,сестра,妹
226,Onkel::N,дядько,伯父
227,Onkel::N,дядько,伯父さん
228,Tante::N,тітка,叔母
229,Tante::N,тітка,叔母さん
230,Ehemann::N,чоловік,夫
231,Ehemann::N,чоловік,主人
232,Ehefrau::N,жінка,妻
233,Ehefrau::N,жінка,奥さん
234,Ehefrau::N,дружина,妻
235,Ehefrau::N,дружина,奥さん
236,Freude::N,радощі,喜び
237,Gelächter::N,сміх,笑い
238,Glück::N,щастя,幸せ
239,Kummer::N,горе,悩み
240,Wunsch::N,бажання,希望
241,Lust::N,бажання,気
242,Geist::N,дух,精神
243,Gedanke::N,думка,考え
244,Gedächtnis::N,пам’ять,記憶
245,Verstand::N,розум,理解力
246,Sinn::N,зміст,意味
247,Sinn::N,значення,意味
248,Grund::N,причина,理由
249,Wahrheit::N,правда,真実
250,Gespräch::N,розмова,会話
251,Märchen::N,байка,童話
252,Erzählung::N,повість,物語
253,Erzählung::N,оповідання,物語
254,Nachricht::N,повідомлення,報告
255,Neuigkeit::N,новина,ニュース
256,Name::N,ім’я,名前
257,Rätsel::N,загадка,謎
258,Rede::N,промова,演説
259,Sprache::N,мова,言語
260,Stimme::N,голос,声
261,Wort::N,слово,言葉
262,Zeichen::N,знак,記号
263,Ruf::N,оклик,呼び声
264,Lärm::N,шум,騒音
265,Laut::N,звук,音
266,Ton::N,тон,音
267,Lied::N,пісня,歌
268,Ruhe::N,спокій,静けさ
269,Leute::N,люди,人々
270,Volk::N,народ,民族
271,Arbeit::N,робота,仕事
272,Gast::N,гість,客
273,Geschenk::N,подарунок,贈り物
274,Spiel::N,гра,遊び
275,Gesellschaft::N,товариство,社会
276,Hilfe::N,допомога,援助
277,Freund::N,друг,友達
278,Freund::N,приятель,友達
279,Kamerad::N,товариш,同志
280,Angelegenheit::N,справа,件
281,Anzahl::N,число,数
282,Art::N,рід,種類
283,Stück::N,кусок,部分
284,Teil::N,частина,部分
285,Hälfte::N,половина,半分
286,Kreis::N,круг,円
287,Kreis::N,коло,円
288,Kreuz::N,хрест,十字
289,Linie::N,лінія,線
290,Strich::N,штрих,線
291,Abstand::N,проміжок,距離
292,Entfernung::N,відстань,距離
293,Gegend::N,місцевість,辺
294,Gegend::N,місцевість,地域
295,Platz::N,площа,ゆとり
296,Ort::N,місце,所
297,Ort::N,місце,場所
298,Seite::N,сторона,横
299,Mitte::N,середина,真ん中
300,Gegenstand::N,предмет,物件
301,Sache::N,річ,物
302,Rand::N,край,端
303,Kante::N,ребро,縁
304,Ecke::N,ріг,角
305,Spitze::N,кінчик,先頭
306,Ende::N,кінець,端
307,Loch::N,діра,穴
308,Winkel::N,куток,片隅
309,Muster::N,узор,模様
310,Größe::N,розмір,大きさ
311,Länge::N,довжина,長さ
312,Höhe::N,висота,高さ
313,Gewicht::N,вага,重さ
314,Menge::N,кількість,量
315,Haufen::N,купа,堆積
316,Reihe::N,ряд,並び
317,Boot::N,човен,ボート
318,Ruder::N,весло,オール
319,Schlitten::N,сани,そり
320,Ski::N,лижа,スキー
321,Lagerfeuer::N,вогнище,篝火
322,Last::N,тягар,荷物
323,Last::N,вантаж,荷物
324,Gang::N,хід,歩み
325,Schritt::N,крок,歩
326,Norden::N,північ,北
327,Süden::N,південь,南
328,Westen::N,захід,西
329,Osten::N,схід,東
330,Holz::N,дрова,木
331,Holz::N,дрова,木材
332,Brett::N,дошка,板
333,Platte::N,плита,盤
334,Stütze::N,підпірка,支柱
335,Stange::N,жердина,棒
336,Stock::N,палиця,杖
337,Stab::N,палиця,棒
338,Rohr::N,труба,管
339,Haus::N,дім,家
340,Haus::N,хата,家
341,Heim::N,житло,家
342,Ofen::N,піч,ストーブ
343,Fußboden::N,підлога,床
344,Tisch::N,стіл,机
345,Stuhl::N,стілець,椅子
346,Wiege::N,колиска,揺籃
347,Bett::N,ліжко,ベッド
348,Bett::N,постіль,ベッド
349,Regal::N,полиця,棚
350,Kiste::N,ящик,箱
351,Fenster::N,вікно,窓
352,Tür::N,двері,戸
353,Tür::N,двері,ドア
354,Tor::N,ворота,門
355,Zaun::N,паркан,垣根
356,Zaun::N,огорожа,垣根
357,Dach::N,дах,屋根
358,Leiter::N,драбина,梯子
359,Besen::N,мітла,ほうき
360,Spaten::N,заступ,スコップ
361,Schaufel::N,совок,シャベル
362,Schaufel::N,лопата,シャベル
363,Gabel::N,виделка,フォーク
364,Löffel::N,ложка,スプーン
365,Messer::N,ніж,ナイフ
366,Nagel::N,цвях,釘
367,Netz::N,сіть,網
368,Haken::N,крюк,鉤
369,Haken::N,крюк,フック
370,Griff::N,ручка,取っ手
371,Griff::N,держак,取っ手
372,Schloss::N,замок,錠
373,Bild::N,картина,絵
374,Figur::N,фігура,像
375,Puppe::N,лялька,人形
376,Beutel::N,мішечок,袋
377,Beutel::N,торбинка,袋
378,Bündel::N,в’язка,束
379,Bündel::N,в’язка,包み
380,Tasche::N,сумка,かばん
381,Eimer::N,відро,バケツ
382,Deckel::N,кришка,蓋
383,Geschirr::N,посуд,食器
384,Sack::N,мішок,袋
385,Tasse::N,чашка,カップ
386,Topf::N,горщик,鍋
387,Kessel::N,котел,釜
388,Essen::N,їжа,食事
389,Nahrung::N,харч,食物
390,Speise::N,страва,料理
391,Fleisch::N,м’ясо,肉
392,Getreide::N,хліб,麦
393,Getreide::N,хліб,穀物
394,Getreide::N,збіжжя,麦
395,Getreide::N,збіжжя,穀物
396,Brei::N,каша,粥
397,Brot::N,хліб,パン
398,Scheibe::N,скибочка,枚
399,Scheibe::N,скибочка,切れ
400,Fett::N,жир,脂肪
401,Butter::N,масло,バター
402,Öl::N,олія,油
403,Salz::N,сіль,塩
404,Suppe::N,суп,スープ
405,Honig::N,мед,蜂蜜
406,Milch::N,молоко,牛乳
407,Tee::N,чай,茶
408,Tee::N,чай,お茶
409,Leder::N,шкіра,革
410,Wolle::N,шерсть,毛糸
411,Stoff::N,тканина,布
412,Nadel::N,голка,針
413,Faden::N,нитка,糸
414,Knopf::N,ґудзик,ボタン
415,Knoten::N,вузол,結び目
416,Farbe::N,фарба,ペンキ
417,Kleidung::N,одяг,衣服
418,Kleidung::N,убрання,衣服
419,Hemd::N,сорочка,シャツ
420,Kragen::N,комір,襟
421,Ärmel::N,рукав,袖
422,Hose::N,брюки,ズボン
423,Gürtel::N,пояс,帯
424,Gürtel::N,пояс,ベルト
425,Mütze::N,шапка,帽子
426,Schuh::N,ботинок,靴
427,Stiefel::N,чобіт,ブーツ
428,Ring::N,кільце,輪
429,Band::N,стрічка,リボン
430,Kamm::N,гребінець,櫛
431,Spiegel::N,дзеркало,鏡
432,Riemen::N,ремінь,緒
433,Schnur::N,вірьовка,紐
434,Leine::N,шворка,綱
435,Decke::N,ковдра,掛け布団
436,Kissen::N,подушка,枕
437,Tuch::N,хустка,スカーフ
438,Handtuch::N,рушник,タオル
439,Kraft::N,сила,力
440,Stärke::N,сила,強さ
441,Gesundheit::N,здоров’я,健康
442,Krankheit::N,хвороба,病気
443,Schmerz::N,біль,痛み
444,Wunde::N,рана,傷
445,Fieber::N,гарячка,熱
446,Arznei::N,ліки,薬
447,Brücke::N,міст,橋
448,Brunnen::N,колодязь,井戸
449,Weide::N,пасовище,牧場
450,Pfad::N,стежка,小路
451,Weg::N,шлях,道
452,Weg::N,дорога,道
453,Straße::N,вулиця,街道
454,Dorf::N,село,村
455,Stadt::N,місто,町
456,Stadt::N,місто,都市
457,Brief::N,лист,手紙
458,Buch::N,книга,本
459,Buch::N,книжка,本
460,Buchstabe::N,буква,文字
461,Buchstabe::N,літера,文字
462,Zeitung::N,газета,新聞
463,Leben::N,життя,生活
464,Tod::N,смерть,死
465,Grab::N,могила,墓
466,Kirche::N,церква,教会
467,Sünde::N,гріх,罪
468,Gott::N,бог,神
469,Arbeiter::N,робітник,労働者
470,Chef::N,хазяїн,上司
471,Meister::N,умілець,達人
472,Meister::N,умілець,マイスター
473,Arzt::N,лікар,医者
474,Lehrer::N,вчитель,先生
