,Concept_ID,sl,udm
0,Auge::N,okó,син
1,Ohr::N,uhó,пель
2,Nase::N,nós,ныр
3,Mund::N,ústa,ым
4,Zahn::N,zób,пинь
5,Zunge::N,jêzik,кыл
6,Lippe::N,ústnica,ымдур
7,Wange::N,líce,бам
8,Gesicht::N,oblíčje,ымныр
9,Stirn::N,čêlo,кымес
10,Haar::N,lás,йырси
11,Schnurrbart::N,bŕki,мыйык
12,Bart::N,bráda,туш
13,Kinn::N,bráda,ангес
14,Kiefer[Anatomie]::N,čeljúst,ан
15,Kiefer[Anatomie]::N,čeljúst,анлы
16,Kehle::N,gŕlo,гульым
17,Hals::N,vrát,чырты
18,Genick::N,zatílnik,йырбер
19,Kopf::N,gláva,йыр
20,Rücken::N,hrbèt,мыш
21,Bauch::N,trébuh,кӧт
22,Nabel::N,pópek,гогы
23,Busen::N,nédrja,ноны
24,Brust::N,pŕsi,мӧля
25,Schulter::N,ráma,пельпум
26,Schulter::N,plêče,пельпум
27,Arm::N,rôka,суй
28,Ellenbogen::N,komólec,гырпум
29,Hand::N,rôka,ки
30,Handfläche::N,dlán,ки пыдэс
31,Handfläche::N,dlán,кырым пыдэс
32,Finger::N,pŕst,чиньы
33,Fingernagel::N,nóht na rôki,гижы
34,Fingernagel::N,nóht na rôki,гиждӥнь
35,Nagel[Anatomie]::N,nóht,гижы
36,Zeh::N,pŕst na nôgi,пыдчиньы
37,Fuß::N,nôga,пыд
38,Ferse::N,pêta,пыдбер
39,Knie::N,koléno,пыдес
40,Oberschenkel::N,stêgno,макес
41,Bein::N,nôga,пыд
42,Körper::N,teló,мугор
43,Körper::N,teló,вылтыр
44,Haut::N,kóža,ку
45,Blut::N,krí,вир
46,Ader::N,žíla,вирсэр
47,Sehne::N,kíta,вуж
48,Knochen::N,kóst,лы
49,Gehirn::N,možgáni,вим
50,Herz::N,srcé,сюлэм
51,Magen::N,želódec,ӝуш
52,Leber::N,jétra,мус
53,Atem::N,díh,лул
54,Atem::N,díh,шокан
55,Hunger::N,glád,кӧтсюман
56,Träne::N,sólza,синкыли
57,Geschmack::N,okús,шӧм
58,Geruch::N,vónj,зын
59,Schlaf::N,sèn,вӧт
60,Schlaf::N,spánec,вӧт
61,Traum::N,sánje,уйвӧт
62,Himmel::N,nebó,ин
63,Sonne::N,sónce,шунды
64,Mond::N,lúna,толэзь
65,Mond::N,mésec,толэзь
66,Stern::N,zvézda,кизили
67,Luft::N,zràk,омыр
68,Wind::N,véter,тӧл
69,Welle::N,vál,тулкым
70,Wasser::N,vôda,ву
71,Stein::N,kámen,из
72,Boden::N,tlà,музъем
73,Erde::N,pŕst,му
74,Erde::N,zêmlja,му
75,Staub::N,práh,пыль
76,Rauch::N,dìm,ӵын
77,Funke::N,ískra,гизьы
78,Feuer::N,ôgenj,тыл
79,Licht::N,lúč,тыл
80,Schatten::N,sénca,вужер
81,Wetter::N,vrême,куазь
82,Nebel::N,meglà,бус
83,Wolke::N,oblák,пилем
84,Regen::N,dèž,зор
85,Schnee::N,snég,лымы
86,Eis::N,léd,йӧ
87,Frost::N,zmrzál,кезьыт
88,Kälte::N,mràz,кезьыт
89,Hitze::N,pripéka,пӧсь
90,Raureif::N,ívje,гӧр
91,Raureif::N,slána,гӧр
92,Regenbogen::N,mávrica,вуюись
93,Donner::N,gròm,гудыри
94,Strömung::N,strúja,бызён
95,Tropfen::N,káplja,шапык
96,Schaum::N,péna,шукы
97,Schmutz::N,nesnága,нӧд
98,Schmutz::N,nesnága,дэри
99,See::N,jézero,ты
100,Sumpf::N,močvírje,нюр
101,Moor::N,bárje,нюр
102,Wiese::N,trávnik,возь
103,Wiese::N,trávnik,возьвыл
104,Wald::N,lés,сик
105,Wald::N,lés,нюлэс
106,Wald::N,gòzd,сик
107,Wald::N,gòzd,нюлэс
108,Hügel::N,brég,выр
109,Hügel::N,brég,вырйыл
110,Hügel::N,goríca,выр
111,Hügel::N,goríca,вырйыл
112,Anhöhe::N,gríč,выр
113,Anhöhe::N,gríč,вырйыл
114,Anhöhe::N,višína,выр
115,Anhöhe::N,višína,вырйыл
116,Berg::N,gôra,гурезь
117,Berg::N,planína,гурезь
118,Gipfel::N,vŕh,йыл
119,Höhle::N,jáma,гу
120,Höhle::N,votlína,гу
121,Abhang::N,pobóčje,бам
122,Quelle::N,izvír,ошмес
123,Bach::N,pôtok,пичи шур
124,Fluss::N,réka,шур
125,Ufer::N,brég,ярдур
126,Küste::N,obála,вудур
127,Küste::N,obréžje,вудур
128,Festland::N,celína,мувыр
129,Festland::N,kopnína,мувыр
130,Meer::N,mórje,зарезь
131,Bucht::N,zalív,вукож
132,Insel::N,ôtok,вумуӵ
133,Insel::N,ôtok,шормуӵ
134,Blume::N,cvetlíca,сяська
135,Gras::N,tráva,турын
136,Wurzel::N,korenína,выжы
137,Baum::N,drevó,пу
138,Stamm::N,dêblo,модос
139,Rinde::N,lúbje,сул
140,Rinde::N,skórja,сул
141,Ast::N,véja,ул
142,Zweig::N,véja,вай
143,Blatt::N,líst,куар
144,Birke::N,bréza,кызьпу
145,Kiefer[Baum]::N,bòr,пужым
146,Weide[Baum]::N,vŕba,бадьпу
147,Tanne::N,hója,кыз
148,Horn::N,róg,сюр
149,Feder::N,peró,тылы
150,Fell::N,kŕzno,ку
151,Flügel::N,krílo,бурд
152,Klaue::N,párkelj,гижы
153,Kralle::N,krémpelj,пыд
154,Schwanz::N,rèp,быж
155,Ei::N,jájce,пуз
156,Ei::N,jájce,кукей
157,Nest::N,gnézdo,кар
158,Nest::N,gnézdo,пузкар
159,Bau::N,brlòg,кар
160,Bau::N,brlòg,гу
161,Tier::N,živál,пӧйшур
162,Herde::N,čréda,уллё
163,Kuh::N,kráva,скал
164,Bulle::N,bìk,ош
165,Bulle::N,bìk,пороз
166,Pferd::N,kònj,вал
167,Schaf::N,ôvca,ыж
168,Schwein::N,svínja,парсь
169,Hund::N,pès,пуны
170,Katze::N,máčka,коӵыш
171,Bär::N,mêdved,гондыр
172,Eichhörnchen::N,véverica,коньы
173,Elch::N,lós,койык
174,Fuchs::N,lisíca,ӟичы
175,Hase::N,zájec,кеч
176,Maus::N,mìš,шыр
177,Wolf::N,vólk,кион
178,Vogel::N,ptìč,тылобурдо
179,Vogel::N,ptíca,тылобурдо
180,Schwarm::N,játa,уллё
181,Huhn::N,kokóš,курег
182,Hahn::N,petêlin,атас
183,Gans::N,gós,ӟазег
184,Adler::N,ôrel,ӧрзи
185,Ente::N,ráca,ӵӧж
186,Eule::N,sôva,кучыран
187,Kranich::N,žerjàv,тури
188,Krähe::N,vrána,куака
189,Kuckuck::N,kúkavica,кикы
190,Schwan::N,labód,юсь
191,Fisch::N,ríba,чорыг
192,Barsch::N,ostríž,юш
193,Hecht::N,ščúka,чипей
194,Schlange[Tier]::N,káča,кый
195,Wurm::N,čr̀v,нумыр
196,Wurm::N,glísta,нумыр
197,Spinne::N,pájek,чонари
198,Ameise::N,mrávlja,кузьыли
199,Laus::N,úš,тэй
200,Mücke::N,komár,нымы
201,Mücke::N,komár,чибинь
202,Fliege::N,múha,кут
203,Schmetterling::N,metúlj,бубыли
204,Beere::N,jágoda,узы-боры
205,Apfel::N,jábolko,яблок
206,Pilz::N,góba,губи
207,Zwiebel::N,čebúla,сугон
208,Saat::N,séme,кидыс
209,Korn::N,zŕno,тысь
210,Heu::N,senó,турын
211,Schale::N,lupína,кыд
212,Grube::N,jáma,гу
213,Grube::N,jáma,гоп
214,Falle::N,pást,налик
215,Schlinge::N,zánka,гиӟ
216,Schlinge::N,zánka,герд
217,Schlinge::N,pêtlja,гиӟ
218,Schlinge::N,pêtlja,герд
219,Spur::N,sléd,пытьы
220,Spur::N,sléd,бервыл
221,Asche::N,pepél,пень
222,Dreck::N,bláto,дэри
223,Eisen::N,želézo,корт
224,Gold::N,zlató,зарни
225,Silber::N,srebró,азвесь
226,Kohle::N,ógel,эгыр
227,Glas::N,stêklo,стекло
228,Glas::N,stêklo,пияла
229,Lehm::N,ílo,сюй
230,Sand::N,pések,луо
231,Mensch::N,člôvek,мурт
232,Mensch::N,člôvek,адями
233,Mann::N,móž,воргорон
234,Mann::N,môški,воргорон
235,Frau::N,gospá,кышномурт
236,Frau::N,žénska,кышномурт
237,Kind::N,déte,нуны
238,Kind::N,déte,пинал
239,Kind::N,otròk,нуны
240,Kind::N,otròk,пинал
241,Junge::N,fànt,пи
242,Junge::N,déček,пи
243,Mädchen::N,deklè,ныл
244,Mädchen::N,déklica,ныл
245,Familie::N,družína,семья
246,Großvater::N,dèd,песятай
247,Großvater::N,dèd,пересь атай
248,Großvater::N,dédek,песятай
249,Großvater::N,dédek,пересь атай
250,Großmutter::N,bábica,песянай
251,Großmutter::N,bábica,пересь анай
252,Eltern::N,stárši,атай-анай
253,Eltern::N,stárši,бубы-мумы
254,Vater::N,ôče,айы
255,Vater::N,ôče,атай
256,Mutter::N,máma,мумы
257,Sohn::N,sín,пи
258,Tochter::N,hčí,ныл
259,Tochter::N,hčérka,ныл
260,Bruder::N,bràt,агай
261,Schwester::N,sêstra,апа
262,Schwester::N,sêstra,сузэр
263,Onkel::N,újec,агай
264,Onkel::N,stríc,агай
265,Tante::N,têta,апа
266,Tante::N,têta,кенак
267,Tante::N,strína,апа
268,Tante::N,strína,кенак
269,Ehemann::N,móž,карт
270,Ehemann::N,sopróg,карт
271,Ehefrau::N,žêna,кышно
272,Ehefrau::N,sopróga,кышно
273,Freude::N,rádost,шумпотон
274,Freude::N,vesêlje,шумпотон
275,Gelächter::N,sméh,горем
276,Gelächter::N,grohòt,горем
277,Glück::N,sréča,шуд
278,Kummer::N,gorjé,кайгу
279,Kummer::N,gorjé,куректон
280,Wunsch::N,žêlja,мылпотон
281,Lust::N,poželênje,потон
282,Geist::N,dúša,лул
283,Gedanke::N,mísel,малпан
284,Gedächtnis::N,pámet,йырсазь
285,Gedächtnis::N,pámet,тодэваён
286,Sinn::N,pomèn,смысл
287,Sinn::N,smísel,смысл
288,Grund::N,vzròk,муг
289,Grund::N,vzròk,ньӧм
290,Wahrheit::N,resníca,зэм
291,Wahrheit::N,resníca,шонер
