,Concept_ID,ady,lbe
0,Auge::N,нэ,я
1,Ohr::N,тхьакӏу́м,вичӏи
2,Nase::N,пэ,май
3,Mund::N,жэ,кьацӏ
4,Zahn::N,цэ,ккарччи
5,Zunge::N,бзэгу,маз
6,Lippe::N,ӏупшӏэ́,мурччи
7,Wange::N,нэкӏу́шъу,чӏав
8,Gesicht::N,нэ́гу,лажин
9,Stirn::N,натӏэ́,ненттабакӏ
10,Haar::N,шъхьацы́,чӏара
11,Bart::N,жакӏэ́,чӏири
12,Kinn::N,жэкӏэпэпкъ,лунттубакӏ
13,Kiefer[Anatomie]::N,жэпкъы́,ххинчулул
14,Kehle::N,чый,кьакьари
15,Hals::N,пшъэ,ссурссу
16,Genick::N,шъхьэпхэтыку,махъабакӏ
17,Kopf::N,шъхьэ́,бакӏ
18,Rücken::N,кӏыбы́,ттиликӏ
19,Bauch::N,ныбэ́,лякьа
20,Busen::N,бгъэ́,ккукку
21,Brust::N,бгъэ́,хъазам
22,Schulter::N,блыпкъ,хъачӏ
23,Arm::N,ӏэ,ка
24,Ellenbogen::N,ӏэнтэ́гъу,ссюрхъ
25,Hand::N,ӏэтхьэцу,бартка
26,Handfläche::N,ӏэ́гу,хъат
27,Handfläche::N,ӏэ́гу,битӏянхъ
28,Finger::N,ӏэхъуа́мб,кӏисса
29,Fingernagel::N,ӏэбжъа́н,михь
30,Nagel[Anatomie]::N,ӏэбжъа́н,михь
31,Zeh::N,ӏэхъуа́мб,кӏисса
32,Fuß::N,лъэгу,чӏанччан
33,Ferse::N,лъэдакъэ,никъа
34,Knie::N,лъагуа́ндж,ник
35,Oberschenkel::N,ко,жира
36,Bein::N,лъакъо́,ччан
37,Körper::N,пкъышъол,чурх
38,Haut::N,кӏы́шъу,бурчу
39,Blut::N,лъы,оь
40,Ader::N,льытф,тунну
41,Sehne::N,фэ,хьхьа
42,Knochen::N,къупшъхьэ́,ттаркӏ
43,Gehirn::N,куцӏы,ня
44,Herz::N,гу,дакӏ
45,Herz::N,гу,къюкӏ
46,Magen::N,мышкӏу,лякьа
47,Leber::N,шӏу,
48,Atem::N,къэщэныр,ссихӏ ласаву
49,Atem::N,къэщэныр,ссихӏ бигьаву
50,Hunger::N,гъаблэ́,ккаши
51,Träne::N,нэпсы,макь
52,Geschmack::N,ӏэшӏугъа́кӏ,тӏин
53,Geschmack::N,ӏэшӏугъа́кӏ,тӏааьн
54,Geruch::N,мэ,кьанкь
55,Schlaf::N,пчыхьы́пӏ,шану
56,Traum::N,пчыхьы́пӏ,макӏру
57,Himmel::N,уашъо́,ссав
58,Sonne::N,тыгъэ,баргъ
59,Mond::N,мазэ,барз
60,Stern::N,жъуагъо́,цӏуку
61,Luft::N,жьы,гьава
62,Wind::N,жьыбгъэ́,марч
63,Welle::N,ор,щатӏи
64,Welle::N,оры,щатӏи
65,Wasser::N,псы,щин
66,Stein::N,мыжъо́,чару
67,Boden::N,чӏ́ыгу,аьрщи
68,Erde::N,чӏ́ыгу,аьрщи
69,Staub::N,сап,ххит
70,Rauch::N,ӏугъо́,пуркӏу
71,Funke::N,мэшӏуа́ч,пиягь
72,Feuer::N,машӏо́,цӏу
73,Licht::N,нэфы,чани
74,Licht::N,нэфын,чани
75,Schatten::N,жьау́,ххют
76,Schatten::N,ныбжьыкъу,ххют
77,Nebel::N,пща́гъу,шархь ттурлу
78,Wolke::N,ошъуапщэ,ттурлу
79,Regen::N,ощхы,гъарал
80,Schnee::N,осы́,марххала
81,Eis::N,мылы,микӏ
82,Kälte::N,чъыӏэ́,дяркъу
83,Hitze::N,фэба́е,кӏиришиву
84,Regenbogen::N, лэгъупэкъо́пс,ссурул ккуртта
85,Donner::N,шыблэ́,къув
86,Strömung::N,ток,экьинанаву
87,Tropfen::N,ткӏопс,кӏунтӏ
88,Tropfen::N,гъуаткӏу,кӏунтӏ
89,Schaum::N,тхъурбэ,хьама
90,Schmutz::N,псынжъы,кьяркьи
91,See::N,хыку́м,бяр
92,See::N,псыхъура́й,бяр
93,Sumpf::N,орыжъ,кунцӏа
94,Moor::N,орыжъ,
95,Wiese::N,хъупӏэ́,кьан
96,Wiese::N,мэкъупӏ,кьан
97,Wald::N,мэзы́,вацӏа
98,Hügel::N,ӏуашъхь,бакӏу
99,Anhöhe::N,чӏыӏэтыгъ,
100,Berg::N,къушъхьэ́,зунтту
101,Gipfel::N,шыгу,мицӏ
102,Höhle::N,гъочӏэгъ,нух
103,Abhang::N,чапэ,сун
104,Quelle::N,псынэчэ́чъ,дайдихьу
105,Quelle::N,псынэчэ́чъ,бакӏ
106,Bach::N,псышкуашку,чӏрир нех
107,Fluss::N,псыхъо́,нех
108,Ufer::N,нэпкъы,зума
109,Küste::N,ӏушъо,зумаинхалу
110,Küste::N,ӏушъо,зуманицӏалу
111,Festland::N,чӏл́ыгу,кьири
112,Meer::N,хы,хьхьири
113,Bucht::N,хыблыгу,
114,Insel::N,хыгъэхъу́н,жазира
115,Blume::N,къэгъа́гь,тӏутӏи
116,Gras::N,уцы́,уртту
117,Wurzel::N,лъапсэ́,мархха
118,Baum::N,чъыгы́,мурхь
119,Stamm::N,пкъы,ттарцӏ
120,Rinde::N,пхъашъо́,ккамара
121,Ast::N,куамэ,матӏи
122,Zweig::N,къутамэ́,къяртта
123,Blatt::N,тхьап,чӏапӏи
124,Birke::N,пчэн,кӏялахӏи
125,Birke::N,пчэн,кӏялахӏилул мурхь
126,Kiefer[Baum]::N,сэснэй,ттар
127,Kiefer[Baum]::N,сэснэй,ттарлил мурхь
128,Weide[Baum]::N,пце́л,щавщи
129,Tanne::N,ель,ттарлил мурхь
130,Horn::N,бжъэ,хъи
131,Feder::N,къамӏы́й,лелуххул тӏиму
132,Fell::N,шъо,бурчу
133,Flügel::N,тамэ́,хъа
134,Flügel::N,тамэ́,ххурупӏайрал тӏиму
135,Klaue::N,лъэбжъа́н,михь
136,Kralle::N,лъакъо,ххяппа
137,Schwanz::N,кӏэ,магъ
138,Ei::N,кӏэнкӏэ́,ккунук
139,Nest::N,набгъо́,кюру
140,Bau::N,гъу,цукъуккутӏ
141,Bau::N,бы,цукъуккутӏ
142,Tier::N,псэу́шъхь,хӏайван
143,Herde::N,ӏэхъогъу,газу
144,Kuh::N,чэмы́,оьл
145,Bulle::N,цу,ниц
146,Pferd::N,шы,чу
147,Schaf::N,мэлы́,тта
148,Schwein::N,къо,дунгъуз
149,Hund::N,бьэ,ккаччи
150,Katze::N,чэты́у,ччиту
151,Bär::N,мышъэ́,цуша
152,Eichhörnchen::N,цызэ́,бюрхттукку
153,Elch::N,лось,ниц-бюрин
154,Fuchs::N,баджэ́,цулчӏа
155,Fuchs::N,баджэ́,куча цулчӏа
156,Hase::N,тхьакӏумкӏы́хь,бюрх
157,Maus::N,цыгъо́,кӏулу
158,Wolf::N,тыгъу́жъ,барцӏ
159,Vogel::N,бзы́у,лелуххи
160,Schwarm::N,отэр,гьухъала
161,Huhn::N,чэты́,аьнакӏи
162,Hahn::N,атакъэ́,ажари
163,Gans::N,къа́з,къаз
164,Ente::N,псычэ́т,урдак
165,Eule::N,тыгъурыгъу,ису
166,Eule::N,тыгъурыгъу,ччиккумяв
167,Kranich::N,къэрэ́у,кьурукь
168,Krähe::N,къолэ́жъ,хъатӏу
169,Kuckuck::N,куку́у,ччикку
170,Fisch::N,пцэжъы́й,чавахъ
171,Barsch::N,тхыкъэц,
172,Hecht::N,лэнд,
173,Schlange[Tier]::N,блэ́,шатта
174,Wurm::N,хьамлыу,кьюнукьай шатта
175,Spinne::N,бэдж,ххялцу
176,Ameise::N,къамзэ́гу,митӏикьукьу
177,Laus::N,цӏэ,
178,Mücke::N,аргъо́й,мичӏак
179,Fliege::N,бадзэ́,зимиз
180,Schmetterling::N,хьампӏыра́шъу,чӏимучӏали
181,Beere::N,маткӏо,хӏаллил ахъулсса
182,Apfel::N,мыӏэры́с,гьивч
183,Pilz::N,хьаӏу,ттуккул иис
184,Zwiebel::N,бжьыны́,лаччул чсмусул бакӏ
185,Saat::N,чылапхъ,гьанна
186,Korn::N,цэ,къама
187,Heu::N,мэкъу,ххулув
188,Schale::N,кӏы́шъу,ккиртту
