,Concept_ID,da,kk
0,Auge::N,øje,көз
1,Ohr::N,øre,құлақ
2,Nase::N,næse,мұрын
3,Mund::N,mund,ауыз
4,Zahn::N,tand,тіс
5,Zunge::N,tunge,тіл
6,Lippe::N,læbe,ерін
7,Wange::N,kind,ұрт
8,Gesicht::N,ansigt,бет-аузы
9,Stirn::N,pande,маңдай
10,Haar::N,hår,қыл
11,Schnurrbart::N,overskæg,мұрт
12,Bart::N,skæg,сақал
13,Kinn::N,hage,иек
14,Kiefer[Anatomie]::N,kæbe,жақ
15,Kehle::N,strube,алқым
16,Hals::N,hals,мойын
17,Genick::N,nakke,желке
18,Kopf::N,hoved,кәллә
19,Rücken::N,ryg,арқа
20,Bauch::N,mave,қарын
21,Nabel::N,navle,кіндік
22,Busen::N,barm,омырау
23,Brust::N,bryst,кеуде
24,Schulter::N,skulder,иық
25,Arm::N,arm,қол
26,Ellenbogen::N,albue,шынтақ
27,Hand::N,hånd,қол
28,Handfläche::N,håndflade,алақан
29,Finger::N,finger,саусақ
30,Fingernagel::N,fingernegl,тырнақ
31,Nagel[Anatomie]::N,negl,тырнақ
32,Zeh::N,tå,тырнақ
33,Zeh::N,tå,тұяқ
34,Fuß::N,fod,аяқ-басы
35,Ferse::N,hæl,өкше
36,Ferse::N,hæl,өкшелік
37,Knie::N,knæ,тізе
38,Oberschenkel::N,lår,жамбас
39,Bein::N,ben,аяқ
40,Körper::N,krop,дене
41,Körper::N,legeme,дене
42,Haut::N,hud,тері
43,Blut::N,blod,қан
44,Ader::N,åre,көктамыр
45,Ader::N,åre,күретамыр
46,Sehne::N,sene,сіңір
47,Knochen::N,ben,жілік
48,Gehirn::N,hjerne,ми
49,Herz::N,hjerte,жүрек
50,Magen::N,mave,асқазан
51,Leber::N,lever,бауыр
52,Atem::N,ånde,леп
53,Hunger::N,sult,ашаршылық
54,Träne::N,tåre,жас
55,Geschmack::N,smag,дәм
56,Geschmack::N,smag,татым
57,Geschmack::N,smag,талғам
58,Geruch::N,lugt,иіс
59,Schlaf::N,søvn,ұйқы
60,Schlaf::N,søvn,ұйықтау
61,Traum::N,drøm,түс
62,Himmel::N,himmel,аспан
63,Himmel::N,himmel,көқ
64,Himmel::N,himmel,таңдай
65,Sonne::N,sol,күн
66,Mond::N,måne,ай
67,Stern::N,stjerne,жұлдыз
68,Luft::N,luft,әуе
69,Wind::N,vind,жел
70,Welle::N,bølge,толқын
71,Wasser::N,vand,су
72,Stein::N,sten,тас
73,Boden::N,jord,қыртыс
74,Erde::N,jord,топырақ
75,Staub::N,støv,шаң
76,Rauch::N,røg,түтін
77,Funke::N,gnist,ұшқын
78,Feuer::N,ild,алау
79,Licht::N,lys,шұғыла
80,Schatten::N,skygge,көлеңке
81,Wetter::N,vejr,ауа райы
82,Nebel::N,tåge,тұман
83,Wolke::N,sky,бұлт
84,Regen::N,regn,жаңбыр
85,Schnee::N,sne,қар
86,Eis::N,is,мұз
87,Frost::N,frost,суық
88,Kälte::N,kulde,ызғар
89,Kälte::N,kulde,суықтық
90,Hitze::N,hede,аптап
91,Raureif::N,rimfrost,қырау
92,Regenbogen::N,regnbue,кемпірқосақ
93,Donner::N,torden,күн күркіреу
94,Strömung::N,strømning,ағын
95,Tropfen::N,dråbe,тамшы
96,Schaum::N,skum,көбік
97,Schmutz::N,snavs,кір
98,See::N,sø,көл
99,Sumpf::N,sump,саз
100,Moor::N,mose,саз
101,Wiese::N,eng,шалғын
102,Wald::N,skov,орман
103,Hügel::N,høj,төбе
104,Hügel::N,høj,белес
105,Hügel::N,høj,белес-белес
106,Hügel::N,bakke,төбе
107,Hügel::N,bakke,белес
108,Hügel::N,bakke,белес-белес
109,Anhöhe::N,høj,дөң
110,Anhöhe::N,høj,адыр
111,Anhöhe::N,høj,қырат
112,Anhöhe::N,bakke,дөң
113,Anhöhe::N,bakke,адыр
114,Anhöhe::N,bakke,қырат
115,Berg::N,bjerg,тау
116,Gipfel::N,top,төбе
117,Höhle::N,hule,үңгір
118,Abhang::N,skrænt,бауыр
119,Abhang::N,skråning,бауыр
120,Quelle::N,kilde,қайнар
121,Bach::N,bæk,жылға
122,Fluss::N,flod,өзен
123,Ufer::N,bred,жиек
124,Küste::N,kyst,жиегі
125,Küste::N,kyst,жағалау
126,Festland::N,fastland,құрылық
127,Meer::N,hav,теңіз
128,Bucht::N,bugt,шығанақ
129,Insel::N,ø,арал
130,Blume::N,blomst,гүл
131,Gras::N,græs,от
132,Wurzel::N,rod,түбір
133,Baum::N,træ,ағаш
134,Baum::N,træ,дарақ
135,Stamm::N,stamme,сояу
136,Stamm::N,stamme,оқпан
137,Rinde::N,bark,қабық
138,Ast::N,gren,бұтақ
139,Zweig::N,kvist,шыбық
140,Blatt::N,blad,жапырақ
141,Birke::N,birk,қайың
142,Kiefer[Baum]::N,fyrretræ,қарағай
143,Weide[Baum]::N,piletræ,тал
144,Tanne::N,gran,шырша
145,Horn::N,horn,мүйіз
146,Feder::N,fjer,қаламұш
147,Fell::N,skind,тері
148,Flügel::N,vinge,қанат
149,Klaue::N,klov,тырнақ
150,Kralle::N,klo,аяқ
151,Schwanz::N,hale,құйрық
152,Ei::N,æg,жұмыртқа
153,Nest::N,rede,ұя
154,Bau::N,bo,жатақ
155,Tier::N,dyr,айуан
156,Tier::N,dyr,жануар
157,Herde::N,flok,пада
158,Kuh::N,ko,сиыр
159,Bulle::N,tyr,өгіз
160,Pferd::N,hest,жылқы
161,Schaf::N,får,қой
162,Schwein::N,gris,шошқа
163,Hund::N,hund,ит
164,Katze::N,kat,мысық
165,Bär::N,bjørn,аю
166,Eichhörnchen::N,egern,тиін
167,Elch::N,elg,бұғы
168,Fuchs::N,ræv,түлкі
169,Hase::N,hare,қоян
170,Maus::N,mus,қаптесер
171,Wolf::N,ulv,бөрі
172,Wolf::N,ulv,қасқыр
173,Vogel::N,fugl,құс
174,Schwarm::N,sværm,топ
175,Schwarm::N,sværm,үйір
176,Huhn::N,høne,тауық
177,Huhn::N,høne,мекиен
178,Hahn::N,hane,әтеш
179,Hahn::N,hane,қораз
180,Gans::N,gås,қаз
181,Adler::N,ørn,бүркіт
182,Ente::N,and,үйрек
183,Eule::N,ugle,жапалақ
184,Kranich::N,trane,тырна
185,Krähe::N,krage,қарға
186,Kuckuck::N,gøg,көкек
187,Schwan::N,svane,аққу
188,Fisch::N,fisk,балық
189,Barsch::N,aborre,алабұға
190,Hecht::N,gedde,шортан
191,Schlange[Tier]::N,slange,жылан
192,Wurm::N,orm,шұбалшаң
193,Spinne::N,edderkop,өрмекші
194,Ameise::N,myre,қүмырска
195,Laus::N,lus,бит
196,Mücke::N,myg,маса
197,Fliege::N,flue,шыбын
198,Schmetterling::N,sommerfugl,көбелек
199,Beere::N,bær,жидек
200,Apfel::N,æble,алма
201,Pilz::N,svamp,қозықұйрық
202,Pilz::N,svamp,саңыраукулақ
203,Zwiebel::N,løg,жуа
204,Saat::N,sæd,тұқым
205,Korn::N,korn,дән
206,Heu::N,hø,шөп
207,Schale::N,skræl,қабық
208,Schale::N,skræl,қабығы
209,Grube::N,grav,ор
210,Falle::N,fælde,дұзақ
211,Falle::N,fælde,қақпан
212,Schlinge::N,snare,ілмек
213,Spur::N,spor,із
214,Asche::N,aske,күл
215,Dreck::N,snavs,былғаныш
216,Eisen::N,jern,темір
217,Gold::N,guld,алтын
218,Silber::N,sølv,күміс
219,Kohle::N,kul,көмір
220,Glas::N,glas,шыны
221,Lehm::N,ler,балшық
222,Sand::N,sand,құм
223,Mensch::N,mennesge,адам
224,Mann::N,mand,еркек
225,Mann::N,mand,ер адам
226,Frau::N,kvinde,бике
227,Frau::N,kvinde,қатын
228,Kind::N,barn,бала
229,Kind::N,barn,перзент
230,Junge::N,dreng,бала
231,Junge::N,dreng,ер бала
232,Mädchen::N,pige,қыз
233,Familie::N,familie,жанұя
234,Großvater::N,bedstefar,ата
235,Großmutter::N,bedstemor,әже
236,Großmutter::N,bedstemor,әжей
237,Eltern::N,forældre,ата-аналар
238,Vater::N,far,әке
239,Mutter::N,mor,ана
240,Sohn::N,søn,ұл
241,Tochter::N,datter,қызым
242,Bruder::N,bror,бауырым
243,Schwester::N,søster,әпке
244,Onkel::N,onkel,көке
245,Tante::N,tante,тәте
246,Ehemann::N,ægtemand,ер
247,Ehefrau::N,hustru,зайып
248,Freude::N,glæde,қуаныш
249,Freude::N,glæde,сүйініш
250,Freude::N,glæde,шат-думан
251,Freude::N,glæde,қуаныштылық
252,Gelächter::N,latter,күлу
253,Glück::N,lykke,бақыт
254,Glück::N,lykke,бақыттылық
255,Kummer::N,sorg,аза
256,Kummer::N,sorg,қайғы
257,Kummer::N,sorg,қасырет
258,Wunsch::N,ønske,мүдде
259,Lust::N,lyst,тәбет
260,Lust::N,lyst,ынтызар
261,Lust::N,lyst,құштарлық
262,Geist::N,ånd,рух
263,Gedanke::N,tanke,ой
264,Gedächtnis::N,hukommelse,ес
265,Gedächtnis::N,hukommelse,жады
266,Gedächtnis::N,hukommelse,ақыл-ес
267,Verstand::N,forstand,ақыл
268,Verstand::N,forstand,парасат
269,Sinn::N,mening,мән
270,Sinn::N,mening,маныз
271,Sinn::N,mening,мағына
272,Sinn::N,mening,мән-мағына
273,Sinn::N,betydning,мән
274,Sinn::N,betydning,маныз
275,Sinn::N,betydning,мағына
276,Sinn::N,betydning,мән-мағына
277,Grund::N,grund,себеп
278,Wahrheit::N,sandhed,рас
279,Gespräch::N,samtale,әңгіме
280,Märchen::N,eventyr,ертеп
281,Märchen::N,eventyr,ертек
282,Erzählung::N,fortælling,әңгіме
283,Nachricht::N,efterretning,хабар
284,Neuigkeit::N,nyhed,жаңалық
285,Name::N,navn,ат
286,Name::N,navn,атау
287,Rätsel::N,gåde,жұмбақ
288,Rede::N,tale,сөз
289,Sprache::N,sprog,тіл
290,Stimme::N,stemme,үн
291,Stimme::N,stemme,әуен
292,Stimme::N,stemme,дауыс
293,Wort::N,ord,сөз
294,Zeichen::N,tegn,ишара
295,Ruf::N,råb,айғай
296,Lärm::N,larm,айғай-шу
297,Lärm::N,larm,айғай-ұйғай
298,Laut::N,lyd,дыбыс
299,Laut::N,lyd,дауыс
300,Ton::N,tone,әуен
301,Lied::N,sang,ән
302,Lied::N,sang,жыр
303,Lied::N,sang,ән-жыр
304,Ruhe::N,ro,тыныштық
305,Ruhe::N,hvile,тыныштық
306,Leute::N,folk,кісілер
307,Leute::N,mennesker,кісілер
308,Volk::N,folk,халық
309,Arbeit::N,arbejde,еңбек
310,Gast::N,gæst,қонақ
311,Gast::N,gæst,мейман
