,Concept_ID,hi,hi
0,Auge::N,आँख,आँख
1,Auge::N,आँख,चक्षु
2,Auge::N,चक्षु,आँख
3,Auge::N,चक्षु,चक्षु
4,Ohr::N,कान,कान
5,Ohr::N,कान,कर्ण
6,Ohr::N,कर्ण,कान
7,Ohr::N,कर्ण,कर्ण
8,Nase::N,नाक,नाक
9,Nase::N,नाक,नासा
10,Nase::N,नासा,नाक
11,Nase::N,नासा,नासा
12,Mund::N,मुख,मुख
13,Mund::N,मुख,मुँह
14,Mund::N,मुँह,मुख
15,Mund::N,मुँह,मुँह
16,Zahn::N,दंत,दंत
17,Zahn::N,दंत,दाँत
18,Zahn::N,दाँत,दंत
19,Zahn::N,दाँत,दाँत
20,Zunge::N,जीभ,जीभ
21,Zunge::N,जीभ,ज़बान
22,Zunge::N,जीभ,जिह्वा
23,Zunge::N,ज़बान,जीभ
24,Zunge::N,ज़बान,ज़बान
25,Zunge::N,ज़बान,जिह्वा
26,Zunge::N,जिह्वा,जीभ
27,Zunge::N,जिह्वा,ज़बान
28,Zunge::N,जिह्वा,जिह्वा
29,Lippe::N,ओंठ,ओंठ
30,Lippe::N,ओंठ,होंठ
31,Lippe::N,होंठ,ओंठ
32,Lippe::N,होंठ,होंठ
33,Wange::N,गाल,गाल
34,Wange::N,गाल,कपोल
35,Wange::N,कपोल,गाल
36,Wange::N,कपोल,कपोल
37,Gesicht::N,मुँह,मुँह
38,Gesicht::N,मुँह,चेहरा
39,Gesicht::N,चेहरा,मुँह
40,Gesicht::N,चेहरा,चेहरा
41,Stirn::N,माथा,माथा
42,Stirn::N,माथा,मस्तक
43,Stirn::N,मस्तक,माथा
44,Stirn::N,मस्तक,मस्तक
45,Haar::N,बाल,बाल
46,Schnurrbart::N,मूँछें,मूँछें
47,Bart::N,दाढ़ी,दाढ़ी
48,Kinn::N,चिबुक,चिबुक
49,Kiefer[Anatomie]::N,जबड़ा,जबड़ा
50,Kehle::N,गला,गला
51,Hals::N,गला,गला
52,Hals::N,गला,गरदन
53,Hals::N,गरदन,गला
54,Hals::N,गरदन,गरदन
55,Genick::N,गरदन,गरदन
56,Genick::N,गरदन,ग्रीवा
57,Genick::N,ग्रीवा,गरदन
58,Genick::N,ग्रीवा,ग्रीवा
59,Kopf::N,सिर,सिर
60,Kopf::N,सिर,शीर्ष
61,Kopf::N,शीर्ष,सिर
62,Kopf::N,शीर्ष,शीर्ष
63,Rücken::N,पीठ,पीठ
64,Bauch::N,उदर,उदर
65,Nabel::N,नाभि,नाभि
66,Nabel::N,नाभि,ढोंढी
67,Nabel::N,ढोंढी,नाभि
68,Nabel::N,ढोंढी,ढोंढी
69,Busen::N,कुच,कुच
70,Busen::N,कुच,स्तन
71,Busen::N,स्तन,कुच
72,Busen::N,स्तन,स्तन
73,Brust::N,वक्ष,वक्ष
74,Schulter::N,कंधा,कंधा
75,Schulter::N,कंधा,स्कंध
76,Schulter::N,स्कंध,कंधा
77,Schulter::N,स्कंध,स्कंध
78,Arm::N,बाँह,बाँह
79,Arm::N,बाँह,बाज़ू
80,Arm::N,बाज़ू,बाँह
81,Arm::N,बाज़ू,बाज़ू
82,Ellenbogen::N,कुहनी,कुहनी
83,Hand::N,हाथ,हाथ
84,Hand::N,हाथ,हस्त
85,Hand::N,हस्त,हाथ
86,Hand::N,हस्त,हस्त
87,Handfläche::N,हथेली,हथेली
88,Finger::N,उँगली,उँगली
89,Finger::N,उँगली,अँगुली
90,Finger::N,अँगुली,उँगली
91,Finger::N,अँगुली,अँगुली
92,Fingernagel::N,नख,नख
93,Fingernagel::N,नख,नाख़ून
94,Fingernagel::N,नाख़ून,नख
95,Fingernagel::N,नाख़ून,नाख़ून
96,Nagel[Anatomie]::N,नख,नख
97,Nagel[Anatomie]::N,नख,नाख़ून
98,Nagel[Anatomie]::N,नाख़ून,नख
99,Nagel[Anatomie]::N,नाख़ून,नाख़ून
100,Zeh::N,उँगली,उँगली
101,Zeh::N,उँगली,पाँव की उँगली
102,Zeh::N,पाँव की उँगली,उँगली
103,Zeh::N,पाँव की उँगली,पाँव की उँगली
104,Fuß::N,चरण,चरण
105,Fuß::N,चरण,पाँव
106,Fuß::N,पाँव,चरण
107,Fuß::N,पाँव,पाँव
108,Ferse::N,एड़ी,एड़ी
109,Knie::N,जानु,जानु
110,Knie::N,जानु,घुटना
111,Knie::N,घुटना,जानु
112,Knie::N,घुटना,घुटना
113,Oberschenkel::N,उरु,उरु
114,Bein::N,टाँग,टाँग
115,Körper::N,तन,तन
116,Körper::N,तन,देह
117,Körper::N,तन,शरीर
118,Körper::N,देह,तन
119,Körper::N,देह,देह
120,Körper::N,देह,शरीर
121,Körper::N,शरीर,तन
122,Körper::N,शरीर,देह
123,Körper::N,शरीर,शरीर
124,Haut::N,चर्म,चर्म
125,Haut::N,चर्म,त्वचा
126,Haut::N,त्वचा,चर्म
127,Haut::N,त्वचा,त्वचा
128,Blut::N,लहू,लहू
129,Blut::N,लहू,ख़ून
130,Blut::N,ख़ून,लहू
131,Blut::N,ख़ून,ख़ून
