,Concept_ID,fa,bn
0,Auge::N,چشم,চক্ষু
1,Ohr::N,گوش,কর্ণ
2,Nase::N,بینی,নাক
3,Mund::N,دهان,মুখ
4,Zahn::N,دندان,দাঁত
5,Zunge::N,زبان,জিহবা
6,Lippe::N,لب,অধর
7,Wange::N,لپ,গণ্ড
8,Gesicht::N,رو,মুখমণ্ডল
9,Gesicht::N,چهره,মুখমণ্ডল
10,Stirn::N,پیشانی,কপাল
11,Haar::N,مو,চুল
12,Schnurrbart::N,سبیل,গোঁফ
13,Bart::N,ریش,শ্মশ্রু
14,Kinn::N,چانه,চিবুক
15,Kiefer[Anatomie]::N,فک,চোয়াল
16,Kiefer[Anatomie]::N,آرواره,চোয়াল
17,Kehle::N,حلق,কণ্ঠ
18,Hals::N,گردن,গল
19,Genick::N,پشت گردن,ঘাড়
20,Kopf::N,سر,মাথা
21,Kopf::N,کله,মাথা
22,Rücken::N,پشت,পৃষ্ঠ
23,Bauch::N,شکم,উদর
24,Nabel::N,ناف,নাভি
25,Busen::N,پستان,স্তন
26,Brust::N,سینه,বুক
27,Schulter::N,دوش,স্কন্ধ
28,Schulter::N,شانه,স্কন্ধ
29,Arm::N,بازو,বাহু
30,Ellenbogen::N,آرنج,কনুই
31,Hand::N,دست,হাত
32,Handfläche::N,کف دست,করতল
33,Finger::N,انگشت,আঙ্গুল
34,Fingernagel::N,ناخن دست,হাতের নখ
35,Nagel[Anatomie]::N,ناخن,নখ
36,Zeh::N,انگشت پا,আঙ্গুল
37,Fuß::N,پا,পা
38,Ferse::N,پاشنه,গোড়ালি
39,Knie::N,زانو,হাঁটু
40,Oberschenkel::N,ران,ঊরু
41,Bein::N,پا,পা
42,Bein::N,لنگ,পা
43,Körper::N,تن,দেহ
44,Körper::N,بدن,দেহ
45,Haut::N,پوست,ত্বক
46,Blut::N,خون,রক্ত
47,Ader::N,رگ,শিরা
48,Sehne::N,زردپی,কণ্ডরা
49,Knochen::N,استخوان,অস্থি
50,Gehirn::N,مخ,মস্তিষ্ক
51,Gehirn::N,مغز,মস্তিষ্ক
52,Herz::N,دل,হৃৎপিণ্ড
53,Herz::N,قلب,হৃৎপিণ্ড
54,Magen::N,معده,পাকস্থলী
55,Leber::N,کبد,যকৃৎ
56,Atem::N,نفس,শ্বাস
57,Hunger::N,گرسنگی,ক্ষুধা
58,Träne::N,اشک,অশ্রু
59,Geschmack::N,مزه,স্বাদ
60,Geruch::N,بو,গন্ধ
61,Schlaf::N,خواب,ঘুম
62,Traum::N,رؤیا,স্বপ্ন
63,Himmel::N,فلک,আকাশ
64,Himmel::N,آسمان,আকাশ
65,Sonne::N,آفتاب,সূর্য
66,Sonne::N,خورشید,সূর্য
67,Mond::N,ماه,চন্দ্র
68,Stern::N,ستاره,নক্ষত্র
69,Luft::N,هوا,বায়ু
70,Wind::N,باد,বাতাস
71,Welle::N,موج,ঢেউ
72,Welle::N,موج,তরঙ্গ
73,Wasser::N,آب,জল
74,Stein::N,سنگ,ঢিল
75,Stein::N,سنگ,প্রস্তর
76,Boden::N,زمین,ভূতল
77,Erde::N,خاک,ভূমি
78,Erde::N,زمین,ভূমি
79,Staub::N,گرد,ধুলা
80,Staub::N,غبار,ধুলা
81,Rauch::N,دود,ধোঁয়া
82,Funke::N,جرقه,স্ফুলিঙ্গ
83,Feuer::N,آتش,অগ্নি
84,Licht::N,نور,আলো
85,Licht::N,روشنی,আলো
86,Schatten::N,سایه,ছায়া
87,Wetter::N,هوا,আবহাওয়া
88,Nebel::N,مه,কুহেলিকা
89,Wolke::N,ابر,মেঘ
90,Regen::N,باران,বৃষ্টি
91,Schnee::N,برف,তুষার
92,Eis::N,یخ,বরফ
93,Frost::N,یخبندان,তুষার
94,Kälte::N,سرما,শৈত্য
95,Hitze::N,گرما,তাপ
96,Hitze::N,حرارت,তাপ
97,Raureif::N,برف ریزه,তুহিন
98,Regenbogen::N,رنگین‌کمان,রামধনু
99,Donner::N,رعد,বজ্রধ্বনি
100,Strömung::N,جریان,স্রোত
101,Tropfen::N,قطره,ফোঁটা
102,Schaum::N,کف,ফেনা
103,Schmutz::N,گل,ধুলা
104,Schmutz::N,کثافت,ধুলা
105,See::N,دریاچه,হ্রদ
106,Sumpf::N,مرداب,জলা
107,Sumpf::N,باتلاق,জলা
108,Moor::N,باتلاق,মাঠ
109,Wiese::N,چمن,তৃণভূমি
110,Wald::N,جنگل,বন
111,Hügel::N,تل,পাহাড়
112,Hügel::N,تپه,পাহাড়
113,Anhöhe::N,بلندی,টিলা
114,Berg::N,کوه,পর্বত
115,Gipfel::N,قله,শীর্ষ
116,Höhle::N,غار,গুহা
117,Abhang::N,سرازیری,ঢাল
118,Quelle::N,چشمه,উৎস
119,Bach::N,نهر,ক্ষুদ্র নদী
120,Fluss::N,رود,নদী
121,Ufer::N,ساحل,উপকূল
122,Ufer::N,کرانه,উপকূল
123,Küste::N,ساحل,তীর
124,Festland::N,خشکی,ভূমি
125,Meer::N,دریا,সমুদ্র
126,Bucht::N,خلیج,উপসাগর
127,Insel::N,جزیره,দ্বীপ
128,Blume::N,گل,ফুল
129,Gras::N,علف,ঘাস
130,Wurzel::N,ریشه,শিকড়
131,Baum::N,درخت,গাছ
132,Stamm::N,تنه,স্কন্ধ
