,Concept_ID,tr,udm
0,Auge::N,göz,син
1,Ohr::N,kulak,пель
2,Nase::N,burun,ныр
3,Mund::N,ağız,ым
4,Zahn::N,diş,пинь
5,Zunge::N,dil,кыл
6,Lippe::N,dudak,ымдур
7,Wange::N,yanak,бам
8,Gesicht::N,yüz,ымныр
9,Stirn::N,alın,кымес
10,Haar::N,saç,йырси
11,Schnurrbart::N,bıyık,мыйык
12,Bart::N,sakal,туш
13,Kinn::N,çene,ангес
14,Kiefer[Anatomie]::N,çene,ан
15,Kiefer[Anatomie]::N,çene,анлы
16,Kehle::N,boğaz,гульым
17,Hals::N,boyun,чырты
18,Hals::N,gerdan,чырты
19,Genick::N,ense,йырбер
20,Kopf::N,baş,йыр
21,Kopf::N,kafa,йыр
22,Rücken::N,arka,мыш
23,Bauch::N,karın,кӧт
24,Nabel::N,göbek,гогы
25,Busen::N,koyun,ноны
26,Brust::N,göğüs,мӧля
27,Schulter::N,omuz,пельпум
28,Arm::N,kol,суй
29,Ellenbogen::N,dirsek,гырпум
30,Hand::N,el,ки
31,Handfläche::N,avuç,ки пыдэс
32,Handfläche::N,avuç,кырым пыдэс
33,Handfläche::N,el ayası,ки пыдэс
34,Handfläche::N,el ayası,кырым пыдэс
35,Finger::N,parmak,чиньы
36,Fingernagel::N,el tırnağı,гижы
37,Fingernagel::N,el tırnağı,гиждӥнь
38,Nagel[Anatomie]::N,tırnak,гижы
39,Zeh::N,ayak parmağı,пыдчиньы
40,Fuß::N,ayak,пыд
41,Ferse::N,topuk,пыдбер
42,Knie::N,diz,пыдес
43,Oberschenkel::N,uyluk,макес
44,Bein::N,bacak,пыд
45,Körper::N,vücut,мугор
46,Körper::N,vücut,вылтыр
47,Haut::N,cilt,ку
48,Blut::N,kan,вир
49,Ader::N,damar,вирсэр
50,Sehne::N,kiriş,вуж
51,Knochen::N,kemik,лы
52,Gehirn::N,beyin,вим
53,Herz::N,kalp,сюлэм
54,Herz::N,yürek,сюлэм
55,Magen::N,mide,ӝуш
56,Leber::N,karaciğer,мус
57,Atem::N,nefes,лул
58,Atem::N,nefes,шокан
59,Hunger::N,açlık,кӧтсюман
60,Träne::N,gözyaşı,синкыли
61,Geschmack::N,tat,шӧм
62,Geschmack::N,lezzet,шӧм
63,Geruch::N,koku,зын
64,Schlaf::N,uyku,вӧт
65,Traum::N,düş,уйвӧт
66,Traum::N,rüya,уйвӧт
67,Himmel::N,gök,ин
68,Sonne::N,güneş,шунды
69,Mond::N,ay,толэзь
70,Stern::N,yıldız,кизили
71,Luft::N,hava,омыр
72,Wind::N,yel,тӧл
73,Wind::N,rüzgâr,тӧл
74,Welle::N,dalga,тулкым
75,Wasser::N,su,ву
76,Stein::N,taş,из
77,Boden::N,yer,музъем
78,Boden::N,zemin,музъем
79,Erde::N,toprak,му
80,Staub::N,toz,пыль
81,Rauch::N,duman,ӵын
82,Funke::N,kıvılcım,гизьы
83,Feuer::N,ateş,тыл
84,Licht::N,ışık,тыл
85,Schatten::N,gölge,вужер
86,Wetter::N,hava,куазь
87,Nebel::N,pus,бус
88,Wolke::N,bulut,пилем
89,Regen::N,yağmur,зор
90,Schnee::N,kar,лымы
91,Eis::N,buz,йӧ
92,Frost::N,don,кезьыт
93,Kälte::N,soğukluk,кезьыт
94,Hitze::N,sıcaklık,пӧсь
95,Raureif::N,kırç,гӧр
96,Regenbogen::N,gökkuşağı,вуюись
97,Donner::N,gök gürlemesi,гудыри
98,Strömung::N,akıntı,бызён
99,Strömung::N,cereyan,бызён
100,Tropfen::N,damla,шапык
101,Schaum::N,köpük,шукы
102,Schmutz::N,çamur,нӧд
103,Schmutz::N,çamur,дэри
104,Schmutz::N,pislik,нӧд
105,Schmutz::N,pislik,дэри
106,See::N,göl,ты
107,Sumpf::N,batak,нюр
108,Moor::N,cılgıt,нюр
109,Wiese::N,çimen,возь
110,Wiese::N,çimen,возьвыл
111,Wald::N,koru,сик
112,Wald::N,koru,нюлэс
113,Wald::N,orman,сик
114,Wald::N,orman,нюлэс
115,Hügel::N,tepe,выр
116,Hügel::N,tepe,вырйыл
117,Anhöhe::N,tümsek,выр
118,Anhöhe::N,tümsek,вырйыл
119,Anhöhe::N,yükseklik,выр
120,Anhöhe::N,yükseklik,вырйыл
121,Berg::N,dağ,гурезь
122,Gipfel::N,zirve,йыл
123,Höhle::N,in,гу
124,Höhle::N,mağara,гу
125,Abhang::N,bayır,бам
126,Quelle::N,pınar,ошмес
127,Quelle::N,kaynak,ошмес
128,Bach::N,çay,пичи шур
129,Bach::N,dere,пичи шур
130,Fluss::N,nehir,шур
131,Ufer::N,kıyı,ярдур
132,Ufer::N,sahil,ярдур
133,Küste::N,kıyı,вудур
134,Küste::N,sahil,вудур
135,Festland::N,kara,мувыр
136,Meer::N,deniz,зарезь
137,Bucht::N,koy,вукож
138,Bucht::N,körfez,вукож
139,Insel::N,ada,вумуӵ
140,Insel::N,ada,шормуӵ
141,Blume::N,çiçek,сяська
142,Gras::N,ot,турын
143,Gras::N,çim,турын
144,Wurzel::N,kök,выжы
145,Baum::N,ağaç,пу
146,Stamm::N,gövde,модос
147,Rinde::N,kabuk,сул
148,Ast::N,dal,ул
149,Ast::N,budak,ул
150,Zweig::N,dal,вай
151,Blatt::N,yaprak,куар
152,Birke::N,huş,кызьпу
153,Kiefer[Baum]::N,çam,пужым
154,Weide[Baum]::N,söğüt,бадьпу
155,Tanne::N,çam,кыз
156,Tanne::N,köknar,кыз
157,Horn::N,boynuz,сюр
158,Feder::N,tüy,тылы
159,Fell::N,post,ку
160,Flügel::N,kanat,бурд
161,Klaue::N,pençe,гижы
162,Kralle::N,tırnak,пыд
163,Schwanz::N,kuyruk,быж
164,Ei::N,yumurta,пуз
165,Ei::N,yumurta,кукей
166,Nest::N,yuva,кар
167,Nest::N,yuva,пузкар
168,Bau::N,in,кар
169,Bau::N,in,гу
170,Tier::N,hayvan,пӧйшур
171,Herde::N,sürü,уллё
172,Kuh::N,inek,скал
173,Bulle::N,boğa,ош
174,Bulle::N,boğa,пороз
175,Pferd::N,at,вал
176,Pferd::N,beygir,вал
177,Schaf::N,koyun,ыж
178,Schwein::N,domuz,парсь
179,Hund::N,it,пуны
180,Hund::N,köpek,пуны
181,Katze::N,kedi,коӵыш
182,Bär::N,ayı,гондыр
183,Eichhörnchen::N,sincap,коньы
184,Elch::N,büyük kuzey geyiği,койык
185,Fuchs::N,tilki,ӟичы
186,Hase::N,tavşan,кеч
187,Maus::N,fare,шыр
188,Maus::N,sıçan,шыр
189,Wolf::N,kurt,кион
190,Vogel::N,kuş,тылобурдо
191,Schwarm::N,sürü,уллё
192,Huhn::N,tavuk,курег
193,Hahn::N,horoz,атас
194,Gans::N,kaz,ӟазег
195,Adler::N,kartal,ӧрзи
196,Adler::N,karakuş,ӧрзи
197,Ente::N,ördek,ӵӧж
198,Eule::N,baykuş,кучыран
199,Kranich::N,turna,тури
200,Krähe::N,karga,куака
201,Kuckuck::N,guguk,кикы
202,Schwan::N,kuğu,юсь
203,Fisch::N,balık,чорыг
204,Barsch::N,hani,юш
205,Barsch::N,levrek,юш
206,Hecht::N,turnabalığı,чипей
