,Concept_ID,de,en
0,Auge::N,Auge,eye
1,Ohr::N,Ohr,ear
2,Nase::N,Nase,nose
3,Mund::N,Mund,mouth
4,Zahn::N,Zahn,tooth
5,Zunge::N,Zunge,tongue
6,Lippe::N,Lippe,lip
7,Wange::N,Wange,cheek
8,Gesicht::N,Gesicht,face
9,Stirn::N,Stirn,forehead
10,Haar::N,Haar,hair
11,Schnurrbart::N,Schnurrbart,moustache
12,Bart::N,Bart,beard
13,Kinn::N,Kinn,chin
14,Kiefer[Anatomie]::N,Kiefer,jaw
15,Kehle::N,Kehle,throat
16,Hals::N,Hals,neck
17,Genick::N,Genick,nape
18,Kopf::N,Kopf,head
19,Rücken::N,Rücken,back
20,Rücken::N,Rücken,spine
21,Bauch::N,Bauch,belly
22,Nabel::N,Nabel,navel
23,Busen::N,Busen,bosom
24,Brust::N,Brust,chest
25,Brust::N,Brust,breast
26,Schulter::N,Schulter,shoulder
27,Arm::N,Arm,arm
28,Ellenbogen::N,Ellenbogen,elbow
29,Hand::N,Hand,hand
30,Handfläche::N,Handfläche,palm
31,Finger::N,Finger,finger
32,Fingernagel::N,Fingernagel,fingernail
33,Nagel[Anatomie]::N,Nagel,nail
34,Zeh::N,Zeh,toe
35,Fuß::N,Fuß,foot
36,Ferse::N,Ferse,heel
37,Knie::N,Knie,knee
38,Oberschenkel::N,Oberschenkel,thigh
39,Bein::N,Bein,leg
40,Körper::N,Körper,body
41,Haut::N,Haut,skin
42,Blut::N,Blut,blood
43,Ader::N,Ader,vein
44,Sehne::N,Sehne,sinew
45,Knochen::N,Knochen,bone
46,Gehirn::N,Gehirn,brain
47,Herz::N,Herz,heart
48,Magen::N,Magen,stomach
49,Leber::N,Leber,liver
50,Atem::N,Atem,breath
51,Hunger::N,Hunger,hunger
52,Träne::N,Träne,tear
53,Geschmack::N,Geschmack,flavour
54,Geschmack::N,Geschmack,flavor
55,Geruch::N,Geruch,odour
56,Geruch::N,Geruch,odor
57,Schlaf::N,Schlaf,sleep
58,Traum::N,Traum,dream
59,Himmel::N,Himmel,sky
60,Sonne::N,Sonne,sun
61,Mond::N,Mond,moon
62,Stern::N,Stern,star
63,Luft::N,Luft,air
64,Wind::N,Wind,wind
65,Welle::N,Welle,wave
66,Wasser::N,Wasser,water
67,Stein::N,Stein,stone
68,Boden::N,Boden,soil
69,Boden::N,Boden,ground
70,Erde::N,Erde,earth
71,Staub::N,Staub,dust
72,Rauch::N,Rauch,smoke
73,Funke::N,Funke,spark
74,Feuer::N,Feuer,fire
75,Licht::N,Licht,light
76,Schatten::N,Schatten,shadow
77,Wetter::N,Wetter,weather
78,Nebel::N,Nebel,fog
79,Wolke::N,Wolke,cloud
80,Regen::N,Regen,rain
81,Schnee::N,Schnee,snow
82,Eis::N,Eis,ice
83,Frost::N,Frost,frost
84,Kälte::N,Kälte,chill
85,Hitze::N,Hitze,heat
86,Raureif::N,Raureif,hoarfrost
87,Regenbogen::N,Regenbogen,rainbow
88,Donner::N,Donner,thunder
89,Strömung::N,Strömung,current
90,Tropfen::N,Tropfen,drop
91,Schaum::N,Schaum,foam
92,Schmutz::N,Schmutz,dirt
93,See::N,See,lake
94,Sumpf::N,Sumpf,swamp
95,Moor::N,Moor,moor
96,Wiese::N,Wiese,meadow
97,Wald::N,Wald,forest
98,Hügel::N,Hügel,hill
99,Anhöhe::N,Anhöhe,elevation
100,Berg::N,Berg,mountain
101,Gipfel::N,Gipfel,summit
102,Höhle::N,Höhle,cave
103,Abhang::N,Abhang,slope
104,Quelle::N,Quelle,source
105,Bach::N,Bach,brook
106,Fluss::N,Fluss,river
107,Ufer::N,Ufer,shore
108,Küste::N,Küste,coast
109,Festland::N,Festland,land
110,Meer::N,Meer,sea
111,Bucht::N,Bucht,cove
112,Insel::N,Insel,island
113,Blume::N,Blume,flower
114,Gras::N,Gras,grass
115,Wurzel::N,Wurzel,root
116,Baum::N,Baum,tree
117,Stamm::N,Stamm,trunk
118,Rinde::N,Rinde,bark
119,Ast::N,Ast,limb
120,Zweig::N,Zweig,branch
121,Blatt::N,Blatt,leaf
122,Birke::N,Birke,birch
123,Kiefer[Baum]::N,Kiefer,pine
124,Weide[Baum]::N,Weide,willow
125,Tanne::N,Tanne,fir
126,Horn::N,Horn,horn
127,Feder::N,Feder,feather
128,Fell::N,Fell,fur
129,Flügel::N,Flügel,wing
130,Klaue::N,Klaue,claw
131,Kralle::N,Kralle,claw
132,Schwanz::N,Schwanz,tail
133,Ei::N,Ei,egg
134,Nest::N,Nest,nest
135,Bau::N,Bau,lair
136,Tier::N,Tier,animal
137,Herde::N,Herde,flock
138,Kuh::N,Kuh,cow
139,Bulle::N,Bulle,bull
140,Pferd::N,Pferd,horse
141,Schaf::N,Schaf,sheep
142,Schwein::N,Schwein,pig
143,Hund::N,Hund,dog
144,Katze::N,Katze,cat
145,Bär::N,Bär,bear
146,Eichhörnchen::N,Eichhörnchen,squirrel
147,Elch::N,Elch,elk
148,Fuchs::N,Fuchs,fox
149,Hase::N,Hase,hare
150,Maus::N,Maus,mouse
151,Wolf::N,Wolf,wolf
152,Vogel::N,Vogel,bird
153,Schwarm::N,Schwarm,swarm
154,Huhn::N,Huhn,chicken
155,Hahn::N,Hahn,cock
156,Gans::N,Gans,goose
157,Adler::N,Adler,eagle
158,Ente::N,Ente,duck
159,Eule::N,Eule,owl
160,Kranich::N,Kranich,crane
161,Krähe::N,Krähe,crow
162,Kuckuck::N,Kuckuck,cuckoo
163,Schwan::N,Schwan,swan
164,Fisch::N,Fisch,fish
165,Barsch::N,Barsch,perch
166,Hecht::N,Hecht,pike
167,Schlange[Tier]::N,Schlange,snake
168,Wurm::N,Wurm,worm
169,Spinne::N,Spinne,spider
170,Ameise::N,Ameise,ant
171,Laus::N,Laus,louse
172,Mücke::N,Mücke,midge
173,Fliege::N,Fliege,fly
174,Schmetterling::N,Schmetterling,butterfly
175,Beere::N,Beere,berry
176,Apfel::N,Apfel,apple
177,Pilz::N,Pilz,mushroom
178,Zwiebel::N,Zwiebel,onion
179,Saat::N,Saat,seed
180,Korn::N,Korn,grain
181,Heu::N,Heu,hay
