,Concept_ID,te,da
0,Auge::N,కన్ను,øje
1,Ohr::N,చెవి,øre
2,Nase::N,ముక్కు,næse
3,Mund::N,నోరు,mund
4,Zahn::N,పల్లు,tand
5,Zunge::N,నాలుక,tunge
6,Lippe::N,పెదవి,læbe
7,Wange::N,చెంప,kind
8,Gesicht::N,ముఖము,ansigt
9,Stirn::N,నుదురు,pande
10,Haar::N,వెండ్రుక,hår
11,Schnurrbart::N,మీసము,overskæg
12,Bart::N,గడ్డము,skæg
13,Kinn::N,గడ్డము,hage
14,Kiefer[Anatomie]::N,దౌడ,kæbe
15,Kehle::N,గొంతు,strube
16,Hals::N,మెడ,hals
17,Genick::N,మూపు,nakke
18,Kopf::N,తల,hoved
19,Rücken::N,వెన్ను,ryg
20,Bauch::N,కడుపు,mave
21,Nabel::N,బొడ్డు,navle
22,Busen::N,స్తనము,barm
23,Brust::N,ఱొమ్ము,bryst
24,Schulter::N,భుజము,skulder
25,Arm::N,చేయి,arm
26,Ellenbogen::N,మోచేయి,albue
27,Hand::N,చేయి,hånd
28,Handfläche::N,అరచేయు,håndflade
29,Finger::N,చేతిప్రేలు,finger
30,Fingernagel::N,గోరు,fingernegl
31,Nagel[Anatomie]::N,గోరు,negl
32,Zeh::N,కాలిప్రేలు,tå
33,Fuß::N,అడుగు,fod
34,Ferse::N,మడమ,hæl
35,Knie::N,మోకాలు,knæ
36,Oberschenkel::N,తొడ,lår
37,Bein::N,కాలు,ben
38,Körper::N,కాయము,krop
39,Körper::N,కాయము,legeme
40,Haut::N,చర్మము,hud
41,Blut::N,రక్తము,blod
42,Ader::N,సిర,åre
43,Sehne::N,స్నాయువు,sene
44,Knochen::N,ఎముక,ben
45,Gehirn::N,మెదడు,hjerne
46,Herz::N,హృదయము,hjerte
47,Magen::N,కడుపు,mave
48,Leber::N,కాలేయము,lever
49,Atem::N,ఉపిరి,ånde
50,Hunger::N,ఆకలి,sult
51,Träne::N,కన్నీటిచుక్క,tåre
52,Geschmack::N,రుచి,smag
53,Geruch::N,వాసన,lugt
54,Schlaf::N,నిద్ర,søvn
55,Traum::N,కల,drøm
56,Himmel::N,ఆకాశము,himmel
57,Sonne::N,సూర్యుడు,sol
58,Mond::N,చంద్రుడు,måne
59,Stern::N,నక్షత్రము,stjerne
60,Luft::N,గాలి,luft
61,Wind::N,వీచుచున్నగాలి,vind
62,Welle::N,అల,bølge
63,Wasser::N,నీరు,vand
64,Stein::N,ఱాయి,sten
65,Boden::N,నేల,jord
66,Erde::N,మన్ను,jord
67,Staub::N,దుమ్ము,støv
68,Rauch::N,పొగ,røg
69,Funke::N,అగ్నికణము,gnist
70,Feuer::N,అగ్ని,ild
71,Licht::N,కాంతి,lys
72,Schatten::N,నీడ,skygge
73,Wetter::N,వాతావరణ స్థితి,vejr
74,Nebel::N,పొగమంచు,tåge
75,Wolke::N,మేఘము,sky
76,Regen::N,వాన,regn
77,Schnee::N,హిమము,sne
78,Eis::N,మంచుగడ్డ,is
79,Frost::N,పేరిన మంచు,frost
80,Kälte::N,చలి,kulde
81,Hitze::N,వేడిమి,hede
82,Raureif::N,మంచు,rimfrost
83,Regenbogen::N,ఇంద్రధనుస్సు,regnbue
84,Donner::N,ఉరుము,torden
85,Strömung::N,ప్రవాహము,strømning
86,Tropfen::N,చుక్క,dråbe
87,Schaum::N,నురుగు,skum
88,Schmutz::N,మైల,snavs
89,See::N,సరస్సు,sø
90,Sumpf::N,చిత్తడినేల,sump
91,Moor::N,చిత్తడినేల,mose
92,Wiese::N,పచ్చిక బయలు,eng
93,Wald::N,అడవి,skov
94,Hügel::N,చివ్నకొండ,høj
95,Hügel::N,చివ్నకొండ,bakke
96,Anhöhe::N,కొండ,høj
97,Anhöhe::N,కొండ,bakke
98,Berg::N,పర్వతము,bjerg
99,Gipfel::N,శిఖరము,top
100,Höhle::N,గుహ,hule
101,Abhang::N,ఏటవాలు,skrænt
102,Abhang::N,ఏటవాలు,skråning
103,Quelle::N,మూలము,kilde
