,Concept_ID,be,hi
0,Auge::N,вока,आँख
1,Auge::N,вока,चक्षु
2,Ohr::N,вуха,कान
3,Ohr::N,вуха,कर्ण
4,Nase::N,нос,नाक
5,Nase::N,нос,नासा
6,Mund::N,рот,मुख
7,Mund::N,рот,मुँह
8,Zahn::N,зуб,दंत
9,Zahn::N,зуб,दाँत
10,Zunge::N,язык,जीभ
11,Zunge::N,язык,ज़बान
12,Zunge::N,язык,जिह्वा
13,Lippe::N,губа,ओंठ
14,Lippe::N,губа,होंठ
15,Wange::N,шчака,गाल
16,Wange::N,шчака,कपोल
17,Gesicht::N,твар,मुँह
18,Gesicht::N,твар,चेहरा
19,Stirn::N,лоб,माथा
20,Stirn::N,лоб,मस्तक
21,Haar::N,волас,बाल
22,Haar::N,валасы,बाल
23,Schnurrbart::N,вус,मूँछें
24,Schnurrbart::N,вусы,मूँछें
25,Bart::N,барада,दाढ़ी
26,Kinn::N,падбародак,चिबुक
27,Kiefer[Anatomie]::N,сківіца,जबड़ा
28,Kehle::N,горла,गला
29,Hals::N,шыя,गला
30,Hals::N,шыя,गरदन
31,Genick::N,патыліца,गरदन
32,Genick::N,патыліца,ग्रीवा
33,Kopf::N,галава,सिर
34,Kopf::N,галава,शीर्ष
35,Rücken::N,спіна,पीठ
36,Bauch::N,жывот,उदर
37,Nabel::N,пупок,नाभि
38,Nabel::N,пупок,ढोंढी
39,Busen::N,грудзі,कुच
40,Busen::N,грудзі,स्तन
41,Brust::N,грудзі,वक्ष
42,Schulter::N,плячо,कंधा
43,Schulter::N,плячо,स्कंध
44,Arm::N,рука,बाँह
45,Arm::N,рука,बाज़ू
46,Ellenbogen::N,локаць,कुहनी
47,Hand::N,кісць,हाथ
48,Hand::N,кісць,हस्त
49,Handfläche::N,далонь,हथेली
50,Finger::N,палец,उँगली
51,Finger::N,палец,अँगुली
52,Fingernagel::N,ногаць,नख
53,Fingernagel::N,ногаць,नाख़ून
54,Nagel[Anatomie]::N,ногаць,नख
55,Nagel[Anatomie]::N,ногаць,नाख़ून
56,Zeh::N,палец,उँगली
57,Zeh::N,палец,पाँव की उँगली
58,Fuß::N,нага,चरण
59,Fuß::N,нага,पाँव
60,Ferse::N,пята,एड़ी
61,Ferse::N,пятка,एड़ी
62,Knie::N,калена,जानु
63,Knie::N,калена,घुटना
64,Oberschenkel::N,бядро,उरु
65,Oberschenkel::N,сцягно,उरु
66,Bein::N,нага,टाँग
67,Körper::N,цела,तन
68,Körper::N,цела,देह
69,Körper::N,цела,शरीर
70,Haut::N,скура,चर्म
71,Haut::N,скура,त्वचा
72,Blut::N,кроў,लहू
73,Blut::N,кроў,ख़ून
74,Ader::N,вена,रग
75,Ader::N,вена,शिरा
76,Ader::N,сасуд,रग
77,Ader::N,сасуд,शिरा
78,Sehne::N,жыла,कंडरा
79,Sehne::N,жыла,स्नायु
80,Sehne::N,цеціва,कंडरा
81,Sehne::N,цеціва,स्नायु
82,Sehne::N,сухажылле,कंडरा
83,Sehne::N,сухажылле,स्नायु
84,Knochen::N,косць,अस्थि
85,Gehirn::N,мозг,दिमाग़
86,Gehirn::N,мозг,मस्तिष्क
87,Herz::N,сэрца,दिल
88,Herz::N,сэрца,हृदय
89,Magen::N,страўнік,मेदा
90,Magen::N,страўнік,अमाशय
91,Leber::N,печань,जिगर
92,Leber::N,печань,यकृत्
93,Atem::N,дыханне,दम
94,Atem::N,дыханне,साँस
95,Atem::N,дыханне,श्वास
96,Hunger::N,голад,भूख
97,Hunger::N,голад,क्षुधा
98,Träne::N,сляза,आँसू
99,Träne::N,сляза,अश्रु
100,Geschmack::N,смак,स्वाद
101,Geschmack::N,смак,ज़ायक़ा
102,Geruch::N,пах,बू
103,Geruch::N,пах,गंध
104,Schlaf::N,сон,नींद
105,Schlaf::N,сон,निद्रा
106,Traum::N,сон,सपना
107,Traum::N,сон,स्वप्न
108,Himmel::N,неба,आकाश
109,Himmel::N,неба,आसमान
110,Sonne::N,сонца,रवि
111,Sonne::N,сонца,सूरज
112,Sonne::N,сонца,सूर्य
113,Mond::N,месяц,चाँद
114,Mond::N,месяц,चंद्र
115,Stern::N,зорка,तारा
116,Stern::N,зорка,सितारा
117,Luft::N,паветра,हवा
118,Luft::N,паветра,वायु
119,Wind::N,вецер,पाद
120,Welle::N,хваля,लहर
121,Welle::N,хваля,तरंग
122,Wasser::N,вада,जल
123,Wasser::N,вада,पानी
124,Stein::N,камень,पत्थर
125,Boden::N,глеба,मिट्टी
126,Erde::N,зямля,भूमि
127,Erde::N,зямля,ज़मीन
128,Staub::N,пыл,धूल
129,Rauch::N,дым,धूआँ
130,Rauch::N,дым,धुम्र
131,Funke::N,іскра,चिनगारी
132,Funke::N,іскра,स्फुलिंग
133,Feuer::N,агонь,आग
134,Feuer::N,агонь,आतिश
135,Feuer::N,агонь,अग्नि
136,Licht::N,святло,रोशनी
137,Licht::N,святло,प्रकाश
138,Schatten::N,цень,छाया
139,Schatten::N,цень,परछाई
140,Wetter::N,пагода,ऋतु
141,Wetter::N,пагода,मौसम
142,Wetter::N,надворʼе,ऋतु
143,Wetter::N,надворʼе,मौसम
144,Nebel::N,туман,धुँध
145,Nebel::N,туман,कुहरा
146,Wolke::N,воблака,मेघ
147,Wolke::N,воблака,अभ्र
148,Regen::N,дождж,मेंह
149,Regen::N,дождж,बारिश
150,Schnee::N,снег,हिम
151,Schnee::N,снег,बर्फ़
152,Eis::N,лёд,हिम
153,Eis::N,лёд,बर्फ़
154,Frost::N,мароз,ठंड
155,Kälte::N,холад,सर्दी
156,Kälte::N,холад,शीतलता
157,Hitze::N,спёка,ताप
158,Hitze::N,спёка,गरमी
159,Raureif::N,іней,पाला
160,Regenbogen::N,вясёлка,इंद्र-धनुष
161,Donner::N,гром,गरज
162,Donner::N,гром,मेघ-गर्जन
163,Strömung::N,цячэнне,बहाव
164,Strömung::N,цячэнне,प्रवाह
165,Tropfen::N,кропля,बूँद
166,Schaum::N,пена,झाग
167,Schmutz::N,гразь,गंद
168,Schmutz::N,гразь,कीचड़
169,See::N,возера,झील
170,See::N,возера,सरोवर
171,Sumpf::N,багна,दलदल
172,Sumpf::N,багна,धँसान
173,Moor::N,балота,झाबर
174,Moor::N,балота,धँसान
175,Wiese::N,луг,घास-स्थल
176,Wald::N,лес,जंगल
177,Hügel::N,узгорак,टीला
178,Hügel::N,узгорак,पहाड़
179,Anhöhe::N,узвышша,टीला
180,Anhöhe::N,узвышша,पहाड़ी
181,Berg::N,гара,पहाड़
182,Gipfel::N,вяршыня,शिखर
183,Höhle::N,пячора,गुहा
184,Höhle::N,пячора,गुफ़ा
185,Abhang::N,схіл,ढाल
186,Abhang::N,схіл,ढलान
187,Quelle::N,крыніца,चश्मा
188,Bach::N,ручай,सोता
189,Bach::N,ручай,नदिका
190,Fluss::N,рака,नदी
191,Fluss::N,рака,सरिता
192,Ufer::N,бераг,तट
193,Ufer::N,бераг,किनारा
194,Küste::N,узбярэжжа,समुद्र-तट
195,Festland::N,суша,महाद्वीप
196,Meer::N,мора,सागर
197,Meer::N,мора,समुद्र
198,Bucht::N,бухта,खाड़ी
199,Insel::N,востраў,टापू
200,Insel::N,востраў,द्वीप
201,Blume::N,кветка,फूल
202,Blume::N,кветка,पुष्प
203,Gras::N,трава,घास
204,Wurzel::N,корань,मूल
205,Baum::N,дрэва,पेड़
206,Baum::N,дрэва,वृक्ष
207,Stamm::N,ствол,धड़
208,Rinde::N,кара,छाल
209,Rinde::N,кара,वल्कल
210,Ast::N,сук,डाल
211,Ast::N,сук,शाखा
212,Zweig::N,галіна,टहनी
213,Blatt::N,ліст,पत्र
214,Blatt::N,ліст,पत्ता
215,Birke::N,бяроза,भूर्ज
216,Kiefer[Baum]::N,хвоя,पाइन-वृक्ष
217,Kiefer[Baum]::N,сасна,पाइन-वृक्ष
218,Weide[Baum]::N,вярба,बेंत
219,Tanne::N,яліна,फ़र
220,Horn::N,рог,सींग
221,Horn::N,рог,विषाण
222,Feder::N,пяро,पर
223,Feder::N,пяро,पंख
224,Fell::N,шкура,खाल
225,Fell::N,шкура,पशु-चर्म
226,Flügel::N,крыло,पंख
227,Flügel::N,крыло,डैना
228,Klaue::N,кіпцюр,पंजा
229,Kralle::N,лапа,पंजा
230,Kralle::N,лапа,नाख़ून
231,Schwanz::N,хвост,पूँछ
232,Ei::N,яйка,अंडा
233,Nest::N,гняздо,नीड़
234,Nest::N,гняздо,घोंसला
235,Bau::N,нара,बिल
236,Bau::N,нара,माँद
237,Tier::N,жывёла,पशु
238,Tier::N,жывёла,जानवर
239,Herde::N,статак,गल्ला
240,Kuh::N,карова,गौ
241,Kuh::N,карова,गाय
242,Bulle::N,бык,साँड़
243,Pferd::N,конь,अश्व
244,Pferd::N,конь,घोड़ा
245,Schaf::N,авечка,भेड़
