,Concept_ID,ta,sah
58,Schlaf::N,தூக்கம்,утуйуу
59,Traum::N,கனவு,түүл
60,Himmel::N,வானம்,халлаан
61,Sonne::N,சூரியன்,күн
62,Mond::N,சந்திரன்,ый
63,Stern::N,நட்சத்திரம்,сулус
64,Luft::N,காறறு,салгын
65,Wind::N,காற்று,тыал
66,Welle::N,அலை,долгун
67,Welle::N,அலை,балхаан
68,Wasser::N,நீர்,уу
69,Stein::N,கல்,таас
70,Boden::N,தரை,сир
71,Erde::N,மண்,буор
72,Staub::N,தூசி,быыл
73,Rauch::N,புகை,буруо
74,Funke::N,தீப்பொறி,кыым
75,Feuer::N,தீ,уот
76,Licht::N,வெளிச்சம்,уот
77,Schatten::N,நிழல்,күлүк
78,Wetter::N,வானிலை,күн-дьыл
79,Nebel::N,பனிமூட்டம்,туман
80,Wolke::N,மேகம்,былыт
81,Regen::N,மழை,самыыр
82,Schnee::N,உறைபனி,хаар
83,Eis::N,பனிக்கட்டி,муус
84,Frost::N,உறைபனி,тымныы
85,Kälte::N,குளிர்ந்த,тымныы
86,Hitze::N,சூடு,куйаас
87,Raureif::N,உறைபனி வெண்திரை,кырыа
88,Regenbogen::N,வானவில்,кустук
89,Donner::N,இடி,этиҥ
90,Strömung::N,நீரோட்டம்,сүүрүк
91,Tropfen::N,துளி,таммах
92,Tropfen::N,துளி,хааппыла
93,Schaum::N,நுரை,күүгэн
94,Schmutz::N,அழுக்கு,кир
95,See::N,ஏரி,күөл
96,Sumpf::N,சதுப்பு நிலம்,бадараан
97,Moor::N,முட்புதற்காடு,дьэбэрэ
98,Wiese::N,பசும் புல்தரை,ходуһа
99,Wald::N,காடு,ойуур
100,Hügel::N,குன்று,булгунньах
101,Anhöhe::N,பதுக்கை,үрдэл
102,Berg::N,மலை,хайа
103,Gipfel::N,உச்சி மாநாடு,чыпчаал
104,Höhle::N,குகை,хайа_хаспаҕа
105,Höhle::N,குகை,көҥүс
106,Abhang::N,சரிவு,эниэ
107,Quelle::N,மூலம்,дьүүктэ
108,Bach::N,ஓடை,үрүйэ
109,Fluss::N,ஆறு,өрүс
110,Ufer::N,நீர்க்கரை,биэрэк
111,Küste::N,கடற்கரை,кытыл
112,Festland::N,நிலம்,кураанах сир
113,Meer::N,கடல்,муора
114,Bucht::N,சிறுகுடா,хомо
115,Bucht::N,சிறுகுடா,бухта
116,Insel::N,தீவு,арыы
117,Blume::N,பூ,сибэкки
118,Gras::N,புல்தரை,от
119,Wurzel::N,வேர்,силис
120,Baum::N,மரம்,мас
121,Stamm::N,அடிமரம்,умнас
122,Rinde::N,பட்டை,хатырык
123,Rinde::N,மரப்பட்டை,хатырык
