,Concept_ID,no,ba
0,Auge::N,øye,күҙ
1,Ohr::N,øre,ҡолаҡ
2,Nase::N,nese,танау
3,Mund::N,munn,ауыҙ
4,Zahn::N,tann,теш
5,Zunge::N,tunge,тел
6,Lippe::N,leppe,ирен
7,Wange::N,kinn,яцаҡтар
8,Gesicht::N,fjes,бит
9,Gesicht::N,ansikt,бит
10,Stirn::N,panne,маңлай
11,Haar::N,hår,сәс
12,Schnurrbart::N,bart,мылтыҡ
13,Bart::N,skjegg,һаҡал
14,Kinn::N,hake,эйэк
15,Kiefer[Anatomie]::N,kjeve,яңаҡ һөйәге
16,Kehle::N,strupe,тамаҡ
17,Hals::N,hals,муйын
18,Genick::N,nakke,соңҡа
19,Kopf::N,hode,баш
20,Rücken::N,rygg,арҡа
21,Bauch::N,buk,ҡорһаҡ
22,Bauch::N,mage,ҡорһаҡ
23,Nabel::N,navle,кендек
24,Busen::N,barm,күкрәк
25,Brust::N,bryst,түш
26,Schulter::N,skulder,яурын
27,Arm::N,arm,ҡул
28,Ellenbogen::N,albue,терһәк
29,Hand::N,hånd,ҡул
30,Hand::N,hånd,ҡул суғы
31,Handfläche::N,håndflate,ус төбө
32,Finger::N,finger,бармаҡ
33,Fingernagel::N,fingernegl,тырнаҡ
34,Nagel[Anatomie]::N,negl,тырнаҡ
35,Zeh::N,tå,бармаҡ
36,Fuß::N,fot,табан
37,Ferse::N,hæl,үксә
38,Knie::N,kne,тубыҡ
39,Oberschenkel::N,lår,сандыр
40,Bein::N,bein,аяҡ
41,Körper::N,kropp,тән
42,Körper::N,legeme,тән
43,Haut::N,hud,тире
44,Haut::N,skinn,тире
45,Blut::N,blod,ҡан
46,Ader::N,åre,тамыр
47,Sehne::N,sene,һеңер
48,Sehne::N,sene,тарамыш
49,Knochen::N,bein,һойәк
50,Knochen::N,knokkel,һойәк
51,Gehirn::N,hjerne,мейе
52,Herz::N,hjerte,йорәк
53,Magen::N,mage,ашҡаҙан
54,Leber::N,lever,бауыр
55,Atem::N,pust,һулыш
56,Hunger::N,sult,аслыҡ
57,Träne::N,tåre,күҙ иәше
58,Geschmack::N,smak,тәм
59,Geruch::N,lukt,еҫ
60,Schlaf::N,søvn,йоҡлау
61,Traum::N,drøm,төш
62,Himmel::N,himmel,күк
63,Sonne::N,sol,ҡояш
64,Mond::N,måne,ай
65,Stern::N,stjerne,йондоҙ
66,Luft::N,luft,һауа
67,Wind::N,vind,ел
68,Welle::N,bølge,тулҡын
69,Wasser::N,vann,һыу
70,Stein::N,stein,таш
71,Boden::N,bakke,тупраҡ
72,Erde::N,jord,балсҡ
73,Staub::N,støv,туҙан
74,Rauch::N,røyk,төтөн
75,Funke::N,gnist,осҡон
76,Feuer::N,ild,ут
77,Licht::N,lys,яҡтылыҡ
78,Schatten::N,skygge,күләгә
79,Wetter::N,vær,һауа торошо
80,Nebel::N,tåke,төман
81,Wolke::N,sky,болот
82,Regen::N,regn,ямғыр
83,Schnee::N,snø,ҡар
84,Eis::N,is,боҙ
85,Frost::N,frost,һалҡын
86,Kälte::N,kulde,һыуыҡ
87,Hitze::N,hete,томра
88,Hitze::N,hete,эҫелек
89,Raureif::N,rimfrost,ҡырау
90,Regenbogen::N,regnbue,йәйғор
91,Donner::N,torden,күк күкрәү
92,Strömung::N,strømning,ағым
93,Tropfen::N,dråpe,тамсы
94,Schaum::N,skum,күбек
95,Schmutz::N,søl,батҡаҡ
96,Schmutz::N,skitt,батҡаҡ
97,See::N,sjø,күл
98,Sumpf::N,sump,һаҙлык
99,Sumpf::N,myrlende,һаҙлык
100,Moor::N,myr,һаҙ
101,Moor::N,myrhei,һаҙ
102,Wiese::N,eng,болон
103,Wald::N,skog,урман
104,Hügel::N,haug,түбә
105,Hügel::N,bakke,түбә
106,Anhöhe::N,haug,түбә
107,Anhöhe::N,haug,ҡалҡыулыҡ
108,Anhöhe::N,bakke,түбә
109,Anhöhe::N,bakke,ҡалҡыулыҡ
110,Berg::N,berg,тау
111,Berg::N,fjell,тау
112,Gipfel::N,topp,түбә
113,Höhle::N,hule,мәмерйә
114,Abhang::N,li,ипкен
115,Abhang::N,skråning,ипкен
116,Quelle::N,kilde,шишмә
117,Bach::N,bekk,шишмә
118,Fluss::N,elv,йылға
119,Ufer::N,bredd,яр
120,Küste::N,kyst,яр буйы
121,Festland::N,fastland,ҡоро ер
122,Meer::N,hav,диңгез
123,Bucht::N,bukt,бухта
124,Insel::N,øy,үтрау
125,Blume::N,blomst,сәскә
126,Gras::N,gress,үлән
127,Wurzel::N,rot,тамыр
128,Baum::N,tre,ағас
129,Stamm::N,stamme,олон
130,Stamm::N,stamme,көбәк
131,Rinde::N,bark,ҡабыҡ
132,Ast::N,gren,ботаҡ
133,Zweig::N,kvist,ботаҡ
134,Zweig::N,kvist,тармаҡ
135,Blatt::N,blad,япраҡ
136,Birke::N,bjørk,ҡайын
137,Kiefer[Baum]::N,furu,ҡарғай
138,Weide[Baum]::N,selje,тал
139,Weide[Baum]::N,piletre,тал
140,Tanne::N,gran,шыршы
141,Horn::N,horn,мөғөҙ
142,Feder::N,fjær,ҡауырһын
143,Fell::N,skinn,тире
144,Flügel::N,vinge,ҡанат
145,Klaue::N,klauv,тырнаҡ
146,Kralle::N,klo,аяҡ
147,Schwanz::N,hale,ҡойроҡ
148,Ei::N,egg,йомортҡа
149,Nest::N,rede,оя
150,Bau::N,hi,оң
151,Tier::N,dyr,жайуан
152,Tier::N,dyr,йыртҡыс
153,Herde::N,flokk,көтөү
154,Kuh::N,ku,һыйыр
155,Bulle::N,tyr,үгеҙ
156,Pferd::N,hest,ат
157,Schaf::N,får,һарыҡ
158,Schwein::N,gris,сусҡа
159,Hund::N,hund,эт
160,Katze::N,katt,бесәй
161,Bär::N,bjørn,айыу
162,Eichhörnchen::N,ekorn,тейен
163,Elch::N,elg,мышы
164,Fuchs::N,rev,төлкө
165,Hase::N,hare,ҡуян
166,Maus::N,mus,сысҡан
167,Wolf::N,ulv,бүре
168,Wolf::N,varg,бүре
169,Vogel::N,fugl,ҡош
170,Schwarm::N,sverm,көтөү
171,Huhn::N,høne,тауыҡ
172,Hahn::N,hane,әтәс
173,Gans::N,gås,ҡаҙ
174,Adler::N,ørn,бөркөт
175,Ente::N,and,өйрәк
176,Eule::N,ugle,өкө
177,Eule::N,ugle,ябалаҡ
178,Kranich::N,trane,торна
179,Krähe::N,kråke,ҡарға
180,Kuckuck::N,gjøk,кәкүк
181,Schwan::N,svane,аҡҡош
182,Fisch::N,fisk,балыҡ
183,Barsch::N,abbor,алабуға
184,Hecht::N,gjedde,суртан
185,Schlange[Tier]::N,orm,йылан
186,Schlange[Tier]::N,slange,йылан
187,Wurm::N,orm,селяүсен
188,Wurm::N,mark,селяүсен
189,Spinne::N,edderkopp,үрмәксе
190,Ameise::N,maur,ҡырмыҫҡа
191,Laus::N,lus,бет
192,Mücke::N,mygg,серәкәй
193,Fliege::N,flue,себен
194,Schmetterling::N,sommerfugl,күбәләк
195,Beere::N,bær,еләк
196,Apfel::N,eple,алма
197,Pilz::N,sopp,бәшмәк
198,Zwiebel::N,løk,һуган
199,Saat::N,sæd,орлоҡ
200,Korn::N,korn,иген
201,Heu::N,høy,бесән
202,Schale::N,skall,ҡабыҡ
203,Grube::N,grop,соҡор
204,Falle::N,felle,тоҙак
205,Falle::N,felle,ҡапҡан
206,Schlinge::N,snare,тоҙак
207,Spur::N,spor,әҫер
208,Asche::N,aske,көл
209,Dreck::N,møkk,батҡаҡ
210,Dreck::N,skitt,батҡаҡ
211,Eisen::N,jern,тимер
212,Gold::N,gull,алтын
213,Silber::N,sølv,көмөш
214,Kohle::N,kol,күмер
215,Kohle::N,kull,күмер
216,Glas::N,glass,быяла
217,Lehm::N,leire,балсыҡ
218,Sand::N,sand,ҡом
219,Mensch::N,menneske,кеше
220,Mann::N,mann,ир
221,Frau::N,kvinne,ҡатын
222,Kind::N,barn,бала
223,Junge::N,gutt,малай
224,Mädchen::N,pike,ҡыҙ
225,Mädchen::N,pike,ҡыҙыҡай
226,Mädchen::N,jente,ҡыҙ
227,Mädchen::N,jente,ҡыҙыҡай
228,Familie::N,familie,ғаилә
229,Großvater::N,bestefar,олатай
230,Großmutter::N,bestemor,әбәй
231,Eltern::N,foreldre,ата-әсә
232,Vater::N,far,атай
233,Mutter::N,mor,әсә
234,Sohn::N,sønn,ул
235,Tochter::N,datter,ҡыҙ
236,Bruder::N,bror,агай
237,Schwester::N,søster,алай
238,Schwester::N,søster,һеңле
239,Onkel::N,onkel,ағай
240,Tante::N,tante,апай
241,Ehemann::N,ektemann,ир
242,Ehefrau::N,hustru,ҡатын
243,Freude::N,glede,шатлыҡ
244,Freude::N,glede,ҡыуаныс
245,Gelächter::N,latter,көлөү
246,Glück::N,lykke,бәхет
247,Kummer::N,sorg,ҡайғы
248,Wunsch::N,ønske,теләк
249,Lust::N,lyst,әүәҫлек
250,Geist::N,ånd,аң
251,Geist::N,ånd,рух
252,Gedanke::N,tanke,уй
253,Gedanke::N,tanke,фекер
254,Gedächtnis::N,minne,хәтер
255,Gedächtnis::N,hukommelse,хәтер
256,Verstand::N,forstand,аҡыл
257,Sinn::N,mening,мәғәня
258,Sinn::N,betydning,мәғәня
259,Grund::N,grunn,сәбәп
260,Wahrheit::N,sannhet,дөрөҫлөк
261,Gespräch::N,samtale,әңгәмә
262,Märchen::N,eventyr,әкиәт
263,Erzählung::N,fortelling,хикәйә
264,Nachricht::N,melding,хәбәр
265,Neuigkeit::N,nyhet,яңылыҡ
266,Name::N,navn,исем
267,Rätsel::N,gåte,йомаҡ
268,Rede::N,tale,телмәр
269,Sprache::N,språk,тел
270,Sprache::N,språk,телмәр
271,Stimme::N,stemme,тауыш
272,Wort::N,ord,һүҙ
273,Zeichen::N,tegn,билдә
274,Ruf::N,rop,саҡырыу
275,Lärm::N,bråk,шаулау
276,Laut::N,lyd,тауыш
277,Ton::N,tone,яңғырау
278,Lied::N,vise,йыр
279,Ruhe::N,ro,ял
280,Ruhe::N,ro,тыныслыҡ
281,Leute::N,folk,кешеләр
282,Volk::N,folk,халҡ
283,Arbeit::N,arbeid,эш
284,Gast::N,gjest,ҡунаҡ
285,Geschenk::N,gave,бүләк
286,Spiel::N,lek,уйын
287,Spiel::N,spill,уйын
288,Gesellschaft::N,selskap,йәмғиәт
289,Hilfe::N,hjelp,ярҙам
290,Freund::N,venn,дуҫ
291,Kamerad::N,kamerat,иптәш
292,Angelegenheit::N,sak,әш
293,Angelegenheit::N,anliggende,әш
294,Anzahl::N,antall,һан
295,Art::N,art,төр
296,Art::N,slag,төр
297,Stück::N,stykke,киҫәк
298,Teil::N,del,өлөш
299,Hälfte::N,halvdel,ярты
300,Kreis::N,ring,түңәрәк
301,Kreis::N,sirkel,түңәрәк
302,Kreuz::N,kors,тәре
