,Concept_ID,br,hi
0,Auge::N,lagad,आँख
1,Auge::N,lagad,चक्षु
2,Ohr::N,skouarn,कान
3,Ohr::N,skouarn,कर्ण
4,Nase::N,fri,नाक
5,Nase::N,fri,नासा
6,Mund::N,genoù,मुख
7,Mund::N,genoù,मुँह
8,Zahn::N,dant,दंत
9,Zahn::N,dant,दाँत
10,Zunge::N,teod,जीभ
11,Zunge::N,teod,ज़बान
12,Zunge::N,teod,जिह्वा
13,Lippe::N,muzell,ओंठ
14,Lippe::N,muzell,होंठ
15,Wange::N,chot,गाल
16,Wange::N,chot,कपोल
17,Gesicht::N,dremm,मुँह
18,Gesicht::N,dremm,चेहरा
19,Stirn::N,tal,माथा
20,Stirn::N,tal,मस्तक
21,Haar::N,blev,बाल
22,Schnurrbart::N,mourenn,मूँछें
23,Bart::N,barv,दाढ़ी
24,Kinn::N,groñj,चिबुक
25,Kiefer[Anatomie]::N,javed,जबड़ा
26,Kehle::N,gouzoug,गला
27,Hals::N,gouzoug,गला
28,Hals::N,gouzoug,गरदन
29,Genick::N,choug,गरदन
30,Genick::N,choug,ग्रीवा
31,Kopf::N,penn,सिर
32,Kopf::N,penn,शीर्ष
33,Rücken::N,kein,पीठ
34,Bauch::N,kof,उदर
35,Nabel::N,begel,नाभि
36,Nabel::N,begel,ढोंढी
37,Busen::N,bronn,कुच
38,Busen::N,bronn,स्तन
39,Brust::N,bruched,वक्ष
40,Schulter::N,skoaz,कंधा
41,Schulter::N,skoaz,स्कंध
42,Arm::N,brec'h,बाँह
43,Arm::N,brec'h,बाज़ू
44,Ellenbogen::N,ilin,कुहनी
45,Hand::N,dorn,हाथ
46,Hand::N,dorn,हस्त
47,Handfläche::N,palv,हथेली
48,Finger::N,biz,उँगली
49,Finger::N,biz,अँगुली
50,Fingernagel::N,ivin,नख
51,Fingernagel::N,ivin,नाख़ून
52,Nagel[Anatomie]::N,ivin,नख
53,Nagel[Anatomie]::N,ivin,नाख़ून
54,Zeh::N,biz-troad,उँगली
55,Zeh::N,biz-troad,पाँव की उँगली
56,Fuß::N,troad,चरण
57,Fuß::N,troad,पाँव
58,Ferse::N,seul,एड़ी
59,Knie::N,glin,जानु
60,Knie::N,glin,घुटना
61,Oberschenkel::N,morzhed,उरु
62,Bein::N,gar,टाँग
63,Körper::N,korf,तन
64,Körper::N,korf,देह
65,Körper::N,korf,शरीर
66,Haut::N,kroc'hen,चर्म
67,Haut::N,kroc'hen,त्वचा
68,Blut::N,gwad,लहू
69,Blut::N,gwad,ख़ून
70,Ader::N,gwazhi,रग
71,Ader::N,gwazhi,शिरा
72,Sehne::N,stir,कंडरा
73,Sehne::N,stir,स्नायु
74,Knochen::N,askorn,अस्थि
75,Gehirn::N,empenn,दिमाग़
76,Gehirn::N,empenn,मस्तिष्क
77,Herz::N,kalon,दिल
78,Herz::N,kalon,हृदय
79,Magen::N,stomog,मेदा
80,Magen::N,stomog,अमाशय
81,Leber::N,avu,जिगर
82,Leber::N,avu,यकृत्
83,Atem::N,anal,दम
84,Atem::N,anal,साँस
85,Atem::N,anal,श्वास
86,Hunger::N,naon,भूख
87,Hunger::N,naon,क्षुधा
88,Träne::N,daer,आँसू
89,Träne::N,daer,अश्रु
90,Geschmack::N,blaz,स्वाद
91,Geschmack::N,blaz,ज़ायक़ा
92,Geruch::N,c'hwezh,बू
93,Geruch::N,c'hwezh,गंध
94,Schlaf::N,kousked,नींद
95,Schlaf::N,kousked,निद्रा
96,Traum::N,hune,सपना
97,Traum::N,hune,स्वप्न
98,Himmel::N,oabl,आकाश
99,Himmel::N,oabl,आसमान
100,Sonne::N,heol,रवि
101,Sonne::N,heol,सूरज
102,Sonne::N,heol,सूर्य
103,Mond::N,loar,चाँद
104,Mond::N,loar,चंद्र
105,Stern::N,steredenn,तारा
106,Stern::N,steredenn,सितारा
107,Luft::N,aer,हवा
108,Luft::N,aer,वायु
109,Wind::N,avel,पाद
110,Welle::N,houlenn,लहर
111,Welle::N,houlenn,तरंग
112,Wasser::N,dour,जल
113,Wasser::N,dour,पानी
114,Stein::N,maen,पत्थर
115,Boden::N,tachenn,मिट्टी
116,Erde::N,douar,भूमि
117,Erde::N,douar,ज़मीन
118,Staub::N,poultr,धूल
119,Rauch::N,moged,धूआँ
120,Rauch::N,moged,धुम्र
121,Funke::N,ful,चिनगारी
122,Funke::N,ful,स्फुलिंग
123,Feuer::N,tan,आग
124,Feuer::N,tan,आतिश
125,Feuer::N,tan,अग्नि
126,Licht::N,gouloù,रोशनी
127,Licht::N,gouloù,प्रकाश
128,Schatten::N,disheol,छाया
129,Schatten::N,disheol,परछाई
130,Wetter::N,amzer,ऋतु
131,Wetter::N,amzer,मौसम
132,Nebel::N,brumenn,धुँध
133,Nebel::N,brumenn,कुहरा
134,Wolke::N,koumoulenn,मेघ
135,Wolke::N,koumoulenn,अभ्र
136,Regen::N,glav,मेंह
137,Regen::N,glav,बारिश
138,Schnee::N,erc'h,हिम
139,Schnee::N,erc'h,बर्फ़
140,Eis::N,skorn,हिम
141,Eis::N,skorn,बर्फ़
142,Frost::N,rev,ठंड
143,Kälte::N,yen,सर्दी
144,Kälte::N,yen,शीतलता
145,Hitze::N,tommder,ताप
146,Hitze::N,tommder,गरमी
147,Raureif::N,frim,पाला
148,Regenbogen::N,gwareg-ar-glav,इंद्र-धनुष
149,Donner::N,kurun,गरज
150,Donner::N,kurun,मेघ-गर्जन
151,Strömung::N,red,बहाव
152,Strömung::N,red,प्रवाह
153,Tropfen::N,bannac'h,बूँद
154,Tropfen::N,takenn,बूँद
155,Schaum::N,spoum,झाग
156,Schmutz::N,fank,गंद
157,Schmutz::N,fank,कीचड़
158,See::N,lenn,झील
159,See::N,lenn,सरोवर
160,Sumpf::N,gwern,दलदल
161,Sumpf::N,gwern,धँसान
162,Moor::N,taouarc'heg,झाबर
163,Moor::N,taouarc'heg,धँसान
164,Wiese::N,prad,घास-स्थल
165,Wald::N,koad,जंगल
166,Hügel::N,torgenn,टीला
167,Hügel::N,torgenn,पहाड़
168,Anhöhe::N,run,टीला
169,Anhöhe::N,run,पहाड़ी
170,Berg::N,menez,पहाड़
171,Gipfel::N,barr,शिखर
172,Höhle::N,kav,गुहा
173,Höhle::N,kav,गुफ़ा
174,Abhang::N,naou,ढाल
175,Abhang::N,naou,ढलान
176,Quelle::N,feunteun,चश्मा
177,Bach::N,gwazh,सोता
178,Bach::N,gwazh,नदिका
179,Fluss::N,stêr,नदी
180,Fluss::N,stêr,सरिता
181,Ufer::N,ribl,तट
182,Ufer::N,ribl,किनारा
183,Küste::N,aod,समुद्र-तट
184,Festland::N,douar,महाद्वीप
185,Meer::N,mor,सागर
186,Meer::N,mor,समुद्र
187,Bucht::N,mor-bihan,खाड़ी
188,Insel::N,enez,टापू
189,Insel::N,enez,द्वीप
190,Blume::N,bleunienn,फूल
191,Blume::N,bleunienn,पुष्प
192,Gras::N,geot,घास
193,Wurzel::N,gwrizienn,मूल
194,Baum::N,gwezenn,पेड़
195,Baum::N,gwezenn,वृक्ष
196,Stamm::N,kef,धड़
197,Rinde::N,rusk,छाल
198,Rinde::N,rusk,वल्कल
199,Ast::N,barr,डाल
200,Ast::N,barr,शाखा
201,Zweig::N,bod,टहनी
202,Blatt::N,delienn,पत्र
203,Blatt::N,delienn,पत्ता
204,Birke::N,bezvenn,भूर्ज
205,Kiefer[Baum]::N,pinenn,पाइन-वृक्ष
206,Weide[Baum]::N,halegenn,बेंत
207,Tanne::N,sapenn,फ़र
208,Horn::N,korn,सींग
209,Horn::N,korn,विषाण
210,Feder::N,pluñv,पर
211,Feder::N,pluñv,पंख
212,Fell::N,kreoñ,खाल
213,Fell::N,kreoñ,पशु-चर्म
214,Flügel::N,askell,पंख
215,Flügel::N,askell,डैना
216,Klaue::N,skilf,पंजा
217,Kralle::N,skilf,पंजा
218,Kralle::N,skilf,नाख़ून
219,Schwanz::N,lost,पूँछ
220,Ei::N,vi,अंडा
221,Nest::N,neizh,नीड़
222,Nest::N,neizh,घोंसला
223,Bau::N,douarenn,बिल
224,Bau::N,douarenn,माँद
225,Tier::N,loen,पशु
226,Tier::N,loen,जानवर
227,Herde::N,tropell,गल्ला
228,Kuh::N,buoc'h,गौ
229,Kuh::N,buoc'h,गाय
230,Bulle::N,tarv,साँड़
231,Pferd::N,marc'h,अश्व
232,Pferd::N,marc'h,घोड़ा
233,Schaf::N,dañvad,भेड़
234,Schwein::N,pemoc'h,शूकर
235,Hund::N,ki,श्वान
236,Hund::N,ki,कुत्ता
237,Katze::N,kazh,बिल्ली
238,Bär::N,arzh,रीछ
239,Bär::N,arzh,भालू
240,Eichhörnchen::N,gwiñver,गिलहरी
241,Elch::N,karv-dour,एल्क
242,Fuchs::N,louarn,लोमड़ी
243,Hase::N,gad,खरहा
244,Hase::N,gad,ख़रगोश
245,Maus::N,logodenn,मूष
246,Maus::N,logodenn,चूहा
247,Wolf::N,bleiz,वृक
248,Wolf::N,bleiz,भेड़िया
249,Vogel::N,labous,पक्षी
250,Vogel::N,labous,चिड़िया
251,Schwarm::N,nijad,झुंड
252,Huhn::N,yar,मुर्ग़ी
