,Concept_ID,kn,ku
0,Auge::N,ಕಣ್ಣು,çav
1,Ohr::N,ಕಿವಿ,guh
2,Nase::N,ಮೂಗು,bêvil
3,Mund::N,ಬಾಯಿ,dev
4,Zahn::N,ಹಲ್ಲು,didan
5,Zunge::N,ನಾಲಿಗೆ,ziman
6,Lippe::N,ತುಟಿ,lêv
7,Wange::N,ಗಲ್ಲ,dêm
8,Wange::N,ಗಲ್ಲ,hinarik
9,Gesicht::N,ಮುಖ,rû
10,Stirn::N,ಹಣೆ,enî
11,Haar::N,ಕೂದಲು,por
12,Schnurrbart::N,ಮೀಸೆ,simbêl
13,Bart::N,ಗಡ್ಡ,rih
14,Kinn::N,ಗದ್ದ,zenî
15,Kiefer[Anatomie]::N,ದವಡೆ,arguşk
16,Kehle::N,ಗಂಟಲು,qirik
17,Hals::N,ಕೊರಳು,stû
18,Hals::N,ಕೊರಳು,qirik
19,Genick::N,ಹಿಂಗತ್ತು,stû
20,Kopf::N,ತಲೆ,serî
21,Rücken::N,ಬೆನ್ನು,pişt
22,Bauch::N,ಹೊಟ್ಟೆ,ûr
23,Bauch::N,ಹೊಟ್ಟೆ,zik
24,Nabel::N,ಹೊಕ್ಕುಳು,navik
25,Busen::N,ಸ್ತನ,sîng
26,Brust::N,ಎದೆ,sîng
27,Schulter::N,ಭುಜ,mil
28,Arm::N,ತೋಳು,çepil
29,Ellenbogen::N,ಮೊಣಕೈ,enîşk
30,Hand::N,ಕೈ,dest
31,Handfläche::N,ಅಂಗೈ,kefadest
32,Finger::N,ಕೈಬೆರಳು,tilî
33,Fingernagel::N,ಉಗುರು,neynuk
34,Nagel[Anatomie]::N,ಉಗುರು,bizmar
35,Zeh::N,ಕಾಲ್ಬೆರಳು,tilî linga
36,Fuß::N,ಪಾದ,ling
37,Ferse::N,ಹಿಮ್ಮಡಿ,pahnî
38,Knie::N,ಮಂಡಿ,kabok
39,Oberschenkel::N,ತೊಡೆ,rahn
40,Bein::N,ಕಾಲು,çip
41,Körper::N,ದೇಹ,laş
42,Körper::N,ದೇಹ,gowde
43,Haut::N,ಚರ್ಮ,çerm
44,Blut::N,ರಕ್ತ,xwîn
45,Ader::N,ನರ,reh
46,Sehne::N,ನರ,reh
47,Knochen::N,ಮೂಳೆ,hestî
48,Gehirn::N,ಮಿದುಳು,mêjî
49,Herz::N,ಹೃದಯ,dil
50,Magen::N,ಉದರ,navêş
51,Leber::N,ಯಕೃತ್ತು,kezeb
52,Atem::N,ಉಸಿರು,hilm
53,Hunger::N,ಹಸಿವು,birçîtî
