,Concept_ID,da,es
0,Auge::N,øje,ojo
1,Ohr::N,øre,oreja
2,Nase::N,næse,nariz
3,Mund::N,mund,boca
4,Zahn::N,tand,diente
5,Zunge::N,tunge,lengua
6,Lippe::N,læbe,labio
7,Wange::N,kind,mejilla
8,Gesicht::N,ansigt,cara
9,Stirn::N,pande,frente
10,Haar::N,hår,cabello
11,Schnurrbart::N,overskæg,bigote
12,Bart::N,skæg,barba
13,Kinn::N,hage,barbilla
14,Kiefer[Anatomie]::N,kæbe,mandíbula
15,Kehle::N,strube,garganta
16,Hals::N,hals,cuello
17,Genick::N,nakke,nuca
18,Genick::N,nakke,cerviz
19,Kopf::N,hoved,cabeza
20,Rücken::N,ryg,espalda
21,Bauch::N,mave,vientre
22,Nabel::N,navle,ombligo
23,Busen::N,barm,pecho
24,Brust::N,bryst,pecho
25,Schulter::N,skulder,hombro
26,Arm::N,arm,brazo
27,Ellenbogen::N,albue,codo
28,Hand::N,hånd,mano
29,Handfläche::N,håndflade,palma
30,Finger::N,finger,dedo
31,Fingernagel::N,fingernegl,uña
32,Nagel[Anatomie]::N,negl,uña
33,Zeh::N,tå,dedo del pie
34,Fuß::N,fod,pie
35,Ferse::N,hæl,talón
36,Knie::N,knæ,rodilla
37,Oberschenkel::N,lår,muslo
38,Bein::N,ben,pierna
39,Körper::N,krop,cuerpo
40,Körper::N,legeme,cuerpo
41,Haut::N,hud,piel
42,Blut::N,blod,sangre
43,Ader::N,åre,vena
44,Sehne::N,sene,tendón
45,Knochen::N,ben,hueso
46,Gehirn::N,hjerne,cerebro
47,Gehirn::N,hjerne,encéfalo
48,Herz::N,hjerte,corazón
49,Magen::N,mave,estómago
50,Leber::N,lever,hígado
51,Atem::N,ånde,aliento
52,Hunger::N,sult,hambre
53,Träne::N,tåre,lágrima
54,Geschmack::N,smag,gusto
55,Geruch::N,lugt,olor
56,Schlaf::N,søvn,sueño
57,Traum::N,drøm,sueño
58,Traum::N,drøm,ensueño
59,Himmel::N,himmel,cielo
60,Sonne::N,sol,sol
61,Mond::N,måne,luna
62,Stern::N,stjerne,estrella
63,Luft::N,luft,aire
64,Wind::N,vind,viento
65,Welle::N,bølge,ola
66,Welle::N,bølge,onda
67,Wasser::N,vand,agua
68,Stein::N,sten,piedra
69,Boden::N,jord,suelo
70,Erde::N,jord,tierra
71,Staub::N,støv,polvo
72,Rauch::N,røg,humo
73,Funke::N,gnist,chispa
74,Feuer::N,ild,fuego
75,Licht::N,lys,luz
76,Schatten::N,skygge,sombra
77,Wetter::N,vejr,tiempo
78,Nebel::N,tåge,niebla
79,Wolke::N,sky,nube
80,Regen::N,regn,lluvia
81,Schnee::N,sne,nieve
82,Eis::N,is,hielo
83,Frost::N,frost,helada
84,Kälte::N,kulde,frío
85,Hitze::N,hede,calor
86,Raureif::N,rimfrost,escarcha
87,Regenbogen::N,regnbue,arco iris
88,Donner::N,torden,trueno
89,Strömung::N,strømning,corriente
90,Tropfen::N,dråbe,gota
91,Schaum::N,skum,espuma
92,Schmutz::N,snavs,suciedad
93,See::N,sø,lago
94,Sumpf::N,sump,pantano
95,Moor::N,mose,turbera
96,Wiese::N,eng,prado
97,Wiese::N,eng,pradera
98,Wald::N,skov,bosque
99,Hügel::N,høj,colina
100,Hügel::N,bakke,colina
101,Anhöhe::N,høj,cerro
102,Anhöhe::N,bakke,cerro
103,Berg::N,bjerg,monte
104,Berg::N,bjerg,montaña
105,Gipfel::N,top,cima
106,Gipfel::N,top,cumbre
107,Höhle::N,hule,cueva
108,Höhle::N,hule,caverna
109,Abhang::N,skrænt,cuesta
110,Abhang::N,skrænt,declive
111,Abhang::N,skråning,cuesta
112,Abhang::N,skråning,declive
113,Quelle::N,kilde,fuente
114,Quelle::N,kilde,manantial
115,Bach::N,bæk,arroyo
116,Fluss::N,flod,río
117,Ufer::N,bred,orilla
118,Küste::N,kyst,costa
119,Festland::N,fastland,tierra firme
120,Meer::N,hav,mar
121,Bucht::N,bugt,cala
122,Bucht::N,bugt,bahía
123,Insel::N,ø,isla
124,Blume::N,blomst,flor
125,Gras::N,græs,hierba
126,Wurzel::N,rod,raíz
127,Baum::N,træ,árbol
128,Stamm::N,stamme,tronco
129,Rinde::N,bark,corteza
130,Ast::N,gren,rama
131,Zweig::N,kvist,ramo
132,Blatt::N,blad,hoja
133,Birke::N,birk,abedul
134,Kiefer[Baum]::N,fyrretræ,pino
135,Weide[Baum]::N,piletræ,sauce
136,Tanne::N,gran,abeto
137,Horn::N,horn,asta
138,Horn::N,horn,cuerno
139,Feder::N,fjer,pluma
140,Fell::N,skind,piel
141,Flügel::N,vinge,ala
142,Klaue::N,klov,garra
143,Kralle::N,klo,uña
144,Kralle::N,klo,garra
145,Schwanz::N,hale,cola
146,Ei::N,æg,huevo
147,Nest::N,rede,nido
148,Bau::N,bo,madriguera
149,Tier::N,dyr,animal
150,Herde::N,flok,rebaño
151,Kuh::N,ko,vaca
152,Bulle::N,tyr,toro
153,Pferd::N,hest,caballo
154,Schaf::N,får,oveja
155,Schwein::N,gris,cerdo
156,Hund::N,hund,perro
157,Katze::N,kat,gato
158,Bär::N,bjørn,oso
159,Eichhörnchen::N,egern,ardilla
160,Elch::N,elg,alce
161,Fuchs::N,ræv,zorro
162,Hase::N,hare,liebre
163,Maus::N,mus,ratón
164,Wolf::N,ulv,lobo
165,Vogel::N,fugl,ave
166,Vogel::N,fugl,pájaro
167,Schwarm::N,sværm,bandada
168,Huhn::N,høne,gallina
169,Hahn::N,hane,gallo
170,Gans::N,gås,oca
171,Gans::N,gås,ganso
172,Adler::N,ørn,águila
173,Ente::N,and,pato
174,Eule::N,ugle,lechuza
175,Kranich::N,trane,grulla
