,Concept_ID,mhr,sl
0,Auge::N,шинча́,okó
1,Ohr::N,пы́лыш,uhó
2,Nase::N,нер,nós
3,Mund::N,умша́,ústa
4,Zahn::N,пӱй,zób
5,Zunge::N,йы́лме,jêzik
6,Lippe::N,тӱ́рвӧ,ústnica
7,Wange::N,шӱ́ргӧ,líce
8,Gesicht::N,чури́й,oblíčje
9,Stirn::N,саҥга́,čêlo
10,Haar::N,ӱп,lás
11,Schnurrbart::N,ӧ́рыш,bŕki
12,Bart::N,понда́ш,bráda
13,Kinn::N,оҥыла́ш,bráda
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,čeljúst
15,Kiefer[Anatomie]::N,пӱйората́,čeljúst
16,Kehle::N,лога́р,gŕlo
17,Hals::N,шӱй,vrát
18,Genick::N,шӱйло́дыш,zatílnik
19,Kopf::N,вуй,gláva
20,Rücken::N,туп,hrbèt
21,Bauch::N,мӱ́шкыр,trébuh
22,Nabel::N,кы́лымде,pópek
23,Busen::N,чы́зе,nédrja
24,Brust::N,оҥ,pŕsi
25,Schulter::N,ва́че,ráma
26,Schulter::N,ва́че,plêče
27,Arm::N,кид,rôka
28,Ellenbogen::N,кынерву́й,komólec
29,Hand::N,кид,rôka
30,Hand::N,копа́,rôka
31,Handfläche::N,со́во,dlán
32,Finger::N,парня́,pŕst
33,Fingernagel::N,кидкӱ́ч,nóht na rôki
34,Fingernagel::N,парнягӱ́ч,nóht na rôki
35,Nagel[Anatomie]::N,кӱч,nóht
36,Zeh::N,йолварня́,pŕst na nôgi
37,Fuß::N,йол,nôga
38,Fuß::N,йолкопа́,nôga
39,Ferse::N,тага́н,pêta
40,Knie::N,пулву́й,koléno
41,Oberschenkel::N,э́рде,stêgno
42,Bein::N,йол,nôga
43,Körper::N,кап,teló
44,Haut::N,кова́ште,kóža
45,Blut::N,вӱр,krí
46,Ader::N,шӧн,žíla
47,Sehne::N,шӧн,kíta
48,Sehne::N,кӱсе́н,kíta
49,Knochen::N,лу,kóst
50,Gehirn::N,вем,možgáni
51,Gehirn::N,вуйве́м,možgáni
52,Herz::N,шӱм,srcé
53,Magen::N,пага́р,želódec
54,Leber::N,мокш,jétra
55,Atem::N,шӱ́лыш,díh
56,Hunger::N,шужыма́ш,glád
57,Träne::N,шинчавӱ́д,sólza
58,Geschmack::N,там,okús
59,Geruch::N,пуш,vónj
60,Schlaf::N,о́мо,sèn
61,Schlaf::N,о́мо,spánec
62,Traum::N,йӱдо́мо,sánje
63,Himmel::N,кава́,nebó
64,Sonne::N,ке́че,sónce
65,Mond::N,ты́лзе,lúna
66,Mond::N,ты́лзе,mésec
67,Stern::N,шӱ́дыр,zvézda
68,Luft::N,юж,zràk
69,Wind::N,марде́ж,véter
70,Welle::N,то́лкын,vál
71,Wasser::N,вӱд,vôda
72,Stein::N,кӱ,kámen
73,Boden::N,рок,tlà
74,Erde::N,мла́нде,pŕst
75,Erde::N,мла́нде,zêmlja
76,Staub::N,пура́к,práh
77,Rauch::N,шикш,dìm
78,Funke::N,сеске́м,ískra
79,Funke::N,тулйы́п,ískra
80,Feuer::N,тул,ôgenj
81,Licht::N,со́то,lúč
82,Schatten::N,ӱ́мыл,sénca
83,Wetter::N,иге́че,vrême
84,Nebel::N,тӱтыра́,meglà
85,Wolke::N,пыл,oblák
