,Concept_ID,ro,sq
0,Auge::N,ochi,sy
1,Ohr::N,ureche,vesh
2,Nase::N,nas,hundë
3,Mund::N,gură,gojë
4,Zahn::N,dinte,dhëmb
5,Zunge::N,limbă,gjuhë
6,Lippe::N,buză,buzë
7,Wange::N,bucă,faqe
8,Wange::N,bucă,mollëz
9,Wange::N,obraz,faqe
10,Wange::N,obraz,mollëz
11,Gesicht::N,față,fytyrë
12,Gesicht::N,figură,fytyrë
13,Stirn::N,frunte,ballë
14,Haar::N,păr,flokë
15,Schnurrbart::N,mustață,mustaqe
16,Bart::N,barbă,mjekër
17,Kinn::N,bărbie,mjekër
18,Kiefer[Anatomie]::N,falcă,nofull
19,Kehle::N,beregată,fyt
20,Kehle::N,beregată,grykë
21,Hals::N,gât,qafë
22,Genick::N,ceafă,arrëz
23,Kopf::N,cap,kokë
24,Rücken::N,dos,kurriz
25,Rücken::N,spate,kurriz
26,Rücken::N,spinare,kurriz
27,Bauch::N,burtă,bark
28,Bauch::N,pântece,bark
29,Nabel::N,buric,kërthizë
30,Busen::N,sân,gji
31,Brust::N,piept,gjoks
32,Brust::N,piept,kraharor
33,Schulter::N,umăr,sup
34,Schulter::N,umăr,krah
35,Schulter::N,spate,sup
36,Schulter::N,spate,krah
37,Arm::N,braț,krah
38,Ellenbogen::N,cot,bërryl
39,Hand::N,mână,dorë
40,Handfläche::N,palmă,pëllëmbë
41,Finger::N,deget,gisht
42,Fingernagel::N,unghie,thua
43,Nagel[Anatomie]::N,unghie,thua
44,Zeh::N,deget de la picior,gisht i këmbës
45,Fuß::N,picior,këmbë
46,Ferse::N,călcâi,thembër
47,Knie::N,genunchi,gju
48,Oberschenkel::N,coapsă,kofshë
49,Bein::N,picior,këmbë
50,Körper::N,corp,trup
51,Haut::N,piele,lëkurë
52,Blut::N,sânge,gjak
53,Ader::N,vână,venë
54,Ader::N,arteră,venë
55,Sehne::N,tendon,dell
56,Knochen::N,os,asht
57,Knochen::N,os,kockë
58,Gehirn::N,creier,tru
59,Herz::N,inimă,zemër
60,Magen::N,stomac,stomak
61,Leber::N,ficat,mëlçi
62,Atem::N,răsuflare,frymë
63,Atem::N,respirație,frymë
64,Hunger::N,foame,uri
65,Träne::N,lacrimă,lot
66,Geschmack::N,gust,shije
67,Geruch::N,miros,erë
68,Schlaf::N,somn,gjumë
69,Traum::N,vis,ëndërr
70,Himmel::N,cer,qiell
71,Sonne::N,soare,diell
72,Mond::N,lună,hënë
73,Stern::N,stea,yll
