,Concept_ID,et,lt
0,Auge::N,silm,akis
1,Ohr::N,kõrv,ausis
2,Nase::N,nina,nosis
3,Mund::N,suu,burna
4,Zahn::N,hammas,dantis
5,Zunge::N,keel,liežuvis
6,Lippe::N,huul,lūpa
7,Wange::N,põsk,žandas
8,Wange::N,põsk,skruostas
9,Gesicht::N,nägu,veidas
10,Stirn::N,otsmik,kakta
11,Haar::N,juus,plaukai
12,Schnurrbart::N,vurrud,ūsai
13,Schnurrbart::N,vuntsid,ūsai
14,Bart::N,habe,barzda
15,Kinn::N,lõug,smakras
16,Kiefer[Anatomie]::N,lõualuu,žandikaulis
17,Kehle::N,kõri,gerklė
18,Hals::N,kael,kaklas
19,Genick::N,kukal,sprandas
20,Kopf::N,pea,galva
21,Rücken::N,selg,nugara
22,Bauch::N,kõht,pilvas
23,Nabel::N,naba,bamba
24,Busen::N,rind,krūtinė
25,Brust::N,rind,krūtis
26,Schulter::N,õlg,petys
27,Arm::N,käsivars,ranka
28,Ellenbogen::N,küünarnukk,alkūnė
29,Hand::N,käsi,ranka
30,Hand::N,käsi,plaštaka
31,Handfläche::N,pihk,delnas
32,Handfläche::N,pihk,plaštaka
33,Finger::N,sõrm,pirštas
34,Fingernagel::N,küüs,nagas
35,Nagel[Anatomie]::N,küüs,nagas
36,Zeh::N,varvas,pirštas
37,Fuß::N,jalg,pėda
38,Ferse::N,kand,kulnas
39,Knie::N,põlv,kelis
40,Oberschenkel::N,reis,kulšis
41,Oberschenkel::N,reis,šlaunis
42,Bein::N,jalg,koja
43,Körper::N,ihu,kūnas
44,Körper::N,keha,kūnas
45,Haut::N,nahk,oda
46,Blut::N,veri,kraujas
47,Ader::N,veen,kraujagyslė
48,Sehne::N,kõõlus,sausgyslė
49,Knochen::N,luu,kaulas
50,Gehirn::N,aju,smegenys
51,Herz::N,süda,širdis
52,Magen::N,magu,skrandis
53,Leber::N,maks,kepenys
54,Atem::N,hingeõhk,kvapas
55,Atem::N,hingamine,kvapas
56,Hunger::N,nälg,badas
57,Hunger::N,nälg,alkis
58,Träne::N,pisar,ašara
59,Geschmack::N,maitse,skonis
60,Geruch::N,lõhn,kvapas
61,Schlaf::N,uni,miegas
62,Traum::N,unenägu,sapnas
63,Himmel::N,taevas,dangus
64,Sonne::N,päike,saulė
65,Mond::N,kuu,mėnulis
66,Stern::N,täht,žvaigždė
67,Luft::N,õhk,oras
68,Wind::N,tuul,vėjas
69,Welle::N,laine,banga
70,Welle::N,laine,vilnis
71,Wasser::N,vesi,vanduo
72,Stein::N,kivi,akmuo
73,Boden::N,maa,žemė
74,Boden::N,maa,dugnas
75,Boden::N,pinnas,žemė
76,Boden::N,pinnas,dugnas
77,Erde::N,maa,žemė
78,Staub::N,põrm,dulkės
79,Rauch::N,suits,dūmai
80,Funke::N,säde,kibirkštis
81,Feuer::N,tuli,ugnis
82,Licht::N,valgus,šviesa
83,Schatten::N,vari,paūksmė
84,Wetter::N,ilm,oras
85,Nebel::N,udu,migla
86,Nebel::N,udu,rūkas
87,Wolke::N,pilv,debesis
88,Regen::N,sadu,lietus
89,Schnee::N,lumi,sniegas
90,Eis::N,jää,ledas
91,Frost::N,pakane,šalna
92,Kälte::N,külm,šaltis
93,Kälte::N,külmus,šaltis
94,Hitze::N,kuumus,karštis
95,Hitze::N,palavus,karštis
96,Raureif::N,härmatis,šerkšnas
97,Regenbogen::N,vikerkaar,vaivorykštė
98,Donner::N,kõu,perkūnas
99,Donner::N,kõu,griaustinis
100,Donner::N,müristamine,perkūnas
101,Donner::N,müristamine,griaustinis
102,Strömung::N,voolus,tėkmė
103,Strömung::N,jõevool,tėkmė
104,Tropfen::N,tilk,lašas
105,Schaum::N,vaht,putos
106,Schmutz::N,pori,purvas
107,Schmutz::N,mustus,purvas
108,See::N,järv,ežeras
109,Sumpf::N,soo,klampynė
110,Sumpf::N,soo,liūnas
111,Moor::N,raba,pelkė
112,Wiese::N,aas,pieva
113,Wiese::N,nurm,pieva
114,Wald::N,mets,miškas
115,Hügel::N,küngas,kalva
116,Anhöhe::N,küngas,kauburys
117,Berg::N,mägi,kalnas
118,Gipfel::N,mäetipp,viršūnė
119,Höhle::N,koobas,ola
120,Abhang::N,nõlvak,šlaitas
121,Abhang::N,nõlvak,nuokalnė
122,Quelle::N,allikas,versmė
123,Quelle::N,allikas,šaltinis
124,Bach::N,oja,upelis
125,Fluss::N,jõgi,upė
126,Ufer::N,kallas,krantas
127,Küste::N,rannik,pajūris
128,Festland::N,mander,sausuma
129,Festland::N,maismaa,sausuma
130,Meer::N,meri,jūra
131,Bucht::N,laht,įlanka
132,Bucht::N,laht,užutekis
133,Insel::N,saar,sala
134,Blume::N,lill,gėlė
135,Gras::N,rohi,žolė
136,Wurzel::N,juur,šaknis
137,Baum::N,puu,medis
138,Stamm::N,tüvi,kamienas
139,Rinde::N,koor,žievė
140,Ast::N,oks,šaka
141,Zweig::N,oks,šakelė
142,Blatt::N,leht,lapas
143,Birke::N,kask,beržas
144,Kiefer[Baum]::N,mänd,pušis
145,Weide[Baum]::N,paju,karklas
146,Tanne::N,nulg,eglė
147,Tanne::N,nulg,kėnis
148,Horn::N,sarv,ragas
149,Feder::N,sulg,plunksna
150,Fell::N,karvkate,kailis
151,Fell::N,karusnahk,kailis
152,Flügel::N,tiib,sparnas
153,Flügel::N,tiivik,sparnas
154,Klaue::N,küüs,kanopa
155,Kralle::N,küünis,nagas
156,Schwanz::N,saba,uodega
157,Ei::N,muna,kiaušinis
158,Nest::N,pesa,gūžta
159,Nest::N,pesa,lizdas
160,Bau::N,urg,ola
161,Tier::N,loom,gyvūnas
162,Herde::N,kari,banda
163,Herde::N,kari,kaimenė
164,Kuh::N,lehm,karvė
165,Bulle::N,pull,bulius
166,Pferd::N,hobune,arklys
167,Schaf::N,lammas,avis
168,Schwein::N,siga,kiaulė
169,Hund::N,koer,šuo
170,Katze::N,kass,katė
171,Bär::N,karu,lokys
172,Eichhörnchen::N,orav,voveraitė
