,Concept_ID,kk,az
0,Auge::N,көз,göz
1,Ohr::N,құлақ,qulaq
2,Nase::N,мұрын,burun
3,Mund::N,ауыз,ağız
4,Zahn::N,тіс,diş
5,Zunge::N,тіл,dil
6,Lippe::N,ерін,dodaq
7,Wange::N,ұрт,yanaq
8,Gesicht::N,бет-аузы,üz
9,Stirn::N,маңдай,alın
10,Haar::N,қыл,saç
11,Schnurrbart::N,мұрт,bığ
12,Bart::N,сақал,saqqal
13,Kinn::N,иек,çənə
14,Kiefer[Anatomie]::N,жақ,çənə
15,Kehle::N,алқым,boğaz
16,Hals::N,мойын,boyun
17,Genick::N,желке,ənsə
18,Kopf::N,кәллә,baş
19,Rücken::N,арқа,bel
20,Bauch::N,қарын,qarın
21,Nabel::N,кіндік,göbək
22,Busen::N,омырау,məmə
23,Brust::N,кеуде,döş
24,Schulter::N,иық,çiyin
25,Arm::N,қол,qol
26,Ellenbogen::N,шынтақ,dirsək
27,Hand::N,қол,əl
28,Handfläche::N,алақан,ovuc
29,Finger::N,саусақ,barmaq
30,Fingernagel::N,тырнақ,barmaq dırnağı
31,Nagel[Anatomie]::N,тырнақ,dırnak
32,Zeh::N,тырнақ,ayaq barmağı
33,Zeh::N,тұяқ,ayaq barmağı
34,Fuß::N,аяқ-басы,ayaq
35,Ferse::N,өкше,daban
36,Ferse::N,өкшелік,daban
37,Knie::N,тізе,diz
38,Oberschenkel::N,жамбас,bud
39,Bein::N,аяқ,qıç
40,Körper::N,дене,əndam
41,Haut::N,тері,dəri
42,Blut::N,қан,qan
43,Ader::N,көктамыр,damar
44,Ader::N,күретамыр,damar
45,Sehne::N,сіңір,vətər
46,Knochen::N,жілік,sümük
47,Gehirn::N,ми,beyin
48,Herz::N,жүрек,ürək
49,Magen::N,асқазан,mədə
50,Leber::N,бауыр,qara ciyər
51,Atem::N,леп,nəfəs
52,Hunger::N,ашаршылық,aclıq
53,Träne::N,жас,göz yaşı
54,Geschmack::N,дәм,tam
55,Geschmack::N,дәм,ləzzət
56,Geschmack::N,татым,tam
57,Geschmack::N,татым,ləzzət
58,Geschmack::N,талғам,tam
59,Geschmack::N,талғам,ləzzət
60,Geruch::N,иіс,qoxu
61,Schlaf::N,ұйқы,yuxu
62,Schlaf::N,ұйықтау,yuxu
63,Traum::N,түс,röya
64,Himmel::N,аспан,göy
65,Himmel::N,аспан,səma
66,Himmel::N,көқ,göy
67,Himmel::N,көқ,səma
68,Himmel::N,таңдай,göy
69,Himmel::N,таңдай,səma
70,Sonne::N,күн,günəş
71,Mond::N,ай,ay
72,Stern::N,жұлдыз,ulduz
73,Luft::N,әуе,hava
74,Wind::N,жел,yel
75,Wind::N,жел,külək
76,Welle::N,толқын,dalğa
77,Wasser::N,су,su
78,Stein::N,тас,daş
79,Boden::N,қыртыс,yer
80,Boden::N,қыртыс,zəmin
81,Erde::N,топырақ,yer torpaq
82,Staub::N,шаң,toz
83,Rauch::N,түтін,tüstü
84,Funke::N,ұшқын,qığılcım
85,Feuer::N,алау,od
86,Licht::N,шұғыла,işıq
87,Schatten::N,көлеңке,kölgə
88,Wetter::N,ауа райы,hava
89,Nebel::N,тұман,duman
90,Wolke::N,бұлт,bulud
91,Regen::N,жаңбыр,yağış
92,Regen::N,жаңбыр,yağmur
93,Schnee::N,қар,qar
94,Eis::N,мұз,buz
95,Frost::N,суық,ayaz
96,Kälte::N,ызғар,soyuq
97,Kälte::N,суықтық,soyuq
98,Hitze::N,аптап,coşğunluq
99,Raureif::N,қырау,qırov
100,Regenbogen::N,кемпірқосақ,göy qurşağı
101,Donner::N,күн күркіреу,göy gurultusu
102,Strömung::N,ағын,axın
103,Tropfen::N,тамшы,damcı
104,Schaum::N,көбік,köpük
105,Schmutz::N,кір,çamır
106,See::N,көл,göl
107,Sumpf::N,саз,bataqlıq
108,Moor::N,саз,bataqlıq
109,Wiese::N,шалғын,çəmən
110,Wald::N,орман,meşə
111,Hügel::N,төбе,təpə
112,Hügel::N,белес,təpə
113,Hügel::N,белес-белес,təpə
114,Anhöhe::N,дөң,təpə
115,Anhöhe::N,адыр,təpə
116,Anhöhe::N,қырат,təpə
117,Berg::N,тау,dağ
118,Gipfel::N,төбе,zirvə
119,Höhle::N,үңгір,mağara
120,Abhang::N,бауыр,yamac
121,Quelle::N,қайнар,bulaq
122,Bach::N,жылға,kiçik çay
123,Fluss::N,өзен,çay
124,Ufer::N,жиек,kənar
125,Küste::N,жиегі,sahil
126,Küste::N,жағалау,sahil
127,Festland::N,құрылық,materik
128,Meer::N,теңіз,dəniz
129,Bucht::N,шығанақ,körfəz
130,Insel::N,арал,ada
131,Blume::N,гүл,çiçək
132,Gras::N,от,ot
133,Wurzel::N,түбір,kök
134,Baum::N,ағаш,ağac
135,Baum::N,дарақ,ağac
136,Stamm::N,сояу,gövdə
137,Stamm::N,оқпан,gövdə
138,Rinde::N,қабық,qabıq
139,Ast::N,бұтақ,şax
140,Zweig::N,шыбық,budaq
141,Blatt::N,жапырақ,yarpaq
142,Birke::N,қайың,tozağacı
143,Kiefer[Baum]::N,қарағай,şam
144,Weide[Baum]::N,тал,söyüd
145,Tanne::N,шырша,küknar
146,Horn::N,мүйіз,buynuz
147,Feder::N,қаламұш,tük
148,Feder::N,қаламұш,lələk
149,Fell::N,тері,xəz
150,Flügel::N,қанат,qanad
151,Klaue::N,тырнақ,pəncə
152,Kralle::N,аяқ,dırnaq
153,Schwanz::N,құйрық,quyruq
154,Ei::N,жұмыртқа,yumurta
155,Nest::N,ұя,yuva
156,Bau::N,жатақ,yuva
157,Tier::N,айуан,heyvan
158,Tier::N,жануар,heyvan
159,Herde::N,пада,sürü
160,Kuh::N,сиыр,inək
161,Bulle::N,өгіз,öküz
162,Pferd::N,жылқы,at
163,Schaf::N,қой,qoyun
164,Schwein::N,шошқа,donuz
165,Hund::N,ит,it
166,Hund::N,ит,köpək
167,Katze::N,мысық,pişik
168,Bär::N,аю,ayı
169,Eichhörnchen::N,тиін,dələ
170,Elch::N,бұғы,sığın
171,Fuchs::N,түлкі,tülkü
172,Hase::N,қоян,dovşan
173,Maus::N,қаптесер,siçan
174,Wolf::N,бөрі,qurd
175,Wolf::N,қасқыр,qurd
176,Vogel::N,құс,quş
177,Schwarm::N,топ,sürü
178,Schwarm::N,үйір,sürü
179,Huhn::N,тауық,toyuq
180,Huhn::N,мекиен,toyuq
181,Hahn::N,әтеш,xoruz
182,Hahn::N,қораз,xoruz
183,Gans::N,қаз,qaz
184,Adler::N,бүркіт,qartal
185,Adler::N,бүркіт,qaraquş
186,Ente::N,үйрек,ördək
187,Eule::N,жапалақ,bayquş
188,Kranich::N,тырна,durna
189,Krähe::N,қарға,qarğa
190,Kuckuck::N,көкек,ququ
191,Schwan::N,аққу,qu quşu
192,Fisch::N,балық,balıq
193,Barsch::N,алабұға,tar
194,Hecht::N,шортан,durnabalığı
195,Schlange[Tier]::N,жылан,ilan
196,Wurm::N,шұбалшаң,qurd
197,Spinne::N,өрмекші,hörümçək
198,Ameise::N,қүмырска,qarışqa
199,Laus::N,бит,bit
200,Mücke::N,маса,ağcaqanad
201,Fliege::N,шыбын,milçək
202,Schmetterling::N,көбелек,kəpənək
203,Beere::N,жидек,gilə
204,Apfel::N,алма,alma
205,Pilz::N,қозықұйрық,göbələk
206,Pilz::N,саңыраукулақ,göbələk
207,Zwiebel::N,жуа,soğan
208,Saat::N,тұқым,əkin
209,Korn::N,дән,taxıl
210,Heu::N,шөп,quru ot
211,Schale::N,қабық,qabıq
212,Schale::N,қабығы,qabıq
213,Grube::N,ор,çuxur
214,Falle::N,дұзақ,tələ
215,Falle::N,дұзақ,duzaq
216,Falle::N,қақпан,tələ
217,Falle::N,қақпан,duzaq
218,Schlinge::N,ілмек,ilmək
219,Spur::N,із,iz
220,Asche::N,күл,kül
221,Dreck::N,былғаныш,kir
222,Eisen::N,темір,dəmir
223,Gold::N,алтын,altun
224,Silber::N,күміс,gümüş
225,Kohle::N,көмір,kömür
226,Glas::N,шыны,şüşə
227,Lehm::N,балшық,gil
228,Lehm::N,балшық,palçıq
229,Sand::N,құм,qum
230,Mensch::N,адам,adam
231,Mensch::N,адам,insan
232,Mann::N,еркек,kişi
233,Mann::N,ер адам,kişi
234,Frau::N,бике,qadın
235,Frau::N,қатын,qadın
236,Kind::N,бала,uşaq
237,Kind::N,перзент,uşaq
238,Junge::N,бала,oğlan
239,Junge::N,ер бала,oğlan
240,Mädchen::N,қыз,qız
241,Familie::N,жанұя,ailə
242,Großvater::N,ата,baba
243,Großmutter::N,әже,nənə
244,Großmutter::N,әжей,nənə
245,Eltern::N,ата-аналар,valideyn
246,Vater::N,әке,ata
247,Mutter::N,ана,ana
248,Sohn::N,ұл,oğul
249,Tochter::N,қызым,qız
250,Bruder::N,бауырым,qardaş
251,Schwester::N,әпке,bacı
252,Onkel::N,көке,əmi
253,Onkel::N,көке,dayı
254,Tante::N,тәте,bibi
255,Ehemann::N,ер,ər
256,Ehefrau::N,зайып,arvad
257,Freude::N,қуаныш,nəşə
258,Freude::N,қуаныш,sevinc
259,Freude::N,сүйініш,nəşə
260,Freude::N,сүйініш,sevinc
261,Freude::N,шат-думан,nəşə
262,Freude::N,шат-думан,sevinc
263,Freude::N,қуаныштылық,nəşə
264,Freude::N,қуаныштылық,sevinc
265,Gelächter::N,күлу,gülüş
266,Gelächter::N,күлу,qəhqəhə
267,Glück::N,бақыт,səadət
268,Glück::N,бақыт,xoşbəxtlik
269,Glück::N,бақыттылық,səadət
270,Glück::N,бақыттылық,xoşbəxtlik
271,Kummer::N,аза,qəm
272,Kummer::N,аза,kədər
273,Kummer::N,қайғы,qəm
274,Kummer::N,қайғы,kədər
275,Kummer::N,қасырет,qəm
276,Kummer::N,қасырет,kədər
277,Wunsch::N,мүдде,arzu
278,Lust::N,тәбет,həvəs
279,Lust::N,ынтызар,həvəs
280,Lust::N,құштарлық,həvəs
281,Geist::N,рух,ruh
282,Gedanke::N,ой,fikir
283,Gedanke::N,ой,düşüncə
284,Gedächtnis::N,ес,xatir
285,Gedächtnis::N,ес,hafizə
286,Gedächtnis::N,жады,xatir
287,Gedächtnis::N,жады,hafizə
288,Gedächtnis::N,ақыл-ес,xatir
289,Gedächtnis::N,ақыл-ес,hafizə
290,Verstand::N,ақыл,ağıl
291,Verstand::N,парасат,ağıl
292,Sinn::N,мән,məna
293,Sinn::N,маныз,məna
294,Sinn::N,мағына,məna
295,Sinn::N,мән-мағына,məna
296,Grund::N,себеп,səbəb
297,Wahrheit::N,рас,haqq
298,Wahrheit::N,рас,doğruluq
299,Gespräch::N,әңгіме,söhbət
300,Gespräch::N,әңгіме,qonuşma
301,Märchen::N,ертеп,nağıl
302,Märchen::N,ертек,nağıl
303,Erzählung::N,әңгіме,hekayə
304,Nachricht::N,хабар,xəbər
305,Neuigkeit::N,жаңалық,xəbər
306,Neuigkeit::N,жаңалық,yenilik
307,Name::N,ат,ad
308,Name::N,атау,ad
309,Rätsel::N,жұмбақ,tapmaca
310,Rede::N,сөз,nitq
311,Sprache::N,тіл,dil
312,Stimme::N,үн,səs
313,Stimme::N,әуен,səs
314,Stimme::N,дауыс,səs
315,Wort::N,сөз,söz
316,Wort::N,сөз,kəlmə
317,Zeichen::N,ишара,nişan
318,Ruf::N,айғай,çığırtı
319,Lärm::N,айғай-шу,gurultu
320,Lärm::N,айғай-ұйғай,gurultu
321,Laut::N,дыбыс,səs
322,Laut::N,дауыс,səs
323,Ton::N,әуен,ton
324,Lied::N,ән,mahnı
325,Lied::N,жыр,mahnı
326,Lied::N,ән-жыр,mahnı
327,Ruhe::N,тыныштық,sakitlik
328,Leute::N,кісілер,xalq
329,Volk::N,халық,millət
330,Arbeit::N,еңбек,iş
331,Arbeit::N,еңбек,əmək
332,Gast::N,қонақ,qonaq
333,Gast::N,қонақ,müsafir
334,Gast::N,мейман,qonaq
335,Gast::N,мейман,müsafir
336,Geschenk::N,қадия,hədiyyə
337,Spiel::N,ойын,oyun
338,Spiel::N,ойын,tamaşa
339,Gesellschaft::N,қауым,cəmiyyet
340,Gesellschaft::N,жұртшылық,cəmiyyet
341,Hilfe::N,жэрдем,kömək
342,Hilfe::N,жэрдем,yardım
343,Freund::N,дос,dost
344,Kamerad::N,дос-жар,yoldaş
345,Angelegenheit::N,жұмыс,iş
346,Anzahl::N,сан,say
347,Anzahl::N,саны,say
348,Art::N,түр,çeşid
349,Stück::N,тілім,dənə
350,Stück::N,тілім,parça
351,Teil::N,үлес,qisim
352,Teil::N,бөлшек,qisim
353,Hälfte::N,жарты,yarım
354,Kreis::N,шеңбер,dairə
355,Kreuz::N,крест,xaç
356,Linie::N,сызық,xətt
357,Strich::N,сызық,cızıq
358,Abstand::N,ара,məsafə
359,Abstand::N,аралық,məsafə
360,Entfernung::N,аралық,məsafə
361,Entfernung::N,аралық,uzaqlıq
362,Gegend::N,өңір,bölgə
363,Platz::N,орны,yer
364,Ort::N,орын,yer
365,Seite::N,жақ,yan
366,Seite::N,жақ,tərəf
367,Seite::N,бүйір,yan
368,Seite::N,бүйір,tərəf
369,Mitte::N,ортасы,orta
370,Gegenstand::N,зат,şey
371,Gegenstand::N,нәрсе,şey
372,Sache::N,бұйым,şey
373,Rand::N,шет,kənar
374,Rand::N,шеті,kənar
375,Kante::N,қыр,tiyə
376,Kante::N,қыр,kənar
377,Kante::N,қыры,tiyə
378,Kante::N,қыры,kənar
379,Ecke::N,қыры,bucaq
380,Ecke::N,бұрыш,bucaq
381,Spitze::N,ұшы,uc
382,Ende::N,аяқ,son
383,Ende::N,аяқ,axır
384,Ende::N,соңы,son
385,Ende::N,соңы,axır
386,Loch::N,тесік,deşik
387,Winkel::N,мүйіс,guşə
388,Muster::N,мәнер,ülgü
389,Größe::N,ауқым,böyüklük
390,Größe::N,көлемдік,böyüklük
391,Länge::N,бой,uzunluq
392,Länge::N,ұзындық,uzunluq
393,Höhe::N,жоғарылық,yüksəklik
394,Höhe::N,биіктік,yüksəklik
395,Gewicht::N,салмақ,çəki
396,Gewicht::N,салмақ,ağırlıq
397,Menge::N,мөлшер,miqdar
398,Haufen::N,үйме,yığın
399,Haufen::N,үйінді,yığın
400,Reihe::N,сап,səf
401,Reihe::N,сап,sıra
402,Boot::N,қайық,qayıq
403,Ruder::N,ескек,kürək
404,Schlitten::N,шана,kirşə
405,Ski::N,шаңғы,xizək
406,Lagerfeuer::N,алау,düşərgə tonqalı
407,Last::N,ауырлық,yük
408,Last::N,ауыр зат,yük
409,Gang::N,жүріс,yeriş
410,Schritt::N,адым,addım
411,Norden::N,солтүстік,şimal
412,Norden::N,терістік,şimal
413,Süden::N,оңтүстік,cənub
414,Westen::N,батыс,qərb
415,Osten::N,күншығыс,şərq
416,Holz::N,ағаш,ağac
417,Holz::N,ағаш,taxta
418,Holz::N,сүрек,ağac
419,Holz::N,сүрек,taxta
420,Brett::N,тақта,taxta
421,Platte::N,тақта,lövhə
422,Stütze::N,тіреу,dayaq
423,Stütze::N,тіреу,dəstək
424,Stange::N,қада,şüvül
425,Stock::N,сойыл,dəyənək
426,Stab::N,сырық,əsa
427,Stab::N,сырық,şüvül
428,Rohr::N,құбыр,boru
