,Concept_ID,ko,xal
0,Auge::N,눈,нүдн
1,Ohr::N,귀,чикн
2,Nase::N,코,хамр
3,Mund::N,입,амн
4,Zahn::N,이,шүдн
5,Zunge::N,혀,келн
6,Lippe::N,입술,урл
7,Wange::N,뺨,халх
8,Gesicht::N,얼굴,нүр
9,Stirn::N,이마,маңна
10,Haar::N,털,үсн
11,Schnurrbart::N,윗수몀,сахл
12,Schnurrbart::N,코밑수염,сахл
13,Bart::N,수엄,сахл
14,Bart::N,수엄,өргнә сахл
15,Kinn::N,아래턱,өргн
16,Kiefer[Anatomie]::N,턱,өргн
17,Kehle::N,인후,хол
18,Hals::N,목,күзүн
19,Genick::N,먹덜이,гиҗг
20,Kopf::N,머리,толһа
21,Rücken::N,든,нурһн
22,Bauch::N,배,гесн
23,Nabel::N,배꼽,киисн
24,Busen::N,가슴속,көкн
25,Brust::N,가슴,чееҗ
26,Schulter::N,어깨,ээм
27,Arm::N,팔,һар
28,Ellenbogen::N,팔쿰치,тоха
29,Hand::N,손,баһлцг
30,Handfläche::N,손바닥,альхн
31,Finger::N,속가락,хурһн
32,Finger::N,속가락,һарин хурһн
33,Fingernagel::N,손톱,хумсн
34,Nagel[Anatomie]::N,손톱,хумсн
35,Zeh::N,발가락,хурһн
36,Zeh::N,발가락,көлин хурһн
37,Fuß::N,발,тавг
38,Ferse::N,발꿈치,өскә
39,Knie::N,무릎,өвдг
40,Oberschenkel::N,허벅다리,һуй
41,Bein::N,다리,көл
42,Körper::N,구간,махмуд
43,Haut::N,살갗,арсн
44,Blut::N,피,цусн
45,Ader::N,정맥,судцн
46,Sehne::N,현,шүрүсн
47,Knochen::N,뼈,ясн
48,Gehirn::N,뇌,экн
49,Gehirn::N,뇌수,экн
50,Herz::N,염통,зүркн
51,Magen::N,위,гесн
52,Leber::N,간,элкн
53,Atem::N,기식,әмсхл
54,Hunger::N,공복,харһнлһн
55,Träne::N,눈물,нульмсн
56,Geschmack::N,기호,амтн
57,Geruch::N,냄새,үнр
58,Schlaf::N,수면,нөр
59,Traum::N,쿰,зүүдн
60,Himmel::N,하늘,теңгр
61,Sonne::N,해,нарн
62,Mond::N,달,сар
63,Stern::N,별,одн
64,Luft::N,동준,аһар
65,Luft::N,가스채,аһар
66,Wind::N,바람,салькн
67,Welle::N,물결,дольган
68,Wasser::N,물,усн
69,Stein::N,돌,чолун
70,Boden::N,바닥,Һазр
71,Erde::N,흙,Һазр
72,Staub::N,먼지,тоосн
73,Rauch::N,연기,утан
74,Funke::N,불티,очн
75,Feuer::N,불,һал
76,Licht::N,불,герл
77,Schatten::N,어스레함,сүүдр
78,Wetter::N,기상,теңгр
79,Nebel::N,안개,будн
80,Wolke::N,구름,үүлн
81,Regen::N,비,хур
82,Schnee::N,눈,цасн
83,Eis::N,얼음,мөсн
84,Frost::N,혹한,киитн
85,Kälte::N,추위,киитн
86,Kälte::N,차가움,киитн
87,Hitze::N,고온,халун
88,Hitze::N,더위,халун
89,Regenbogen::N,무지개,солңһ
90,Donner::N,뇌명,оһтрһун дун
91,Strömung::N,유동,урсхл
92,Tropfen::N,물방울,дусал
93,Schaum::N,포말,көөсн
94,Schmutz::N,때,кир
95,See::N,호수,нур
96,Sumpf::N,습지,унул
97,Moor::N,저습지,улм
98,Wiese::N,목초지,хадлһн
99,Wald::N,숲,ө-модн
100,Hügel::N,언덕,толһа
101,Anhöhe::N,언덕,хамр
102,Berg::N,산,уул
103,Gipfel::N,졀졍,ора
104,Höhle::N,공동,хадин көндә
105,Abhang::N,몰매,ташу
106,Quelle::N,근원,булг
107,Bach::N,내,һооҗур
108,Fluss::N,강,һол
109,Ufer::N,강변,көвә
110,Ufer::N,바닷가,көвә
111,Küste::N,해변,көвә
112,Küste::N,해변,теңгсин көвә
113,Küste::N,해변가,көвә
114,Küste::N,해변가,теңгсин көвә
115,Festland::N,본토,хүүрә һазр
116,Meer::N,바다,теңгс
117,Bucht::N,협만,цекә
118,Bucht::N,협만,теңгсин цекә
119,Insel::N,섬,арл
120,Blume::N,꽃,цецг
121,Gras::N,풀,ноһан
122,Wurzel::N,뿌리,уңг
123,Baum::N,나무,модн
124,Stamm::N,대,шилв
125,Stamm::N,대,һол модн
126,Rinde::N,나무껍질,көрсн
127,Ast::N,가지,ац
128,Zweig::N,가지,ац
129,Blatt::N,잎,хамтхасн
130,Birke::N,자작나무,хусм модн
131,Kiefer[Baum]::N,소나무,шар харһа
132,Weide[Baum]::N,쉬양버들,удн
133,Tanne::N,전나무,җөөлн цаһан модн
134,Horn::N,뿔,өвр
135,Feder::N,깃털,өрвлг
136,Fell::N,피혁모피,арсн
137,Flügel::N,날개,җивр
138,Klaue::N,갈고리 발톺,хумсн
139,Kralle::N,발툭,тавг
140,Schwanz::N,꼬리,сүл
141,Ei::N,알,өндгн
142,Nest::N,보금자리,үр
143,Bau::N,굴,нүкн
144,Tier::N,짐승,мал
145,Herde::N,가축의떼,сүрг мал
146,Kuh::N,암소,үкр
147,Bulle::N,황소,бух
148,Pferd::N,말,мөрн
149,Schaf::N,양,хөн
150,Schwein::N,돼지,һаха
151,Hund::N,개,ноха
152,Katze::N,고양이,мис
153,Bär::N,콤,аю
154,Eichhörnchen::N,다람쥐,кермн
155,Elch::N,고라니,хандһа
156,Fuchs::N,여우,арат
157,Hase::N,토끼,туула
158,Maus::N,쥐,хулһн
159,Wolf::N,늑대,чон
160,Vogel::N,새,шовун
161,Schwarm::N,뗴,зел
162,Huhn::N,암탉,така
163,Hahn::N,수탉,эр така
164,Gans::N,거위,һалун
165,Adler::N,수리,һәрд
166,Ente::N,오리,нуһсн
167,Eule::N,부엉이,һурвлһ
168,Kranich::N,두루미,тоһрун
169,Krähe::N,까마귀,шаазһа
170,Kuckuck::N,뻐꾸기,эргин хуцдг
171,Schwan::N,배조,хун
172,Fisch::N,물고기,заһсн
173,Barsch::N,농어,шүрг
174,Hecht::N,에속스,цурх
