,Concept_ID,ja,az
0,Auge::N,目,göz
1,Ohr::N,耳,qulaq
2,Nase::N,鼻,burun
3,Mund::N,口,ağız
4,Zahn::N,歯,diş
5,Zunge::N,舌,dil
6,Lippe::N,唇,dodaq
7,Wange::N,頬,yanaq
8,Gesicht::N,顔,üz
9,Stirn::N,額,alın
10,Haar::N,髪,saç
11,Schnurrbart::N,口髭,bığ
12,Bart::N,髭,saqqal
13,Kinn::N,顎,çənə
14,Kiefer[Anatomie]::N,顎,çənə
15,Kehle::N,喉,boğaz
16,Hals::N,首,boyun
17,Genick::N,首,ənsə
18,Kopf::N,頭,baş
19,Rücken::N,背中,bel
20,Bauch::N,腹,qarın
21,Bauch::N,お腹,qarın
22,Nabel::N,へそ,göbək
23,Busen::N,乳房,məmə
24,Brust::N,胸,döş
25,Schulter::N,肩,çiyin
26,Arm::N,腕,qol
27,Ellenbogen::N,肘,dirsək
28,Hand::N,手,əl
29,Handfläche::N,手のひら,ovuc
30,Finger::N,指,barmaq
31,Fingernagel::N,爪,barmaq dırnağı
32,Nagel[Anatomie]::N,爪,dırnak
33,Zeh::N,足の指,ayaq barmağı
34,Fuß::N,足,ayaq
35,Ferse::N,かかと,daban
36,Knie::N,膝,diz
37,Oberschenkel::N,上腿,bud
38,Bein::N,足,qıç
39,Körper::N,体,əndam
40,Haut::N,皮膚,dəri
41,Blut::N,血,qan
42,Ader::N,血管,damar
43,Sehne::N,腱,vətər
44,Knochen::N,骨,sümük
45,Gehirn::N,脳,beyin
46,Herz::N,心,ürək
47,Herz::N,心臓,ürək
48,Magen::N,胃,mədə
49,Leber::N,肝臓,qara ciyər
50,Atem::N,息,nəfəs
51,Atem::N,呼吸,nəfəs
52,Hunger::N,空腹,aclıq
53,Träne::N,涙,göz yaşı
54,Geschmack::N,味,tam
55,Geschmack::N,味,ləzzət
56,Geruch::N,匂い,qoxu
57,Schlaf::N,睡眠,yuxu
58,Traum::N,夢,röya
59,Himmel::N,空,göy
60,Himmel::N,空,səma
61,Sonne::N,太陽,günəş
62,Mond::N,月,ay
63,Stern::N,星,ulduz
64,Luft::N,空気,hava
65,Wind::N,風,yel
66,Wind::N,風,külək
67,Welle::N,波,dalğa
68,Wasser::N,水,su
69,Stein::N,石,daş
70,Boden::N,土地,yer
71,Boden::N,土地,zəmin
72,Erde::N,土,yer torpaq
73,Staub::N,埃,toz
74,Rauch::N,煙,tüstü
75,Funke::N,火花,qığılcım
76,Feuer::N,火,od
77,Licht::N,光,işıq
78,Schatten::N,陰,kölgə
79,Wetter::N,天気,hava
80,Nebel::N,霧,duman
81,Wolke::N,雲,bulud
82,Regen::N,雨,yağış
83,Regen::N,雨,yağmur
84,Schnee::N,雪,qar
85,Eis::N,氷,buz
86,Frost::N,霜,ayaz
87,Kälte::N,寒さ,soyuq
88,Hitze::N,暑さ,coşğunluq
89,Raureif::N,霧氷,qırov
90,Regenbogen::N,虹,göy qurşağı
91,Donner::N,雷,göy gurultusu
92,Strömung::N,流れ,axın
93,Tropfen::N,滴,damcı
94,Schaum::N,泡,köpük
95,Schmutz::N,汚れ,çamır
96,See::N,湖,göl
97,Sumpf::N,沼,bataqlıq
98,Moor::N,湿原,bataqlıq
99,Wiese::N,草原,çəmən
100,Wald::N,森,meşə
101,Hügel::N,丘,təpə
102,Anhöhe::N,高み,təpə
103,Berg::N,山,dağ
104,Gipfel::N,頂上,zirvə
105,Höhle::N,洞窟,mağara
106,Abhang::N,斜面,yamac
107,Quelle::N,泉,bulaq
108,Bach::N,小川,kiçik çay
109,Fluss::N,川,çay
110,Ufer::N,岸,kənar
111,Küste::N,海岸,sahil
112,Festland::N,陸,materik
113,Meer::N,海,dəniz
114,Bucht::N,湾,körfəz
115,Insel::N,島,ada
116,Blume::N,花,çiçək
117,Gras::N,草,ot
118,Wurzel::N,根,kök
119,Baum::N,木,ağac
120,Stamm::N,幹,gövdə
121,Rinde::N,皮層,qabıq
122,Ast::N,枝,şax
123,Zweig::N,小枝,budaq
124,Blatt::N,葉,yarpaq
125,Birke::N,樺,tozağacı
126,Kiefer[Baum]::N,松,şam
127,Weide[Baum]::N,柳,söyüd
128,Tanne::N,樅,küknar
129,Horn::N,角,buynuz
130,Feder::N,羽根,tük
131,Feder::N,羽根,lələk
132,Fell::N,毛皮,xəz
133,Flügel::N,羽,qanad
134,Klaue::N,鉤爪,pəncə
135,Kralle::N,爪,dırnaq
136,Schwanz::N,尻尾,quyruq
137,Ei::N,卵,yumurta
138,Nest::N,巣,yuva
139,Bau::N,穴,yuva
140,Tier::N,動物,heyvan
141,Herde::N,群れ,sürü
142,Kuh::N,牛,inək
143,Bulle::N,雄牛,öküz
144,Pferd::N,馬,at
145,Schaf::N,羊,qoyun
146,Schwein::N,豚,donuz
147,Hund::N,犬,it
148,Hund::N,犬,köpək
149,Katze::N,猫,pişik
150,Bär::N,熊,ayı
151,Eichhörnchen::N,栗鼠,dələ
152,Elch::N,ヘラジカ,sığın
153,Fuchs::N,狐,tülkü
154,Hase::N,兎,dovşan
155,Maus::N,鼠,siçan
156,Wolf::N,狼,qurd
157,Vogel::N,鳥,quş
158,Schwarm::N,群れ,sürü
159,Huhn::N,鶏,toyuq
160,Hahn::N,雄鶏,xoruz
161,Gans::N,ガチョウ,qaz
162,Adler::N,鷲,qartal
163,Adler::N,鷲,qaraquş
164,Ente::N,鴨,ördək
165,Eule::N,フクロウ,bayquş
166,Kranich::N,鶴,durna
167,Krähe::N,烏,qarğa
168,Kuckuck::N,郭公,ququ
169,Schwan::N,白鳥,qu quşu
170,Fisch::N,魚,balıq
171,Barsch::N,鱸,tar
172,Hecht::N,川魳,durnabalığı
173,Schlange[Tier]::N,蛇,ilan
174,Wurm::N,虫,qurd
175,Spinne::N,蜘蛛,hörümçək
176,Ameise::N,蟻,qarışqa
177,Laus::N,虱,bit
178,Mücke::N,蚊,ağcaqanad
179,Fliege::N,蝿,milçək
180,Schmetterling::N,蝶,kəpənək
181,Beere::N,漿果,gilə
182,Apfel::N,林檎,alma
183,Pilz::N,茸,göbələk
184,Zwiebel::N,玉葱,soğan
185,Saat::N,種,əkin
186,Korn::N,粒,taxıl
187,Heu::N,干し草,quru ot
188,Schale::N,皮,qabıq
189,Grube::N,穴,çuxur
190,Falle::N,わな,tələ
191,Falle::N,わな,duzaq
192,Schlinge::N,輪,ilmək
193,Spur::N,跡,iz
194,Asche::N,灰,kül
195,Dreck::N,泥,kir
196,Eisen::N,鉄,dəmir
