,Concept_ID,nl,cy
0,Auge::N,oog,llygad
1,Ohr::N,oor,clust
2,Nase::N,neus,trwyn
3,Mund::N,mond,ceg
4,Zahn::N,tand,dant
5,Zunge::N,tong,tafod
6,Lippe::N,lip,gwefus
7,Wange::N,wang,boch
8,Gesicht::N,gelaat,wyneb
9,Gesicht::N,gezicht,wyneb
10,Stirn::N,voorhoofd,talcen
11,Haar::N,haar,blew
12,Schnurrbart::N,snor,mwstas
13,Bart::N,baard,barf
14,Kinn::N,kin,gên
15,Kiefer[Anatomie]::N,kaak,gên
16,Kehle::N,keel,gwddf
17,Kehle::N,strot,gwddf
18,Hals::N,hals,gwddf
19,Genick::N,nek,gwar
20,Genick::N,nek,gwegil
21,Kopf::N,hoofd,pen
22,Rücken::N,rug,cefn
23,Bauch::N,buik,bol
24,Nabel::N,navel,bogail
25,Busen::N,boezem,bron
26,Brust::N,borst,brest
27,Schulter::N,schouder,ysgwydd
28,Arm::N,arm,braich
29,Ellenbogen::N,elleboog,penelin
30,Hand::N,hand,llaw
31,Handfläche::N,handpalm,palf
32,Finger::N,vinger,bys
33,Fingernagel::N,nagel,ewin
34,Nagel[Anatomie]::N,nagel,ewin
35,Zeh::N,teen,bys troed
36,Fuß::N,voet,troed
37,Ferse::N,hak,sawdl
38,Ferse::N,hiel,sawdl
39,Knie::N,knie,glin
40,Oberschenkel::N,dij,clun
41,Bein::N,been,coes
42,Körper::N,lichaam,corff
43,Haut::N,huid,croen
44,Blut::N,bloed,gwaed
45,Ader::N,ader,gwythïen
46,Sehne::N,pees,gewyn
47,Knochen::N,bot,asgwrn
48,Knochen::N,been,asgwrn
49,Knochen::N,knook,asgwrn
50,Gehirn::N,hersenen,ymennydd
51,Herz::N,hart,calon
52,Magen::N,maag,cylla
53,Magen::N,maag,stumog
54,Leber::N,lever,iau
55,Atem::N,adem,anadl
56,Hunger::N,honger,newyn
57,Träne::N,traan,deigryn
58,Geschmack::N,smaak,cyflas
59,Geruch::N,geur,aroglau
60,Schlaf::N,slaap,cwsg
61,Traum::N,droom,breuddwyd
62,Himmel::N,hemel,awyr
63,Sonne::N,zon,haul
64,Mond::N,maan,lleuad
65,Stern::N,ster,seren
66,Luft::N,lucht,awyr
67,Wind::N,wind,gwynt
68,Welle::N,golf,ton
69,Wasser::N,water,dŵr
70,Stein::N,steen,carreg
71,Boden::N,grond,llawr
72,Erde::N,aarde,pridd
73,Staub::N,stof,llwch
74,Rauch::N,rook,mwg
75,Funke::N,vonk,gwreichioni
76,Feuer::N,vuur,tân
77,Licht::N,licht,golau
78,Schatten::N,schaduw,cysgod
79,Wetter::N,weer,tywydd
80,Nebel::N,mist,niwl
81,Nebel::N,nevel,niwl
82,Wolke::N,wolk,cwmwl
83,Regen::N,regen,glaw
84,Schnee::N,sneeuw,ôd
85,Schnee::N,sneeuw,eira
86,Eis::N,ijs,iâ
87,Frost::N,vorst,rhew
88,Kälte::N,kou,oerni
89,Kälte::N,kou,annwyd
90,Kälte::N,koude,oerni
91,Kälte::N,koude,annwyd
92,Hitze::N,hitte,gwres
93,Raureif::N,rijp,barrug
94,Regenbogen::N,regenboog,enfys
95,Donner::N,donder,tyrfau
96,Strömung::N,stroming,cerrynt
97,Tropfen::N,druppel,dafn
98,Tropfen::N,druppel,diferyn
99,Schaum::N,schuim,ewyn
100,Schmutz::N,vuil,baw
101,Schmutz::N,vuil,budreddi
102,See::N,meer,llyn
103,Sumpf::N,moeras,cors
104,Moor::N,veen,rhos
105,Wiese::N,wei,dôl
106,Wiese::N,weide,dôl
107,Wald::N,bos,coedwig
108,Hügel::N,heuvel,bryn
109,Anhöhe::N,hoogte,bryn
110,Berg::N,berg,mynydd
111,Gipfel::N,top,copa
112,Höhle::N,hol,ogof
113,Abhang::N,helling,llethr
114,Quelle::N,bron,tarddiad
115,Quelle::N,bron,ffynhonnell
116,Bach::N,beek,nant
117,Bach::N,beek,afonig
118,Bach::N,beek,cornant
119,Fluss::N,stroom,afon
120,Ufer::N,wal,glan
121,Ufer::N,oever,glan
122,Küste::N,kust,traeth
123,Küste::N,kust,arfordir
124,Festland::N,vasteland,tir
125,Meer::N,zee,môr
126,Bucht::N,baai,bae
127,Bucht::N,inham,bae
128,Insel::N,eiland,ynys
129,Blume::N,bloem,blodyn
130,Gras::N,gras,glaswellt
131,Wurzel::N,wortel,gwreiddyn
132,Baum::N,boom,coeden
133,Stamm::N,stam,colfen
134,Stamm::N,stam,boncyff
135,Rinde::N,schors,rhisgl
136,Ast::N,tak,cangen
137,Zweig::N,twijg,cainc
138,Zweig::N,twijg,cangen
139,Blatt::N,blad,deilen
140,Birke::N,berk,bedwen
141,Kiefer[Baum]::N,den,pinwydden
142,Weide[Baum]::N,wilg,helygen
143,Tanne::N,spar,ffynidwydden
144,Horn::N,hoorn,corn
145,Feder::N,veer,plufyn
146,Feder::N,pluim,plufyn
147,Fell::N,vel,ffwr
148,Flügel::N,vleugel,adain
149,Klaue::N,klauw,crafanc
150,Kralle::N,klauw,ewin
151,Schwanz::N,staart,cwt
152,Schwanz::N,staart,cynffon
153,Ei::N,ei,wy
154,Nest::N,nest,nyth
155,Bau::N,hol,ffau
156,Tier::N,dier,anifail
157,Herde::N,kudde,praidd
158,Herde::N,kudde,diadell
159,Kuh::N,koe,buwch
160,Bulle::N,stier,tarw
161,Pferd::N,paard,ceffyl
162,Schaf::N,schaap,dafad
163,Schwein::N,varken,mochyn
164,Hund::N,hond,ci
165,Katze::N,kat,cath
166,Bär::N,beer,arth
167,Eichhörnchen::N,eekhoorntje,gwiwer
168,Elch::N,eland,elc
169,Fuchs::N,vos,cadno
170,Hase::N,haas,ysgyfarnog
171,Maus::N,muis,llygoden
172,Wolf::N,wolf,blaidd
173,Vogel::N,vogel,aderyn
174,Schwarm::N,zwerm,haid
175,Huhn::N,kip,cyw
176,Huhn::N,hoen,cyw
177,Hahn::N,haan,ceiliog
178,Gans::N,gans,gŵydd
179,Adler::N,arend,eryr
180,Ente::N,eend,hwyad
181,Eule::N,uil,tylluan
182,Kranich::N,kraanvogel,garan
183,Kranich::N,kraanvogel,crychydd
184,Krähe::N,kraai,brân
185,Kuckuck::N,koekoek,cog
186,Kuckuck::N,koekoek,cwcw
187,Schwan::N,zwaan,alarch
188,Fisch::N,vis,pysgod
189,Barsch::N,baars,draenog
190,Hecht::N,snoek,penhwyad
191,Schlange[Tier]::N,slang,neidr
192,Wurm::N,worm,abwydyn
193,Wurm::N,worm,pryf genwair
194,Spinne::N,spin,cor
195,Spinne::N,spin,pryf copyn
196,Ameise::N,mier,morgrugyn
197,Laus::N,luis,lleuen
198,Mücke::N,mug,gwybedyn
199,Fliege::N,vlieg,cleren
200,Schmetterling::N,vlinder,glöyn byw
201,Schmetterling::N,vlinder,iâr fach yr haf
202,Beere::N,bes,aeronen
203,Apfel::N,appel,afal
204,Pilz::N,paddestoel,madarch
205,Zwiebel::N,ui,nionyn
206,Zwiebel::N,ui,winwnsyn
207,Saat::N,zaad,had
208,Korn::N,graan,grawn
209,Korn::N,korrel,grawn
210,Heu::N,hooi,gwair
211,Schale::N,schil,croen
212,Schale::N,schil,plisgyn
213,Grube::N,kuil,pwll
214,Grube::N,kuil,pydew
215,Falle::N,val,magl
216,Schlinge::N,strop,cwlwm rhedeg
217,Spur::N,spoor,ôl
218,Asche::N,as,lludw
219,Dreck::N,drek,baw
220,Dreck::N,drek,budreddi
221,Eisen::N,ijzer,haearn
222,Gold::N,goud,aur
223,Silber::N,zilver,arian
224,Kohle::N,kool,glo
225,Glas::N,glas,gwydr
226,Lehm::N,klei,clai
227,Sand::N,zand,tywod
228,Mensch::N,mens,dyn
229,Mann::N,man,dyn
230,Frau::N,vrouw,merch
231,Frau::N,vrouw,gwraig
232,Kind::N,kind,plentyn
233,Junge::N,jongen,hogyn
234,Junge::N,jongen,bachgen
235,Mädchen::N,meisje,merch
236,Mädchen::N,meisje,geneth
237,Familie::N,gezin,teulu
238,Familie::N,gezin,tylwyth
239,Familie::N,familie,teulu
240,Familie::N,familie,tylwyth
241,Großvater::N,grootvader,taid
242,Großvater::N,grootvader,tad-cu
243,Großmutter::N,grootmoeder,nain
244,Großmutter::N,grootmoeder,mam-gu
245,Eltern::N,ouders,rhieni
246,Vater::N,vader,tad
247,Mutter::N,moeder,mam
248,Sohn::N,zoon,mab
249,Tochter::N,dochter,merch
250,Bruder::N,broer,brawd
251,Bruder::N,broeder,brawd
252,Schwester::N,zus,chwaer
253,Schwester::N,zuster,chwaer
254,Onkel::N,oom,ewythr
255,Tante::N,tante,modryb
256,Ehemann::N,echtgenoot,gŵr
257,Ehefrau::N,echtgenote,gwraig
258,Freude::N,vreugde,gorfoledd
259,Gelächter::N,gelach,chwerthin
260,Glück::N,geluk,hapusrwydd
261,Kummer::N,verdriet,galar
262,Wunsch::N,wens,dymuniad
263,Wunsch::N,verlangen,dymuniad
264,Lust::N,zin,chwant
265,Lust::N,lust,chwant
266,Geist::N,geest,ysbryd
267,Gedanke::N,gedachte,meddwl
268,Gedächtnis::N,geheugen,cof
269,Verstand::N,verstand,meddwl
270,Sinn::N,betekenis,ystyr
271,Grund::N,reden,achos
272,Grund::N,reden,rheswm
273,Wahrheit::N,waarheid,gwir
274,Wahrheit::N,waarheid,gwirionedd
275,Gespräch::N,gesprek,sgwrs
276,Märchen::N,sprookje,chwedl werin
277,Erzählung::N,verhaal,stori
278,Nachricht::N,tijding,neges
279,Neuigkeit::N,nieuws,newydd
280,Neuigkeit::N,nieuwtje,newydd
281,Name::N,naam,enw
282,Rätsel::N,raadsel,pos
283,Rede::N,rede,araith
284,Sprache::N,taal,iaith
285,Stimme::N,stem,llais
286,Wort::N,woord,gair
287,Zeichen::N,teken,arwydd
288,Ruf::N,roep,galwad
289,Lärm::N,lawaai,trwst
290,Laut::N,klank,sain
291,Laut::N,geluid,sain
292,Ton::N,toon,tôn
293,Ton::N,klank,tôn
294,Lied::N,lied,cân
295,Ruhe::N,rust,tawelwch
296,Ruhe::N,stilte,tawelwch
297,Leute::N,lui,pobl
298,Leute::N,mensen,pobl
299,Volk::N,volk,pobl
300,Arbeit::N,werk,gwaith
301,Arbeit::N,arbeid,gwaith
302,Gast::N,gast,gwestai
303,Geschenk::N,cadeau,rhodd
304,Geschenk::N,cadeau,anrheg
305,Geschenk::N,geschenk,rhodd
306,Geschenk::N,geschenk,anrheg
307,Spiel::N,spel,chwarae
308,Gesellschaft::N,gezelschap,cwmni
309,Hilfe::N,hulp,cymorth
310,Freund::N,vriend,cyfaill
311,Kamerad::N,maat,cydymaith
312,Kamerad::N,metgezel,cydymaith
313,Angelegenheit::N,zaak,pwnc
314,Angelegenheit::N,aangelegenheid,pwnc
315,Anzahl::N,tal,cyfrif
316,Anzahl::N,aantal,cyfrif
317,Art::N,slag,bath
318,Art::N,soort,bath
319,Stück::N,stuk,darn
320,Teil::N,deel,rhan
321,Hälfte::N,helft,hanner
322,Kreis::N,kring,cylch
323,Kreis::N,cirkel,cylch
324,Kreuz::N,kruis,croes
325,Linie::N,lijn,llinell
326,Strich::N,haal,strôc
327,Strich::N,haal,trawiad
328,Strich::N,streep,strôc
329,Strich::N,streep,trawiad
330,Abstand::N,afstand,bwlch
331,Abstand::N,afstand,pellter
332,Entfernung::N,afstand,pellter
333,Gegend::N,streek,cylch
334,Platz::N,ruimte,lle
335,Ort::N,oord,lle
336,Ort::N,plaats,lle
337,Seite::N,zij,ochr
338,Seite::N,kant,ochr
339,Seite::N,zijde,ochr
340,Mitte::N,midden,canol
341,Gegenstand::N,voorwerp,eitem
342,Sache::N,zaak,peth
343,Rand::N,rand,cwr
344,Rand::N,rand,ymyl
345,Rand::N,boord,cwr
346,Rand::N,boord,ymyl
347,Kante::N,kant,min
348,Kante::N,kant,ymyl
349,Ecke::N,hoek,cornel
350,Spitze::N,punt,blaen
351,Spitze::N,spits,blaen
352,Ende::N,einde,pen
353,Ende::N,uiteinde,pen
354,Loch::N,gat,twll
355,Winkel::N,hoek,congl
356,Muster::N,dessin,patrwm
357,Muster::N,patroon,patrwm
358,Größe::N,grootte,maint
359,Größe::N,grootte,maintioli
360,Länge::N,lengte,hyd
361,Höhe::N,hoogte,uchder
362,Gewicht::N,gewicht,pwysau
363,Menge::N,hoeveelheid,swm
364,Menge::N,hoeveelheid,maint
365,Haufen::N,hoop,pentwr
366,Reihe::N,rij,rhes
367,Reihe::N,reeks,rhes
368,Boot::N,boot,cwch
369,Ruder::N,roeiriem,rhwyf
370,Schlitten::N,slee,sled
371,Schlitten::N,slee,car llusg
372,Schlitten::N,slede,sled
373,Schlitten::N,slede,car llusg
374,Ski::N,ski,sgi
375,Lagerfeuer::N,kampvuur,coelcerth
376,Last::N,last,llwyth
377,Last::N,vracht,llwyth
378,Gang::N,wandeling,tro
379,Schritt::N,stap,cam
380,Schritt::N,schrede,cam
381,Norden::N,noorden,gogledd
382,Süden::N,zuiden,de
383,Westen::N,westen,gorllewin
384,Osten::N,oosten,dwyrain
385,Holz::N,hout,pren
386,Brett::N,plank,bwrdd
387,Brett::N,plank,astell
388,Platte::N,plaat,llech
389,Stütze::N,stut,ateg
390,Stütze::N,stut,cynhalydd
391,Stütze::N,steun,ateg
392,Stütze::N,steun,cynhalydd
393,Stange::N,stang,polyn
394,Stock::N,stok,ffon
395,Stock::N,stok,brigyn
396,Stab::N,staf,ffon
397,Rohr::N,pijp,pibell
398,Haus::N,huis,tŷ
399,Heim::N,tehuis,cartref
400,Ofen::N,kachel,stof
401,Fußboden::N,vloer,llawr
402,Tisch::N,tafel,bwrdd
403,Stuhl::N,stoel,cadair
404,Wiege::N,wieg,crud
405,Bett::N,bed,gwely
406,Regal::N,rek,silff
407,Kiste::N,kist,bocs
408,Kiste::N,kist,blwch
409,Fenster::N,raam,ffenestr
410,Fenster::N,venster,ffenestr
411,Tür::N,deur,drws
412,Tor::N,poort,porth
413,Zaun::N,omheining,ffens
414,Dach::N,dak,to
415,Leiter::N,ladder,ysgol
416,Besen::N,bezem,ysgub
417,Spaten::N,schop,rhaw
418,Schaufel::N,schep,rhaw
419,Gabel::N,vork,fforc
420,Löffel::N,lepel,llwy
421,Messer::N,mes,cyllell
422,Nagel::N,spijker,hoel
423,Netz::N,net,gwe
424,Netz::N,net,rhwyd
425,Haken::N,haak,bach
426,Griff::N,handvat,carn
427,Schloss::N,slot,clo
428,Bild::N,beeld,llun
429,Bild::N,beeld,pictiwr
430,Figur::N,figuur,ffigur
431,Puppe::N,pop,dol
432,Beutel::N,zak,cwd
433,Beutel::N,buidel,cwd
434,Bündel::N,pak,bwndel
435,Bündel::N,pak,coflaid
436,Bündel::N,bundel,bwndel
437,Bündel::N,bundel,coflaid
438,Tasche::N,tas,cod
439,Eimer::N,emmer,bwced
440,Eimer::N,emmer,cunnog
441,Deckel::N,deksel,caead
442,Geschirr::N,vaatwerk,llestri
443,Sack::N,zak,sach
444,Tasse::N,kop,cwpan
445,Topf::N,pan,pot
446,Topf::N,pan,crochan
447,Kessel::N,ketel,tegell
448,Essen::N,eten,pryd o fwyd
449,Nahrung::N,voedsel,bwyd
450,Speise::N,spijs,saig
451,Fleisch::N,vlees,cig
452,Getreide::N,graan,ŷd
453,Getreide::N,graan,llafur
454,Brei::N,pap,uwd
455,Brei::N,brij,uwd
456,Brot::N,brood,bara
457,Scheibe::N,plak,tafell
458,Scheibe::N,snede,tafell
459,Fett::N,vet,saim
460,Fett::N,vet,braster
461,Butter::N,boter,ymenyn
462,Öl::N,olie,olew
463,Salz::N,zout,halen
464,Suppe::N,soep,cawl
465,Honig::N,honing,mêl
466,Milch::N,melk,llaeth
467,Milch::N,melk,llefrith
468,Tee::N,thee,te
469,Leder::N,leer,lledr
470,Leder::N,leder,lledr
471,Wolle::N,wol,gwlân
472,Stoff::N,stof,lliain
473,Stoff::N,stof,brethyn
