,Concept_ID,os,os
0,Auge::N,цӕст,цӕст
1,Ohr::N,хъус,хъус
2,Nase::N,фындз,фындз
3,Mund::N,дзых,дзых
4,Zahn::N,дӕндаг,дӕндаг
5,Zunge::N,ӕвзаг,ӕвзаг
6,Lippe::N,был,был
7,Wange::N,рус,рус
8,Wange::N,рус,уадул
9,Wange::N,рус,ӕхсӕрфарс
10,Wange::N,уадул,рус
11,Wange::N,уадул,уадул
12,Wange::N,уадул,ӕхсӕрфарс
13,Wange::N,ӕхсӕрфарс,рус
14,Wange::N,ӕхсӕрфарс,уадул
15,Wange::N,ӕхсӕрфарс,ӕхсӕрфарс
16,Gesicht::N,цӕсгом,цӕсгом
17,Stirn::N,ных,ных
18,Haar::N,хил,хил
19,Schnurrbart::N,рихи,рихи
20,Bart::N,зачъе,зачъе
21,Kinn::N,роцъо,роцъо
22,Kiefer[Anatomie]::N,ӕфсӕр,ӕфсӕр
23,Kehle::N,хъуыр,хъуыр
24,Hals::N,къубал,къубал
25,Genick::N,къӕбут,къӕбут
26,Kopf::N,сӕр,сӕр
27,Rücken::N,фӕсонтӕ,фӕсонтӕ
28,Bauch::N,гуыбын,гуыбын
29,Nabel::N,бикъ,бикъ
30,Busen::N,дзидзи,дзидзи
31,Brust::N,риу,риу
32,Schulter::N,уӕхск,уӕхск
33,Arm::N,цонг,цонг
34,Ellenbogen::N,рæмбын,рæмбын
35,Hand::N,къух,къух
36,Handfläche::N,армытъӕпӕн,армытъӕпӕн
37,Finger::N,ӕнруылдз,ӕнруылдз
38,Fingernagel::N,ных,ных
39,Nagel[Anatomie]::N,ных,ных
40,Zeh::N,къух,къух
41,Fuß::N,фад,фад
42,Ferse::N,зӕвӕт,зӕвӕт
43,Knie::N,уӕраг,уӕраг
44,Oberschenkel::N,агъд,агъд
45,Bein::N,зӕнг,зӕнг
46,Körper::N,буар,буар
47,Haut::N,царм,царм
48,Blut::N,туг,туг
49,Ader::N,дадзин,дадзин
50,Ader::N,дадзин,тугдадзин
51,Ader::N,тугдадзин,дадзин
52,Ader::N,тугдадзин,тугдадзин
53,Sehne::N,хъиутæ,хъиутæ
54,Sehne::N,хъиутæ,нуар
55,Sehne::N,нуар,хъиутæ
56,Sehne::N,нуар,нуар
57,Knochen::N,стӕг,стӕг
58,Gehirn::N,магъз,магъз
59,Herz::N,зӕрдӕ,зӕрдӕ
60,Magen::N,ахсӕн,ахсӕн
61,Leber::N,игæр,игæр
62,Atem::N,улӕфт,улӕфт
63,Hunger::N,стонг,стонг
64,Träne::N,цæссыг,цæссыг
65,Geschmack::N,ад,ад
66,Geruch::N,смаг,смаг
67,Schlaf::N,хуыссӕг,хуыссӕг
68,Traum::N,фын,фын
69,Himmel::N,арв,арв
70,Himmel::N,арв,уӕларв
71,Himmel::N,уӕларв,арв
72,Himmel::N,уӕларв,уӕларв
73,Sonne::N,хур,хур
74,Mond::N,мӕй,мӕй
75,Stern::N,стъалы,стъалы
76,Luft::N,уӕлдӕф,уӕлдӕф
77,Wind::N,дымгӕ,дымгӕ
78,Welle::N,уылӕн,уылӕн
79,Wasser::N,дон,дон
80,Stein::N,дур,дур
81,Boden::N,зӕхх,зӕхх
82,Erde::N,сыджыт,сыджыт
83,Staub::N,рыг,рыг
84,Rauch::N,фӕздӕг,фӕздӕг
85,Funke::N,цӕхӕр,цӕхӕр
86,Feuer::N,зынг,зынг
87,Licht::N,рухс,рухс
88,Schatten::N,аууон,аууон
89,Wetter::N,боныхъӕд,боныхъӕд
90,Nebel::N,мигъ,мигъ
91,Wolke::N,ӕврагъ,ӕврагъ
92,Regen::N,уарын,уарын
93,Schnee::N,мит,мит
94,Eis::N,их,их
95,Frost::N,ихæн,ихæн
96,Kälte::N,уазал,уазал
97,Hitze::N,ӕнтӕф,ӕнтӕф
98,Raureif::N,халас,халас
99,Regenbogen::N,арвырон,арвырон
100,Regenbogen::N,арвырон,арвырдын
101,Regenbogen::N,арвырдын,арвырон
102,Regenbogen::N,арвырдын,арвырдын
103,Donner::N,æрвнæрын,æрвнæрын
104,Strömung::N,цыд,цыд
105,Tropfen::N,æртах,æртах
106,Schaum::N,фынк,фынк
107,Schmutz::N,цъыф,цъыф
108,See::N,цад,цад
109,Sumpf::N,цъыфдзаст,цъыфдзаст
110,Moor::N,цъыфдзаст,цъыфдзаст
111,Wiese::N,уыгӕрдӕн,уыгӕрдӕн
112,Wald::N,хъӕд,хъӕд
113,Hügel::N,обау,обау
114,Hügel::N,обау,къуыбыр
115,Hügel::N,къуыбыр,обау
116,Hügel::N,къуыбыр,къуыбыр
117,Anhöhe::N,уæлвæз,уæлвæз
118,Anhöhe::N,уæлвæз,уæлхох
119,Anhöhe::N,уæлхох,уæлвæз
120,Anhöhe::N,уæлхох,уæлхох
121,Berg::N,хох,хох
122,Gipfel::N,цъупп,цъупп
123,Höhle::N,лӕгӕт,лӕгӕт
124,Abhang::N,къул,къул
125,Quelle::N,суадон,суадон
126,Bach::N,мӕсчъыдон,мӕсчъыдон
127,Fluss::N,дон,дон
128,Fluss::N,дон,цӕугӕдон
129,Fluss::N,цӕугӕдон,дон
130,Fluss::N,цӕугӕдон,цӕугӕдон
131,Ufer::N,был,был
132,Küste::N,донбыл,донбыл
133,Festland::N,сурзæхх,сурзæхх
134,Meer::N,денджыз,денджыз
135,Bucht::N,донбакæлæн,донбакæлæн
136,Insel::N,сакъадах,сакъадах
137,Blume::N,дидинӕг,дидинӕг
138,Gras::N,кӕрдӕг,кӕрдӕг
139,Wurzel::N,уидаг,уидаг
140,Baum::N,бӕлас,бӕлас
141,Stamm::N,хӕтӕл,хӕтӕл
142,Rinde::N,цъар,цъар
143,Ast::N,арх,арх
144,Zweig::N,къалиу,къалиу
145,Blatt::N,сыф,сыф
146,Birke::N,бæрз,бæрз
