,Concept_ID,hi,sl
0,Auge::N,आँख,okó
1,Auge::N,चक्षु,okó
2,Ohr::N,कान,uhó
3,Ohr::N,कर्ण,uhó
4,Nase::N,नाक,nós
5,Nase::N,नासा,nós
6,Mund::N,मुख,ústa
7,Mund::N,मुँह,ústa
8,Zahn::N,दंत,zób
9,Zahn::N,दाँत,zób
10,Zunge::N,जीभ,jêzik
11,Zunge::N,ज़बान,jêzik
12,Zunge::N,जिह्वा,jêzik
13,Lippe::N,ओंठ,ústnica
14,Lippe::N,होंठ,ústnica
15,Wange::N,गाल,líce
16,Wange::N,कपोल,líce
17,Gesicht::N,मुँह,oblíčje
18,Gesicht::N,चेहरा,oblíčje
19,Stirn::N,माथा,čêlo
20,Stirn::N,मस्तक,čêlo
21,Haar::N,बाल,lás
22,Schnurrbart::N,मूँछें,bŕki
23,Bart::N,दाढ़ी,bráda
24,Kinn::N,चिबुक,bráda
25,Kiefer[Anatomie]::N,जबड़ा,čeljúst
26,Kehle::N,गला,gŕlo
27,Hals::N,गला,vrát
28,Hals::N,गरदन,vrát
29,Genick::N,गरदन,zatílnik
30,Genick::N,ग्रीवा,zatílnik
31,Kopf::N,सिर,gláva
32,Kopf::N,शीर्ष,gláva
33,Rücken::N,पीठ,hrbèt
34,Bauch::N,उदर,trébuh
35,Nabel::N,नाभि,pópek
36,Nabel::N,ढोंढी,pópek
37,Busen::N,कुच,nédrja
38,Busen::N,स्तन,nédrja
39,Brust::N,वक्ष,pŕsi
40,Schulter::N,कंधा,ráma
41,Schulter::N,कंधा,plêče
42,Schulter::N,स्कंध,ráma
43,Schulter::N,स्कंध,plêče
44,Arm::N,बाँह,rôka
45,Arm::N,बाज़ू,rôka
46,Ellenbogen::N,कुहनी,komólec
47,Hand::N,हाथ,rôka
48,Hand::N,हस्त,rôka
49,Handfläche::N,हथेली,dlán
50,Finger::N,उँगली,pŕst
51,Finger::N,अँगुली,pŕst
52,Fingernagel::N,नख,nóht na rôki
53,Fingernagel::N,नाख़ून,nóht na rôki
54,Nagel[Anatomie]::N,नख,nóht
55,Nagel[Anatomie]::N,नाख़ून,nóht
56,Zeh::N,उँगली,pŕst na nôgi
57,Zeh::N,पाँव की उँगली,pŕst na nôgi
58,Fuß::N,चरण,nôga
59,Fuß::N,पाँव,nôga
60,Ferse::N,एड़ी,pêta
61,Knie::N,जानु,koléno
62,Knie::N,घुटना,koléno
63,Oberschenkel::N,उरु,stêgno
64,Bein::N,टाँग,nôga
65,Körper::N,तन,teló
66,Körper::N,देह,teló
67,Körper::N,शरीर,teló
68,Haut::N,चर्म,kóža
