,Concept_ID,kl,pl
0,Auge::N,isi,oko
1,Ohr::N,siut,ucho
2,Mund::N,paaq,usta
3,Mund::N,qaneq,usta
4,Zahn::N,kigut,ząb
5,Zunge::N,oqaq,język
6,Lippe::N,qarloq,warga
7,Wange::N,ersaq,policzek
8,Gesicht::N,kiinaq,twarz
9,Stirn::N,qaaq,czoło
10,Haar::N,meqqoq,włos
11,Haar::N,meqqoq,włosy
12,Bart::N,umik,broda
13,Kinn::N,talloq,podbródek
14,Kiefer[Anatomie]::N,alleroq,czeluść
15,Kehle::N,malaq,gardło
16,Hals::N,qungaseq,szyja
17,Genick::N,pukusuk,kark
18,Kopf::N,niaqoq,głowa
19,Rücken::N,qimerlut,plecy
20,Rücken::N,qimerlut,grzbiet
21,Bauch::N,naaq,brzuch
22,Nabel::N,qalaseq,pępek
23,Busen::N,iviangeq,biust
24,Brust::N,iviangeq,pierś
25,Schulter::N,ersik,bark
26,Schulter::N,ersik,ramię
27,Schulter::N,assaqqoq,bark
28,Schulter::N,assaqqoq,ramię
29,Arm::N,taleq,ręka
30,Arm::N,taleq,ramię
31,Ellenbogen::N,ikusik,łokieć
32,Hand::N,assak,dłoń
33,Handfläche::N,itumak,dłoń
34,Finger::N,inuak,palec
35,Fingernagel::N,kikiak,paznokieć
36,Nagel[Anatomie]::N,kukik,paznokieć
37,Zeh::N,isigak,palec
38,Ferse::N,kimmik,pięta
39,Knie::N,seeqqoq,kolano
40,Oberschenkel::N,uppat,udo
41,Oberschenkel::N,quttoraq,udo
42,Bein::N,isigak,noga
43,Körper::N,timi,ciało
44,Haut::N,mattak,skóra
45,Blut::N,aak,krew
46,Ader::N,taqaq,żyła
47,Sehne::N,ujalu,ścięgno
48,Sehne::N,ujaloq,ścięgno
49,Knochen::N,saanikut,kość
50,Gehirn::N,qarasaq,mózg
51,Herz::N,uummat,serce
52,Magen::N,aqajaroq,żołądek
53,Leber::N,tinguk,wątroba
54,Atem::N,anerneq,dech
55,Atem::N,anerneq,oddech
56,Hunger::N,kaanneq,głód
57,Träne::N,qia,łza
58,Träne::N,qiak,łza
59,Geschmack::N,qilanaartuut,smak
60,Geruch::N,tipi,woń
61,Geruch::N,tipi,zapach
62,Geruch::N,tipik,woń
63,Geruch::N,tipik,zapach
64,Traum::N,sinnattoq,sen
65,Traum::N,sinnattugaq,sen
66,Himmel::N,qilak,niebo
67,Sonne::N,seqineq,słońce
68,Mond::N,qaammat,księżyc
69,Stern::N,ulloriaq,gwiazda
70,Luft::N,silaannaq,powietrze
71,Wind::N,anori,wiatr
72,Wind::N,anorsarik,wiatr
73,Welle::N,aalappaa,fala
74,Wasser::N,imeq,woda
75,Stein::N,ujarak,kamień
76,Boden::N,nateq,grunt
77,Erde::N,issoq,ziemia
78,Staub::N,pujualanerit,pył
79,Staub::N,pujualanerit,kurz
80,Staub::N,pujoralanerit,pył
81,Staub::N,pujoralanerit,kurz
82,Rauch::N,iseq,dym
83,Rauch::N,pujoq,dym
84,Funke::N,illoorneq,iskra
85,Feuer::N,inneq,ogień
86,Licht::N,qaamaneq,światło
87,Schatten::N,tarraq,cień
88,Wetter::N,sila,pogoda
89,Nebel::N,pujoq,mgła
90,Wolke::N,nuia,obłok
91,Wolke::N,nuia,chmura
92,Regen::N,sialuk,deszcz
93,Schnee::N,aput,śnieg
94,Eis::N,siku,lód
95,Frost::N,issi,mróz
96,Frost::N,issik,mróz
97,Kälte::N,issi,chłód
98,Hitze::N,kianneq,gorąco
99,Hitze::N,kiassuseq,gorąco
100,Raureif::N,kaneq,szron
101,Regenbogen::N,neriusaaq,tęcza
102,Donner::N,kalleq,grzmot
