,Concept_ID,hu,lt
0,Auge::N,szem,akis
1,Ohr::N,fül,ausis
2,Nase::N,orr,nosis
3,Mund::N,száj,burna
4,Zahn::N,fog,dantis
5,Zunge::N,nyelv,liežuvis
6,Lippe::N,ajak,lūpa
7,Wange::N,orca,žandas
8,Wange::N,orca,skruostas
9,Gesicht::N,arc,veidas
10,Stirn::N,homlok,kakta
11,Haar::N,haj,plaukai
12,Schnurrbart::N,bajusz,ūsai
13,Bart::N,szakáll,barzda
14,Kinn::N,áll,smakras
15,Kiefer[Anatomie]::N,állkapocs,žandikaulis
16,Kehle::N,gége,gerklė
17,Kehle::N,torok,gerklė
18,Hals::N,nyak,kaklas
19,Genick::N,tarkó,sprandas
20,Kopf::N,fő,galva
21,Kopf::N,fej,galva
22,Rücken::N,hát,nugara
23,Bauch::N,has,pilvas
24,Nabel::N,köldök,bamba
25,Busen::N,mell,krūtinė
26,Busen::N,kebel,krūtinė
27,Brust::N,mell,krūtis
28,Schulter::N,váll,petys
29,Arm::N,kar,ranka
30,Ellenbogen::N,könyök,alkūnė
31,Hand::N,kéz,ranka
32,Hand::N,kéz,plaštaka
33,Handfläche::N,tenyér,delnas
34,Handfläche::N,tenyér,plaštaka
35,Finger::N,ujj,pirštas
36,Fingernagel::N,köröm,nagas
37,Nagel[Anatomie]::N,köröm,nagas
38,Zeh::N,lábujj,pirštas
39,Fuß::N,láb,pėda
40,Ferse::N,sarok,kulnas
41,Knie::N,térd,kelis
42,Oberschenkel::N,comb,kulšis
43,Oberschenkel::N,comb,šlaunis
44,Bein::N,láb,koja
45,Bein::N,lábszár,koja
46,Körper::N,test,kūnas
47,Haut::N,bőr,oda
48,Blut::N,vér,kraujas
49,Ader::N,ér,kraujagyslė
50,Sehne::N,ín,sausgyslė
51,Knochen::N,csont,kaulas
52,Gehirn::N,agy,smegenys
53,Gehirn::N,agyvelő,smegenys
54,Herz::N,szív,širdis
55,Magen::N,gyomor,skrandis
56,Leber::N,máj,kepenys
57,Atem::N,lehelet,kvapas
58,Atem::N,lélegzet,kvapas
59,Hunger::N,éhség,badas
60,Hunger::N,éhség,alkis
61,Träne::N,könny,ašara
62,Geschmack::N,íz,skonis
63,Geruch::N,szag,kvapas
64,Schlaf::N,álom,miegas
65,Schlaf::N,alvás,miegas
66,Traum::N,álom,sapnas
67,Himmel::N,ég,dangus
68,Himmel::N,menny,dangus
69,Sonne::N,nap,saulė
70,Mond::N,hold,mėnulis
71,Stern::N,csillag,žvaigždė
72,Luft::N,levegő,oras
73,Wind::N,szél,vėjas
74,Welle::N,hullám,banga
75,Welle::N,hullám,vilnis
76,Wasser::N,víz,vanduo
77,Stein::N,kő,akmuo
78,Boden::N,föld,žemė
79,Boden::N,föld,dugnas
80,Boden::N,talaj,žemė
81,Boden::N,talaj,dugnas
82,Erde::N,föld,žemė
83,Staub::N,por,dulkės
84,Rauch::N,füst,dūmai
85,Funke::N,szikra,kibirkštis
86,Feuer::N,tűz,ugnis
87,Licht::N,fény,šviesa
88,Schatten::N,árnyék,paūksmė
89,Wetter::N,idő,oras
90,Wetter::N,időjárás,oras
91,Nebel::N,köd,migla
92,Nebel::N,köd,rūkas
93,Wolke::N,felhő,debesis
94,Regen::N,eső,lietus
95,Schnee::N,hó,sniegas
96,Eis::N,jég,ledas
97,Frost::N,fagy,šalna
98,Kälte::N,hideg,šaltis
99,Hitze::N,hő,karštis
100,Hitze::N,hőség,karštis
101,Raureif::N,zúzmara,šerkšnas
102,Regenbogen::N,szivárvány,vaivorykštė
103,Donner::N,dörgés,perkūnas
104,Donner::N,dörgés,griaustinis
105,Donner::N,mennydörgés,perkūnas
106,Donner::N,mennydörgés,griaustinis
107,Strömung::N,áramlat,tėkmė
108,Tropfen::N,csepp,lašas
109,Schaum::N,hab,putos
110,Schaum::N,tajték,putos
111,Schmutz::N,piszok,purvas
112,See::N,tó,ežeras
113,Sumpf::N,mocsár,klampynė
114,Sumpf::N,mocsár,liūnas
115,Moor::N,láp,pelkė
116,Wiese::N,rét,pieva
117,Wiese::N,mező,pieva
118,Wald::N,erdő,miškas
119,Hügel::N,domb,kalva
120,Anhöhe::N,magaslat,kauburys
121,Berg::N,hegy,kalnas
122,Gipfel::N,csúcs,viršūnė
123,Höhle::N,barlang,ola
124,Abhang::N,lejtő,šlaitas
125,Abhang::N,lejtő,nuokalnė
126,Quelle::N,forrás,versmė
127,Quelle::N,forrás,šaltinis
128,Bach::N,patak,upelis
129,Fluss::N,folyó,upė
130,Ufer::N,part,krantas
131,Küste::N,tengerpart,pajūris
132,Festland::N,szárazföld,sausuma
133,Meer::N,tenger,jūra
134,Bucht::N,öböl,įlanka
135,Bucht::N,öböl,užutekis
136,Insel::N,sziget,sala
137,Blume::N,virág,gėlė
138,Gras::N,fű,žolė
139,Wurzel::N,gyökér,šaknis
140,Baum::N,fa,medis
141,Stamm::N,tő,kamienas
142,Stamm::N,törzs,kamienas
143,Rinde::N,kéreg,žievė
144,Ast::N,ág,šaka
145,Zweig::N,gally,šakelė
146,Blatt::N,levél,lapas
147,Birke::N,nyír,beržas
148,Kiefer[Baum]::N,fenyő,pušis
149,Weide[Baum]::N,fűz,karklas
150,Tanne::N,fenyő,eglė
151,Tanne::N,fenyő,kėnis
152,Horn::N,szarv,ragas
153,Feder::N,toll,plunksna
154,Fell::N,szőr,kailis
155,Fell::N,bunda,kailis
156,Flügel::N,szárny,sparnas
157,Klaue::N,köröm,kanopa
158,Kralle::N,karom,nagas
159,Schwanz::N,farok,uodega
160,Ei::N,tojás,kiaušinis
161,Nest::N,fészek,gūžta
162,Nest::N,fészek,lizdas
163,Bau::N,odú,ola
164,Tier::N,állat,gyvūnas
165,Herde::N,nyáj,banda
166,Herde::N,nyáj,kaimenė
167,Herde::N,csorda,banda
168,Herde::N,csorda,kaimenė
169,Kuh::N,tehén,karvė
170,Bulle::N,bika,bulius
171,Pferd::N,ló,arklys
172,Schaf::N,juh,avis
173,Schaf::N,birka,avis
174,Schwein::N,sertés,kiaulė
175,Hund::N,eb,šuo
176,Hund::N,kutya,šuo
177,Katze::N,macska,katė
178,Bär::N,medve,lokys
179,Eichhörnchen::N,mókus,voveraitė
180,Elch::N,jávorszarvas,briedis
181,Fuchs::N,róka,lapė
182,Hase::N,nyúl,kiškas
183,Maus::N,egér,pelė
184,Wolf::N,farkas,vilkas
185,Vogel::N,madár,paukštis
186,Schwarm::N,raj,spiečius
187,Huhn::N,tyúk,višta
188,Hahn::N,kakas,gaidys
189,Gans::N,lúd,žąsis
190,Gans::N,liba,žąsis
191,Adler::N,sas,erelis
192,Ente::N,kacsa,antis
193,Eule::N,bagoly,pelėda
194,Kranich::N,daru,gervė
195,Krähe::N,varjú,varna
196,Kuckuck::N,kakukk,gegužė
197,Schwan::N,hattyú,gulbė
198,Fisch::N,hal,žuvis
199,Barsch::N,sügér,ešerys
200,Hecht::N,csuka,lydeka
201,Schlange[Tier]::N,kígyó,gyvatė
202,Wurm::N,kukac,kirmėlė
203,Spinne::N,pók,voras
204,Ameise::N,hangya,skruzdė
205,Laus::N,tetű,utėlė
206,Mücke::N,szúnyog,uodas
207,Fliege::N,légy,musė
208,Schmetterling::N,lepke,drugys
209,Schmetterling::N,lepke,peteliškė
210,Schmetterling::N,pillangó,drugys
211,Schmetterling::N,pillangó,peteliškė
212,Beere::N,bogyó,uoga
213,Apfel::N,alma,obuolys
214,Pilz::N,gomba,grybas
215,Zwiebel::N,hagyma,svogūnas
216,Saat::N,vetőmag,sėkla
217,Korn::N,mag,grūdai
218,Korn::N,szem,grūdai
219,Heu::N,széna,šienas
220,Schale::N,héj,žievelė
221,Grube::N,verem,duobė
222,Falle::N,csapda,pinklės
223,Falle::N,csapda,žabangai
224,Schlinge::N,tőr,kilpa
225,Spur::N,nyom,vėžė
226,Spur::N,nyom,pėdos
227,Spur::N,nyom,pėdsakas
228,Asche::N,hamu,pelenai
229,Dreck::N,sár,purvas
230,Dreck::N,piszok,purvas
231,Eisen::N,vas,geležis
