,Concept_ID,nl,te
0,Auge::N,oog,కన్ను
1,Ohr::N,oor,చెవి
2,Nase::N,neus,ముక్కు
3,Mund::N,mond,నోరు
4,Zahn::N,tand,పల్లు
5,Zunge::N,tong,నాలుక
6,Lippe::N,lip,పెదవి
7,Wange::N,wang,చెంప
8,Gesicht::N,gelaat,ముఖము
9,Gesicht::N,gezicht,ముఖము
10,Stirn::N,voorhoofd,నుదురు
11,Haar::N,haar,వెండ్రుక
12,Schnurrbart::N,snor,మీసము
13,Bart::N,baard,గడ్డము
14,Kinn::N,kin,గడ్డము
15,Kiefer[Anatomie]::N,kaak,దౌడ
16,Kehle::N,keel,గొంతు
17,Kehle::N,strot,గొంతు
18,Hals::N,hals,మెడ
19,Genick::N,nek,మూపు
20,Kopf::N,hoofd,తల
21,Rücken::N,rug,వెన్ను
22,Bauch::N,buik,కడుపు
23,Nabel::N,navel,బొడ్డు
24,Busen::N,boezem,స్తనము
25,Brust::N,borst,ఱొమ్ము
26,Schulter::N,schouder,భుజము
27,Arm::N,arm,చేయి
28,Ellenbogen::N,elleboog,మోచేయి
29,Hand::N,hand,చేయి
30,Handfläche::N,handpalm,అరచేయు
31,Finger::N,vinger,చేతిప్రేలు
32,Fingernagel::N,nagel,గోరు
33,Nagel[Anatomie]::N,nagel,గోరు
34,Zeh::N,teen,కాలిప్రేలు
35,Fuß::N,voet,అడుగు
36,Ferse::N,hak,మడమ
37,Ferse::N,hiel,మడమ
38,Knie::N,knie,మోకాలు
39,Oberschenkel::N,dij,తొడ
40,Bein::N,been,కాలు
41,Körper::N,lichaam,కాయము
42,Haut::N,huid,చర్మము
43,Blut::N,bloed,రక్తము
44,Ader::N,ader,సిర
45,Sehne::N,pees,స్నాయువు
46,Knochen::N,bot,ఎముక
47,Knochen::N,been,ఎముక
48,Knochen::N,knook,ఎముక
49,Gehirn::N,hersenen,మెదడు
50,Herz::N,hart,హృదయము
51,Magen::N,maag,కడుపు
52,Leber::N,lever,కాలేయము
53,Atem::N,adem,ఉపిరి
54,Hunger::N,honger,ఆకలి
55,Träne::N,traan,కన్నీటిచుక్క
56,Geschmack::N,smaak,రుచి
57,Geruch::N,geur,వాసన
58,Schlaf::N,slaap,నిద్ర
59,Traum::N,droom,కల
60,Himmel::N,hemel,ఆకాశము
61,Sonne::N,zon,సూర్యుడు
62,Mond::N,maan,చంద్రుడు
63,Stern::N,ster,నక్షత్రము
64,Luft::N,lucht,గాలి
65,Wind::N,wind,వీచుచున్నగాలి
66,Welle::N,golf,అల
67,Wasser::N,water,నీరు
68,Stein::N,steen,ఱాయి
69,Boden::N,grond,నేల
70,Erde::N,aarde,మన్ను
71,Staub::N,stof,దుమ్ము
72,Rauch::N,rook,పొగ
73,Funke::N,vonk,అగ్నికణము
74,Feuer::N,vuur,అగ్ని
75,Licht::N,licht,కాంతి
76,Schatten::N,schaduw,నీడ
