,Concept_ID,cs,ru
0,Auge::N,oko,глаз
1,Ohr::N,ucho,ухо
2,Nase::N,nos,нос
3,Mund::N,pusa,рот
4,Zahn::N,zub,зуб
5,Zunge::N,jazyk,язык
6,Lippe::N,ret,губа
7,Wange::N,tvář,щека
8,Gesicht::N,obličej,лицо
9,Stirn::N,čelo,лоб
10,Haar::N,vlas,волос
11,Haar::N,vlas,волосы
12,Haar::N,vlasy,волос
13,Haar::N,vlasy,волосы
14,Schnurrbart::N,kníry,ус
15,Schnurrbart::N,kníry,усы
16,Bart::N,vousy,борода
17,Kinn::N,brada,подбородок
18,Kiefer[Anatomie]::N,čelist,челюсть
19,Kehle::N,hrdlo,горло
20,Hals::N,krk,шея
21,Genick::N,týl,затылок
22,Kopf::N,hlava,голова
23,Rücken::N,záda,спина
24,Rücken::N,hřbet,спина
25,Bauch::N,břicho,живот
26,Nabel::N,pupek,пупок
27,Busen::N,ňadra,женская грудь
28,Brust::N,prsa,грудь
29,Schulter::N,plece,плечо
30,Schulter::N,rameno,плечо
31,Arm::N,ruka,рука
32,Ellenbogen::N,loket,локоть
33,Hand::N,ruka,кисть
34,Handfläche::N,dlaň,ладонь
35,Finger::N,prst,палец
36,Fingernagel::N,nehet,ноготь
37,Nagel[Anatomie]::N,nehet,ноготь
38,Zeh::N,prst u nohy,палец
39,Fuß::N,noha,ступня
40,Ferse::N,pata,пята
41,Ferse::N,pata,пятка
42,Knie::N,koleno,колено
43,Oberschenkel::N,stehno,бедро
44,Bein::N,noha,нога
45,Körper::N,tělo,тело
46,Haut::N,kůže,кожа
47,Blut::N,krev,кровь
48,Ader::N,céva,вена
49,Ader::N,céva,сосуд
50,Sehne::N,šlacha,жила
51,Sehne::N,šlacha,тетива
52,Sehne::N,šlacha,сухожилие
53,Knochen::N,kost,кость
54,Gehirn::N,mozek,мозг
55,Herz::N,srdce,сердце
56,Magen::N,žaludek,желудок
57,Leber::N,játra,печень
58,Atem::N,dech,дух
59,Atem::N,dech,дыхание
60,Hunger::N,hlad,голод
61,Träne::N,slza,слеза
62,Geschmack::N,vkus,вкус
63,Geruch::N,vůně,запах
64,Geruch::N,zápach,запах
65,Schlaf::N,spánek,сон
66,Traum::N,sen,сновидение
67,Himmel::N,nebe,небо
68,Sonne::N,slunce,солнце
69,Mond::N,měsíc,луна
70,Stern::N,hvězda,звезда
71,Luft::N,vzduch,воздух
72,Wind::N,vítr,ветер
73,Welle::N,vlna,волна
74,Wasser::N,voda,вода
75,Stein::N,kámen,камень
76,Boden::N,půda,почва
77,Erde::N,země,земля
78,Staub::N,prach,пыль
79,Rauch::N,dým,дым
80,Rauch::N,kouř,дым
81,Funke::N,jiskra,искра
82,Feuer::N,oheň,огонь
83,Licht::N,světlo,свет
84,Schatten::N,stín,тень
85,Wetter::N,počasí,погода
86,Nebel::N,mlha,туман
87,Wolke::N,mrak,облако
88,Wolke::N,oblak,облако
