,Concept_ID,lez,ca
189,Schlange[Tier]::N,илан,serp
190,Schlange[Tier]::N,гъуьлягъ,serp
191,Wurm::N,квак,cuc
192,Spinne::N,хуьшрекан,aranya
193,Ameise::N,цегв,formiga
194,Laus::N,нет,poll
195,Mücke::N,ветӏ,mosquit
196,Fliege::N,тӏветӏ,mosca
197,Schmetterling::N,чепелукь,papallona
198,Beere::N,куьлуь емиш,baia
199,Apfel::N,ич,poma
200,Pilz::N,къарникъуз,bolet
201,Zwiebel::N,чичӏек,ceba
202,Saat::N,тумар,sembra
203,Korn::N,твар,gra
204,Heu::N,векь,fenc
205,Heu::N,векьер,fenc
206,Schale::N,пириш,closca
207,Schale::N,хъуьруьш,closca
208,Grube::N,фур,sot
209,Grube::N,фур,clot
210,Falle::N,ракьар,trampa
211,Schlinge::N,гьалкъа,baga
212,Spur::N,гел,traça
213,Asche::N,руьхъ,cendra
214,Dreck::N,чирк,llot
215,Dreck::N,кьуруш,llot
216,Eisen::N,ракь,ferro
217,Gold::N,алтун,or
218,Silber::N,гимиш,plata
219,Kohle::N,цӏивин,carbó
220,Glas::N,шуьше,vidre
221,Lehm::N,ччеб,fang
222,Lehm::N,ччеб,argila
223,Sand::N,къум,arena
224,Mensch::N,инсан,humà
225,Mensch::N,инсан,persona
226,Mann::N,итим,home
227,Frau::N,паб,dona
228,Frau::N,дишегьли,dona
229,Kind::N,аял,nen
230,Junge::N,гада,noi
231,Mädchen::N,руш,noia
232,Familie::N,хзан,família
233,Familie::N,килфет,família
234,Großvater::N,чӏехи буба,avi
235,Großmutter::N,чӏехи диде,àvia
236,Eltern::N,диде-буба,pares
237,Vater::N,буба,pare
238,Mutter::N,диде,mare
239,Sohn::N,хва,fill
240,Tochter::N,руш,filla
241,Bruder::N,стха,germà
242,Schwester::N,вах,germana
243,Onkel::N,ими,oncle
244,Onkel::N,халу,oncle
245,Tante::N,эме,tia
246,Tante::N,хала,tia
247,Ehemann::N,гъуьл,espòs
248,Ehefrau::N,паб,muller
249,Freude::N,шадвал,goig
250,Freude::N,шадвал,alegria
251,Gelächter::N,хъвер,riallada
252,Glück::N,бахт,felicitat
253,Kummer::N,дерт,pena
254,Kummer::N,хажалат,pena
255,Wunsch::N,мурад,desig
256,Lust::N,гьевес,ganes
257,Geist::N,руьгь,ment
258,Geist::N,руьгь,esperit
259,Gedanke::N,фикир,pensament
260,Verstand::N,акьул,raó
261,Verstand::N,акьул,seny
262,Sinn::N,мана,solta
263,Sinn::N,мана,sentit
264,Grund::N,себеб,raó
265,Grund::N,себеб,causa
266,Wahrheit::N,керчек,veritāt
267,Wahrheit::N,гьакъикъат,veritāt
268,Gespräch::N,ихтилат,conversa
269,Märchen::N,мах,conte
270,Erzählung::N,кьиса,narració
271,Nachricht::N,хабар,missatge
272,Neuigkeit::N,цӏийи хабар,novetat
273,Name::N,тӏвар,nom
274,Rätsel::N,мискӏал,endevinalla
275,Rede::N,рахун,discurs
276,Sprache::N,чӏал,llēngua
277,Stimme::N,ван,veu
278,Wort::N,гаф,mot
279,Wort::N,гаф,paraula
280,Zeichen::N,ишара,signe
281,Zeichen::N,ишара,senyal
282,Ruf::N,эвер,crida
283,Lärm::N,ван-сес,sorōll
284,Laut::N,ван,so
285,Laut::N,сес,so
286,Ton::N,ван-сес,to
287,Lied::N,мани,cançó
288,Ruhe::N,ласвал,calma
289,Ruhe::N,ласвал,silenci
