,Concept_ID,tr,fr
0,Auge::N,göz,œil
1,Ohr::N,kulak,oreille
2,Nase::N,burun,nez
3,Mund::N,ağız,bouche
4,Zahn::N,diş,dent
5,Zunge::N,dil,langue
6,Lippe::N,dudak,lèvre
7,Wange::N,yanak,joue
8,Gesicht::N,yüz,face
9,Gesicht::N,yüz,visage
10,Stirn::N,alın,front
11,Haar::N,saç,cheveu
12,Schnurrbart::N,bıyık,moustache
13,Bart::N,sakal,barbe
14,Kinn::N,çene,menton
15,Kiefer[Anatomie]::N,çene,mâchoire
16,Kehle::N,boğaz,gorge
17,Hals::N,boyun,cou
18,Hals::N,gerdan,cou
19,Genick::N,ense,nuque
20,Kopf::N,baş,tête
21,Kopf::N,kafa,tête
22,Rücken::N,arka,dos
23,Bauch::N,karın,ventre
24,Nabel::N,göbek,nombril
25,Busen::N,koyun,sein
26,Brust::N,göğüs,poitrine
27,Schulter::N,omuz,épaule
28,Arm::N,kol,bras
29,Ellenbogen::N,dirsek,coude
30,Hand::N,el,main
31,Handfläche::N,avuç,paume
32,Handfläche::N,el ayası,paume
33,Finger::N,parmak,doigt
34,Fingernagel::N,el tırnağı,ongle
35,Nagel[Anatomie]::N,tırnak,ongle
36,Zeh::N,ayak parmağı,orteil
37,Zeh::N,ayak parmağı,doigt de pied
38,Fuß::N,ayak,pied
39,Ferse::N,topuk,talon
40,Knie::N,diz,genou
41,Oberschenkel::N,uyluk,cuisse
42,Bein::N,bacak,jambe
43,Körper::N,vücut,corps
44,Haut::N,cilt,peau
45,Blut::N,kan,sang
46,Ader::N,damar,veine
47,Sehne::N,kiriş,tendon
48,Knochen::N,kemik,os
49,Gehirn::N,beyin,cerveau
50,Herz::N,kalp,cœur
51,Herz::N,yürek,cœur
52,Magen::N,mide,estomac
53,Leber::N,karaciğer,foie
54,Atem::N,nefes,haleine
55,Hunger::N,açlık,faim
56,Träne::N,gözyaşı,larme
57,Geschmack::N,tat,goût
58,Geschmack::N,tat,saveur
59,Geschmack::N,lezzet,goût
60,Geschmack::N,lezzet,saveur
61,Geruch::N,koku,odeur
62,Schlaf::N,uyku,sommeil
63,Traum::N,düş,songe
64,Traum::N,rüya,songe
65,Himmel::N,gök,ciel
66,Sonne::N,güneş,soleil
67,Mond::N,ay,lune
68,Stern::N,yıldız,étoile
69,Luft::N,hava,air
70,Wind::N,yel,vent
71,Wind::N,rüzgâr,vent
72,Welle::N,dalga,vague
73,Wasser::N,su,eau
74,Stein::N,taş,pierre
75,Boden::N,yer,sol
76,Boden::N,yer,terrain
77,Boden::N,zemin,sol
78,Boden::N,zemin,terrain
79,Erde::N,toprak,terre
80,Staub::N,toz,poussière
81,Rauch::N,duman,fumée
82,Funke::N,kıvılcım,étincelle
83,Feuer::N,ateş,feu
84,Licht::N,ışık,lumière
85,Schatten::N,gölge,ombre
86,Wetter::N,hava,temps
87,Nebel::N,pus,brume
88,Nebel::N,pus,brouillard
89,Wolke::N,bulut,nuage
90,Regen::N,yağmur,pluie
91,Schnee::N,kar,neige
92,Eis::N,buz,glace
93,Frost::N,don,gel
94,Frost::N,don,gelée
95,Kälte::N,soğukluk,froid
96,Hitze::N,sıcaklık,chaleur
97,Raureif::N,kırç,givre
98,Regenbogen::N,gökkuşağı,arc-en-ciel
99,Donner::N,gök gürlemesi,tonnerre
100,Strömung::N,akıntı,courant
101,Strömung::N,cereyan,courant
102,Tropfen::N,damla,goutte
103,Schaum::N,köpük,écume
104,Schaum::N,köpük,mousse
105,Schmutz::N,çamur,boue
106,Schmutz::N,çamur,saleté
107,Schmutz::N,pislik,boue
108,Schmutz::N,pislik,saleté
109,See::N,göl,lac
110,Sumpf::N,batak,marais
111,Sumpf::N,batak,marécage
112,Moor::N,cılgıt,tourbière
113,Wiese::N,çimen,pré
114,Wald::N,koru,bois
115,Wald::N,koru,forêt
116,Wald::N,orman,bois
117,Wald::N,orman,forêt
118,Hügel::N,tepe,coteau
119,Hügel::N,tepe,colline
120,Anhöhe::N,tümsek,éminence
121,Anhöhe::N,tümsek,élévation
122,Anhöhe::N,yükseklik,éminence
123,Anhöhe::N,yükseklik,élévation
124,Berg::N,dağ,mont
125,Berg::N,dağ,montagne
126,Gipfel::N,zirve,cime
127,Gipfel::N,zirve,sommet
128,Höhle::N,in,caverne
129,Höhle::N,mağara,caverne
130,Abhang::N,bayır,pente
131,Abhang::N,bayır,versant
132,Quelle::N,pınar,source
133,Quelle::N,pınar,fontaine
134,Quelle::N,kaynak,source
135,Quelle::N,kaynak,fontaine
136,Bach::N,çay,ruisseau
137,Bach::N,dere,ruisseau
138,Fluss::N,nehir,fleuve
139,Fluss::N,nehir,rivière
140,Ufer::N,kıyı,bord
141,Ufer::N,kıyı,rivage
142,Ufer::N,sahil,bord
143,Ufer::N,sahil,rivage
144,Küste::N,kıyı,côte
145,Küste::N,sahil,côte
146,Festland::N,kara,terre ferme
147,Meer::N,deniz,mer
148,Bucht::N,koy,baie
149,Bucht::N,körfez,baie
150,Insel::N,ada,île
151,Blume::N,çiçek,fleur
152,Gras::N,ot,herbe
153,Gras::N,çim,herbe
154,Wurzel::N,kök,racine
155,Baum::N,ağaç,arbre
156,Stamm::N,gövde,tronc
157,Rinde::N,kabuk,écorce
158,Ast::N,dal,branche
159,Ast::N,budak,branche
160,Zweig::N,dal,rameau
161,Blatt::N,yaprak,feuille
162,Birke::N,huş,bouleau
163,Kiefer[Baum]::N,çam,pin
164,Weide[Baum]::N,söğüt,saule
165,Tanne::N,çam,sapin
166,Tanne::N,köknar,sapin
167,Horn::N,boynuz,corne
168,Feder::N,tüy,plume
169,Fell::N,post,peau
170,Flügel::N,kanat,aile
171,Klaue::N,pençe,serre
172,Kralle::N,tırnak,ongle
173,Kralle::N,tırnak,griffe
174,Schwanz::N,kuyruk,queue
175,Ei::N,yumurta,œuf
176,Nest::N,yuva,nid
177,Bau::N,in,terrier
178,Tier::N,hayvan,animal
179,Herde::N,sürü,troupeau
180,Kuh::N,inek,vache
181,Bulle::N,boğa,taureau
182,Pferd::N,at,cheval
183,Pferd::N,beygir,cheval
184,Schaf::N,koyun,mouton
185,Schwein::N,domuz,porc
186,Schwein::N,domuz,cochon
187,Hund::N,it,chien
188,Hund::N,köpek,chien
189,Katze::N,kedi,chat
190,Bär::N,ayı,ours
191,Eichhörnchen::N,sincap,écureuil
192,Elch::N,büyük kuzey geyiği,élan
193,Fuchs::N,tilki,renard
194,Hase::N,tavşan,lièvre
195,Maus::N,fare,souris
196,Maus::N,sıçan,souris
197,Wolf::N,kurt,loup
198,Vogel::N,kuş,oiseau
199,Schwarm::N,sürü,nuée
200,Schwarm::N,sürü,volée
201,Huhn::N,tavuk,poule
202,Hahn::N,horoz,coq
203,Gans::N,kaz,oie
204,Adler::N,kartal,aigle
205,Adler::N,karakuş,aigle
206,Ente::N,ördek,canard
207,Eule::N,baykuş,hibou
208,Kranich::N,turna,grue
209,Krähe::N,karga,corneille
210,Kuckuck::N,guguk,coucou
211,Schwan::N,kuğu,cygne
212,Fisch::N,balık,poisson
213,Barsch::N,hani,perche
214,Barsch::N,levrek,perche
215,Hecht::N,turnabalığı,brochet
216,Schlange[Tier]::N,yılan,serpent
217,Wurm::N,kurt,ver
218,Wurm::N,solucan,ver
219,Spinne::N,örümcek,araignée
220,Ameise::N,karınca,fourmi
221,Laus::N,bit,pou
222,Mücke::N,sivrisinek,moucheron
223,Fliege::N,sinek,mouche
224,Schmetterling::N,kelebek,papillon
225,Beere::N,tane,baie
226,Apfel::N,elma,pomme
227,Pilz::N,mantar,champignon
228,Zwiebel::N,soğan,oignon
229,Saat::N,ekin,semence
230,Korn::N,tane,grain
231,Heu::N,kuru ot,foin
232,Schale::N,kabuk,pelure
233,Grube::N,çukur,fosse
234,Falle::N,tuzak,piège
235,Schlinge::N,ilmik,lacs
236,Spur::N,iz,trace
237,Asche::N,kül,cendre
238,Dreck::N,pislik,crotte
239,Eisen::N,demir,fer
240,Gold::N,altın,or
241,Silber::N,gümüş,argent
242,Kohle::N,kömür,charbon
243,Glas::N,cam,verre
244,Lehm::N,balçık,glaise
245,Sand::N,kum,sable
246,Mensch::N,insan,homme
247,Mann::N,adam,homme
248,Mann::N,erkek,homme
249,Frau::N,bayan,femme
250,Kind::N,çocuk,enfant
251,Junge::N,erkek çocuk,garçon
252,Mädchen::N,kız,fille
253,Mädchen::N,kız,jeune fille
254,Familie::N,aile,famille
255,Großvater::N,dede,grand-père
256,Großvater::N,büyükbaba,grand-père
257,Großmutter::N,nine,grand-mère
258,Großmutter::N,büyükanne,grand-mère
