,Concept_ID,br,es
0,Auge::N,lagad,ojo
1,Ohr::N,skouarn,oreja
2,Nase::N,fri,nariz
3,Mund::N,genoù,boca
4,Zahn::N,dant,diente
5,Zunge::N,teod,lengua
6,Lippe::N,muzell,labio
7,Wange::N,chot,mejilla
8,Gesicht::N,dremm,cara
9,Stirn::N,tal,frente
10,Haar::N,blev,cabello
11,Schnurrbart::N,mourenn,bigote
12,Bart::N,barv,barba
13,Kinn::N,groñj,barbilla
14,Kiefer[Anatomie]::N,javed,mandíbula
15,Kehle::N,gouzoug,garganta
16,Hals::N,gouzoug,cuello
17,Genick::N,choug,nuca
18,Genick::N,choug,cerviz
19,Kopf::N,penn,cabeza
20,Rücken::N,kein,espalda
21,Bauch::N,kof,vientre
22,Nabel::N,begel,ombligo
23,Busen::N,bronn,pecho
24,Brust::N,bruched,pecho
25,Schulter::N,skoaz,hombro
26,Arm::N,brec'h,brazo
27,Ellenbogen::N,ilin,codo
28,Hand::N,dorn,mano
29,Handfläche::N,palv,palma
30,Finger::N,biz,dedo
31,Fingernagel::N,ivin,uña
32,Nagel[Anatomie]::N,ivin,uña
33,Zeh::N,biz-troad,dedo del pie
34,Fuß::N,troad,pie
35,Ferse::N,seul,talón
36,Knie::N,glin,rodilla
37,Oberschenkel::N,morzhed,muslo
38,Bein::N,gar,pierna
39,Körper::N,korf,cuerpo
40,Haut::N,kroc'hen,piel
41,Blut::N,gwad,sangre
42,Ader::N,gwazhi,vena
43,Sehne::N,stir,tendón
44,Knochen::N,askorn,hueso
45,Gehirn::N,empenn,cerebro
46,Gehirn::N,empenn,encéfalo
47,Herz::N,kalon,corazón
48,Magen::N,stomog,estómago
49,Leber::N,avu,hígado
50,Atem::N,anal,aliento
51,Hunger::N,naon,hambre
52,Träne::N,daer,lágrima
53,Geschmack::N,blaz,gusto
54,Geruch::N,c'hwezh,olor
55,Schlaf::N,kousked,sueño
56,Traum::N,hune,sueño
57,Traum::N,hune,ensueño
58,Himmel::N,oabl,cielo
59,Sonne::N,heol,sol
60,Mond::N,loar,luna
61,Stern::N,steredenn,estrella
62,Luft::N,aer,aire
63,Wind::N,avel,viento
64,Welle::N,houlenn,ola
65,Welle::N,houlenn,onda
66,Wasser::N,dour,agua
67,Stein::N,maen,piedra
68,Boden::N,tachenn,suelo
69,Erde::N,douar,tierra
70,Staub::N,poultr,polvo
71,Rauch::N,moged,humo
72,Funke::N,ful,chispa
73,Feuer::N,tan,fuego
74,Licht::N,gouloù,luz
75,Schatten::N,disheol,sombra
76,Wetter::N,amzer,tiempo
77,Nebel::N,brumenn,niebla
78,Wolke::N,koumoulenn,nube
79,Regen::N,glav,lluvia
80,Schnee::N,erc'h,nieve
81,Eis::N,skorn,hielo
82,Frost::N,rev,helada
83,Kälte::N,yen,frío
84,Hitze::N,tommder,calor
85,Raureif::N,frim,escarcha
86,Regenbogen::N,gwareg-ar-glav,arco iris
87,Donner::N,kurun,trueno
88,Strömung::N,red,corriente
89,Tropfen::N,bannac'h,gota
90,Tropfen::N,takenn,gota
91,Schaum::N,spoum,espuma
92,Schmutz::N,fank,suciedad
93,See::N,lenn,lago
94,Sumpf::N,gwern,pantano
95,Moor::N,taouarc'heg,turbera
96,Wiese::N,prad,prado
97,Wiese::N,prad,pradera
98,Wald::N,koad,bosque
99,Hügel::N,torgenn,colina
100,Anhöhe::N,run,cerro
101,Berg::N,menez,monte
102,Berg::N,menez,montaña
103,Gipfel::N,barr,cima
104,Gipfel::N,barr,cumbre
105,Höhle::N,kav,cueva
106,Höhle::N,kav,caverna
107,Abhang::N,naou,cuesta
108,Abhang::N,naou,declive
109,Quelle::N,feunteun,fuente
110,Quelle::N,feunteun,manantial
111,Bach::N,gwazh,arroyo
112,Fluss::N,stêr,río
113,Ufer::N,ribl,orilla
114,Küste::N,aod,costa
115,Festland::N,douar,tierra firme
116,Meer::N,mor,mar
117,Bucht::N,mor-bihan,cala
118,Bucht::N,mor-bihan,bahía
119,Insel::N,enez,isla
120,Blume::N,bleunienn,flor
121,Gras::N,geot,hierba
122,Wurzel::N,gwrizienn,raíz
123,Baum::N,gwezenn,árbol
124,Stamm::N,kef,tronco
125,Rinde::N,rusk,corteza
126,Ast::N,barr,rama
127,Zweig::N,bod,ramo
128,Blatt::N,delienn,hoja
129,Birke::N,bezvenn,abedul
130,Kiefer[Baum]::N,pinenn,pino
131,Weide[Baum]::N,halegenn,sauce
132,Tanne::N,sapenn,abeto
133,Horn::N,korn,asta
134,Horn::N,korn,cuerno
135,Feder::N,pluñv,pluma
136,Fell::N,kreoñ,piel
137,Flügel::N,askell,ala
138,Klaue::N,skilf,garra
139,Kralle::N,skilf,uña
140,Kralle::N,skilf,garra
141,Schwanz::N,lost,cola
142,Ei::N,vi,huevo
143,Nest::N,neizh,nido
144,Bau::N,douarenn,madriguera
145,Tier::N,loen,animal
146,Herde::N,tropell,rebaño
147,Kuh::N,buoc'h,vaca
148,Bulle::N,tarv,toro
149,Pferd::N,marc'h,caballo
150,Schaf::N,dañvad,oveja
151,Schwein::N,pemoc'h,cerdo
152,Hund::N,ki,perro
153,Katze::N,kazh,gato
154,Bär::N,arzh,oso
155,Eichhörnchen::N,gwiñver,ardilla
156,Elch::N,karv-dour,alce
157,Fuchs::N,louarn,zorro
158,Hase::N,gad,liebre
159,Maus::N,logodenn,ratón
160,Wolf::N,bleiz,lobo
161,Vogel::N,labous,ave
162,Vogel::N,labous,pájaro
163,Schwarm::N,nijad,bandada
164,Huhn::N,yar,gallina
165,Hahn::N,kilhog,gallo
166,Gans::N,gwazenn,oca
167,Gans::N,gwazenn,ganso
168,Adler::N,erer,águila
169,Ente::N,houad,pato
170,Eule::N,toud,lechuza
171,Kranich::N,garan,grulla
172,Krähe::N,bran,corneja
173,Kuckuck::N,koukoug,cuco
174,Schwan::N,alarc'h,cisne
175,Fisch::N,pesk,pez
176,Barsch::N,brell,perca
177,Hecht::N,beked,lucio
178,Schlange[Tier]::N,naer,serpiente
179,Wurm::N,preñv,gusano
180,Spinne::N,kevnidenn,araña
181,Ameise::N,merion,hormiga
182,Laus::N,laouenn,piojo
183,Mücke::N,moustik,mosquito
184,Fliege::N,kelienenn,mosca
185,Schmetterling::N,balafenn,mariposa
186,Beere::N,hog,baya
187,Apfel::N,aval,manzana
188,Pilz::N,kabell-touseg,seta
189,Pilz::N,kabell-touseg,hongo
190,Zwiebel::N,ognonenn,cebolla
191,Saat::N,had,siembra
192,Korn::N,ed,grano
193,Heu::N,foenn,heno
194,Schale::N,peliadur,cáscara
195,Falle::N,pech,trampa
196,Schlinge::N,krouglas,lazo
197,Asche::N,ludu,ceniza
198,Dreck::N,fank,suciedad
199,Eisen::N,houarn,hierro
200,Gold::N,aour,oro
201,Silber::N,arc'hant,plata
202,Kohle::N,glaou,carbón
203,Glas::N,gwer,vidrio
204,Glas::N,gwer,cristal
205,Sand::N,traezh,arena
206,Mensch::N,den,hombre
207,Mensch::N,den,ser humano
208,Mann::N,den,hombre
209,Frau::N,maouez,mujer
210,Kind::N,bugel,niño
211,Junge::N,paotr,chico
212,Junge::N,paotr,muchacho
213,Mädchen::N,plac'h,chica
214,Mädchen::N,plac'h,muchacha
215,Familie::N,familh,familia
216,Großvater::N,tad-kozh,abuelo
217,Großmutter::N,mamm-gozh,abuela
218,Eltern::N,kerent,padres
219,Vater::N,tad,padre
220,Mutter::N,mamm,madre
221,Sohn::N,mab,hijo
222,Tochter::N,merc'h,hija
223,Bruder::N,breur,hermano
224,Schwester::N,c'hoar,hermana
225,Onkel::N,eontr,tío
226,Tante::N,moereb,tía
227,Ehemann::N,gwaz,esposo
228,Ehefrau::N,gwreg,esposa
229,Freude::N,levenez,placer
230,Freude::N,levenez,alegría
231,Gelächter::N,c'hoarzherezh,risa
232,Gelächter::N,c'hoarzherezh,carcajada
233,Glück::N,chañs,felicidad
234,Kummer::N,doan,pena
235,Wunsch::N,c'hoant,deseo
236,Lust::N,c'hoant,ganas
237,Geist::N,spered,mente
238,Geist::N,spered,espíritu
239,Gedanke::N,soñj,idea
240,Gedanke::N,soñj,pensamiento
241,Gedächtnis::N,eñvor,memoria
242,Verstand::N,skiant,razón
243,Verstand::N,skiant,entendimiento
244,Sinn::N,ster,sentido
245,Sinn::N,ster,significado
246,Grund::N,kaoz,causa
247,Wahrheit::N,gwirionez,verdad
248,Gespräch::N,kaozeadenn,conversación
249,Märchen::N,kaoz korriganez,cuento
250,Erzählung::N,kontadenn,cuento
251,Erzählung::N,kontadenn,narración
252,Nachricht::N,keloù,mensaje
253,Neuigkeit::N,kelaouenn,noticia
254,Name::N,anv,nombre
255,Rätsel::N,divinatez,acertijo
256,Rätsel::N,divinatez,adivinanza
257,Rede::N,diskour,discurso
258,Sprache::N,yezh,lengua
259,Stimme::N,mouezh,voz
260,Wort::N,ger,palabra
261,Zeichen::N,sin,señal
262,Ruf::N,galv,llamada
263,Lärm::N,trouz,ruido
264,Lärm::N,trouz,barullo
265,Ton::N,ton,tono
266,Lied::N,kanaouenn,canción
267,Ruhe::N,sioulded,calma
268,Ruhe::N,sioulded,silencio
269,Leute::N,tud,gente
270,Volk::N,pobl,pueblo
271,Arbeit::N,labour,trabajo
272,Gast::N,kouviad,huésped
273,Gast::N,kouviad,invitado
274,Geschenk::N,prof,regalo
275,Spiel::N,c'hoari,juego
276,Gesellschaft::N,kompagnunezh,compañía
277,Gesellschaft::N,kavandad,compañía
278,Hilfe::N,sikour,ayuda
279,Hilfe::N,sikour,socorro
280,Freund::N,mignon,amigo
281,Kamerad::N,kamarad,camarada
282,Kamerad::N,kamarad,compañero
283,Angelegenheit::N,afer,asunto
284,Anzahl::N,niver,cantidad
285,Art::N,sort,tipo
286,Art::N,sort,clase
287,Stück::N,tamm,pieza
288,Teil::N,pezh,parte
289,Hälfte::N,hanterenn,mitad
290,Kreis::N,kelc'h,círculo
291,Kreuz::N,kroaz,cruz
292,Linie::N,linenn,línea
293,Strich::N,tenn,raya
294,Strich::N,tenn,trazo
295,Abstand::N,distok,distancia
296,Entfernung::N,keid,distancia
297,Entfernung::N,kehid,distancia
298,Gegend::N,korn-bro,región
299,Gegend::N,korn-bro,comarca
300,Platz::N,plasenn,espacio
301,Ort::N,lec'h,sitio
302,Seite::N,tu,lado
303,Seite::N,tu,costado
304,Mitte::N,kreiz,medio
305,Mitte::N,kreiz,centro
306,Gegenstand::N,tra,objeto
307,Sache::N,tra,cosa
308,Rand::N,kantenn,borde
309,Kante::N,kantenn,borde
310,Ecke::N,korn,esquina
311,Spitze::N,begell,punta
312,Ende::N,dibenn,cabo
313,Ende::N,dibenn,extremo
314,Loch::N,toull,agujero
315,Loch::N,toull,abertura
316,Muster::N,tresadenn,dibujo
317,Größe::N,ment,tamaño
318,Länge::N,hirder,longitud
319,Höhe::N,uhelder,altura
320,Höhe::N,uhelder,altitud
321,Gewicht::N,pouez,peso
322,Menge::N,bern,cantidad
323,Haufen::N,bern,montón
324,Reihe::N,steud,fila
325,Boot::N,bag,bote
326,Boot::N,bag,barca
327,Ruder::N,roeñv,remo
328,Schlitten::N,trainell,trineo
329,Ski::N,ski,esquí
330,Last::N,karg,carga
331,Gang::N,kerzh,marcha
332,Schritt::N,paz,paso
