,Concept_ID,tr,ja
0,Auge::N,göz,目
1,Ohr::N,kulak,耳
2,Nase::N,burun,鼻
3,Mund::N,ağız,口
4,Zahn::N,diş,歯
5,Zunge::N,dil,舌
6,Lippe::N,dudak,唇
7,Wange::N,yanak,頬
8,Gesicht::N,yüz,顔
9,Stirn::N,alın,額
10,Haar::N,saç,髪
11,Schnurrbart::N,bıyık,口髭
12,Bart::N,sakal,髭
13,Kinn::N,çene,顎
14,Kiefer[Anatomie]::N,çene,顎
15,Kehle::N,boğaz,喉
16,Hals::N,boyun,首
17,Hals::N,gerdan,首
18,Genick::N,ense,首
19,Kopf::N,baş,頭
20,Kopf::N,kafa,頭
21,Rücken::N,arka,背中
22,Bauch::N,karın,腹
23,Bauch::N,karın,お腹
24,Nabel::N,göbek,へそ
25,Busen::N,koyun,乳房
26,Brust::N,göğüs,胸
27,Schulter::N,omuz,肩
28,Arm::N,kol,腕
29,Ellenbogen::N,dirsek,肘
30,Hand::N,el,手
31,Handfläche::N,avuç,手のひら
32,Handfläche::N,el ayası,手のひら
33,Finger::N,parmak,指
34,Fingernagel::N,el tırnağı,爪
35,Nagel[Anatomie]::N,tırnak,爪
36,Zeh::N,ayak parmağı,足の指
37,Fuß::N,ayak,足
38,Ferse::N,topuk,かかと
39,Knie::N,diz,膝
40,Oberschenkel::N,uyluk,上腿
41,Bein::N,bacak,足
42,Körper::N,vücut,体
43,Haut::N,cilt,皮膚
44,Blut::N,kan,血
45,Ader::N,damar,血管
46,Sehne::N,kiriş,腱
47,Knochen::N,kemik,骨
48,Gehirn::N,beyin,脳
49,Herz::N,kalp,心
50,Herz::N,kalp,心臓
51,Herz::N,yürek,心
52,Herz::N,yürek,心臓
53,Magen::N,mide,胃
54,Leber::N,karaciğer,肝臓
55,Atem::N,nefes,息
56,Atem::N,nefes,呼吸
57,Hunger::N,açlık,空腹
58,Träne::N,gözyaşı,涙
59,Geschmack::N,tat,味
60,Geschmack::N,lezzet,味
61,Geruch::N,koku,匂い
62,Schlaf::N,uyku,睡眠
63,Traum::N,düş,夢
64,Traum::N,rüya,夢
65,Himmel::N,gök,空
66,Sonne::N,güneş,太陽
67,Mond::N,ay,月
68,Stern::N,yıldız,星
69,Luft::N,hava,空気
70,Wind::N,yel,風
71,Wind::N,rüzgâr,風
72,Welle::N,dalga,波
73,Wasser::N,su,水
74,Stein::N,taş,石
75,Boden::N,yer,土地
76,Boden::N,zemin,土地
77,Erde::N,toprak,土
78,Staub::N,toz,埃
79,Rauch::N,duman,煙
80,Funke::N,kıvılcım,火花
81,Feuer::N,ateş,火
82,Licht::N,ışık,光
83,Schatten::N,gölge,陰
84,Wetter::N,hava,天気
85,Nebel::N,pus,霧
86,Wolke::N,bulut,雲
87,Regen::N,yağmur,雨
88,Schnee::N,kar,雪
89,Eis::N,buz,氷
90,Frost::N,don,霜
91,Kälte::N,soğukluk,寒さ
92,Hitze::N,sıcaklık,暑さ
93,Raureif::N,kırç,霧氷
94,Regenbogen::N,gökkuşağı,虹
95,Donner::N,gök gürlemesi,雷
96,Strömung::N,akıntı,流れ
97,Strömung::N,cereyan,流れ
