,Concept_ID,ar,sah
0,Auge::N,عين,харах
1,Ohr::N,أذن,кулгаах
2,Nase::N,أنف,мурун
3,Mund::N,فم,айах
4,Zahn::N,سن,тиис
5,Zunge::N,لسان,тыл
6,Lippe::N,شفة,уос
7,Wange::N,خد,иэдэс
8,Wange::N,وجنة,иэдэс
9,Gesicht::N,وجه,сирэй
10,Stirn::N,جبين,сүүс
11,Haar::N,شعر,баттах
12,Schnurrbart::N,شارب,уос бытыга
13,Bart::N,لحية,сэҥийэ бытыга
14,Kinn::N,ذقن,сэҥийэ
15,Kiefer[Anatomie]::N,فك,сыҥаах
16,Kehle::N,حلق,тамах
17,Kehle::N,حلق,күөмэй
18,Hals::N,عنق,моой
19,Hals::N,رقبة,моой
20,Genick::N,قفا,кэтэх
21,Kopf::N,رأس,бас
22,Rücken::N,ظهر,көҕүс
23,Bauch::N,بطن,ис
24,Nabel::N,سرة,киин
25,Busen::N,ثدي,эмиий
26,Brust::N,صدر,түөс
27,Schulter::N,كتف,сарын
28,Arm::N,ذراع,илии
29,Ellenbogen::N,كوع,тоҕонох
30,Hand::N,يد,илии
31,Handfläche::N,كف,ытыс
32,Finger::N,إصبع,тарбах
33,Fingernagel::N,ظفر,тыҥырах
34,Nagel[Anatomie]::N,ظفر,тыҥырах
35,Zeh::N,إصبع القدم,тарбах
36,Fuß::N,قدم,уллуҥах
37,Ferse::N,كعب,тилэх
38,Knie::N,ركبة,тобук
39,Knie::N,ركبة,дьилбэк
40,Oberschenkel::N,فخذ,уллук
41,Oberschenkel::N,فخذ,өттүк
42,Bein::N,ساق,атах
43,Körper::N,جسم,бэйэ
44,Haut::N,بشرة,тирии
45,Blut::N,دم,хаан
46,Ader::N,عرق,вена
47,Ader::N,عرق,күөх_тымыр
48,Sehne::N,طنب,иҥиир
49,Knochen::N,عظم,уҥуох
50,Knochen::N,عظم,уҥгуох
51,Gehirn::N,دماغ,мэйии
52,Herz::N,قلب,сүрэх
53,Magen::N,معدة,куртах
54,Leber::N,كبد,быар
55,Atem::N,نفس,тыын
56,Hunger::N,جوع,аас
57,Träne::N,دمعة,харах уута
58,Geschmack::N,طعم,амтан
59,Geschmack::N,مذاق,амтан
60,Geruch::N,رائحة,сыт
61,Schlaf::N,نوم,утуйуу
62,Schlaf::N,منام,утуйуу
63,Traum::N,حلم,түүл
64,Himmel::N,سماء,халлаан
65,Sonne::N,شمس,күн
66,Mond::N,قمر,ый
67,Stern::N,نجم,сулус
68,Stern::N,كوكب,сулус
69,Luft::N,هواء,салгын
70,Wind::N,ريح,тыал
71,Welle::N,موجة,долгун
72,Welle::N,موجة,балхаан
73,Wasser::N,ماء,уу
74,Stein::N,حجر,таас
75,Boden::N,تراب,сир
76,Erde::N,أرض,буор
77,Staub::N,غبار,быыл
78,Rauch::N,دخان,буруо
79,Funke::N,شرارة,кыым
80,Feuer::N,نار,уот
81,Licht::N,نور,уот
82,Licht::N,ضوء,уот
83,Schatten::N,ظل,күлүк
84,Schatten::N,فيء,күлүк
85,Wetter::N,جو,күн-дьыл
86,Wetter::N,طقس,күн-дьыл
87,Nebel::N,ضباب,туман
88,Wolke::N,غيمة,былыт
89,Wolke::N,سحابة,былыт
90,Regen::N,مطر,самыыр
91,Schnee::N,ثلج,хаар
92,Eis::N,جليد,муус
93,Frost::N,صقيع,тымныы
94,Kälte::N,برد,тымныы
95,Hitze::N,حر,куйаас
96,Hitze::N,حرارة,куйаас
97,Raureif::N,صقيع,кырыа
98,Regenbogen::N,قوس قزح,кустук
99,Donner::N,رعد,этиҥ
100,Strömung::N,تيار,сүүрүк
101,Tropfen::N,قطرة,таммах
102,Tropfen::N,قطرة,хааппыла
103,Schaum::N,زبد,күүгэн
104,Schaum::N,رغوة,күүгэн
105,Schmutz::N,وسخ,кир
106,See::N,بحيرة,күөл
107,Sumpf::N,مستنقع,бадараан
108,Moor::N,مستنقع,дьэбэрэ
109,Wiese::N,مرج,ходуһа
110,Wald::N,غابة,ойуур
111,Hügel::N,تل,булгунньах
112,Anhöhe::N,تل,үрдэл
113,Berg::N,جبل,хайа
114,Gipfel::N,قمة,чыпчаал
115,Höhle::N,كهف,хайа_хаспаҕа
116,Höhle::N,كهف,көҥүс
117,Abhang::N,منحدر,эниэ
118,Quelle::N,منبع,дьүүктэ
119,Bach::N,مجرى,үрүйэ
120,Fluss::N,نهر,өрүс
121,Ufer::N,ضفة,биэрэк
122,Küste::N,ساحل,кытыл
123,Festland::N,بر,кураанах сир
124,Meer::N,بحر,муора
125,Bucht::N,خليج,хомо
126,Bucht::N,خليج,бухта
127,Insel::N,جزيرة,арыы
128,Blume::N,زهرة,сибэкки
129,Gras::N,حشيش,от
130,Wurzel::N,أصل,силис
131,Baum::N,شجرة,мас
132,Stamm::N,جذع,умнас
133,Rinde::N,قشرة,хатырык
134,Ast::N,فرع,мутук
135,Zweig::N,غصن,лабаа
136,Blatt::N,ورقة,сэбирдэх
137,Birke::N,قضبان,хатыҥ
138,Kiefer[Baum]::N,صنوبرة,бэс
139,Weide[Baum]::N,صفصاف,үөт
140,Weide[Baum]::N,صفصاف,талах
141,Tanne::N,شوح,харыйа
142,Tanne::N,تبوب,харыйа
143,Horn::N,قرن,муос
144,Feder::N,ريشة,куорсун
145,Fell::N,فرو,тирии
146,Flügel::N,جناح,кынат
147,Klaue::N,مخلب,тыҥырах
148,Kralle::N,مخلب,баппаҕай
149,Schwanz::N,ذيل,кутурук
150,Ei::N,بيض,сымыыт
151,Nest::N,عش,уйа
152,Bau::N,جحر,хороон
153,Tier::N,حيوان,кыыл
154,Tier::N,حيوان,харамай
155,Herde::N,قطيع,үөр
156,Kuh::N,بقرة,ынах
157,Bulle::N,ثور,оҕус
158,Pferd::N,خيل,сылгы
159,Schaf::N,شاة,овца
160,Schwein::N,خنزير,сибиинньэ
161,Hund::N,كلب,ыт
162,Katze::N,قطة,куоска
163,Bär::N,دب,эһэ
164,Eichhörnchen::N,سنجاب,тииҥ
165,Elch::N,موظ,тайах
166,Fuchs::N,ثعلب,саһыл
167,Hase::N,أرنب,куобах
168,Maus::N,فأرة,кутуйах
169,Wolf::N,ذئب,бөрө
170,Vogel::N,طير,көтөр
171,Schwarm::N,سرب,бөлөх
172,Huhn::N,دجاجة,куурусса
173,Hahn::N,ديك,бөтүүк
174,Gans::N,وزة,хаас
175,Adler::N,نسر,хотой
176,Ente::N,بطة,кус
177,Eule::N,بوم,мэкчиргэ
178,Kranich::N,كركي,туруйа
179,Krähe::N,غراب,тураах
180,Kuckuck::N,وقواق,кэҕэ
181,Schwan::N,إوز عراقي,куба
182,Fisch::N,سمك,балык
183,Barsch::N,فرخ أوربي,алыһар
184,Hecht::N,سمك الكراكي,сордон
185,Schlange[Tier]::N,حية,моҕой
186,Schlange[Tier]::N,حية,эриэн үөн
187,Schlange[Tier]::N,ثعبان,моҕой
188,Schlange[Tier]::N,ثعبان,эриэн үөн
189,Wurm::N,دودة,үөн
190,Spinne::N,عنكبوت,ооҕуй
191,Ameise::N,نملة,кымырдаҕас
192,Laus::N,قملة,быт
193,Mücke::N,ناموسة,кумаар
194,Fliege::N,ذبابة,сахсырҕа
195,Schmetterling::N,فراشة,лыах
196,Schmetterling::N,فراشة,үрүмэччи
197,Beere::N,حبة,отон
198,Apfel::N,تفاح,яблоко
199,Pilz::N,فطر,тэллэй
200,Zwiebel::N,بصل,луук
201,Saat::N,زرع,сиэмэ
202,Korn::N,حبة,сиэмэ
203,Heu::N,دريس,от
204,Schale::N,قشرة,хах
205,Grube::N,نقرة,дьаама
206,Falle::N,فخ,сохсо
207,Falle::N,مصيدة,сохсо
208,Schlinge::N,عروة,уктаа
209,Spur::N,أثر,суол
210,Asche::N,رماد,күл
211,Dreck::N,قذر,бадараан
212,Eisen::N,حديد,тимир
213,Gold::N,ذهب,көмүс
214,Gold::N,ذهب,кыһыл көмүс
215,Silber::N,فضة,көмүс
216,Silber::N,فضة,үрүҥ көмүс
217,Kohle::N,فحم,чох
218,Glas::N,زجاج,өстүөкүлэ
219,Lehm::N,طين,туой
220,Sand::N,رمل,кумах
221,Mensch::N,إنسان,киһи
222,Mann::N,رجل,эр
223,Frau::N,امرأة,дьахтар
224,Kind::N,طفل,оҕо
225,Junge::N,ولد,уол
226,Mädchen::N,بنت,кыыс оҕо
227,Familie::N,عائلة,кэргэн
228,Großvater::N,جد,эһэ
229,Großmutter::N,جدة,эбэ
230,Eltern::N,أبوان,аҕа-ийэ
231,Eltern::N,والدان,аҕа-ийэ
232,Vater::N,أب,аҕа
233,Mutter::N,أم,ийэ
234,Sohn::N,إبن,уол
235,Tochter::N,بنت,кыыс
236,Tochter::N,إبنة,кыыс
237,Bruder::N,أخ,убай
238,Bruder::N,أخ,быраат
239,Bruder::N,شقيق,убай
240,Bruder::N,شقيق,быраат
241,Schwester::N,أخت,аҕас
242,Schwester::N,أخت,балыс
243,Onkel::N,عم,таай
244,Onkel::N,عم,абаҕа
245,Tante::N,عمة,эдьиий
246,Ehemann::N,زوج,эр
247,Ehefrau::N,زوجة,ойох
248,Freude::N,فرح,үөрүү
249,Freude::N,سرور,үөрүү
250,Gelächter::N,قهقهة,күлүү
251,Glück::N,سعادة,дьол
252,Glück::N,سعادة,соргу
253,Kummer::N,غم,кутурҕан
254,Wunsch::N,منية,баҕарыы
255,Lust::N,شهوة,баҕа
256,Geist::N,روح,тыын
257,Gedanke::N,فكرة,санаа
258,Gedächtnis::N,ذاكرة,өй
259,Verstand::N,عقل,өй
260,Sinn::N,معنى,суолта
261,Grund::N,سبب,төрүөт
262,Wahrheit::N,حقيقة,кырдьык
263,Gespräch::N,محادثة,бэсиэдэ
264,Gespräch::N,محادثة,кэпсэтии
265,Märchen::N,خرافة,остуоруйа
266,Erzählung::N,قصة,кэпсээн
267,Erzählung::N,حكاية,кэпсээн
268,Nachricht::N,خبر,биллэриллии
269,Neuigkeit::N,خبر جديد,сонун
270,Name::N,اسم,аат
271,Rätsel::N,لغز,таабырын
272,Rede::N,خطبة,этии
273,Sprache::N,لغة,тыл
274,Stimme::N,صوت,куолас
275,Wort::N,كلمة,тыл
276,Zeichen::N,رمز,бэлиэ
277,Zeichen::N,إشارة,бэлиэ
278,Ruf::N,نداء,ыҥырыы
279,Lärm::N,صخب,айдаан
280,Lärm::N,ضجة,айдаан
281,Laut::N,صوت,тыас
282,Ton::N,نغمة,дорҕоон
283,Lied::N,أغنية,ырыа
284,Ruhe::N,هدوء,уу чуумпу
285,Leute::N,ناس,дьон
286,Volk::N,شعب,дьон
287,Volk::N,شعب,норуот
288,Arbeit::N,عمل,үлэ
289,Gast::N,ضيف,ыалдьыт
290,Geschenk::N,هدية,бэлэх
291,Spiel::N,لعب,оонньуу
292,Gesellschaft::N,صحبة,общество
293,Hilfe::N,عون,көмө
294,Hilfe::N,مساعدة,көмө
295,Freund::N,صديق,доҕор
296,Kamerad::N,زميل,атас
297,Angelegenheit::N,أمر,дьыала
298,Angelegenheit::N,شأن,дьыала
299,Anzahl::N,عدد,ахсаан
300,Art::N,نوع,биис
301,Stück::N,قطعة,кырбас
302,Teil::N,قسم,ирээт
303,Hälfte::N,نصف,аҥар
304,Kreis::N,دائرة,төгүрүк
305,Kreis::N,دائرة,төгүрүмтэ
306,Kreuz::N,صليب,кириэс
307,Linie::N,خط,сурааһын
308,Strich::N,شرطة,сурааһын
309,Abstand::N,مسافة,арыт
310,Entfernung::N,بعد,ыраах
311,Gegend::N,ناحية,сир
312,Platz::N,فراغ,арыт
313,Ort::N,مكان,сир
314,Seite::N,جانب,өрүт
315,Seite::N,جانب,сирэй
