,Concept_ID,fa,kk
0,Auge::N,چشم,көз
1,Ohr::N,گوش,құлақ
2,Nase::N,بینی,мұрын
3,Mund::N,دهان,ауыз
4,Zahn::N,دندان,тіс
5,Zunge::N,زبان,тіл
6,Lippe::N,لب,ерін
7,Wange::N,لپ,ұрт
8,Gesicht::N,رو,бет-аузы
9,Gesicht::N,چهره,бет-аузы
10,Stirn::N,پیشانی,маңдай
11,Haar::N,مو,қыл
12,Schnurrbart::N,سبیل,мұрт
13,Bart::N,ریش,сақал
14,Kinn::N,چانه,иек
15,Kiefer[Anatomie]::N,فک,жақ
16,Kiefer[Anatomie]::N,آرواره,жақ
17,Kehle::N,حلق,алқым
18,Hals::N,گردن,мойын
19,Genick::N,پشت گردن,желке
20,Kopf::N,سر,кәллә
21,Kopf::N,کله,кәллә
22,Rücken::N,پشت,арқа
23,Bauch::N,شکم,қарын
24,Nabel::N,ناف,кіндік
25,Busen::N,پستان,омырау
26,Brust::N,سینه,кеуде
27,Schulter::N,دوش,иық
28,Schulter::N,شانه,иық
29,Arm::N,بازو,қол
30,Ellenbogen::N,آرنج,шынтақ
31,Hand::N,دست,қол
32,Handfläche::N,کف دست,алақан
33,Finger::N,انگشت,саусақ
34,Fingernagel::N,ناخن دست,тырнақ
35,Nagel[Anatomie]::N,ناخن,тырнақ
36,Zeh::N,انگشت پا,тырнақ
37,Zeh::N,انگشت پا,тұяқ
38,Fuß::N,پا,аяқ-басы
39,Ferse::N,پاشنه,өкше
40,Ferse::N,پاشنه,өкшелік
41,Knie::N,زانو,тізе
42,Oberschenkel::N,ران,жамбас
43,Bein::N,پا,аяқ
44,Bein::N,لنگ,аяқ
45,Körper::N,تن,дене
46,Körper::N,بدن,дене
47,Haut::N,پوست,тері
48,Blut::N,خون,қан
49,Ader::N,رگ,көктамыр
50,Ader::N,رگ,күретамыр
51,Sehne::N,زردپی,сіңір
52,Knochen::N,استخوان,жілік
53,Gehirn::N,مخ,ми
54,Gehirn::N,مغز,ми
55,Herz::N,دل,жүрек
56,Herz::N,قلب,жүрек
57,Magen::N,معده,асқазан
58,Leber::N,کبد,бауыр
59,Atem::N,نفس,леп
60,Hunger::N,گرسنگی,ашаршылық
61,Träne::N,اشک,жас
62,Geschmack::N,مزه,дәм
63,Geschmack::N,مزه,татым
64,Geschmack::N,مزه,талғам
65,Geruch::N,بو,иіс
66,Schlaf::N,خواب,ұйқы
67,Schlaf::N,خواب,ұйықтау
68,Traum::N,رؤیا,түс
69,Himmel::N,فلک,аспан
70,Himmel::N,فلک,көқ
71,Himmel::N,فلک,таңдай
72,Himmel::N,آسمان,аспан
73,Himmel::N,آسمان,көқ
74,Himmel::N,آسمان,таңдай
75,Sonne::N,آفتاب,күн
76,Sonne::N,خورشید,күн
77,Mond::N,ماه,ай
78,Stern::N,ستاره,жұлдыз
79,Luft::N,هوا,әуе
80,Wind::N,باد,жел
81,Welle::N,موج,толқын
82,Wasser::N,آب,су
83,Stein::N,سنگ,тас
84,Boden::N,زمین,қыртыс
85,Erde::N,خاک,топырақ
86,Erde::N,زمین,топырақ
87,Staub::N,گرد,шаң
88,Staub::N,غبار,шаң
89,Rauch::N,دود,түтін
90,Funke::N,جرقه,ұшқын
91,Feuer::N,آتش,алау
92,Licht::N,نور,шұғыла
93,Licht::N,روشنی,шұғыла
94,Schatten::N,سایه,көлеңке
95,Wetter::N,هوا,ауа райы
96,Nebel::N,مه,тұман
97,Wolke::N,ابر,бұлт
98,Regen::N,باران,жаңбыр
99,Schnee::N,برف,қар
100,Eis::N,یخ,мұз
101,Frost::N,یخبندان,суық
102,Kälte::N,سرما,ызғар
103,Kälte::N,سرما,суықтық
104,Hitze::N,گرما,аптап
105,Hitze::N,حرارت,аптап
106,Raureif::N,برف ریزه,қырау
107,Regenbogen::N,رنگین‌کمان,кемпірқосақ
108,Donner::N,رعد,күн күркіреу
109,Strömung::N,جریان,ағын
110,Tropfen::N,قطره,тамшы
111,Schaum::N,کف,көбік
112,Schmutz::N,گل,кір
113,Schmutz::N,کثافت,кір
114,See::N,دریاچه,көл
115,Sumpf::N,مرداب,саз
116,Sumpf::N,باتلاق,саз
117,Moor::N,باتلاق,саз
118,Wiese::N,چمن,шалғын
119,Wald::N,جنگل,орман
120,Hügel::N,تل,төбе
121,Hügel::N,تل,белес
122,Hügel::N,تل,белес-белес
123,Hügel::N,تپه,төбе
124,Hügel::N,تپه,белес
125,Hügel::N,تپه,белес-белес
126,Anhöhe::N,بلندی,дөң
127,Anhöhe::N,بلندی,адыр
128,Anhöhe::N,بلندی,қырат
129,Berg::N,کوه,тау
130,Gipfel::N,قله,төбе
131,Höhle::N,غار,үңгір
132,Abhang::N,سرازیری,бауыр
