,Concept_ID,pt,ar
0,Auge::N,olho,عين
1,Ohr::N,orelha,أذن
2,Nase::N,nariz,أنف
3,Mund::N,boca,فم
4,Zahn::N,dente,سن
5,Zunge::N,língua,لسان
6,Lippe::N,lábio,شفة
7,Wange::N,face,خد
8,Wange::N,face,وجنة
9,Gesicht::N,cara,وجه
10,Gesicht::N,rosto,وجه
11,Stirn::N,testa,جبين
12,Haar::N,cabelo,شعر
13,Schnurrbart::N,bigode,شارب
14,Bart::N,barba,لحية
15,Kinn::N,queixo,ذقن
16,Kiefer[Anatomie]::N,maxila,فك
17,Kiefer[Anatomie]::N,mandíbula,فك
18,Kehle::N,garganta,حلق
19,Hals::N,colo,عنق
20,Hals::N,colo,رقبة
21,Hals::N,pescoço,عنق
22,Hals::N,pescoço,رقبة
23,Genick::N,nuca,قفا
24,Kopf::N,cabeça,رأس
25,Rücken::N,dorso,ظهر
26,Rücken::N,costas,ظهر
27,Bauch::N,ventre,بطن
28,Bauch::N,barriga,بطن
29,Nabel::N,umbigo,سرة
30,Busen::N,seio,ثدي
31,Brust::N,peito,صدر
32,Schulter::N,ombro,كتف
33,Arm::N,braço,ذراع
34,Ellenbogen::N,cotovelo,كوع
35,Hand::N,mão,يد
36,Handfläche::N,palma,كف
37,Handfläche::N,palma da mão,كف
38,Finger::N,dedo,إصبع
39,Fingernagel::N,unha,ظفر
40,Nagel[Anatomie]::N,unha,ظفر
41,Zeh::N,dedo do pé,إصبع القدم
42,Fuß::N,pé,قدم
43,Ferse::N,calcanhar,كعب
44,Knie::N,joelho,ركبة
45,Oberschenkel::N,coxa,فخذ
46,Bein::N,perna,ساق
47,Körper::N,corpo,جسم
48,Haut::N,pele,بشرة
49,Blut::N,sangue,دم
50,Ader::N,veia,عرق
51,Sehne::N,tendão,طنب
52,Knochen::N,osso,عظم
53,Gehirn::N,cérebro,دماغ
54,Herz::N,coração,قلب
55,Magen::N,estômago,معدة
56,Leber::N,fígado,كبد
57,Atem::N,fôlego,نفس
58,Hunger::N,fome,جوع
59,Träne::N,lágrima,دمعة
60,Geschmack::N,gosto,طعم
61,Geschmack::N,gosto,مذاق
62,Geruch::N,odor,رائحة
63,Geruch::N,cheiro,رائحة
64,Schlaf::N,sono,نوم
65,Schlaf::N,sono,منام
66,Traum::N,sonho,حلم
67,Himmel::N,céu,سماء
68,Sonne::N,sol,شمس
69,Mond::N,lua,قمر
70,Stern::N,estrela,نجم
71,Stern::N,estrela,كوكب
72,Luft::N,ar,هواء
73,Wind::N,vento,ريح
74,Welle::N,onda,موجة
