,Concept_ID,es,de
0,Auge::N,ojo,Auge
1,Ohr::N,oreja,Ohr
2,Nase::N,nariz,Nase
3,Mund::N,boca,Mund
4,Zahn::N,diente,Zahn
5,Zunge::N,lengua,Zunge
6,Lippe::N,labio,Lippe
7,Wange::N,mejilla,Wange
8,Gesicht::N,cara,Gesicht
9,Stirn::N,frente,Stirn
10,Haar::N,cabello,Haar
11,Schnurrbart::N,bigote,Schnurrbart
12,Bart::N,barba,Bart
13,Kinn::N,barbilla,Kinn
14,Kiefer[Anatomie]::N,mandíbula,Kiefer
15,Kehle::N,garganta,Kehle
16,Hals::N,cuello,Hals
17,Genick::N,nuca,Genick
18,Genick::N,cerviz,Genick
19,Kopf::N,cabeza,Kopf
20,Rücken::N,espalda,Rücken
21,Bauch::N,vientre,Bauch
22,Nabel::N,ombligo,Nabel
23,Busen::N,pecho,Busen
24,Brust::N,pecho,Brust
25,Schulter::N,hombro,Schulter
26,Arm::N,brazo,Arm
27,Ellenbogen::N,codo,Ellenbogen
28,Hand::N,mano,Hand
29,Handfläche::N,palma,Handfläche
30,Finger::N,dedo,Finger
31,Fingernagel::N,uña,Fingernagel
32,Nagel[Anatomie]::N,uña,Nagel
33,Zeh::N,dedo del pie,Zeh
34,Fuß::N,pie,Fuß
35,Ferse::N,talón,Ferse
36,Knie::N,rodilla,Knie
37,Oberschenkel::N,muslo,Oberschenkel
38,Bein::N,pierna,Bein
39,Körper::N,cuerpo,Körper
40,Haut::N,piel,Haut
41,Blut::N,sangre,Blut
42,Ader::N,vena,Ader
43,Sehne::N,tendón,Sehne
44,Knochen::N,hueso,Knochen
45,Gehirn::N,cerebro,Gehirn
46,Gehirn::N,encéfalo,Gehirn
47,Herz::N,corazón,Herz
48,Magen::N,estómago,Magen
49,Leber::N,hígado,Leber
50,Atem::N,aliento,Atem
51,Hunger::N,hambre,Hunger
52,Träne::N,lágrima,Träne
53,Geschmack::N,gusto,Geschmack
54,Geruch::N,olor,Geruch
55,Schlaf::N,sueño,Schlaf
56,Traum::N,sueño,Traum
57,Traum::N,ensueño,Traum
58,Himmel::N,cielo,Himmel
59,Sonne::N,sol,Sonne
60,Mond::N,luna,Mond
61,Stern::N,estrella,Stern
62,Luft::N,aire,Luft
63,Wind::N,viento,Wind
64,Welle::N,ola,Welle
65,Welle::N,onda,Welle
66,Wasser::N,agua,Wasser
67,Stein::N,piedra,Stein
68,Boden::N,suelo,Boden
69,Erde::N,tierra,Erde
70,Staub::N,polvo,Staub
71,Rauch::N,humo,Rauch
72,Funke::N,chispa,Funke
73,Feuer::N,fuego,Feuer
74,Licht::N,luz,Licht
75,Schatten::N,sombra,Schatten
76,Wetter::N,tiempo,Wetter
77,Nebel::N,niebla,Nebel
78,Wolke::N,nube,Wolke
79,Regen::N,lluvia,Regen
80,Schnee::N,nieve,Schnee
81,Eis::N,hielo,Eis
82,Frost::N,helada,Frost
83,Kälte::N,frío,Kälte
84,Hitze::N,calor,Hitze
85,Raureif::N,escarcha,Raureif
86,Regenbogen::N,arco iris,Regenbogen
87,Donner::N,trueno,Donner
88,Strömung::N,corriente,Strömung
89,Tropfen::N,gota,Tropfen
90,Schaum::N,espuma,Schaum
91,Schmutz::N,suciedad,Schmutz
92,See::N,lago,See
93,Sumpf::N,pantano,Sumpf
94,Moor::N,turbera,Moor
95,Wiese::N,prado,Wiese
96,Wiese::N,pradera,Wiese
97,Wald::N,bosque,Wald
98,Hügel::N,colina,Hügel
99,Anhöhe::N,cerro,Anhöhe
100,Berg::N,monte,Berg
101,Berg::N,montaña,Berg
102,Gipfel::N,cima,Gipfel
103,Gipfel::N,cumbre,Gipfel
104,Höhle::N,cueva,Höhle
105,Höhle::N,caverna,Höhle
106,Abhang::N,cuesta,Abhang
107,Abhang::N,declive,Abhang
108,Quelle::N,fuente,Quelle
109,Quelle::N,manantial,Quelle
110,Bach::N,arroyo,Bach
111,Fluss::N,río,Fluss
112,Ufer::N,orilla,Ufer
113,Küste::N,costa,Küste
114,Festland::N,tierra firme,Festland
115,Meer::N,mar,Meer
116,Bucht::N,cala,Bucht
117,Bucht::N,bahía,Bucht
118,Insel::N,isla,Insel
119,Blume::N,flor,Blume
120,Gras::N,hierba,Gras
121,Wurzel::N,raíz,Wurzel
122,Baum::N,árbol,Baum
123,Stamm::N,tronco,Stamm
124,Rinde::N,corteza,Rinde
125,Ast::N,rama,Ast
126,Zweig::N,ramo,Zweig
127,Blatt::N,hoja,Blatt
128,Birke::N,abedul,Birke
129,Kiefer[Baum]::N,pino,Kiefer
130,Weide[Baum]::N,sauce,Weide
131,Tanne::N,abeto,Tanne
132,Horn::N,asta,Horn
133,Horn::N,cuerno,Horn
134,Feder::N,pluma,Feder
135,Fell::N,piel,Fell
136,Flügel::N,ala,Flügel
137,Klaue::N,garra,Klaue
138,Kralle::N,uña,Kralle
139,Kralle::N,garra,Kralle
140,Schwanz::N,cola,Schwanz
141,Ei::N,huevo,Ei
142,Nest::N,nido,Nest
143,Bau::N,madriguera,Bau
144,Tier::N,animal,Tier
145,Herde::N,rebaño,Herde
146,Kuh::N,vaca,Kuh
147,Bulle::N,toro,Bulle
148,Pferd::N,caballo,Pferd
149,Schaf::N,oveja,Schaf
150,Schwein::N,cerdo,Schwein
151,Hund::N,perro,Hund
152,Katze::N,gato,Katze
153,Bär::N,oso,Bär
154,Eichhörnchen::N,ardilla,Eichhörnchen
155,Elch::N,alce,Elch
156,Fuchs::N,zorro,Fuchs
157,Hase::N,liebre,Hase
158,Maus::N,ratón,Maus
159,Wolf::N,lobo,Wolf
160,Vogel::N,ave,Vogel
161,Vogel::N,pájaro,Vogel
162,Schwarm::N,bandada,Schwarm
163,Huhn::N,gallina,Huhn
164,Hahn::N,gallo,Hahn
165,Gans::N,oca,Gans
166,Gans::N,ganso,Gans
167,Adler::N,águila,Adler
168,Ente::N,pato,Ente
169,Eule::N,lechuza,Eule
170,Kranich::N,grulla,Kranich
171,Krähe::N,corneja,Krähe
172,Kuckuck::N,cuco,Kuckuck
173,Schwan::N,cisne,Schwan
174,Fisch::N,pez,Fisch
175,Barsch::N,perca,Barsch
176,Hecht::N,lucio,Hecht
177,Schlange[Tier]::N,serpiente,Schlange
178,Wurm::N,gusano,Wurm
179,Spinne::N,araña,Spinne
180,Ameise::N,hormiga,Ameise
181,Laus::N,piojo,Laus
182,Mücke::N,mosquito,Mücke
183,Fliege::N,mosca,Fliege
184,Schmetterling::N,mariposa,Schmetterling
185,Beere::N,baya,Beere
186,Apfel::N,manzana,Apfel
187,Pilz::N,seta,Pilz
188,Pilz::N,hongo,Pilz
189,Zwiebel::N,cebolla,Zwiebel
190,Saat::N,siembra,Saat
191,Korn::N,grano,Korn
192,Heu::N,heno,Heu
193,Schale::N,cáscara,Schale
194,Grube::N,foso,Grube
195,Falle::N,trampa,Falle
196,Schlinge::N,lazo,Schlinge
197,Spur::N,huella,Spur
198,Asche::N,ceniza,Asche
199,Dreck::N,suciedad,Dreck
200,Eisen::N,hierro,Eisen
201,Gold::N,oro,Gold
202,Silber::N,plata,Silber
203,Kohle::N,carbón,Kohle
204,Glas::N,vidrio,Glas
205,Glas::N,cristal,Glas
206,Lehm::N,barro,Lehm
207,Sand::N,arena,Sand
208,Mensch::N,hombre,Mensch
209,Mensch::N,ser humano,Mensch
210,Mann::N,hombre,Mann
211,Frau::N,mujer,Frau
212,Kind::N,niño,Kind
213,Junge::N,chico,Junge
214,Junge::N,muchacho,Junge
215,Mädchen::N,chica,Mädchen
216,Mädchen::N,muchacha,Mädchen
217,Familie::N,familia,Familie
218,Großvater::N,abuelo,Großvater
219,Großmutter::N,abuela,Großmutter
220,Eltern::N,padres,Eltern
221,Vater::N,padre,Vater
222,Mutter::N,madre,Mutter
223,Sohn::N,hijo,Sohn
224,Tochter::N,hija,Tochter
225,Bruder::N,hermano,Bruder
226,Schwester::N,hermana,Schwester
227,Onkel::N,tío,Onkel
228,Tante::N,tía,Tante
229,Ehemann::N,esposo,Ehemann
230,Ehefrau::N,esposa,Ehefrau
231,Freude::N,placer,Freude
232,Freude::N,alegría,Freude
233,Gelächter::N,risa,Gelächter
234,Gelächter::N,carcajada,Gelächter
235,Glück::N,felicidad,Glück
236,Kummer::N,pena,Kummer
237,Wunsch::N,deseo,Wunsch
238,Lust::N,ganas,Lust
239,Geist::N,mente,Geist
240,Geist::N,espíritu,Geist
241,Gedanke::N,idea,Gedanke
242,Gedanke::N,pensamiento,Gedanke
243,Gedächtnis::N,memoria,Gedächtnis
244,Verstand::N,razón,Verstand
245,Verstand::N,entendimiento,Verstand
246,Sinn::N,sentido,Sinn
247,Sinn::N,significado,Sinn
248,Grund::N,causa,Grund
249,Wahrheit::N,verdad,Wahrheit
250,Gespräch::N,conversación,Gespräch
251,Märchen::N,cuento,Märchen
252,Erzählung::N,cuento,Erzählung
253,Erzählung::N,narración,Erzählung
254,Nachricht::N,mensaje,Nachricht
255,Neuigkeit::N,noticia,Neuigkeit
256,Name::N,nombre,Name
257,Rätsel::N,acertijo,Rätsel
258,Rätsel::N,adivinanza,Rätsel
259,Rede::N,discurso,Rede
260,Sprache::N,lengua,Sprache
261,Stimme::N,voz,Stimme
262,Wort::N,palabra,Wort
263,Zeichen::N,señal,Zeichen
264,Ruf::N,llamada,Ruf
265,Lärm::N,ruido,Lärm
266,Lärm::N,barullo,Lärm
267,Laut::N,sonido,Laut
268,Ton::N,tono,Ton
269,Lied::N,canción,Lied
270,Ruhe::N,calma,Ruhe
271,Ruhe::N,silencio,Ruhe
272,Leute::N,gente,Leute
273,Volk::N,pueblo,Volk
274,Arbeit::N,trabajo,Arbeit
275,Gast::N,huésped,Gast
276,Gast::N,invitado,Gast
277,Geschenk::N,regalo,Geschenk
278,Spiel::N,juego,Spiel
279,Gesellschaft::N,compañía,Gesellschaft
280,Hilfe::N,ayuda,Hilfe
281,Hilfe::N,socorro,Hilfe
282,Freund::N,amigo,Freund
283,Kamerad::N,camarada,Kamerad
284,Kamerad::N,compañero,Kamerad
285,Angelegenheit::N,asunto,Angelegenheit
286,Anzahl::N,cantidad,Anzahl
287,Art::N,tipo,Art
288,Art::N,clase,Art
289,Stück::N,pieza,Stück
290,Teil::N,parte,Teil
291,Hälfte::N,mitad,Hälfte
292,Kreis::N,círculo,Kreis
293,Kreuz::N,cruz,Kreuz
294,Linie::N,línea,Linie
295,Strich::N,raya,Strich
296,Strich::N,trazo,Strich
297,Abstand::N,distancia,Abstand
298,Entfernung::N,distancia,Entfernung
299,Gegend::N,región,Gegend
300,Gegend::N,comarca,Gegend
301,Platz::N,espacio,Platz
302,Ort::N,sitio,Ort
303,Seite::N,lado,Seite
304,Seite::N,costado,Seite
305,Mitte::N,medio,Mitte
306,Mitte::N,centro,Mitte
307,Gegenstand::N,objeto,Gegenstand
308,Sache::N,cosa,Sache
309,Rand::N,borde,Rand
310,Kante::N,borde,Kante
311,Ecke::N,esquina,Ecke
312,Spitze::N,punta,Spitze
313,Ende::N,cabo,Ende
314,Ende::N,extremo,Ende
315,Loch::N,agujero,Loch
316,Loch::N,abertura,Loch
317,Winkel::N,ángulo,Winkel
318,Muster::N,dibujo,Muster
319,Größe::N,tamaño,Größe
320,Länge::N,longitud,Länge
321,Höhe::N,altura,Höhe
322,Höhe::N,altitud,Höhe
323,Gewicht::N,peso,Gewicht
324,Menge::N,cantidad,Menge
325,Haufen::N,montón,Haufen
326,Reihe::N,fila,Reihe
327,Boot::N,bote,Boot
328,Boot::N,barca,Boot
329,Ruder::N,remo,Ruder
330,Schlitten::N,trineo,Schlitten
331,Ski::N,esquí,Ski
332,Lagerfeuer::N,hoguera,Lagerfeuer
