,Concept_ID,ml,sk
0,Auge::N,കണ്ണ്,oko
1,Ohr::N,ചെവി,ucho
2,Nase::N,മൂക്ക്,nos
3,Mund::N,വായ,ústa
4,Zahn::N,പല്ല്,zub
5,Zunge::N,നാക്ക്,jazyk
6,Lippe::N,ചുണ്ട്,pera
7,Wange::N,കവിൾത്തടം,líce
8,Gesicht::N,മുഖം,tvár
9,Gesicht::N,മുഖം,obličaj
10,Stirn::N,നെറ്റി,čelo
11,Haar::N,തലമുടി,vlas
12,Schnurrbart::N,മീശ,fúzy
13,Bart::N,താടിരോമം,brada
14,Kinn::N,താടി,brada
15,Kiefer[Anatomie]::N,താടിയെല്ല്,čeľusť
16,Kehle::N,കണ്ഠനാളം,hrdlo
17,Hals::N,കഴുത്ത്,krk
18,Genick::N,പിടലി,väzy
19,Kopf::N,തല,hlava
20,Rücken::N,മുതുക്,chrbát
21,Bauch::N,നയറ്,brucho
22,Nabel::N,നാഭി,pupok
23,Busen::N,സ്തനം,prsia
24,Brust::N,സ്തനം,hruď
25,Schulter::N,തോൾ,plece
26,Arm::N,കൈ,rameno
27,Ellenbogen::N,കൈമുട്ട്,lakeť
28,Hand::N,കൈ,ruka
29,Handfläche::N,ഉള്ളം കൈ,dlaň
30,Finger::N,വിരൽ,prst
31,Fingernagel::N,നഖം,necht
32,Nagel[Anatomie]::N,നഖം,necht
33,Zeh::N,കാൽവിരൽ,prst na nohe
34,Fuß::N,കാൽപ്പാദം,noha
35,Ferse::N,ഉപ്പൂറ്റി,päta
36,Knie::N,കാൽമുട്ട്,koleno
37,Oberschenkel::N,തുട,stehno
38,Bein::N,കാൽ,noha
39,Körper::N,ശരീരം,telo
40,Haut::N,ചർമ്മം,koža
41,Blut::N,രക്തം,krv
42,Ader::N,ഞരമ്പ്,žila
43,Sehne::N,സ്നായു,šľacha
44,Knochen::N,അസ്ഥി,kosť
45,Gehirn::N,തലച്ചോറ്,mozog
46,Herz::N,ഹൃദയം,srdce
47,Magen::N,വയർ,žalúdok
48,Leber::N,കരൾ,pečeň
49,Atem::N,ശ്വാസം,dych
50,Hunger::N,വിശപ്പ്,hlad
51,Träne::N,കണ്ണീർ,slza
52,Geschmack::N,രുചി,chuť
53,Geruch::N,ഗന്ധം,pach
54,Schlaf::N,ഉറകും,spánok
55,Traum::N,സ്വപ്നം,sen
56,Himmel::N,ആകാശം,nebo
57,Sonne::N,സൂര്യൻ,slnko
58,Mond::N,ചന്ദ്രൻ,mesiac
59,Stern::N,നക്ഷത്രം,hviezda
60,Luft::N,കാറ്റ്,vzduch
61,Wind::N,കാറ്റ്,vietor
62,Welle::N,തിരമാല,vlna
63,Wasser::N,വെള്ളം,voda
64,Stein::N,ശില,kameň
65,Stein::N,കല്ല്,kameň
66,Boden::N,തറ,zem
67,Boden::N,തറ,pôda
68,Boden::N,നിലം,zem
69,Boden::N,നിലം,pôda
70,Erde::N,മണ്ണ്,zem
71,Staub::N,പൊടി,prach
72,Rauch::N,പുക,dym
73,Funke::N,തീപ്പൊരി,iskra
74,Feuer::N,തീ,oheň
75,Licht::N,വിളക്ക്,svetlo
76,Licht::N,സൂര്യപ്രകാശം,svetlo
77,Schatten::N,തണൽ,tieň
78,Wetter::N,കാലാവസ്ഥ,počasie
79,Nebel::N,മൂടൽമഞ്ഞ്,hmla
80,Wolke::N,മേഘം,oblak
81,Wolke::N,മേഘം,mračno
82,Regen::N,മഴ,dážď
83,Schnee::N,മഞ്ഞ്,sneh
84,Eis::N,ഐസ്,ľad
85,Frost::N,മൂടൽമഞ്ഞ്,mráz
86,Kälte::N,തണുപ്പ്,zima
87,Kälte::N,തണുപ്പ്,chlad
88,Hitze::N,ചൂട്,horúčava
89,Raureif::N,കോടമഞ്ഞ്,srieň
90,Raureif::N,കോടമഞ്ഞ്,inovať
91,Regenbogen::N,മഴവില്ല്,dúha
92,Donner::N,ഇടി,hrom
93,Strömung::N,പ്രവാഹം,prúdenie
94,Tropfen::N,തുള്ളി,kvapka
95,Schaum::N,നുര,pena
96,Schmutz::N,അഴുക്ക്,špina
97,Schmutz::N,അഴുക്ക്,nečistota
98,See::N,തടാകം,jazero
99,Sumpf::N,ചതുപ്പുനിലം,bahno
100,Moor::N,പാഴ്നിലം,močiar
101,Wiese::N,പുൽത്തകിടി,lúka
102,Wald::N,വനം,les
