,Concept_ID,de,et
0,Auge::N,Auge,silm
1,Ohr::N,Ohr,kõrv
2,Nase::N,Nase,nina
3,Mund::N,Mund,suu
4,Zahn::N,Zahn,hammas
5,Zunge::N,Zunge,keel
6,Lippe::N,Lippe,huul
7,Wange::N,Wange,põsk
8,Gesicht::N,Gesicht,nägu
9,Stirn::N,Stirn,otsmik
10,Haar::N,Haar,juus
11,Schnurrbart::N,Schnurrbart,vurrud
12,Schnurrbart::N,Schnurrbart,vuntsid
13,Bart::N,Bart,habe
14,Kinn::N,Kinn,lõug
15,Kiefer[Anatomie]::N,Kiefer,lõualuu
16,Kehle::N,Kehle,kõri
17,Hals::N,Hals,kael
18,Genick::N,Genick,kukal
19,Kopf::N,Kopf,pea
20,Rücken::N,Rücken,selg
21,Bauch::N,Bauch,kõht
22,Nabel::N,Nabel,naba
23,Busen::N,Busen,rind
24,Brust::N,Brust,rind
25,Schulter::N,Schulter,õlg
26,Arm::N,Arm,käsivars
27,Ellenbogen::N,Ellenbogen,küünarnukk
28,Hand::N,Hand,käsi
29,Handfläche::N,Handfläche,pihk
30,Finger::N,Finger,sõrm
31,Fingernagel::N,Fingernagel,küüs
32,Nagel[Anatomie]::N,Nagel,küüs
33,Zeh::N,Zeh,varvas
34,Fuß::N,Fuß,jalg
35,Ferse::N,Ferse,kand
36,Knie::N,Knie,põlv
37,Oberschenkel::N,Oberschenkel,reis
38,Bein::N,Bein,jalg
39,Körper::N,Körper,ihu
40,Körper::N,Körper,keha
41,Haut::N,Haut,nahk
42,Blut::N,Blut,veri
43,Ader::N,Ader,veen
44,Sehne::N,Sehne,kõõlus
45,Knochen::N,Knochen,luu
46,Gehirn::N,Gehirn,aju
47,Herz::N,Herz,süda
48,Magen::N,Magen,magu
49,Leber::N,Leber,maks
50,Atem::N,Atem,hingeõhk
51,Atem::N,Atem,hingamine
52,Hunger::N,Hunger,nälg
53,Träne::N,Träne,pisar
54,Geschmack::N,Geschmack,maitse
55,Geruch::N,Geruch,lõhn
56,Schlaf::N,Schlaf,uni
57,Traum::N,Traum,unenägu
58,Himmel::N,Himmel,taevas
59,Sonne::N,Sonne,päike
60,Mond::N,Mond,kuu
61,Stern::N,Stern,täht
62,Luft::N,Luft,õhk
63,Wind::N,Wind,tuul
64,Welle::N,Welle,laine
65,Wasser::N,Wasser,vesi
66,Stein::N,Stein,kivi
67,Boden::N,Boden,maa
68,Boden::N,Boden,pinnas
69,Erde::N,Erde,maa
70,Staub::N,Staub,põrm
71,Rauch::N,Rauch,suits
72,Funke::N,Funke,säde
73,Feuer::N,Feuer,tuli
74,Licht::N,Licht,valgus
75,Schatten::N,Schatten,vari
76,Wetter::N,Wetter,ilm
77,Nebel::N,Nebel,udu
78,Wolke::N,Wolke,pilv
79,Regen::N,Regen,sadu
80,Schnee::N,Schnee,lumi
81,Eis::N,Eis,jää
82,Frost::N,Frost,pakane
83,Kälte::N,Kälte,külm
84,Kälte::N,Kälte,külmus
85,Hitze::N,Hitze,kuumus
86,Hitze::N,Hitze,palavus
87,Raureif::N,Raureif,härmatis
88,Regenbogen::N,Regenbogen,vikerkaar
89,Donner::N,Donner,kõu
90,Donner::N,Donner,müristamine
91,Strömung::N,Strömung,voolus
92,Strömung::N,Strömung,jõevool
93,Tropfen::N,Tropfen,tilk
94,Schaum::N,Schaum,vaht
95,Schmutz::N,Schmutz,pori
96,Schmutz::N,Schmutz,mustus
97,See::N,See,järv
98,Sumpf::N,Sumpf,soo
99,Moor::N,Moor,raba
100,Wiese::N,Wiese,aas
101,Wiese::N,Wiese,nurm
102,Wald::N,Wald,mets
103,Hügel::N,Hügel,küngas
104,Anhöhe::N,Anhöhe,küngas
105,Berg::N,Berg,mägi
106,Gipfel::N,Gipfel,mäetipp
107,Höhle::N,Höhle,koobas
108,Abhang::N,Abhang,nõlvak
109,Quelle::N,Quelle,allikas
110,Bach::N,Bach,oja
111,Fluss::N,Fluss,jõgi
112,Ufer::N,Ufer,kallas
113,Küste::N,Küste,rannik
114,Festland::N,Festland,mander
115,Festland::N,Festland,maismaa
116,Meer::N,Meer,meri
117,Bucht::N,Bucht,laht
118,Insel::N,Insel,saar
119,Blume::N,Blume,lill
120,Gras::N,Gras,rohi
121,Wurzel::N,Wurzel,juur
122,Baum::N,Baum,puu
123,Stamm::N,Stamm,tüvi
124,Rinde::N,Rinde,koor
125,Ast::N,Ast,oks
126,Zweig::N,Zweig,oks
127,Blatt::N,Blatt,leht
128,Birke::N,Birke,kask
129,Kiefer[Baum]::N,Kiefer,mänd
130,Weide[Baum]::N,Weide,paju
131,Tanne::N,Tanne,nulg
132,Horn::N,Horn,sarv
133,Feder::N,Feder,sulg
134,Fell::N,Fell,karvkate
135,Fell::N,Fell,karusnahk
136,Flügel::N,Flügel,tiib
137,Flügel::N,Flügel,tiivik
138,Klaue::N,Klaue,küüs
139,Kralle::N,Kralle,küünis
140,Schwanz::N,Schwanz,saba
141,Ei::N,Ei,muna
142,Nest::N,Nest,pesa
143,Bau::N,Bau,urg
144,Tier::N,Tier,loom
145,Herde::N,Herde,kari
146,Kuh::N,Kuh,lehm
147,Bulle::N,Bulle,pull
148,Pferd::N,Pferd,hobune
149,Schaf::N,Schaf,lammas
150,Schwein::N,Schwein,siga
151,Hund::N,Hund,koer
152,Katze::N,Katze,kass
153,Bär::N,Bär,karu
154,Eichhörnchen::N,Eichhörnchen,orav
155,Elch::N,Elch,põder
156,Fuchs::N,Fuchs,rebane
157,Hase::N,Hase,jänes
158,Maus::N,Maus,hiir
159,Wolf::N,Wolf,hunt
160,Vogel::N,Vogel,lind
161,Schwarm::N,Schwarm,parv
162,Huhn::N,Huhn,kana
163,Hahn::N,Hahn,kukk
164,Gans::N,Gans,hani
165,Adler::N,Adler,kotkas
166,Ente::N,Ente,part
167,Eule::N,Eule,kakk
168,Eule::N,Eule,öökull
169,Kranich::N,Kranich,kurg
170,Krähe::N,Krähe,vares
171,Kuckuck::N,Kuckuck,kägu
172,Schwan::N,Schwan,luik
173,Fisch::N,Fisch,kala
174,Barsch::N,Barsch,ahven
175,Hecht::N,Hecht,haug
176,Schlange[Tier]::N,Schlange,uss
177,Wurm::N,Wurm,uss
178,Wurm::N,Wurm,vagel
179,Spinne::N,Spinne,ämblik
180,Ameise::N,Ameise,sipelgas
181,Laus::N,Laus,täi
182,Mücke::N,Mücke,sääsk
183,Fliege::N,Fliege,kärbes
184,Schmetterling::N,Schmetterling,liblikas
185,Beere::N,Beere,mari
186,Apfel::N,Apfel,õun
187,Pilz::N,Pilz,seen
188,Zwiebel::N,Zwiebel,sibul
189,Saat::N,Saat,seeme
190,Korn::N,Korn,iva
191,Korn::N,Korn,tera
192,Heu::N,Heu,hein
193,Schale::N,Schale,koor
194,Grube::N,Grube,kaevand
195,Falle::N,Falle,lõks
196,Falle::N,Falle,püünis
197,Schlinge::N,Schlinge,aas
198,Spur::N,Spur,jälg
199,Asche::N,Asche,tuhk
200,Dreck::N,Dreck,saast
201,Dreck::N,Dreck,mustus
202,Eisen::N,Eisen,raud
203,Gold::N,Gold,kuld
204,Silber::N,Silber,hõbe
205,Kohle::N,Kohle,süsi
206,Glas::N,Glas,klaas
207,Lehm::N,Lehm,savi
208,Sand::N,Sand,liiv
209,Mensch::N,Mensch,inimene
210,Mann::N,Mann,mees
211,Frau::N,Frau,naine
212,Kind::N,Kind,laps
213,Junge::N,Junge,poiss
214,Mädchen::N,Mädchen,tüdruk
215,Familie::N,Familie,perekond
216,Großvater::N,Großvater,vanaisa
217,Großmutter::N,Großmutter,vanaema
218,Eltern::N,Eltern,vanemad
219,Vater::N,Vater,isa
220,Mutter::N,Mutter,ema
221,Sohn::N,Sohn,poeg
222,Tochter::N,Tochter,tütar
223,Bruder::N,Bruder,vend
224,Schwester::N,Schwester,õde
225,Onkel::N,Onkel,onu
226,Tante::N,Tante,tädi
227,Ehemann::N,Ehemann,mees
228,Ehemann::N,Ehemann,abikaasa
229,Ehefrau::N,Ehefrau,naine
230,Ehefrau::N,Ehefrau,abikaasa
231,Freude::N,Freude,rõõm
232,Gelächter::N,Gelächter,naer
233,Glück::N,Glück,õnn
234,Kummer::N,Kummer,mure
235,Kummer::N,Kummer,kurbus
236,Wunsch::N,Wunsch,soov
237,Lust::N,Lust,himu
238,Geist::N,Geist,vaim
239,Gedanke::N,Gedanke,mõte
240,Gedächtnis::N,Gedächtnis,mälu
241,Verstand::N,Verstand,aru
242,Verstand::N,Verstand,mõistus
243,Sinn::N,Sinn,tähendus
244,Grund::N,Grund,põhjus
245,Wahrheit::N,Wahrheit,tõde
246,Gespräch::N,Gespräch,kõne
247,Gespräch::N,Gespräch,vestlus
248,Märchen::N,Märchen,muinasjutt
249,Erzählung::N,Erzählung,jutustus
250,Nachricht::N,Nachricht,teade
251,Neuigkeit::N,Neuigkeit,uudis
252,Name::N,Name,nimi
253,Rätsel::N,Rätsel,mõistatus
254,Rede::N,Rede,kõne
255,Sprache::N,Sprache,keel
256,Stimme::N,Stimme,hääl
257,Wort::N,Wort,sõna
258,Zeichen::N,Zeichen,märk
259,Ruf::N,Ruf,hüüe
260,Lärm::N,Lärm,müra
261,Laut::N,Laut,hääl
262,Ton::N,Ton,toon
263,Lied::N,Lied,laul
264,Ruhe::N,Ruhe,rahu
265,Ruhe::N,Ruhe,vaikus
266,Leute::N,Leute,inimesed
267,Volk::N,Volk,rahvas
268,Arbeit::N,Arbeit,töö
269,Gast::N,Gast,külaline
270,Geschenk::N,Geschenk,kingitus
271,Spiel::N,Spiel,mäng
272,Gesellschaft::N,Gesellschaft,selts
273,Hilfe::N,Hilfe,abi
274,Freund::N,Freund,sõber
275,Kamerad::N,Kamerad,sõber
276,Angelegenheit::N,Angelegenheit,asi
277,Anzahl::N,Anzahl,arv
278,Anzahl::N,Anzahl,hulk
279,Art::N,Art,liik
280,Stück::N,Stück,tükk
281,Teil::N,Teil,osa
