,Concept_ID,it,ko
0,Auge::N,occhio,눈
1,Ohr::N,orecchio,귀
2,Nase::N,naso,코
3,Mund::N,bocca,입
4,Zahn::N,dente,이
5,Zunge::N,lingua,혀
6,Lippe::N,labbro,입술
7,Wange::N,guancia,뺨
8,Gesicht::N,viso,얼굴
9,Gesicht::N,faccia,얼굴
10,Stirn::N,fronte,이마
11,Haar::N,capello,털
12,Schnurrbart::N,baffi,윗수몀
13,Schnurrbart::N,baffi,코밑수염
14,Schnurrbart::N,mustacchi,윗수몀
15,Schnurrbart::N,mustacchi,코밑수염
16,Bart::N,barba,수엄
17,Kinn::N,mento,아래턱
18,Kiefer[Anatomie]::N,mascella,턱
19,Kehle::N,gola,인후
20,Hals::N,collo,목
21,Genick::N,nuca,먹덜이
22,Kopf::N,capo,머리
23,Kopf::N,testa,머리
24,Rücken::N,dorso,든
25,Rücken::N,schiena,든
26,Bauch::N,ventre,배
27,Nabel::N,ombelico,배꼽
28,Busen::N,seno,가슴속
29,Brust::N,petto,가슴
30,Schulter::N,spalla,어깨
31,Arm::N,braccio,팔
32,Ellenbogen::N,gomito,팔쿰치
33,Hand::N,mano,손
34,Handfläche::N,palma,손바닥
35,Finger::N,dito,속가락
36,Fingernagel::N,unghia,손톱
37,Nagel[Anatomie]::N,unghia,손톱
38,Zeh::N,dito del piede,발가락
39,Fuß::N,piede,발
40,Ferse::N,tallone,발꿈치
41,Ferse::N,calcagno,발꿈치
42,Knie::N,ginocchio,무릎
43,Oberschenkel::N,fèmore,허벅다리
44,Bein::N,gamba,다리
45,Körper::N,corpo,구간
46,Haut::N,pelle,살갗
47,Blut::N,sangue,피
48,Ader::N,vena,정맥
49,Sehne::N,tèndine,현
50,Knochen::N,osso,뼈
51,Gehirn::N,cervello,뇌
52,Gehirn::N,cervello,뇌수
53,Herz::N,cuore,염통
54,Magen::N,stòmaco,위
55,Leber::N,fegato,간
56,Atem::N,fiato,기식
57,Atem::N,respiro,기식
58,Hunger::N,fame,공복
59,Träne::N,làcrima,눈물
60,Geschmack::N,gusto,기호
61,Geschmack::N,sapore,기호
62,Geruch::N,odore,냄새
63,Schlaf::N,sonno,수면
64,Traum::N,sogno,쿰
65,Himmel::N,cielo,하늘
66,Sonne::N,sole,해
67,Mond::N,luna,달
68,Stern::N,stella,별
69,Luft::N,aria,동준
70,Luft::N,aria,가스채
71,Wind::N,vento,바람
72,Welle::N,onda,물결
73,Wasser::N,acqua,물
74,Stein::N,sasso,돌
75,Stein::N,pietra,돌
76,Boden::N,suolo,바닥
77,Boden::N,terreno,바닥
78,Erde::N,terra,흙
79,Staub::N,polvere,먼지
80,Rauch::N,fumo,연기
81,Funke::N,scintilla,불티
82,Feuer::N,fuoco,불
83,Licht::N,luce,불
84,Schatten::N,ombra,어스레함
85,Wetter::N,tempo,기상
86,Nebel::N,nebbia,안개
87,Wolke::N,nube,구름
88,Wolke::N,nùvola,구름
89,Regen::N,pioggia,비
90,Schnee::N,neve,눈
91,Eis::N,ghiaccio,얼음
92,Frost::N,gelo,혹한
93,Kälte::N,freddo,추위
94,Kälte::N,freddo,차가움
95,Hitze::N,caldo,고온
96,Hitze::N,caldo,더위
97,Hitze::N,calura,고온
98,Hitze::N,calura,더위
99,Raureif::N,brina,
100,Regenbogen::N,arcobaleno,무지개
101,Donner::N,tuono,뇌명
