,Concept_ID,ml,de
0,Auge::N,കണ്ണ്,Auge
1,Ohr::N,ചെവി,Ohr
2,Nase::N,മൂക്ക്,Nase
3,Mund::N,വായ,Mund
4,Zahn::N,പല്ല്,Zahn
5,Zunge::N,നാക്ക്,Zunge
6,Lippe::N,ചുണ്ട്,Lippe
7,Wange::N,കവിൾത്തടം,Wange
8,Gesicht::N,മുഖം,Gesicht
9,Stirn::N,നെറ്റി,Stirn
10,Haar::N,തലമുടി,Haar
11,Schnurrbart::N,മീശ,Schnurrbart
12,Bart::N,താടിരോമം,Bart
13,Kinn::N,താടി,Kinn
14,Kiefer[Anatomie]::N,താടിയെല്ല്,Kiefer
15,Kehle::N,കണ്ഠനാളം,Kehle
16,Hals::N,കഴുത്ത്,Hals
17,Genick::N,പിടലി,Genick
18,Kopf::N,തല,Kopf
19,Rücken::N,മുതുക്,Rücken
20,Bauch::N,നയറ്,Bauch
21,Nabel::N,നാഭി,Nabel
22,Busen::N,സ്തനം,Busen
23,Brust::N,സ്തനം,Brust
24,Schulter::N,തോൾ,Schulter
25,Arm::N,കൈ,Arm
26,Ellenbogen::N,കൈമുട്ട്,Ellenbogen
27,Hand::N,കൈ,Hand
28,Handfläche::N,ഉള്ളം കൈ,Handfläche
29,Finger::N,വിരൽ,Finger
30,Fingernagel::N,നഖം,Fingernagel
31,Nagel[Anatomie]::N,നഖം,Nagel
32,Zeh::N,കാൽവിരൽ,Zeh
33,Fuß::N,കാൽപ്പാദം,Fuß
34,Ferse::N,ഉപ്പൂറ്റി,Ferse
35,Knie::N,കാൽമുട്ട്,Knie
36,Oberschenkel::N,തുട,Oberschenkel
37,Bein::N,കാൽ,Bein
38,Körper::N,ശരീരം,Körper
39,Haut::N,ചർമ്മം,Haut
40,Blut::N,രക്തം,Blut
41,Ader::N,ഞരമ്പ്,Ader
42,Sehne::N,സ്നായു,Sehne
43,Knochen::N,അസ്ഥി,Knochen
44,Gehirn::N,തലച്ചോറ്,Gehirn
45,Herz::N,ഹൃദയം,Herz
46,Magen::N,വയർ,Magen
47,Leber::N,കരൾ,Leber
48,Atem::N,ശ്വാസം,Atem
49,Hunger::N,വിശപ്പ്,Hunger
50,Träne::N,കണ്ണീർ,Träne
51,Geschmack::N,രുചി,Geschmack
52,Geruch::N,ഗന്ധം,Geruch
53,Schlaf::N,ഉറകും,Schlaf
54,Traum::N,സ്വപ്നം,Traum
55,Himmel::N,ആകാശം,Himmel
56,Sonne::N,സൂര്യൻ,Sonne
57,Mond::N,ചന്ദ്രൻ,Mond
58,Stern::N,നക്ഷത്രം,Stern
59,Luft::N,കാറ്റ്,Luft
60,Wind::N,കാറ്റ്,Wind
61,Welle::N,തിരമാല,Welle
62,Wasser::N,വെള്ളം,Wasser
63,Stein::N,ശില,Stein
64,Stein::N,കല്ല്,Stein
65,Boden::N,തറ,Boden
66,Boden::N,നിലം,Boden
67,Erde::N,മണ്ണ്,Erde
68,Staub::N,പൊടി,Staub
69,Rauch::N,പുക,Rauch
70,Funke::N,തീപ്പൊരി,Funke
71,Feuer::N,തീ,Feuer
72,Licht::N,വിളക്ക്,Licht
73,Licht::N,സൂര്യപ്രകാശം,Licht
74,Schatten::N,തണൽ,Schatten
75,Wetter::N,കാലാവസ്ഥ,Wetter
76,Nebel::N,മൂടൽമഞ്ഞ്,Nebel
77,Wolke::N,മേഘം,Wolke
78,Regen::N,മഴ,Regen
79,Schnee::N,മഞ്ഞ്,Schnee
80,Eis::N,ഐസ്,Eis
81,Frost::N,മൂടൽമഞ്ഞ്,Frost
82,Kälte::N,തണുപ്പ്,Kälte
83,Hitze::N,ചൂട്,Hitze
84,Raureif::N,കോടമഞ്ഞ്,Raureif
85,Regenbogen::N,മഴവില്ല്,Regenbogen
86,Donner::N,ഇടി,Donner
87,Strömung::N,പ്രവാഹം,Strömung
88,Tropfen::N,തുള്ളി,Tropfen
89,Schaum::N,നുര,Schaum
90,Schmutz::N,അഴുക്ക്,Schmutz
91,See::N,തടാകം,See
92,Sumpf::N,ചതുപ്പുനിലം,Sumpf
93,Moor::N,പാഴ്നിലം,Moor
94,Wiese::N,പുൽത്തകിടി,Wiese
95,Wald::N,വനം,Wald
96,Wald::N,കാട്,Wald
97,Hügel::N,കുന്ന്,Hügel
98,Anhöhe::N,ഉയർന്ന ഭൂമി,Anhöhe
99,Berg::N,പർവ്വതം,Berg
100,Gipfel::N,ഉച്ചകോടി,Gipfel
101,Höhle::N,ഗുഹ,Höhle
102,Abhang::N,ചരിവ്,Abhang
103,Quelle::N,ഉറവിടം,Quelle
104,Bach::N,അരുവി,Bach
105,Fluss::N,നദി,Fluss
106,Ufer::N,തീരം,Ufer
107,Küste::N,കടൽത്തീരം,Küste
108,Festland::N,കര,Festland
109,Meer::N,കടൽ,Meer
110,Bucht::N,ഉൾക്കടല്,Bucht
111,Insel::N,ദ്വീപ്,Insel
112,Blume::N,പൂവ്,Blume
113,Gras::N,പുല്ല്,Gras
114,Wurzel::N,വേര്,Wurzel
115,Baum::N,മരം,Baum
116,Stamm::N,തായ്ത്തടി,Stamm
117,Rinde::N,പട്ട,Rinde
118,Ast::N,ശാഖ,Ast
119,Zweig::N,ശാഖ,Zweig
120,Blatt::N,ഇല,Blatt
121,Birke::N,പൂവരശ്,Birke
122,Kiefer[Baum]::N,പൈൻമരം,Kiefer
123,Weide[Baum]::N,വില്ലോ,Weide
124,Tanne::N,ദേവദാരു,Tanne
125,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,Horn
126,Feder::N,തൂവൽ,Feder
127,Fell::N,മൃദുരോമം,Fell
128,Flügel::N,ചിറക്,Flügel
129,Klaue::N,നഖം,Klaue
130,Kralle::N,നഖം,Kralle
131,Schwanz::N,വാൽ,Schwanz
132,Ei::N,മുട്ട,Ei
133,Nest::N,കൂട്,Nest
134,Bau::N,മാളം,Bau
135,Tier::N,മൃഗം,Tier
136,Herde::N,കൂട്ടം,Herde
137,Kuh::N,പശു,Kuh
138,Bulle::N,കാള,Bulle
139,Pferd::N,കുതിര,Pferd
140,Schaf::N,ആട്,Schaf
141,Schwein::N,പന്നി,Schwein
142,Hund::N,നായ്,Hund
143,Katze::N,പൂച്ച,Katze
144,Bär::N,കരടി,Bär
145,Eichhörnchen::N,അണ്ണാൻ,Eichhörnchen
146,Elch::N,കടമാന്,Elch
147,Fuchs::N,കുറുക്കൻ,Fuchs
148,Hase::N,മുയൽ,Hase
149,Maus::N,ചുണ്ടലി,Maus
150,Wolf::N,ചെന്നായ,Wolf
151,Vogel::N,പക്ഷി,Vogel
152,Schwarm::N,കൂട്ടം,Schwarm
153,Huhn::N,കോഴി,Huhn
154,Hahn::N,പൂവൻകോഴി,Hahn
155,Gans::N,അരയന്നം,Gans
156,Adler::N,കഴുകൻ,Adler
157,Ente::N,താറാവ്,Ente
158,Eule::N,മൂങ്ങ,Eule
159,Kranich::N,കൊക്ക്,Kranich
160,Krähe::N,കാക്ക,Krähe
161,Kuckuck::N,കുയിൽ,Kuckuck
162,Schwan::N,അരയന്നം,Schwan
163,Fisch::N,മത്സ്യം,Fisch
164,Barsch::N,ഒരിനം മത്സ്യം,Barsch
165,Hecht::N,ഒരു മത്സ്യം,Hecht
166,Schlange[Tier]::N,പാമ്പ്,Schlange
167,Wurm::N,വിര,Wurm
168,Spinne::N,ചിലന്തി,Spinne
169,Ameise::N,ഉറുമ്പ്,Ameise
170,Laus::N,പേന്,Laus
171,Mücke::N,മശകം,Mücke
172,Fliege::N,ഈച്ച,Fliege
173,Schmetterling::N,ചിത്രശലഭം,Schmetterling
174,Beere::N,ബെറി,Beere
175,Apfel::N,ആപ്പിൾ,Apfel
176,Pilz::N,കൂൺ,Pilz
177,Zwiebel::N,സവാള,Zwiebel
178,Saat::N,വിത്ത്,Saat
179,Korn::N,ധാന്യം,Korn
180,Heu::N,വയ്ക്കോൽ,Heu
181,Schale::N,തൊലി,Schale
182,Grube::N,കുഴി,Grube
183,Falle::N,കെണി,Falle
