,Concept_ID,ady,bg
0,Auge::N,нэ,око
1,Ohr::N,тхьакӏу́м,ухо
2,Nase::N,пэ,нос
3,Mund::N,жэ,уста
4,Zahn::N,цэ,зъб
5,Zunge::N,бзэгу,език
6,Lippe::N,ӏупшӏэ́,устна
7,Wange::N,нэкӏу́шъу,буза
8,Gesicht::N,нэ́гу,лице
9,Gesicht::N,нэ́гу,образ
10,Stirn::N,натӏэ́,чело
11,Haar::N,шъхьацы́,коса
12,Haar::N,шъхьацы́,косъм
13,Bart::N,жакӏэ́,брада
14,Kinn::N,жэкӏэпэпкъ,брада
15,Kinn::N,жэкӏэпэпкъ,брадичка
16,Kiefer[Anatomie]::N,жэпкъы́,челюст
17,Kehle::N,чый,гърло
18,Hals::N,пшъэ,врат
19,Genick::N,шъхьэпхэтыку,тил
20,Kopf::N,шъхьэ́,глава
21,Rücken::N,кӏыбы́,гръб
22,Bauch::N,ныбэ́,корем
23,Busen::N,бгъэ́,бозка
24,Brust::N,бгъэ́,гръд
25,Schulter::N,блыпкъ,рамо
26,Schulter::N,блыпкъ,плещи
27,Arm::N,ӏэ,ръка
28,Ellenbogen::N,ӏэнтэ́гъу,лакът
29,Hand::N,ӏэтхьэцу,ръка
30,Hand::N,ӏэтхьэцу,китка
31,Handfläche::N,ӏэ́гу,длан
32,Finger::N,ӏэхъуа́мб,пръст
33,Fingernagel::N,ӏэбжъа́н,нокът
34,Nagel[Anatomie]::N,ӏэбжъа́н,нокът
35,Zeh::N,ӏэхъуа́мб,пръст на крак
36,Fuß::N,лъэгу,крак
37,Fuß::N,лъэгу,нога
38,Ferse::N,лъэдакъэ,пета
39,Knie::N,лъагуа́ндж,коляно
40,Oberschenkel::N,ко,бедро
41,Bein::N,лъакъо́,крак
42,Bein::N,лъакъо́,нога
43,Körper::N,пкъышъол,тяло
44,Haut::N,кӏы́шъу,кожа
45,Blut::N,лъы,кръв
46,Ader::N,льытф,вена
47,Ader::N,льытф,артерия
48,Sehne::N,фэ,жила
49,Sehne::N,фэ,сухожилие
50,Knochen::N,къупшъхьэ́,кост
51,Gehirn::N,куцӏы,мозък
52,Herz::N,гу,сърце
53,Magen::N,мышкӏу,стомах
54,Leber::N,шӏу,черен дроб
55,Atem::N,къэщэныр,дишане
56,Hunger::N,гъаблэ́,глад
57,Träne::N,нэпсы,сълза
58,Geschmack::N,ӏэшӏугъа́кӏ,вкус
59,Geruch::N,мэ,миризма
60,Schlaf::N,пчыхьы́пӏ,сън
61,Traum::N,пчыхьы́пӏ,сън
62,Himmel::N,уашъо́,небе
63,Sonne::N,тыгъэ,слънце
64,Mond::N,мазэ,луна
65,Mond::N,мазэ,месец
66,Stern::N,жъуагъо́,звезда
67,Luft::N,жьы,въздух
68,Wind::N,жьыбгъэ́,вятър
69,Welle::N,ор,вълна
70,Welle::N,оры,вълна
71,Wasser::N,псы,вода
72,Stein::N,мыжъо́,камък
