,Concept_ID,udm,mn
0,Auge::N,син,нүд
1,Ohr::N,пель,чих
2,Nase::N,ныр,хамар
3,Mund::N,ым,ам
4,Zahn::N,пинь,шүд
5,Zunge::N,кыл,хэл
6,Lippe::N,ымдур,уруул
7,Wange::N,бам,хацар
8,Gesicht::N,ымныр,царай
9,Gesicht::N,ымныр,нүүр
10,Stirn::N,кымес,дух
11,Haar::N,йырси,үс
12,Schnurrbart::N,мыйык,дээд сахал
13,Schnurrbart::N,мыйык,живэр сахал
14,Bart::N,туш,сахал
15,Kinn::N,ангес,эрүү
16,Kiefer[Anatomie]::N,ан,эрүү
17,Kiefer[Anatomie]::N,анлы,эрүү
18,Kehle::N,гульым,хоолой
19,Hals::N,чырты,хүзүү
20,Genick::N,йырбер,шил
21,Genick::N,йырбер,хүзүү
22,Kopf::N,йыр,толгой
23,Rücken::N,мыш,ар
24,Rücken::N,мыш,нуруу
25,Bauch::N,кӧт,хэвлий
26,Bauch::N,кӧт,гэдэс
27,Nabel::N,гогы,хүйс
28,Busen::N,ноны,хөх
29,Brust::N,мӧля,цээж
30,Schulter::N,пельпум,мөр
31,Schulter::N,пельпум,бугалга
32,Arm::N,суй,гар
33,Ellenbogen::N,гырпум,тохой
34,Hand::N,ки,гар
35,Hand::N,ки,алга
36,Handfläche::N,ки пыдэс,алга
37,Handfläche::N,кырым пыдэс,алга
38,Finger::N,чиньы,хуруу
39,Fingernagel::N,гижы,хурууны хумс
40,Fingernagel::N,гиждӥнь,хурууны хумс
41,Nagel[Anatomie]::N,гижы,хумс
42,Zeh::N,пыдчиньы,хуруу
43,Fuß::N,пыд,хөл
44,Ferse::N,пыдбер,өсгий
45,Knie::N,пыдес,өвдөг
46,Oberschenkel::N,макес,гуя
47,Bein::N,пыд,хөл
48,Körper::N,мугор,бие
49,Körper::N,вылтыр,бие
50,Haut::N,ку,арьс
51,Blut::N,вир,цус
52,Ader::N,вирсэр,судас
53,Sehne::N,вуж,бүлх
54,Sehne::N,вуж,шандас
55,Knochen::N,лы,яс
56,Gehirn::N,вим,тархи
57,Herz::N,сюлэм,зүрх
58,Magen::N,ӝуш,ходоод
59,Leber::N,мус,элэг
60,Atem::N,лул,амьсгаа
61,Atem::N,шокан,амьсгаа
62,Hunger::N,кӧтсюман,өлсгөлөн
63,Träne::N,синкыли,нулимс
64,Geschmack::N,шӧм,амт
65,Geruch::N,зын,үнэр
66,Schlaf::N,вӧт,нойр
67,Traum::N,уйвӧт,зүүд
68,Himmel::N,ин,тэнгэр
69,Himmel::N,ин,огторгуй
70,Sonne::N,шунды,нар
71,Mond::N,толэзь,сар
72,Stern::N,кизили,од
73,Luft::N,омыр,агаар
74,Wind::N,тӧл,салхи
75,Welle::N,тулкым,долгио
76,Welle::N,тулкым,давалгаа
77,Wasser::N,ву,ус
78,Stein::N,из,чулуу
79,Boden::N,музъем,хөрс
80,Erde::N,му,газар
81,Erde::N,му,шороо
82,Staub::N,пыль,тоос
83,Rauch::N,ӵын,утаа
84,Funke::N,гизьы,оч
85,Feuer::N,тыл,гал
86,Licht::N,тыл,гэрэл
87,Licht::N,тыл,гэгээ
88,Schatten::N,вужер,сүүдэр
89,Wetter::N,куазь,тэнгэр
90,Wetter::N,куазь,цаг уур
91,Nebel::N,бус,будан
92,Wolke::N,пилем,үүл
93,Regen::N,зор,бороо
94,Schnee::N,лымы,цас
95,Eis::N,йӧ,мөс
96,Frost::N,кезьыт,хүйт
97,Kälte::N,кезьыт,хүйт
98,Hitze::N,пӧсь,халуун
99,Raureif::N,гӧр,цан
100,Raureif::N,гӧр,хяруу
101,Regenbogen::N,вуюись,солонго
102,Donner::N,гудыри,тэнгэрийн дуу
103,Strömung::N,бызён,урсгал
104,Tropfen::N,шапык,дусал
105,Schaum::N,шукы,хөөс
106,Schmutz::N,нӧд,хир
107,Schmutz::N,нӧд,шавхай
108,Schmutz::N,дэри,хир
109,Schmutz::N,дэри,шавхай
110,See::N,ты,нуур
111,Sumpf::N,нюр,намаг
112,Sumpf::N,нюр,балчиг
113,Moor::N,нюр,хүлрийн намаг
114,Wiese::N,возь,нуга
115,Wiese::N,возьвыл,нуга
116,Wald::N,сик,ой
117,Wald::N,нюлэс,ой
118,Hügel::N,выр,болдог
119,Hügel::N,вырйыл,болдог
120,Anhöhe::N,выр,гүвээ
121,Anhöhe::N,вырйыл,гүвээ
122,Berg::N,гурезь,уул
123,Gipfel::N,йыл,орой
124,Gipfel::N,йыл,оргил
125,Höhle::N,гу,агуй
126,Abhang::N,бам,хүр
127,Quelle::N,ошмес,булаг
128,Bach::N,пичи шур,горхи
129,Fluss::N,шур,гол
130,Fluss::N,шур,мөрөн
131,Ufer::N,ярдур,эрэг
132,Küste::N,вудур,эрэг
133,Festland::N,мувыр,хуурай газар
134,Meer::N,зарезь,далай
135,Meer::N,зарезь,тэнгис
136,Bucht::N,вукож,булан
137,Bucht::N,вукож,далайн тохой
138,Insel::N,вумуӵ,арал
139,Insel::N,шормуӵ,арал
140,Blume::N,сяська,цэцэг
141,Gras::N,турын,өвс
142,Gras::N,турын,ногоо
143,Wurzel::N,выжы,үндэс
144,Baum::N,пу,мод
145,Stamm::N,модос,иш
146,Stamm::N,модос,гуалин
147,Rinde::N,сул,холтос
148,Ast::N,ул,гишүү
149,Zweig::N,вай,салаа
150,Blatt::N,куар,навч
151,Birke::N,кызьпу,хус
152,Kiefer[Baum]::N,пужым,нарс
153,Weide[Baum]::N,бадьпу,уд
154,Weide[Baum]::N,бадьпу,бургас
155,Tanne::N,кыз,гачуур
156,Horn::N,сюр,эвэр
157,Feder::N,тылы,өд
158,Fell::N,ку,арьс
159,Flügel::N,бурд,жигүүр
160,Flügel::N,бурд,далавч
161,Klaue::N,гижы,савар
162,Klaue::N,гижы,хумс
163,Kralle::N,пыд,савар
164,Schwanz::N,быж,сүүл
165,Ei::N,пуз,өндөг
166,Ei::N,кукей,өндөг
167,Nest::N,кар,үүр
168,Nest::N,пузкар,үүр
169,Bau::N,кар,нүх
170,Bau::N,кар,элүү
171,Bau::N,гу,нүх
172,Bau::N,гу,элүү
173,Tier::N,пӧйшур,амьтан
174,Tier::N,пӧйшур,адгуус
175,Herde::N,уллё,сүрэг
176,Kuh::N,скал,үнээ
177,Bulle::N,ош,бух
178,Bulle::N,пороз,бух
179,Pferd::N,вал,морь
180,Pferd::N,вал,адуу
181,Schaf::N,ыж,хонь
182,Schwein::N,парсь,гахай
183,Hund::N,пуны,нохой
184,Katze::N,коӵыш,муур
185,Katze::N,коӵыш,мигуй
186,Bär::N,гондыр,баавгай
187,Eichhörnchen::N,коньы,хэрэм
188,Elch::N,койык,хандгай
189,Fuchs::N,ӟичы,үнэг
190,Hase::N,кеч,туулай
191,Maus::N,шыр,хулгана
192,Wolf::N,кион,чоно
193,Vogel::N,тылобурдо,шувуу
194,Schwarm::N,уллё,сүрэг
195,Huhn::N,курег,тахиа
196,Hahn::N,атас,эр тахиа
197,Gans::N,ӟазег,галуу
198,Adler::N,ӧрзи,бүргэд
199,Ente::N,ӵӧж,нугас
200,Eule::N,кучыран,ууль
201,Kranich::N,тури,тогоруу
202,Krähe::N,куака,хэрээ
203,Kuckuck::N,кикы,хөхөө
204,Schwan::N,юсь,хун
205,Fisch::N,чорыг,загас
206,Barsch::N,юш,алгана
207,Hecht::N,чипей,цурхай
208,Schlange[Tier]::N,кый,могой
209,Wurm::N,нумыр,өт
210,Wurm::N,нумыр,хорхой
211,Spinne::N,чонари,аалз
212,Ameise::N,кузьыли,шоргоолж
213,Laus::N,тэй,бөөс
214,Mücke::N,нымы,шумуул
215,Mücke::N,чибинь,шумуул
216,Fliege::N,кут,ялаа
217,Schmetterling::N,бубыли,эрвээхэй
218,Beere::N,узы-боры,жимсгэнэ
219,Apfel::N,яблок,алим
220,Pilz::N,губи,мөөг
221,Zwiebel::N,сугон,сонгино
222,Saat::N,кидыс,тариа
223,Korn::N,тысь,үр
224,Korn::N,тысь,мөхлөг
225,Heu::N,турын,өвс
226,Schale::N,кыд,хальс
227,Grube::N,гу,алам
228,Grube::N,гу,нүх
229,Grube::N,гоп,алам
230,Grube::N,гоп,нүх
231,Falle::N,налик,хавх
232,Falle::N,налик,занга
233,Schlinge::N,гиӟ,урхи
234,Schlinge::N,герд,урхи
235,Spur::N,пытьы,мөр
236,Spur::N,бервыл,мөр
