,Concept_ID,ce,tr
0,Auge::N,бӏаьрг,göz
1,Ohr::N,лерг,kulak
2,Nase::N,мара,burun
3,Mund::N,бага,ağız
4,Zahn::N,церг,diş
5,Zunge::N,мотт,dil
6,Lippe::N,балда,dudak
7,Wange::N,бесни,yanak
8,Gesicht::N,юьхь,yüz
9,Stirn::N,хьаж,alın
10,Haar::N,мас,saç
11,Schnurrbart::N,мекх,bıyık
12,Bart::N,маж,sakal
13,Kinn::N,чӏениг,çene
14,Kiefer[Anatomie]::N,мочхал,çene
15,Kehle::N,къамкъарг,boğaz
16,Hals::N,ворта,boyun
17,Hals::N,ворта,gerdan
18,Genick::N,кӏесаркӏаг,ense
19,Kopf::N,корта,baş
20,Kopf::N,корта,kafa
21,Rücken::N,букъ,arka
22,Bauch::N,кийра,karın
23,Nabel::N,цӏонга,göbek
24,Busen::N,зударийн накха,koyun
25,Brust::N,накха,göğüs
26,Schulter::N,белш,omuz
27,Arm::N,пхьарс,kol
28,Ellenbogen::N,пхьаьрсан гола,dirsek
29,Hand::N,куьг,el
30,Handfläche::N,кераюкъ,avuç
31,Handfläche::N,кераюкъ,el ayası
32,Finger::N,пӏелг,parmak
33,Fingernagel::N,мӏара,el tırnağı
34,Nagel[Anatomie]::N,мӏара,tırnak
35,Zeh::N,кога пӏелг,ayak parmağı
36,Fuß::N,ког,ayak
37,Ferse::N,кӏажа,topuk
38,Knie::N,гола,diz
39,Oberschenkel::N,варе,uyluk
40,Bein::N,ког,bacak
41,Körper::N,хӏума,vücut
42,Haut::N,чкъор,cilt
43,Blut::N,цӏий,kan
44,Ader::N,пха,damar
45,Sehne::N,хьорзам,kiriş
46,Knochen::N,даьӏахк,kemik
47,Gehirn::N,хье,beyin
48,Herz::N,дог,kalp
49,Herz::N,дог,yürek
50,Magen::N,зорх,mide
51,Leber::N,доӏах,karaciğer
52,Atem::N,садеӏар,nefes
53,Hunger::N,мацалла,açlık
54,Träne::N,бӏаьрхи,gözyaşı
55,Geschmack::N,чам,tat
56,Geschmack::N,чам,lezzet
57,Geruch::N,хьожа,koku
58,Schlaf::N,наб,uyku
59,Traum::N,гӏан,düş
60,Traum::N,гӏан,rüya
61,Himmel::N,стигал,gök
62,Sonne::N,малх,güneş
63,Mond::N,бутт,ay
64,Stern::N,седа,yıldız
65,Luft::N,xӏаваъ,hava
66,Wind::N,мох,yel
67,Wind::N,мох,rüzgâr
68,Welle::N,тулгӏе,dalga
69,Wasser::N,хи,su
70,Stein::N,тӏулг,taş
71,Boden::N,цӏенкъа,yer
72,Boden::N,цӏенкъа,zemin
73,Erde::N,латта,toprak
74,Staub::N,чан,toz
75,Rauch::N,кӏур,duman
76,Funke::N,суй,kıvılcım
77,Feuer::N,цӏе,ateş
78,Licht::N,серло,ışık
79,Schatten::N,ӏиндагӏ,gölge
80,Wetter::N,хенан хӏоттам,hava
81,Nebel::N,дохк,pus
82,Wolke::N,марха,bulut
83,Regen::N,догӏа,yağmur
84,Schnee::N,ло,kar
85,Eis::N,ша,buz
86,Frost::N,шело,don
87,Kälte::N,шело,soğukluk
88,Hitze::N,йовхо,sıcaklık
89,Raureif::N,йис,kırç
90,Regenbogen::N,стелаӏад,gökkuşağı
91,Donner::N,ткъес,gök gürlemesi
92,Strömung::N,дӏаэхар,akıntı
93,Strömung::N,дӏаэхар,cereyan
94,Strömung::N,дӏасалелар,akıntı
95,Strömung::N,дӏасалелар,cereyan
96,Tropfen::N,тӏадам,damla
97,Schaum::N,чопа,köpük
98,Schmutz::N,хатт,çamur
99,Schmutz::N,хатт,pislik
100,See::N,ӏам,göl
101,Sumpf::N,уьшал,batak
102,Moor::N,уьшал,cılgıt
103,Wiese::N,бай,çimen
104,Wald::N,хьун,koru
105,Wald::N,хьун,orman
106,Hügel::N,гу,tepe
107,Hügel::N,шу,tepe
108,Hügel::N,барз,tepe
109,Anhöhe::N,акъари,tümsek
110,Anhöhe::N,акъари,yükseklik
111,Berg::N,лам,dağ
112,Gipfel::N,бохь,zirve
113,Höhle::N,хьех,in
114,Höhle::N,хьех,mağara
115,Abhang::N,басе,bayır
116,Quelle::N,шовда,pınar
117,Quelle::N,шовда,kaynak
118,Bach::N,татол,çay
119,Bach::N,татол,dere
120,Fluss::N,хи,nehir
121,Ufer::N,хийист,kıyı
122,Ufer::N,хийист,sahil
123,Küste::N,йист,kıyı
124,Küste::N,йист,sahil
125,Festland::N,латта,kara
126,Meer::N,xӏорд,deniz
127,Bucht::N,чож,koy
