,Concept_ID,ba,xal
0,Auge::N,күҙ,нүдн
1,Ohr::N,ҡолаҡ,чикн
2,Nase::N,танау,хамр
3,Mund::N,ауыҙ,амн
4,Zahn::N,теш,шүдн
5,Zunge::N,тел,келн
6,Lippe::N,ирен,урл
7,Wange::N,яцаҡтар,халх
8,Gesicht::N,бит,нүр
9,Stirn::N,маңлай,маңна
10,Haar::N,сәс,үсн
11,Schnurrbart::N,мылтыҡ,сахл
12,Bart::N,һаҡал,сахл
13,Bart::N,һаҡал,өргнә сахл
14,Kinn::N,эйэк,өргн
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,өргн
16,Kehle::N,тамаҡ,хол
17,Hals::N,муйын,күзүн
18,Genick::N,соңҡа,гиҗг
19,Kopf::N,баш,толһа
20,Rücken::N,арҡа,нурһн
21,Bauch::N,ҡорһаҡ,гесн
22,Nabel::N,кендек,киисн
23,Busen::N,күкрәк,көкн
24,Brust::N,түш,чееҗ
25,Schulter::N,яурын,ээм
26,Arm::N,ҡул,һар
27,Ellenbogen::N,терһәк,тоха
28,Hand::N,ҡул,баһлцг
29,Hand::N,ҡул суғы,баһлцг
30,Handfläche::N,ус төбө,альхн
31,Finger::N,бармаҡ,хурһн
32,Finger::N,бармаҡ,һарин хурһн
33,Fingernagel::N,тырнаҡ,хумсн
34,Nagel[Anatomie]::N,тырнаҡ,хумсн
35,Zeh::N,бармаҡ,хурһн
36,Zeh::N,бармаҡ,көлин хурһн
37,Fuß::N,табан,тавг
38,Ferse::N,үксә,өскә
39,Knie::N,тубыҡ,өвдг
40,Oberschenkel::N,сандыр,һуй
41,Bein::N,аяҡ,көл
42,Körper::N,тән,махмуд
43,Haut::N,тире,арсн
44,Blut::N,ҡан,цусн
45,Ader::N,тамыр,судцн
46,Sehne::N,һеңер,шүрүсн
47,Sehne::N,тарамыш,шүрүсн
48,Knochen::N,һойәк,ясн
49,Gehirn::N,мейе,экн
50,Herz::N,йорәк,зүркн
51,Magen::N,ашҡаҙан,гесн
52,Leber::N,бауыр,элкн
53,Atem::N,һулыш,әмсхл
54,Hunger::N,аслыҡ,харһнлһн
55,Träne::N,күҙ иәше,нульмсн
56,Geschmack::N,тәм,амтн
57,Geruch::N,еҫ,үнр
58,Schlaf::N,йоҡлау,нөр
59,Traum::N,төш,зүүдн
