,Concept_ID,mhr,az
0,Auge::N,шинча́,göz
1,Ohr::N,пы́лыш,qulaq
2,Nase::N,нер,burun
3,Mund::N,умша́,ağız
4,Zahn::N,пӱй,diş
5,Zunge::N,йы́лме,dil
6,Lippe::N,тӱ́рвӧ,dodaq
7,Wange::N,шӱ́ргӧ,yanaq
8,Gesicht::N,чури́й,üz
9,Stirn::N,саҥга́,alın
10,Haar::N,ӱп,saç
11,Schnurrbart::N,ӧ́рыш,bığ
12,Bart::N,понда́ш,saqqal
13,Kinn::N,оҥыла́ш,çənə
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,çənə
15,Kiefer[Anatomie]::N,пӱйората́,çənə
16,Kehle::N,лога́р,boğaz
17,Hals::N,шӱй,boyun
18,Genick::N,шӱйло́дыш,ənsə
19,Kopf::N,вуй,baş
20,Rücken::N,туп,bel
21,Bauch::N,мӱ́шкыр,qarın
22,Nabel::N,кы́лымде,göbək
23,Busen::N,чы́зе,məmə
24,Brust::N,оҥ,döş
25,Schulter::N,ва́че,çiyin
26,Arm::N,кид,qol
27,Ellenbogen::N,кынерву́й,dirsək
28,Hand::N,кид,əl
29,Hand::N,копа́,əl
30,Handfläche::N,со́во,ovuc
31,Finger::N,парня́,barmaq
32,Fingernagel::N,кидкӱ́ч,barmaq dırnağı
33,Fingernagel::N,парнягӱ́ч,barmaq dırnağı
34,Nagel[Anatomie]::N,кӱч,dırnak
35,Zeh::N,йолварня́,ayaq barmağı
36,Fuß::N,йол,ayaq
37,Fuß::N,йолкопа́,ayaq
38,Ferse::N,тага́н,daban
39,Knie::N,пулву́й,diz
40,Oberschenkel::N,э́рде,bud
41,Bein::N,йол,qıç
42,Körper::N,кап,əndam
43,Haut::N,кова́ште,dəri
44,Blut::N,вӱр,qan
45,Ader::N,шӧн,damar
46,Sehne::N,шӧн,vətər
47,Sehne::N,кӱсе́н,vətər
48,Knochen::N,лу,sümük
49,Gehirn::N,вем,beyin
50,Gehirn::N,вуйве́м,beyin
51,Herz::N,шӱм,ürək
52,Magen::N,пага́р,mədə
53,Leber::N,мокш,qara ciyər
54,Atem::N,шӱ́лыш,nəfəs
55,Hunger::N,шужыма́ш,aclıq
56,Träne::N,шинчавӱ́д,göz yaşı
57,Geschmack::N,там,tam
58,Geschmack::N,там,ləzzət
59,Geruch::N,пуш,qoxu
60,Schlaf::N,о́мо,yuxu
61,Traum::N,йӱдо́мо,röya
62,Himmel::N,кава́,göy
63,Himmel::N,кава́,səma
64,Sonne::N,ке́че,günəş
65,Mond::N,ты́лзе,ay
66,Stern::N,шӱ́дыр,ulduz
67,Luft::N,юж,hava
68,Wind::N,марде́ж,yel
69,Wind::N,марде́ж,külək
70,Welle::N,то́лкын,dalğa
71,Wasser::N,вӱд,su
72,Stein::N,кӱ,daş
73,Boden::N,рок,yer
74,Boden::N,рок,zəmin
75,Erde::N,мла́нде,yer torpaq
76,Staub::N,пура́к,toz
77,Rauch::N,шикш,tüstü
78,Funke::N,сеске́м,qığılcım
79,Funke::N,тулйы́п,qığılcım
80,Feuer::N,тул,od
81,Licht::N,со́то,işıq
82,Schatten::N,ӱ́мыл,kölgə
83,Wetter::N,иге́че,hava
84,Nebel::N,тӱтыра́,duman
85,Wolke::N,пыл,bulud
86,Regen::N,йӱр,yağış
87,Regen::N,йӱр,yağmur
88,Schnee::N,лум,qar
89,Eis::N,ий,buz
90,Frost::N,чатлама́,ayaz
91,Kälte::N,йӱ́штӧ,soyuq
92,Hitze::N,шо́кшо,coşğunluq
93,Raureif::N,пӧрш,qırov
94,Raureif::N,по́кшым,qırov
95,Regenbogen::N,шонанпы́л,göy qurşağı
96,Donner::N,кӱ́дырчӧ,göy gurultusu
97,Strömung::N,йо́гын,axın
98,Tropfen::N,чӱча́лтыш,damcı
99,Schaum::N,шоҥ,köpük
100,Schmutz::N,лавыра́,çamır
101,See::N,ер,göl
102,Sumpf::N,лӱ́кӧ,bataqlıq
103,Moor::N,куп,bataqlıq
104,Wiese::N,о́лык,çəmən
105,Wald::N,чодыра́,meşə
106,Hügel::N,арка́,təpə
107,Anhöhe::N,тӧва́,təpə
108,Anhöhe::N,кӱкшака́,təpə
109,Berg::N,ку́рык,dağ
110,Gipfel::N,чаҥга́,zirvə
111,Gipfel::N,курыкву́й,zirvə
112,Höhle::N,пеще́р,mağara
113,Höhle::N,курыкпо́мыш,mağara
114,Abhang::N,та́йыл,yamac
115,Quelle::N,важ,bulaq
116,Quelle::N,вӱдшинча́,bulaq
117,Bach::N,изэҥе́р,kiçik çay
118,Fluss::N,эҥе́р,çay
119,Ufer::N,сер,kənar
120,Küste::N,вӱдтӱ́р,sahil
121,Festland::N,мла́нде,materik
122,Meer::N,те́ҥыз,dəniz
123,Bucht::N,икса́,körfəz
124,Insel::N,отро́,ada
125,Blume::N,пеле́дыш,çiçək
126,Gras::N,шу́до,ot
127,Wurzel::N,вож,kök
128,Baum::N,пуше́ҥге,ağac
129,Stamm::N,йы́тыр,gövdə
130,Rinde::N,шӱм,qabıq
131,Ast::N,укш,şax
132,Zweig::N,торма́к,budaq
133,Blatt::N,лышта́ш,yarpaq
134,Birke::N,куэ́,tozağacı
135,Kiefer[Baum]::N,пӱ́нчӧ,şam
136,Weide[Baum]::N,уа́,söyüd
137,Tanne::N,кож,küknar
138,Horn::N,шур,buynuz
139,Feder::N,пы́стыл,tük
140,Feder::N,пы́стыл,lələk
141,Fell::N,кова́ште,xəz
142,Flügel::N,шу́лдыр,qanad
143,Klaue::N,кӱч,pəncə
144,Kralle::N,ла́па,dırnaq
145,Kralle::N,копа́,dırnaq
146,Schwanz::N,поч,quyruq
147,Ei::N,му́но,yumurta
148,Nest::N,пыжа́ш,yuva
149,Bau::N,пыжа́ш,yuva
150,Tier::N,я́нлык,heyvan
151,Tier::N,живо́тный,heyvan
152,Herde::N,кӱ́тӱ,sürü
153,Herde::N,тӱшка́,sürü
154,Kuh::N,ушка́л,inək
