,Concept_ID,uk,mrj
0,Auge::N,око,сӹнзӓ
1,Ohr::N,вухо,пӹлӹш
2,Nase::N,ніс,нер
3,Mund::N,рот,ышма
4,Zahn::N,зуб,пӱ
5,Zunge::N,язик,йӹлмӹ
6,Lippe::N,губа,тӹрвӹ
7,Wange::N,щока,шӹргӹ
8,Gesicht::N,обличчя,лицӓ
9,Stirn::N,лоб,лепкӓ
10,Haar::N,волосся,ӱп
11,Schnurrbart::N,вуса,öрш
12,Bart::N,борода,пандаш
13,Kinn::N,підборіддя,онгылаш
14,Kiefer[Anatomie]::N,щелепа,пӱ арата
15,Kehle::N,горло,логер
16,Hals::N,шия,шӱ
17,Genick::N,потилиця,ланга
18,Kopf::N,голова,вуй
19,Rücken::N,спина,туп
20,Bauch::N,живіт,мӹшкӹр
21,Nabel::N,пупок,кӹлӹмдӹ
22,Busen::N,груди,цӹзӹ
23,Brust::N,груди,мел
24,Schulter::N,плече,ӹнгӹжӓ
25,Arm::N,рука,кид
26,Ellenbogen::N,лікоть,кӹнервуй
27,Hand::N,рука,лапа
28,Handfläche::N,долоня,кид лапа
29,Finger::N,палець,парня
30,Fingernagel::N,ніготь,кӹч
31,Nagel[Anatomie]::N,ніготь,кӹч
32,Zeh::N,палець на нозі,парня
33,Fuß::N,нога,ял лапа
34,Ferse::N,п’ятка,ялгавал
35,Ferse::N,п’ятка,ял кавал
36,Knie::N,коліно,пылвуй
37,Oberschenkel::N,стегно,ӓрдӹ
38,Bein::N,нога,ял
39,Körper::N,тіло,монгыр
40,Haut::N,шкіра,кавашты
41,Blut::N,кров,вӹр
42,Ader::N,вена,вӹршӓр
43,Sehne::N,сухожилля,кукшышӱн
44,Knochen::N,кістка,лу
45,Gehirn::N,мозок,вим
46,Herz::N,серце,шӱм
47,Magen::N,шлунок,шӱм
48,Leber::N,печінка,мокш
49,Atem::N,дихання,шӱлӹш
50,Hunger::N,голод,шужымаш
51,Träne::N,сльоза,сӹнзӓвӹд
52,Geschmack::N,смак,тот
53,Geruch::N,запах,пыш
54,Schlaf::N,сон,ом
55,Schlaf::N,сплячка,ом
56,Traum::N,сон,ом
57,Himmel::N,небо,пӹлгом
58,Sonne::N,сонце,кечӹ
59,Mond::N,місяць,тӹлзӹ
60,Stern::N,зірка,шӹдӹр
61,Luft::N,повітря,юж
62,Luft::N,повітря,воздух
63,Wind::N,вітер,мардеж
64,Welle::N,хвиля,ко
65,Welle::N,хвиля,коэ
66,Wasser::N,вода,вӹд
67,Stein::N,камінь,кӱ
68,Boden::N,ґрунт,рок
69,Erde::N,земля,свет
70,Staub::N,пил,пырак
71,Rauch::N,дим,шӹкш
72,Funke::N,іскра,ип
73,Funke::N,іскра,тылип
74,Feuer::N,вогонь,тыл
75,Licht::N,світло,соты
76,Licht::N,світло,валгыды
77,Schatten::N,тінь,ӹмӹл
78,Wetter::N,погода,игечӹ
79,Nebel::N,туман,тӹтӹрӓ
80,Wolke::N,хмара,пӹл
81,Regen::N,дощ,юр
82,Schnee::N,сніг,лым
83,Eis::N,лід,и
84,Frost::N,мороз,ӱштӹ
85,Kälte::N,холод,ӱштӹ
86,Hitze::N,жар,шокшы
87,Raureif::N,іній,пöрш
88,Regenbogen::N,райдуга,шанавӹл
89,Donner::N,грім,хӹдӹртӹш
90,Strömung::N,струмина,йогы
91,Tropfen::N,крапля,капльы
92,Tropfen::N,крапля,капльык
93,Schaum::N,піна,шонг
94,Schmutz::N,бруд,лявӹрӓ
95,See::N,озеро,йӓр
96,Sumpf::N,драговина,лӱкӹ
97,Moor::N,болото,куп
98,Wiese::N,луг,алык
99,Wiese::N,лука,алык
100,Wald::N,ліс,шӹргӹ
101,Hügel::N,горб,пӱгӹрикӓ
102,Anhöhe::N,височина,кӱкшикӓ
103,Berg::N,гора,кырык
104,Gipfel::N,вершина,неркӓ
105,Höhle::N,печера,ы́раж
106,Abhang::N,схил,полом
107,Quelle::N,джерело,вӹдсӹнзӓ
108,Bach::N,струмок,ӓнгӹр
109,Fluss::N,річка,вӹд
110,Ufer::N,берег,сир
111,Küste::N,узбережжя,сир
112,Festland::N,суша,мӱлӓндӹ
113,Meer::N,море,тангыж
114,Bucht::N,бухта,вӹдъял
115,Bucht::N,затока,вӹдъял
116,Insel::N,острів,острок
117,Blume::N,квітка,пеледӹш
118,Gras::N,трава,шуды
119,Wurzel::N,корінь,важ
120,Baum::N,дерево,пушӓнгӹ
121,Stamm::N,стовбур,пушӓнгӹ тӹнг
122,Rinde::N,кора,каргыж
123,Ast::N,гілка,укш
124,Zweig::N,галузь,укш
125,Blatt::N,лист,листӹ
126,Birke::N,береза,куги
127,Kiefer[Baum]::N,сосна,йӓктӹ
128,Weide[Baum]::N,верба,уа
129,Tanne::N,ялиця,кож
130,Horn::N,ріг,шур
131,Feder::N,перо,пын
132,Fell::N,хутро,кавашты
133,Flügel::N,крило,шылдыр
134,Klaue::N,кіготь,кӹч
135,Kralle::N,лапа,лапа
136,Schwanz::N,хвіст,пач
137,Ei::N,яйце,мыны
138,Nest::N,гніздо,пӹжӓш
139,Bau::N,лігво,ыраж
140,Tier::N,тварина,во́льык
141,Herde::N,стадо,кӹтö
142,Kuh::N,корова,ышкал
143,Bulle::N,бик,ӱшкӱж
144,Bulle::N,бугай,ӱшкӱж
145,Pferd::N,кінь,имни
146,Schaf::N,вівця,шарык
147,Schwein::N,свиня,сасна
148,Hund::N,собака,пи
149,Katze::N,кішка,коти
150,Bär::N,ведмідь,мöскӓ
151,Eichhörnchen::N,білка,ур
152,Elch::N,лось,шарды
153,Fuchs::N,лисиця,рӹвӹж
154,Hase::N,заєць,морен
155,Maus::N,миша,каля
156,Wolf::N,вовк,пирӹ
157,Vogel::N,птах,кек
158,Schwarm::N,зграя,цуца
159,Huhn::N,курка,цӹвӹ
160,Hahn::N,півень,ӓптӓн
161,Gans::N,гуска,комбы
162,Adler::N,орел,кучкыж
163,Ente::N,качка,лыды
164,Eule::N,сова,тымана
165,Kranich::N,журавель,тырня
166,Kranich::N,журавель,тыртня
167,Krähe::N,ворона,лудыгарак
168,Kuckuck::N,зозуля,куку
169,Schwan::N,лебідь,йӱксӹ
170,Fisch::N,риба,кол
171,Barsch::N,окунь,алангы
172,Hecht::N,щука,нуж
173,Hecht::N,щука,нужгол
174,Schlange[Tier]::N,змія,кӹшкы
175,Wurm::N,черв’як,шукш
176,Spinne::N,павук,ӓнгӹремшӹ
177,Ameise::N,мурашка,кыткы
178,Laus::N,воша,ти
179,Mücke::N,комар,кужнер
180,Mücke::N,комар,кужынер
181,Fliege::N,муха,шӹнгӓ
182,Schmetterling::N,метелик,лӹпӹ
183,Beere::N,ягода,мöр
184,Apfel::N,яблуко,олма
185,Pilz::N,гриб,понгы
186,Zwiebel::N,цибуля,охыра
187,Saat::N,сім’я,нӱшмӹ
188,Saat::N,сім’я,нӱшмӱ
189,Korn::N,зерно,пӹрцӹ
190,Heu::N,сіно,шуды
191,Schale::N,шкірка,аваха
192,Schale::N,шкірка,карлангы
193,Grube::N,яма,йӓм
194,Falle::N,пастка,лӱдӹ
195,Falle::N,пастка,лӱдӹш
196,Schlinge::N,петля,онгы
197,Spur::N,слід,кишӓ
198,Asche::N,зола,ломых
199,Asche::N,зола,ломпыж
200,Asche::N,попіл,ломых
201,Asche::N,попіл,ломпыж
202,Dreck::N,бруд,лявӹрӓ
203,Eisen::N,залізо,кӹртни
204,Gold::N,золото,шöртни
