,Concept_ID,ka,tt
0,Auge::N,თვალი,күз
1,Ohr::N,ყური,колак
2,Nase::N,ცხვირი,борын
3,Mund::N,პირი,авыз
4,Mund::N,პირი,тамак
5,Zahn::N,კბილი,теш
6,Zunge::N,ენა,тел
7,Lippe::N,ბაგე,ирен
8,Wange::N,ლოყა,яңак
9,Gesicht::N,სახე,йөз
10,Stirn::N,შუბლი,маңгай
11,Haar::N,თმა,чәч
12,Schnurrbart::N,ულვაში,мыек
13,Bart::N,წვერი,сакал
14,Kinn::N,ნიკაპი,ияк
15,Kiefer[Anatomie]::N,ყბა,казналык
16,Kehle::N,ყელი,тамак
17,Hals::N,ყელი,бугаз
18,Hals::N,კისერი,бугаз
19,Genick::N,კეფა,җилкә
20,Kopf::N,თავი,баш
21,Rücken::N,ზურგი,сырт
22,Bauch::N,მუცელი,корсак
23,Nabel::N,ჭიპი,кендек
24,Busen::N,ძუძუ,түш
25,Brust::N,მკერდი,имчәк
26,Brust::N,მკერდი,күкрәк
27,Schulter::N,მხარი,иңбаш
28,Schulter::N,მხარი,кулбаш
29,Schulter::N,მკლავი,иңбаш
30,Schulter::N,მკლავი,кулбаш
31,Arm::N,ხელი,кул
32,Ellenbogen::N,იდაყვი,терсәк
33,Hand::N,ხელი,кул
34,Handfläche::N,ნები,уч
35,Handfläche::N,ხელისგული,уч
36,Finger::N,თითი,бармак
37,Fingernagel::N,ფრჩხილი,тырнак
38,Nagel[Anatomie]::N,ფრჩხილი,тырнак
39,Zeh::N,ფეხის თითი,бармак
40,Fuß::N,ტერფი,табан
41,Fuß::N,ფეხისგული,табан
42,Ferse::N,ქუსლი,үкчә
43,Knie::N,მუხლი,тез
44,Oberschenkel::N,ბარძაყი,бот
45,Bein::N,ფეხი,аяк
46,Körper::N,ტანი,тән
47,Körper::N,ტანი,җисем
48,Körper::N,სხეული,тән
49,Körper::N,სხეული,җисем
50,Haut::N,კანი,тире
51,Blut::N,სისხლი,кан
52,Ader::N,ძარღვი,тамыр
53,Sehne::N,მყესი,сеңер
54,Knochen::N,ძვალი,сөяк
55,Gehirn::N,ტვინი,ми
56,Herz::N,გული,йөрәк
57,Magen::N,კუჭი,ашказаны
58,Leber::N,ღვიძლი,бавыр
59,Atem::N,სუნთქვა,сулыш
60,Hunger::N,შიმშილი,ачлык
61,Träne::N,ცრემლი,яшь
62,Geschmack::N,გემო,тәм
63,Geschmack::N,გემო,зәвык
64,Geruch::N,სუნი,ис
65,Schlaf::N,ძილი,йокы
66,Traum::N,სიზმარი,төш
67,Himmel::N,ცა,күк
68,Sonne::N,მზე,кояш
69,Mond::N,მთვარე,ай
70,Stern::N,ვარსკვლავი,йолдыз
71,Luft::N,ჰაერი,һава
72,Wind::N,ქარი,җил
73,Welle::N,ტალღა,дулкын
74,Wasser::N,წყალი,су
75,Stein::N,ქვა,таш
76,Boden::N,მიწა,туфрак
77,Erde::N,ნიადაგი,җир
78,Staub::N,მტვერი,тузан
79,Rauch::N,ბოლი,төтен
80,Rauch::N,კვამლი,төтен
81,Funke::N,ნაკვესი,очкын
82,Feuer::N,ცეცხლი,ут
83,Licht::N,შუქი,якты
84,Licht::N,სინათლე,якты
85,Schatten::N,ლანდი,күләгә
86,Schatten::N,ჩრდილი,күләгә
87,Wetter::N,ამინდი,һава
88,Nebel::N,ნისლი,томан
89,Wolke::N,ღრუბელი,болыт
90,Regen::N,წვიმა,яңгыр
91,Schnee::N,თოვლი,кар
92,Eis::N,თოში,боз
93,Eis::N,ყინული,боз
94,Frost::N,ყინვა,суык
95,Frost::N,ყინვა,салкын
96,Kälte::N,სიცივე,суык
97,Kälte::N,სიცივე,салкын
98,Hitze::N,სიცხე,эсселек
99,Raureif::N,ჭირხლი,бәс
100,Raureif::N,ჭირხლი,сыкы
101,Raureif::N,თრთვილი,бәс
102,Raureif::N,თრთვილი,сыкы
103,Regenbogen::N,ცისარტყელა,салават күпере
104,Donner::N,ქუხილი,күкрәү
105,Strömung::N,დინება,агыш'агым
106,Tropfen::N,წვეთი,тамчы
107,Schaum::N,ქაფი,күбек
108,Schaum::N,დორბლი,күбек
109,Schmutz::N,ჭუჭყი,пычрак
110,Schmutz::N,ტალახი,пычрак
111,See::N,ტბა,күл
112,Sumpf::N,ჭაობი,саз
113,Moor::N,ტორფნარი,торфлык
114,Wiese::N,ველი,болын
115,Wiese::N,მდელო,болын
116,Wald::N,ტყე,урман
117,Hügel::N,ბორცვი,калку
118,Anhöhe::N,მაღლობი,үр
119,Berg::N,მთა,тау
120,Gipfel::N,მწვერვალი,оч
121,Höhle::N,მღვიმე,мәгарә
122,Höhle::N,გამოქვებული,мәгарә
123,Abhang::N,ფერდობი,кабырга
124,Quelle::N,წყარო,чишмә
125,Quelle::N,სათავე,чишмә
126,Bach::N,რუ,елга
127,Bach::N,ნაკადული,елга
128,Fluss::N,მდინარე,дәрья
129,Ufer::N,კიდე,су кырые
130,Ufer::N,ნაპირი,су кырые
131,Küste::N,ნაპირი,яр буе
132,Festland::N,ხმელეთი,коры җир
133,Meer::N,ზღვა,диңгез
134,Bucht::N,ყურე,бухта
135,Bucht::N,ყურე,култык
136,Insel::N,კუნძული,атау
137,Insel::N,კუნძული,утрау
138,Blume::N,ყვავილი,чәчкә
139,Gras::N,ბალახი,үлән
140,Wurzel::N,ძირი,тамыр
141,Wurzel::N,ფესვი,тамыр
142,Baum::N,ხე,агач
143,Stamm::N,ტანი,кәүсә
144,Rinde::N,ქერქი,кабык
145,Ast::N,ტოტი,ботак
146,Zweig::N,შტო,ботак
147,Zweig::N,შტო,тармак
148,Blatt::N,ფოთოლი,яфрак
149,Birke::N,არყი,каен
150,Kiefer[Baum]::N,ფიჭვი,нарат
151,Weide[Baum]::N,ტირიფი,тал
152,Tanne::N,ნაძვი,чыршы
153,Horn::N,რქა,мөгез
154,Feder::N,ფრთა,йон
155,Fell::N,ტყავი,тире
156,Flügel::N,ფრთა,канат
157,Klaue::N,კლანჭი,тырнак
158,Kralle::N,ტორი,тырнак
159,Schwanz::N,კუდი,койрык
160,Ei::N,კვერცხი,күкәй
161,Ei::N,კვერცხი,йомырка
162,Nest::N,ბუდე,оя
163,Bau::N,სორო,өн
164,Tier::N,ნადირი,хайван
165,Tier::N,ცხოველი,хайван
166,Herde::N,ფარა,көтү
167,Kuh::N,ფური,сыер
168,Kuh::N,ძროხა,сыер
169,Bulle::N,ხარი,үгез
170,Pferd::N,რაში,ат
171,Pferd::N,ცხენი,ат
172,Schaf::N,ცხვარი,сарык
173,Schwein::N,ღორი,дуңгыз
174,Hund::N,ძაღლი,эт
175,Katze::N,კატა,песи
176,Bär::N,დათვი,аю
177,Eichhörnchen::N,ციყვი,тиен
178,Elch::N,ცხენ-ირემი,поши
179,Fuchs::N,მელა,төлке
180,Hase::N,კურდღელი,куян
181,Maus::N,თაგვი,тычкан
182,Wolf::N,მგელი,бүре
183,Vogel::N,ჩიტი,кош
184,Vogel::N,ფრინველი,кош
185,Schwarm::N,გუნდი,көтү
186,Huhn::N,დედალი,тавык
187,Hahn::N,მამალი,әтәч
188,Gans::N,ბატი,каз
189,Adler::N,არწივი,каракош
190,Ente::N,იხვი,үрдәк
191,Eule::N,ბუ,ябалак
192,Kranich::N,წერო,торна
193,Krähe::N,ყვავი,карга
194,Kuckuck::N,გუგული,күке
195,Kuckuck::N,გუგული,кәккүк
196,Schwan::N,გედი,аккош
197,Fisch::N,თევზი,балык
198,Barsch::N,ქორჭილა,алабуга
199,Hecht::N,ქარიყლაპია,чуртан
200,Schlange[Tier]::N,გველი,елан
201,Wurm::N,ჭია,корт
202,Spinne::N,ობობა,үрмәкүч
203,Ameise::N,ჭიანჭველა,кырмыска
204,Laus::N,ტილი,бет
205,Laus::N,მკბენარი,бет
206,Mücke::N,კოღო,черки
207,Mücke::N,კოღო,озынборын
208,Fliege::N,ბუზი,чебен
209,Schmetterling::N,პეპელა,күбәләк
210,Beere::N,კენკრა,җиләк
211,Apfel::N,ვაშლი,алма
212,Pilz::N,სოკო,гөмбә
213,Zwiebel::N,ხახვი,суган
214,Zwiebel::N,ხახვი,суганбаш
215,Saat::N,თესლი,орлык
216,Korn::N,მარცვალი,иген
217,Korn::N,მარცვალი,орлык
218,Heu::N,თივა,печән
219,Schale::N,ჩენჩო,кабык
220,Grube::N,ორმო,баз
221,Grube::N,ორმო,чокыр
222,Falle::N,ხაფანგი,тозак
223,Falle::N,ხაფანგი,капкын
224,Schlinge::N,მახე,элмәк
225,Spur::N,კვალი,эз
226,Asche::N,ფერფლი,көл
227,Dreck::N,ტალახი,пычрак
228,Dreck::N,სიბინძურე,пычрак
229,Eisen::N,რკინა,тимер
230,Gold::N,ოქრო,алтын
231,Silber::N,ვერცხლი,көмеш
232,Kohle::N,ნახშირი,күмер
233,Glas::N,მინა,пыяла
234,Lehm::N,თიხა,балчык
235,Sand::N,ქვიშა,ком
236,Mensch::N,ადამიანი,адәм
237,Mensch::N,ადამიანი,инсан
238,Mann::N,კაცი,ир
239,Frau::N,ქალი,хатын
240,Kind::N,ბავშვი,бала
241,Junge::N,ვაჟი,малай
242,Mädchen::N,გოგო,кыз
243,Familie::N,ოჯახი,гаилә
244,Großvater::N,პაპა,бабай
245,Großvater::N,ბაბუა,бабай
246,Großmutter::N,ბებია,әби
247,Großmutter::N,დიდედა,әби
248,Eltern::N,მშობლები,ата-ана
249,Vater::N,მამა,ата
250,Mutter::N,დედა,ана
251,Sohn::N,ვაჟიშვილი,ул
252,Tochter::N,ქალიშვილი,кыз
253,Bruder::N,ძმა,кардәш
254,Schwester::N,და,апа
255,Schwester::N,და,сеңел
256,Onkel::N,ბიძა,дәдә
257,Onkel::N,ბიძა,дәдәй
258,Tante::N,დეიდა,түти
259,Tante::N,დეიდა,тәтәй
260,Tante::N,მამიდა,түти
261,Tante::N,მამიდა,тәтәй
262,Ehemann::N,ქმარი,ир
263,Ehefrau::N,ცოლი,хатын
264,Freude::N,სიხარული,сөенеч
265,Gelächter::N,სიცილი,көлү
266,Gelächter::N,სიცილი,көлеш
267,Glück::N,ბედნიერება,бәхет
268,Kummer::N,მწუხარება,хәсрәт
269,Wunsch::N,წადილი,теләк
270,Wunsch::N,სურვილი,теләк
271,Lust::N,წადილი,теләк
272,Lust::N,წადილი,теләү
273,Geist::N,სული,рух
274,Gedanke::N,ფიქრი,уй
275,Gedanke::N,ფიქრი,фикер
276,Gedächtnis::N,მეხსიერება,хәтер
277,Verstand::N,ჭკუა,акыл
278,Verstand::N,გონება,акыл
279,Sinn::N,მნიშვნელობა,мәгънә
280,Grund::N,მიზეზი,сәбәп
281,Wahrheit::N,სიმართლე,хак
282,Wahrheit::N,ჭეშმარიტება,хак
283,Gespräch::N,ბაასი,әңгәмә
284,Gespräch::N,საუბარი,әңгәмә
285,Märchen::N,არაკი,әкият
286,Märchen::N,ზღაპარი,әкият
287,Erzählung::N,თქმულება,хикәя
288,Nachricht::N,ცნობა,хәбәр
289,Nachricht::N,ამბავი,хәбәр
290,Neuigkeit::N,სიახლე,яңалык
291,Name::N,სახელი,исем
292,Rätsel::N,გამოცანა,табышмак
293,Rede::N,სიტყვა,нотык
294,Sprache::N,ენა,тел
295,Stimme::N,ხმა,тавыш
296,Wort::N,სიტყვა,сүз
297,Zeichen::N,ნიშანი,ишарә
298,Ruf::N,ძახილი,дәшү
299,Lärm::N,ხმაური,шау
300,Laut::N,ხმა,аваз
301,Laut::N,ბგერა,аваз
302,Ton::N,ტონი,шалтырату
303,Lied::N,სიმღერა,җыр
304,Ruhe::N,სიწყნარე,тынлык
305,Leute::N,ადამიანები,халык
306,Volk::N,ერი,халык
307,Volk::N,ხალხი,халык
308,Arbeit::N,მუშაობა,эш
309,Arbeit::N,მუშაობა,хезмәт
310,Gast::N,სტუმარი,кунак
311,Geschenk::N,საჩუქარი,бүләк
312,Spiel::N,თამაში,уен
313,Gesellschaft::N,საზოგადოება,җәмгыять
314,Hilfe::N,შველა,ярдәм
315,Hilfe::N,შველა,булышлык
316,Hilfe::N,დახმარება,ярдәм
317,Hilfe::N,დახმარება,булышлык
318,Freund::N,მეგობარი,дус
319,Kamerad::N,ამხანაგი,иптәш
320,Angelegenheit::N,საქმე,эш
321,Anzahl::N,ოდენობა,микъдар
322,Art::N,სახეობა,төр
323,Stück::N,ნატეხი,кисәк
324,Teil::N,წილი,өлеш
325,Hälfte::N,ნახევარი,ярым
326,Kreis::N,წრე,түгәрәк
327,Kreuz::N,ჯვარი,хач
328,Kreuz::N,ჯვარი,тәре
329,Linie::N,ხაზი,сызык
330,Strich::N,შტრიხი,сызык
331,Abstand::N,მანძილი,ара
332,Entfernung::N,სიშორე,ераклык
333,Gegend::N,არე,урын
334,Gegend::N,მხარე,урын
335,Platz::N,ფართობი,бушлык
336,Ort::N,ადგილი,урын
337,Seite::N,მხარე,як
338,Mitte::N,შუა,урта
339,Gegenstand::N,საგანი,нәрсә
340,Sache::N,ნივთი,нәрсә
341,Rand::N,კიდე,чит
342,Kante::N,ნაწიბული,кырый
343,Ecke::N,კუთხე,почмак
344,Spitze::N,წვეტი,оч
345,Ende::N,ბოლო,азак
346,Loch::N,ხვრელი,тишек
347,Winkel::N,კუთხე,почмак
348,Muster::N,მოხატულობა,парча
349,Größe::N,ზომა,зурлык
350,Größe::N,სიდიდე,зурлык
351,Länge::N,სიგრძე,озынлык
352,Höhe::N,სიმაღლე,биеклек
353,Gewicht::N,წონა,авырлык
354,Menge::N,რაოდენობა,микъдар
355,Haufen::N,გროვა,өем
356,Reihe::N,რიგი,рәт
357,Reihe::N,წყება,рәт
358,Boot::N,გემი,каек
359,Boot::N,გემი,көймә
360,Ruder::N,ხოფი,ишкәк
361,Ruder::N,ნიჩაბი,ишкәк
362,Schlitten::N,მარხილი,чана
363,Ski::N,თხილამური,чаңгы
364,Lagerfeuer::N,კოცონი,костёр
365,Last::N,ტვირთი,йөк
366,Gang::N,სვლა,йөреш
367,Schritt::N,ბიჯი,адым
368,Norden::N,ჩრდილოეთი,төньяк
369,Süden::N,სამხრეთი,көньяк
370,Westen::N,დასავლეთი,көнбатыш
371,Osten::N,აღმოსავლეთი,шәрык
372,Osten::N,აღმოსავლეთი,көнчыгыш
373,Holz::N,ხე,агач
374,Brett::N,დაფა,такта
375,Brett::N,ფიცარი,такта
376,Platte::N,თლილი ქვა,плитә
377,Stütze::N,საყრდენი,таяу
378,Stange::N,ჭოკი,колга
379,Stock::N,კეტი,таяк
380,Stab::N,ლატანი,таяк
381,Rohr::N,მილაკი,торба
382,Haus::N,სახლი,өй
383,Haus::N,სახლი,йорт
384,Heim::N,ოჯახის კერა,гаилә
385,Heim::N,ოჯახის კერა,нәсел
386,Ofen::N,ღუმელი,мич
387,Fußboden::N,იატაკი,идән
388,Tisch::N,სუფრა,өстәл
389,Tisch::N,მაგიდა,өстәл
390,Stuhl::N,სკამი,утыргыч
391,Wiege::N,აკვანი,бишек
392,Bett::N,საწოლი,ятак
393,Bett::N,საწოლი,урын-җир
394,Bett::N,სარეცელი,ятак
395,Bett::N,სარეცელი,урын-җир
396,Regal::N,თაროები,киштә
397,Regal::N,თაროები,шүрлек
398,Kiste::N,ყუთი,әрҗә
399,Kiste::N,სკივრი,әрҗә
400,Fenster::N,ფანჯარა,тәрәзә
401,Fenster::N,სარკმელი,тәрәзә
402,Tür::N,ბჭე,ишек
403,Tür::N,კარი,ишек
404,Tor::N,ჭიშკარი,капка
405,Zaun::N,ღობე,койма
406,Zaun::N,გალავანი,койма
407,Dach::N,სახურავი,түбә
408,Leiter::N,კიბე,баскыч
409,Besen::N,ცოცხი,себерке
410,Spaten::N,ნიჩაბი,көрәк
411,Schaufel::N,ბარი,көрәк
412,Gabel::N,ჩანგალი,чәннечке
413,Löffel::N,კოვზი,кашык
414,Messer::N,დანა,пычак
415,Nagel::N,ლურსმანი,кадак
416,Netz::N,ბადე,челтәр
417,Haken::N,კავი,ыргак
418,Haken::N,კაუჭი,ыргак
419,Griff::N,ტარი,тотка
420,Schloss::N,კლიტე,йозак
421,Schloss::N,საკეტი,йозак
422,Bild::N,სურათი,рәсем
423,Bild::N,სურათი,картина
424,Figur::N,ფიგურა,сын
425,Figur::N,ფიგურა,фигура
426,Puppe::N,თოჯინა,курчак
427,Beutel::N,პარკი,луза
428,Bündel::N,გალა,бәйләм
429,Bündel::N,ასხმა,бәйләм
430,Tasche::N,ჩანთა,букча
431,Eimer::N,ჩამჩა,чиләк
432,Deckel::N,ხუფი,капкач
433,Deckel::N,სარქველი,капкач
434,Geschirr::N,ჭურჭელი,савыт-саба
435,Geschirr::N,ჭურჭელი,кашык-аяк
436,Sack::N,ტომარა,капчык
437,Tasse::N,ფინჯანი,чынаяк
438,Topf::N,ქოთანი,чүлмәк
439,Kessel::N,ქვაბი,казан
440,Essen::N,ჭამა,ашау
441,Nahrung::N,საზრდო,азык
442,Nahrung::N,საზრდო,тәгам
443,Nahrung::N,საზრდო,ашамлык
444,Nahrung::N,საკვები,азык
445,Nahrung::N,საკვები,тәгам
446,Nahrung::N,საკვები,ашамлык
447,Speise::N,საჭმელი,ризык
448,Fleisch::N,ხორცი,ит
449,Getreide::N,მარცვლოვანი,ашлык
450,Brei::N,ფაფა,ботка
451,Brot::N,პური,ипи
452,Brot::N,პური,икмәк
453,Scheibe::N,ნაჭერი,телем
454,Fett::N,ქონი,май
455,Fett::N,ცხიმი,май
456,Butter::N,კარაქი,май
457,Öl::N,ზეთი,май
458,Salz::N,მარილი,тоз
459,Suppe::N,სუფი,шулпа
460,Honig::N,თაფლი,бал
461,Milch::N,რძე,сөт
462,Tee::N,ჩაი,чәй
463,Leder::N,ტყავი,күн
464,Wolle::N,მატყლი,йон
465,Stoff::N,ქსოვილი,тукыма
466,Nadel::N,ნემსი,энә
467,Faden::N,ძაფი,җеп
468,Faden::N,მკედი,җеп
469,Knopf::N,ღილი,төймә
470,Knoten::N,ნასკვი,төен
471,Farbe::N,საღებავი,буяу
472,Kleidung::N,ტანსაცმელი,кием
473,Hemd::N,ხალათი,күлмәк
474,Hemd::N,პერანგი,күлмәк
475,Kragen::N,საყელო,яка
476,Ärmel::N,სახელო,җиң
477,Hose::N,შარვალი,чалбар
478,Gürtel::N,ქამარი,билбау
479,Mütze::N,ქუდი,бүрек
480,Schuh::N,ფეხსაცმელი,башмак
481,Stiefel::N,ჩექმა,итек
482,Ring::N,ბეჭედი,балдак
483,Band::N,ბაფთი,тасма
484,Kamm::N,სავარცხელი,тарак
485,Spiegel::N,სარკე,көзге
486,Riemen::N,ღვედი,каеш
487,Schnur::N,ლარი,бау
488,Leine::N,ჯაჭვი,тезген
489,Decke::N,საბანი,юрган
490,Kissen::N,ბალიში,мендәр
491,Tuch::N,მაუდი,яулык
492,Tuch::N,თავშალი,яулык
493,Handtuch::N,ხელსახოცი,сөлгә
494,Kraft::N,ძალა,егәр
495,Kraft::N,ძალა,дәрман
496,Stärke::N,ღონე,көч
497,Stärke::N,ღონე,дәрман
498,Gesundheit::N,ჯანმრთელობა,саулык
499,Krankheit::N,სენი,чир
500,Krankheit::N,სენი,хаста
501,Krankheit::N,სენი,сырхау
502,Krankheit::N,ავადმყოფობა,чир
503,Krankheit::N,ავადმყოფობა,хаста
504,Krankheit::N,ავადმყოფობა,сырхау
505,Schmerz::N,ტკივილი,авырту
506,Wunde::N,იარი,яра
507,Wunde::N,იარი,җәрәхәт
508,Wunde::N,ჭრილობა,яра
509,Wunde::N,ჭრილობა,җәрәхәт
510,Fieber::N,ციება,бизгәк
511,Arznei::N,წამალი,дару
512,Brücke::N,ხიდი,күпер
513,Brunnen::N,ჭა,кое
514,Weide::N,საძოვარი,утлавык
515,Pfad::N,ბილიკი,сукмак
516,Weg::N,გზა,юл
517,Straße::N,შარაგზა,урам
518,Dorf::N,დაბა,авыл
519,Dorf::N,სოფელი,авыл
520,Stadt::N,ქალაქი,шәһәр
521,Brief::N,წერილი,хат
522,Buch::N,წიგნი,китап
523,Buchstabe::N,ასო,хәреф
524,Zeitung::N,გაზეთი,газет
525,Zeitung::N,გაზეთი,газета
526,Leben::N,სიცოცხლე,гомер
527,Leben::N,სიცოცხლე,тормыш
528,Leben::N,სიცოცხლე,тереклек
529,Tod::N,სიკვდილი,үлем
530,Grab::N,სამარე,гүр
531,Grab::N,სამარე,кабер
532,Grab::N,საფლავი,гүр
533,Grab::N,საფლავი,кабер
534,Kirche::N,ეკლესია,чиркәү
535,Sünde::N,ცოდვა,язык
