,Concept_ID,sq,ml
0,Auge::N,sy,കണ്ണ്
1,Ohr::N,vesh,ചെവി
2,Nase::N,hundë,മൂക്ക്
3,Mund::N,gojë,വായ
4,Zahn::N,dhëmb,പല്ല്
5,Zunge::N,gjuhë,നാക്ക്
6,Lippe::N,buzë,ചുണ്ട്
7,Wange::N,faqe,കവിൾത്തടം
8,Wange::N,mollëz,കവിൾത്തടം
9,Gesicht::N,fytyrë,മുഖം
10,Stirn::N,ballë,നെറ്റി
11,Haar::N,flokë,തലമുടി
12,Schnurrbart::N,mustaqe,മീശ
13,Bart::N,mjekër,താടിരോമം
14,Kinn::N,mjekër,താടി
15,Kiefer[Anatomie]::N,nofull,താടിയെല്ല്
16,Kehle::N,fyt,കണ്ഠനാളം
17,Kehle::N,grykë,കണ്ഠനാളം
18,Hals::N,qafë,കഴുത്ത്
19,Genick::N,arrëz,പിടലി
20,Kopf::N,kokë,തല
21,Rücken::N,kurriz,മുതുക്
22,Bauch::N,bark,നയറ്
23,Nabel::N,kërthizë,നാഭി
24,Busen::N,gji,സ്തനം
25,Brust::N,gjoks,സ്തനം
26,Brust::N,kraharor,സ്തനം
27,Schulter::N,sup,തോൾ
28,Schulter::N,krah,തോൾ
29,Arm::N,krah,കൈ
30,Ellenbogen::N,bërryl,കൈമുട്ട്
31,Hand::N,dorë,കൈ
32,Handfläche::N,pëllëmbë,ഉള്ളം കൈ
33,Finger::N,gisht,വിരൽ
34,Fingernagel::N,thua,നഖം
35,Nagel[Anatomie]::N,thua,നഖം
36,Zeh::N,gisht i këmbës,കാൽവിരൽ
37,Fuß::N,këmbë,കാൽപ്പാദം
38,Ferse::N,thembër,ഉപ്പൂറ്റി
39,Knie::N,gju,കാൽമുട്ട്
40,Oberschenkel::N,kofshë,തുട
41,Bein::N,këmbë,കാൽ
42,Körper::N,trup,ശരീരം
43,Haut::N,lëkurë,ചർമ്മം
44,Blut::N,gjak,രക്തം
45,Ader::N,venë,ഞരമ്പ്
46,Sehne::N,dell,സ്നായു
47,Knochen::N,asht,അസ്ഥി
48,Knochen::N,kockë,അസ്ഥി
49,Gehirn::N,tru,തലച്ചോറ്
50,Herz::N,zemër,ഹൃദയം
51,Magen::N,stomak,വയർ
52,Leber::N,mëlçi,കരൾ
53,Atem::N,frymë,ശ്വാസം
54,Hunger::N,uri,വിശപ്പ്
