,Concept_ID,da,cy
0,Auge::N,øje,llygad
1,Ohr::N,øre,clust
2,Nase::N,næse,trwyn
3,Mund::N,mund,ceg
4,Zahn::N,tand,dant
5,Zunge::N,tunge,tafod
6,Lippe::N,læbe,gwefus
7,Wange::N,kind,boch
8,Gesicht::N,ansigt,wyneb
9,Stirn::N,pande,talcen
10,Haar::N,hår,blew
11,Schnurrbart::N,overskæg,mwstas
12,Bart::N,skæg,barf
13,Kinn::N,hage,gên
14,Kiefer[Anatomie]::N,kæbe,gên
15,Kehle::N,strube,gwddf
16,Hals::N,hals,gwddf
17,Genick::N,nakke,gwar
18,Genick::N,nakke,gwegil
19,Kopf::N,hoved,pen
20,Rücken::N,ryg,cefn
21,Bauch::N,mave,bol
22,Nabel::N,navle,bogail
23,Busen::N,barm,bron
24,Brust::N,bryst,brest
25,Schulter::N,skulder,ysgwydd
26,Arm::N,arm,braich
27,Ellenbogen::N,albue,penelin
28,Hand::N,hånd,llaw
29,Handfläche::N,håndflade,palf
30,Finger::N,finger,bys
31,Fingernagel::N,fingernegl,ewin
32,Nagel[Anatomie]::N,negl,ewin
33,Zeh::N,tå,bys troed
34,Fuß::N,fod,troed
35,Ferse::N,hæl,sawdl
36,Knie::N,knæ,glin
37,Oberschenkel::N,lår,clun
38,Bein::N,ben,coes
39,Körper::N,krop,corff
40,Körper::N,legeme,corff
41,Haut::N,hud,croen
42,Blut::N,blod,gwaed
43,Ader::N,åre,gwythïen
44,Sehne::N,sene,gewyn
45,Knochen::N,ben,asgwrn
46,Gehirn::N,hjerne,ymennydd
47,Herz::N,hjerte,calon
48,Magen::N,mave,cylla
49,Magen::N,mave,stumog
50,Leber::N,lever,iau
51,Atem::N,ånde,anadl
52,Hunger::N,sult,newyn
53,Träne::N,tåre,deigryn
54,Geschmack::N,smag,cyflas
55,Geruch::N,lugt,aroglau
56,Schlaf::N,søvn,cwsg
57,Traum::N,drøm,breuddwyd
58,Himmel::N,himmel,awyr
59,Sonne::N,sol,haul
60,Mond::N,måne,lleuad
61,Stern::N,stjerne,seren
62,Luft::N,luft,awyr
63,Wind::N,vind,gwynt
64,Welle::N,bølge,ton
65,Wasser::N,vand,dŵr
66,Stein::N,sten,carreg
67,Boden::N,jord,llawr
68,Erde::N,jord,pridd
69,Staub::N,støv,llwch
70,Rauch::N,røg,mwg
71,Funke::N,gnist,gwreichioni
72,Feuer::N,ild,tân
73,Licht::N,lys,golau
74,Schatten::N,skygge,cysgod
75,Wetter::N,vejr,tywydd
76,Nebel::N,tåge,niwl
77,Wolke::N,sky,cwmwl
78,Regen::N,regn,glaw
79,Schnee::N,sne,ôd
80,Schnee::N,sne,eira
81,Eis::N,is,iâ
82,Frost::N,frost,rhew
83,Kälte::N,kulde,oerni
84,Kälte::N,kulde,annwyd
85,Hitze::N,hede,gwres
86,Raureif::N,rimfrost,barrug
87,Regenbogen::N,regnbue,enfys
88,Donner::N,torden,tyrfau
89,Strömung::N,strømning,cerrynt
90,Tropfen::N,dråbe,dafn
91,Tropfen::N,dråbe,diferyn
92,Schaum::N,skum,ewyn
93,Schmutz::N,snavs,baw
94,Schmutz::N,snavs,budreddi
95,See::N,sø,llyn
96,Sumpf::N,sump,cors
97,Moor::N,mose,rhos
98,Wiese::N,eng,dôl
99,Wald::N,skov,coedwig
100,Hügel::N,høj,bryn
101,Hügel::N,bakke,bryn
102,Anhöhe::N,høj,bryn
103,Anhöhe::N,bakke,bryn
104,Berg::N,bjerg,mynydd
105,Gipfel::N,top,copa
106,Höhle::N,hule,ogof
107,Abhang::N,skrænt,llethr
108,Abhang::N,skråning,llethr
109,Quelle::N,kilde,tarddiad
110,Quelle::N,kilde,ffynhonnell
111,Bach::N,bæk,nant
112,Bach::N,bæk,afonig
113,Bach::N,bæk,cornant
114,Fluss::N,flod,afon
115,Ufer::N,bred,glan
116,Küste::N,kyst,traeth
117,Küste::N,kyst,arfordir
118,Festland::N,fastland,tir
119,Meer::N,hav,môr
120,Bucht::N,bugt,bae
121,Insel::N,ø,ynys
122,Blume::N,blomst,blodyn
123,Gras::N,græs,glaswellt
124,Wurzel::N,rod,gwreiddyn
125,Baum::N,træ,coeden
126,Stamm::N,stamme,colfen
127,Stamm::N,stamme,boncyff
128,Rinde::N,bark,rhisgl
129,Ast::N,gren,cangen
130,Zweig::N,kvist,cainc
131,Zweig::N,kvist,cangen
132,Blatt::N,blad,deilen
133,Birke::N,birk,bedwen
134,Kiefer[Baum]::N,fyrretræ,pinwydden
135,Weide[Baum]::N,piletræ,helygen
136,Tanne::N,gran,ffynidwydden
137,Horn::N,horn,corn
138,Feder::N,fjer,plufyn
139,Fell::N,skind,ffwr
140,Flügel::N,vinge,adain
141,Klaue::N,klov,crafanc
142,Kralle::N,klo,ewin
143,Schwanz::N,hale,cwt
144,Schwanz::N,hale,cynffon
145,Ei::N,æg,wy
146,Nest::N,rede,nyth
147,Bau::N,bo,ffau
148,Tier::N,dyr,anifail
149,Herde::N,flok,praidd
150,Herde::N,flok,diadell
151,Kuh::N,ko,buwch
152,Bulle::N,tyr,tarw
153,Pferd::N,hest,ceffyl
154,Schaf::N,får,dafad
155,Schwein::N,gris,mochyn
156,Hund::N,hund,ci
157,Katze::N,kat,cath
158,Bär::N,bjørn,arth
159,Eichhörnchen::N,egern,gwiwer
160,Elch::N,elg,elc
161,Fuchs::N,ræv,cadno
162,Hase::N,hare,ysgyfarnog
163,Maus::N,mus,llygoden
164,Wolf::N,ulv,blaidd
165,Vogel::N,fugl,aderyn
166,Schwarm::N,sværm,haid
167,Huhn::N,høne,cyw
168,Hahn::N,hane,ceiliog
169,Gans::N,gås,gŵydd
170,Adler::N,ørn,eryr
171,Ente::N,and,hwyad
172,Eule::N,ugle,tylluan
173,Kranich::N,trane,garan
174,Kranich::N,trane,crychydd
175,Krähe::N,krage,brân
176,Kuckuck::N,gøg,cog
177,Kuckuck::N,gøg,cwcw
178,Schwan::N,svane,alarch
179,Fisch::N,fisk,pysgod
180,Barsch::N,aborre,draenog
181,Hecht::N,gedde,penhwyad
182,Schlange[Tier]::N,slange,neidr
183,Wurm::N,orm,abwydyn
184,Wurm::N,orm,pryf genwair
185,Spinne::N,edderkop,cor
186,Spinne::N,edderkop,pryf copyn
187,Ameise::N,myre,morgrugyn
188,Laus::N,lus,lleuen
189,Mücke::N,myg,gwybedyn
190,Fliege::N,flue,cleren
191,Schmetterling::N,sommerfugl,glöyn byw
192,Schmetterling::N,sommerfugl,iâr fach yr haf
193,Beere::N,bær,aeronen
194,Apfel::N,æble,afal
195,Pilz::N,svamp,madarch
196,Zwiebel::N,løg,nionyn
197,Zwiebel::N,løg,winwnsyn
198,Saat::N,sæd,had
199,Korn::N,korn,grawn
200,Heu::N,hø,gwair
201,Schale::N,skræl,croen
202,Schale::N,skræl,plisgyn
203,Grube::N,grav,pwll
204,Grube::N,grav,pydew
205,Falle::N,fælde,magl
206,Schlinge::N,snare,cwlwm rhedeg
207,Spur::N,spor,ôl
208,Asche::N,aske,lludw
209,Dreck::N,snavs,baw
210,Dreck::N,snavs,budreddi
211,Eisen::N,jern,haearn
212,Gold::N,guld,aur
213,Silber::N,sølv,arian
214,Kohle::N,kul,glo
215,Glas::N,glas,gwydr
216,Lehm::N,ler,clai
217,Sand::N,sand,tywod
218,Mensch::N,mennesge,dyn
219,Mann::N,mand,dyn
220,Frau::N,kvinde,merch
221,Frau::N,kvinde,gwraig
222,Kind::N,barn,plentyn
223,Junge::N,dreng,hogyn
224,Junge::N,dreng,bachgen
225,Mädchen::N,pige,merch
226,Mädchen::N,pige,geneth
227,Familie::N,familie,teulu
228,Familie::N,familie,tylwyth
229,Großvater::N,bedstefar,taid
230,Großvater::N,bedstefar,tad-cu
231,Großmutter::N,bedstemor,nain
232,Großmutter::N,bedstemor,mam-gu
233,Eltern::N,forældre,rhieni
234,Vater::N,far,tad
235,Mutter::N,mor,mam
236,Sohn::N,søn,mab
237,Tochter::N,datter,merch
238,Bruder::N,bror,brawd
239,Schwester::N,søster,chwaer
240,Onkel::N,onkel,ewythr
241,Tante::N,tante,modryb
242,Ehemann::N,ægtemand,gŵr
243,Ehefrau::N,hustru,gwraig
244,Freude::N,glæde,gorfoledd
245,Gelächter::N,latter,chwerthin
246,Glück::N,lykke,hapusrwydd
247,Kummer::N,sorg,galar
248,Wunsch::N,ønske,dymuniad
249,Lust::N,lyst,chwant
250,Geist::N,ånd,ysbryd
251,Gedanke::N,tanke,meddwl
252,Gedächtnis::N,hukommelse,cof
253,Verstand::N,forstand,meddwl
254,Sinn::N,mening,ystyr
255,Sinn::N,betydning,ystyr
256,Grund::N,grund,achos
257,Grund::N,grund,rheswm
258,Wahrheit::N,sandhed,gwir
259,Wahrheit::N,sandhed,gwirionedd
260,Gespräch::N,samtale,sgwrs
261,Märchen::N,eventyr,chwedl werin
262,Erzählung::N,fortælling,stori
263,Nachricht::N,efterretning,neges
264,Neuigkeit::N,nyhed,newydd
265,Name::N,navn,enw
266,Rätsel::N,gåde,pos
267,Rede::N,tale,araith
268,Sprache::N,sprog,iaith
269,Stimme::N,stemme,llais
270,Wort::N,ord,gair
271,Zeichen::N,tegn,arwydd
272,Ruf::N,råb,galwad
273,Lärm::N,larm,trwst
274,Laut::N,lyd,sain
275,Ton::N,tone,tôn
276,Lied::N,sang,cân
277,Ruhe::N,ro,tawelwch
278,Ruhe::N,hvile,tawelwch
279,Leute::N,folk,pobl
280,Leute::N,mennesker,pobl
281,Volk::N,folk,pobl
282,Arbeit::N,arbejde,gwaith
283,Gast::N,gæst,gwestai
284,Geschenk::N,gave,rhodd
285,Geschenk::N,gave,anrheg
286,Spiel::N,leg,chwarae
287,Gesellschaft::N,selskab,cwmni
288,Hilfe::N,hjælp,cymorth
289,Freund::N,ven,cyfaill
290,Kamerad::N,kammerat,cydymaith
291,Angelegenheit::N,sag,pwnc
292,Angelegenheit::N,anliggende,pwnc
293,Anzahl::N,antal,cyfrif
294,Art::N,art,bath
295,Stück::N,stykke,darn
296,Teil::N,del,rhan
297,Hälfte::N,halvdel,hanner
298,Kreis::N,cirkel,cylch
299,Kreuz::N,kors,croes
300,Kreuz::N,kryds,croes
301,Linie::N,linie,llinell
302,Strich::N,streg,strôc
303,Strich::N,streg,trawiad
304,Abstand::N,afstand,bwlch
305,Abstand::N,afstand,pellter
306,Entfernung::N,afstand,pellter
307,Gegend::N,egn,cylch
308,Platz::N,plads,lle
309,Ort::N,sted,lle
310,Seite::N,side,ochr
311,Mitte::N,midte,canol
312,Gegenstand::N,genstand,eitem
313,Sache::N,sag,peth
314,Rand::N,rand,cwr
315,Rand::N,rand,ymyl
316,Kante::N,kant,min
317,Kante::N,kant,ymyl
318,Ecke::N,hjørne,cornel
319,Spitze::N,spids,blaen
320,Ende::N,ende,pen
321,Loch::N,hul,twll
322,Winkel::N,vinkel,congl
323,Muster::N,mønster,patrwm
324,Größe::N,størrelse,maint
325,Größe::N,størrelse,maintioli
326,Länge::N,længde,hyd
327,Höhe::N,højde,uchder
328,Gewicht::N,vægt,pwysau
329,Menge::N,mængde,swm
330,Menge::N,mængde,maint
331,Haufen::N,bunke,pentwr
332,Reihe::N,række,rhes
333,Boot::N,båd,cwch
334,Ruder::N,åre,rhwyf
335,Schlitten::N,kælk,sled
336,Schlitten::N,kælk,car llusg
337,Schlitten::N,slæde,sled
338,Schlitten::N,slæde,car llusg
339,Ski::N,ski,sgi
340,Lagerfeuer::N,lejrbål,coelcerth
341,Last::N,last,llwyth
342,Last::N,byrde,llwyth
343,Gang::N,gang,tro
344,Schritt::N,skridt,cam
345,Norden::N,nord,gogledd
346,Süden::N,syd,de
347,Westen::N,vest,gorllewin
348,Osten::N,øst,dwyrain
349,Holz::N,træ,pren
350,Brett::N,bræt,bwrdd
351,Brett::N,bræt,astell
352,Platte::N,plade,llech
353,Stütze::N,støtte,ateg
354,Stütze::N,støtte,cynhalydd
355,Stange::N,stang,polyn
356,Stock::N,stok,ffon
357,Stock::N,stok,brigyn
358,Stab::N,stav,ffon
359,Rohr::N,rør,pibell
360,Haus::N,hus,tŷ
361,Heim::N,hjem,cartref
362,Ofen::N,ovn,stof
363,Fußboden::N,gulv,llawr
364,Tisch::N,bord,bwrdd
365,Stuhl::N,stol,cadair
366,Wiege::N,vugge,crud
367,Bett::N,seng,gwely
368,Regal::N,reol,silff
369,Kiste::N,kasse,bocs
370,Kiste::N,kasse,blwch
371,Fenster::N,vindue,ffenestr
372,Tür::N,dør,drws
373,Tor::N,port,porth
374,Zaun::N,stakit,ffens
375,Dach::N,tag,to
376,Leiter::N,stige,ysgol
377,Besen::N,kost,ysgub
378,Spaten::N,spade,rhaw
379,Schaufel::N,skovl,rhaw
380,Gabel::N,gaffel,fforc
381,Löffel::N,ske,llwy
382,Messer::N,kniv,cyllell
383,Nagel::N,søm,hoel
384,Netz::N,net,gwe
385,Netz::N,net,rhwyd
386,Haken::N,krog,bach
387,Griff::N,tag,carn
388,Griff::N,håndtag,carn
389,Schloss::N,lås,clo
390,Bild::N,billede,llun
391,Bild::N,billede,pictiwr
392,Figur::N,figur,ffigur
393,Puppe::N,dukke,dol
394,Beutel::N,pose,cwd
395,Bündel::N,bylt,bwndel
396,Bündel::N,bylt,coflaid
397,Bündel::N,bundt,bwndel
398,Bündel::N,bundt,coflaid
399,Tasche::N,taske,cod
400,Eimer::N,spand,bwced
401,Eimer::N,spand,cunnog
402,Deckel::N,låg,caead
403,Geschirr::N,husgeråd,llestri
404,Sack::N,sæk,sach
405,Tasse::N,kop,cwpan
406,Topf::N,gryde,pot
407,Topf::N,gryde,crochan
408,Kessel::N,kedel,tegell
409,Essen::N,måltid,pryd o fwyd
410,Nahrung::N,mad,bwyd
411,Nahrung::N,næring,bwyd
412,Speise::N,ret,saig
413,Fleisch::N,kød,cig
414,Getreide::N,korn,ŷd
415,Getreide::N,korn,llafur
416,Brei::N,grød,uwd
417,Brot::N,brød,bara
418,Scheibe::N,skive,tafell
419,Fett::N,fedt,saim
420,Fett::N,fedt,braster
421,Butter::N,smør,ymenyn
422,Öl::N,olie,olew
423,Salz::N,salt,halen
424,Suppe::N,suppe,cawl
425,Honig::N,honning,mêl
426,Milch::N,mælk,llaeth
427,Milch::N,mælk,llefrith
428,Tee::N,te,te
429,Leder::N,skind,lledr
430,Wolle::N,uld,gwlân
431,Stoff::N,stof,lliain
432,Stoff::N,stof,brethyn
433,Nadel::N,nål,nodwydd
434,Faden::N,tråd,edau
435,Faden::N,tråd,edefyn
436,Knopf::N,knap,botwm
437,Knoten::N,knude,cwlwm
438,Farbe::N,farve,paent
439,Kleidung::N,påklædning,dillad
440,Kleidung::N,påklædning,gwisgoedd
441,Hemd::N,skjorte,crys
442,Kragen::N,krave,coler
443,Ärmel::N,ærme,llawes
444,Hose::N,bukser,trowsus
445,Gürtel::N,bælte,gwregys
446,Mütze::N,hue,cap
447,Schuh::N,sko,esgid
448,Stiefel::N,støvle,botasen
449,Ring::N,ring,modrwy
450,Band::N,bånd,rhuban
451,Kamm::N,kam,crib
452,Spiegel::N,spejl,drych
453,Riemen::N,rem,strap
454,Schnur::N,snor,llinyn
455,Leine::N,snor,tennyn
456,Decke::N,tæppe,blanced
457,Decke::N,tæppe,gwrthban
458,Kissen::N,pude,clustog
459,Kissen::N,pude,gobennydd
460,Tuch::N,sjaltørklæde,sgarff
461,Handtuch::N,håndklæde,tywel
462,Handtuch::N,håndklæde,lliain sychu
463,Kraft::N,kraft,grym
464,Stärke::N,styrke,nerth
465,Stärke::N,styrke,cryfder
466,Gesundheit::N,sundhed,iechyd
