,Concept_ID,be,sah
0,Auge::N,вока,харах
1,Ohr::N,вуха,кулгаах
2,Nase::N,нос,мурун
3,Mund::N,рот,айах
4,Zahn::N,зуб,тиис
5,Zunge::N,язык,тыл
6,Lippe::N,губа,уос
7,Wange::N,шчака,иэдэс
8,Gesicht::N,твар,сирэй
9,Stirn::N,лоб,сүүс
10,Haar::N,волас,баттах
11,Haar::N,валасы,баттах
12,Schnurrbart::N,вус,уос бытыга
13,Schnurrbart::N,вусы,уос бытыга
14,Bart::N,барада,сэҥийэ бытыга
15,Kinn::N,падбародак,сэҥийэ
16,Kiefer[Anatomie]::N,сківіца,сыҥаах
17,Kehle::N,горла,тамах
18,Kehle::N,горла,күөмэй
19,Hals::N,шыя,моой
20,Genick::N,патыліца,кэтэх
21,Kopf::N,галава,бас
22,Rücken::N,спіна,көҕүс
23,Bauch::N,жывот,ис
24,Nabel::N,пупок,киин
25,Busen::N,грудзі,эмиий
26,Brust::N,грудзі,түөс
27,Schulter::N,плячо,сарын
28,Arm::N,рука,илии
29,Ellenbogen::N,локаць,тоҕонох
30,Hand::N,кісць,илии
31,Handfläche::N,далонь,ытыс
32,Finger::N,палец,тарбах
33,Fingernagel::N,ногаць,тыҥырах
34,Nagel[Anatomie]::N,ногаць,тыҥырах
35,Zeh::N,палец,тарбах
36,Fuß::N,нага,уллуҥах
37,Ferse::N,пята,тилэх
38,Ferse::N,пятка,тилэх
39,Knie::N,калена,тобук
40,Knie::N,калена,дьилбэк
41,Oberschenkel::N,бядро,уллук
42,Oberschenkel::N,бядро,өттүк
43,Oberschenkel::N,сцягно,уллук
44,Oberschenkel::N,сцягно,өттүк
45,Bein::N,нага,атах
46,Körper::N,цела,бэйэ
47,Haut::N,скура,тирии
48,Blut::N,кроў,хаан
49,Ader::N,вена,вена
50,Ader::N,вена,күөх_тымыр
51,Ader::N,сасуд,вена
52,Ader::N,сасуд,күөх_тымыр
53,Sehne::N,жыла,иҥиир
54,Sehne::N,цеціва,иҥиир
