,Concept_ID,kn,ka
0,Auge::N,ಕಣ್ಣು,თვალი
1,Ohr::N,ಕಿವಿ,ყური
2,Nase::N,ಮೂಗು,ცხვირი
3,Mund::N,ಬಾಯಿ,პირი
4,Zahn::N,ಹಲ್ಲು,კბილი
5,Zunge::N,ನಾಲಿಗೆ,ენა
6,Lippe::N,ತುಟಿ,ბაგე
7,Wange::N,ಗಲ್ಲ,ლოყა
8,Gesicht::N,ಮುಖ,სახე
9,Stirn::N,ಹಣೆ,შუბლი
10,Haar::N,ಕೂದಲು,თმა
11,Schnurrbart::N,ಮೀಸೆ,ულვაში
12,Bart::N,ಗಡ್ಡ,წვერი
13,Kinn::N,ಗದ್ದ,ნიკაპი
14,Kiefer[Anatomie]::N,ದವಡೆ,ყბა
15,Kehle::N,ಗಂಟಲು,ყელი
16,Hals::N,ಕೊರಳು,ყელი
17,Hals::N,ಕೊರಳು,კისერი
18,Genick::N,ಹಿಂಗತ್ತು,კეფა
19,Kopf::N,ತಲೆ,თავი
20,Rücken::N,ಬೆನ್ನು,ზურგი
21,Bauch::N,ಹೊಟ್ಟೆ,მუცელი
22,Nabel::N,ಹೊಕ್ಕುಳು,ჭიპი
23,Busen::N,ಸ್ತನ,ძუძუ
24,Brust::N,ಎದೆ,მკერდი
25,Schulter::N,ಭುಜ,მხარი
26,Schulter::N,ಭುಜ,მკლავი
27,Arm::N,ತೋಳು,ხელი
28,Ellenbogen::N,ಮೊಣಕೈ,იდაყვი
29,Hand::N,ಕೈ,ხელი
30,Handfläche::N,ಅಂಗೈ,ნები
31,Handfläche::N,ಅಂಗೈ,ხელისგული
32,Finger::N,ಕೈಬೆರಳು,თითი
33,Fingernagel::N,ಉಗುರು,ფრჩხილი
34,Nagel[Anatomie]::N,ಉಗುರು,ფრჩხილი
35,Zeh::N,ಕಾಲ್ಬೆರಳು,ფეხის თითი
36,Fuß::N,ಪಾದ,ტერფი
37,Fuß::N,ಪಾದ,ფეხისგული
38,Ferse::N,ಹಿಮ್ಮಡಿ,ქუსლი
39,Knie::N,ಮಂಡಿ,მუხლი
40,Oberschenkel::N,ತೊಡೆ,ბარძაყი
41,Bein::N,ಕಾಲು,ფეხი
42,Körper::N,ದೇಹ,ტანი
43,Körper::N,ದೇಹ,სხეული
44,Haut::N,ಚರ್ಮ,კანი
45,Blut::N,ರಕ್ತ,სისხლი
46,Ader::N,ನರ,ძარღვი
47,Sehne::N,ನರ,მყესი
48,Knochen::N,ಮೂಳೆ,ძვალი
49,Gehirn::N,ಮಿದುಳು,ტვინი
50,Herz::N,ಹೃದಯ,გული
51,Magen::N,ಉದರ,კუჭი
52,Leber::N,ಯಕೃತ್ತು,ღვიძლი
53,Atem::N,ಉಸಿರು,სუნთქვა
54,Hunger::N,ಹಸಿವು,შიმშილი
55,Träne::N,ಕಣ್ಣೀರು,ცრემლი
56,Geschmack::N,ರುಚಿ,გემო
57,Geruch::N,ವಾಸನೆ,სუნი
58,Schlaf::N,ನಿದ್ರೆ,ძილი
59,Traum::N,ಕನಸು,სიზმარი
60,Himmel::N,ಬಾನು,ცა
61,Sonne::N,ಸೂರ್ಯ,მზე
62,Mond::N,ಚಂದ್ರ,მთვარე
63,Stern::N,ಚುಕ್ಕಿ,ვარსკვლავი
64,Luft::N,ವಾಯು,ჰაერი
65,Wind::N,ಗಾಳಿ,ქარი
66,Welle::N,ಅಲೆ,ტალღა
67,Wasser::N,ನೀರು,წყალი
68,Stein::N,ಕಲ್ಲು,ქვა
69,Boden::N,ನೆಲ,მიწა
70,Erde::N,ಭೂಮಿ,ნიადაგი
71,Staub::N,ದೂಳು,მტვერი
72,Rauch::N,ಹೊಗೆ,ბოლი
73,Rauch::N,ಹೊಗೆ,კვამლი
74,Funke::N,ಕಿಡಿ,ნაკვესი
75,Feuer::N,ಬೆಂಕಿ,ცეცხლი
76,Licht::N,ಬೆಳಕು,შუქი
77,Licht::N,ಬೆಳಕು,სინათლე
78,Schatten::N,ನೆರಳು,ლანდი
79,Schatten::N,ನೆರಳು,ჩრდილი
80,Wetter::N,ಹವ,ამინდი
81,Nebel::N,ಮಂಜು,ნისლი
82,Wolke::N,ಮೋಡ,ღრუბელი
83,Regen::N,ಮಳೆ,წვიმა
84,Schnee::N,ಹಿಮ,თოვლი
85,Eis::N,ಮಂಜುಗಡ್ಡೆ,თოში
86,Eis::N,ಮಂಜುಗಡ್ಡೆ,ყინული
87,Frost::N,ಮಂಜು,ყინვა
88,Kälte::N,ಹಿಮ,სიცივე
89,Hitze::N,ಉಷ್ಣ,სიცხე
90,Raureif::N,ಇಬ್ಬನಿ,ჭირხლი
91,Raureif::N,ಇಬ್ಬನಿ,თრთვილი
92,Regenbogen::N,ಇಂದ್ರಚಾಪ,ცისარტყელა
93,Donner::N,ಗುಡುಗು,ქუხილი
94,Strömung::N,ಪ್ರವಾಹ,დინება
95,Tropfen::N,ತೊಟ್ಟು,წვეთი
96,Schaum::N,ನೊರೆ,ქაფი
97,Schaum::N,ನೊರೆ,დორბლი
98,Schmutz::N,ಕಸ,ჭუჭყი
99,Schmutz::N,ಕಸ,ტალახი
100,See::N,ಸರೋವರ,ტბა
101,Sumpf::N,ಜೌಗುಸ್ಥಳ,ჭაობი
102,Moor::N,ಬಂಜರು ಭೂಮಿ,ტორფნარი
103,Wiese::N,ಹುಲ್ಲುಗಾವಲು,ველი
104,Wiese::N,ಹುಲ್ಲುಗಾವಲು,მდელო
105,Wald::N,ಕಾಡು,ტყე
106,Hügel::N,ಗುಡ್ಡೆ,ბორცვი
107,Anhöhe::N,ದಿಬ್ಬ,მაღლობი
108,Berg::N,ಮಲೆ,მთა
109,Berg::N,ಪರ್ವತ,მთა
110,Gipfel::N,ಶೃಂಗ,მწვერვალი
111,Höhle::N,ಗುಹೆ,მღვიმე
112,Höhle::N,ಗುಹೆ,გამოქვებული
113,Abhang::N,ಇಳಿಜಾರು,ფერდობი
114,Quelle::N,ಮೂಲ,წყარო
115,Quelle::N,ಮೂಲ,სათავე
116,Bach::N,ತೊರೆ,რუ
117,Bach::N,ತೊರೆ,ნაკადული
118,Fluss::N,ನದಿ,მდინარე
119,Ufer::N,ತೀರ,კიდე
120,Ufer::N,ತೀರ,ნაპირი
121,Küste::N,ದಂಡೆ,ნაპირი
122,Festland::N,ಭೂಮಿ,ხმელეთი
123,Meer::N,ಕಡಲು,ზღვა
