,Concept_ID,ba,ku
0,Auge::N,күҙ,çav
1,Ohr::N,ҡолаҡ,guh
2,Nase::N,танау,bêvil
3,Mund::N,ауыҙ,dev
4,Zahn::N,теш,didan
5,Zunge::N,тел,ziman
6,Lippe::N,ирен,lêv
7,Wange::N,яцаҡтар,dêm
8,Wange::N,яцаҡтар,hinarik
9,Gesicht::N,бит,rû
10,Stirn::N,маңлай,enî
11,Haar::N,сәс,por
12,Schnurrbart::N,мылтыҡ,simbêl
13,Bart::N,һаҡал,rih
14,Kinn::N,эйэк,zenî
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,arguşk
16,Kehle::N,тамаҡ,qirik
17,Hals::N,муйын,stû
18,Hals::N,муйын,qirik
19,Genick::N,соңҡа,stû
20,Kopf::N,баш,serî
21,Rücken::N,арҡа,pişt
22,Bauch::N,ҡорһаҡ,ûr
23,Bauch::N,ҡорһаҡ,zik
24,Nabel::N,кендек,navik
25,Busen::N,күкрәк,sîng
26,Brust::N,түш,sîng
27,Schulter::N,яурын,mil
28,Arm::N,ҡул,çepil
29,Ellenbogen::N,терһәк,enîşk
30,Hand::N,ҡул,dest
31,Hand::N,ҡул суғы,dest
32,Handfläche::N,ус төбө,kefadest
33,Finger::N,бармаҡ,tilî
34,Fingernagel::N,тырнаҡ,neynuk
35,Nagel[Anatomie]::N,тырнаҡ,bizmar
36,Zeh::N,бармаҡ,tilî linga
37,Fuß::N,табан,ling
38,Ferse::N,үксә,pahnî
39,Knie::N,тубыҡ,kabok
40,Oberschenkel::N,сандыр,rahn
41,Bein::N,аяҡ,çip
42,Körper::N,тән,laş
43,Körper::N,тән,gowde
44,Haut::N,тире,çerm
45,Blut::N,ҡан,xwîn
46,Ader::N,тамыр,reh
47,Sehne::N,һеңер,reh
48,Sehne::N,тарамыш,reh
49,Knochen::N,һойәк,hestî
50,Gehirn::N,мейе,mêjî
51,Herz::N,йорәк,dil
52,Magen::N,ашҡаҙан,navêş
53,Leber::N,бауыр,kezeb
54,Atem::N,һулыш,hilm
55,Hunger::N,аслыҡ,birçîtî
56,Träne::N,күҙ иәше,hêstir
57,Geschmack::N,тәм,tam
58,Geruch::N,еҫ,bêhn
59,Schlaf::N,йоҡлау,xew
60,Traum::N,төш,xewn
61,Himmel::N,күк,ezman
62,Sonne::N,ҡояш,roj
63,Mond::N,ай,heyv
64,Stern::N,йондоҙ,stêrk
65,Luft::N,һауа,ba
66,Wind::N,ел,ba
67,Welle::N,тулҡын,şewl
68,Wasser::N,һыу,av
69,Stein::N,таш,kevir
70,Boden::N,тупраҡ,herd
71,Erde::N,балсҡ,ax
72,Staub::N,туҙан,toz
73,Rauch::N,төтөн,dû
74,Funke::N,осҡон,çirûşk
75,Feuer::N,ут,agir
76,Licht::N,яҡтылыҡ,ronahî
77,Schatten::N,күләгә,sî
78,Wetter::N,һауа торошо,hewa
79,Nebel::N,төман,mij
80,Wolke::N,болот,ewr
81,Regen::N,ямғыр,baran
82,Schnee::N,ҡар,berf
83,Eis::N,боҙ,qeşa
84,Frost::N,һалҡын,xûsik
85,Kälte::N,һыуыҡ,serma
86,Hitze::N,томра,germayî
87,Hitze::N,эҫелек,germayî
88,Raureif::N,ҡырау,şext
89,Regenbogen::N,йәйғор,heftreng
90,Donner::N,күк күкрәү,gire-gir
91,Strömung::N,ағым,şewl
92,Tropfen::N,тамсы,dilop
93,Schaum::N,күбек,kef
94,Schmutz::N,батҡаҡ,gemar
95,See::N,күл,gol
96,Sumpf::N,һаҙлык,hezek
97,Moor::N,һаҙ,mafêl
98,Wiese::N,болон,sûrik
99,Wald::N,урман,çiya
100,Wald::N,урман,daristan
101,Hügel::N,түбә,gir
102,Anhöhe::N,түбә,sere gir
103,Anhöhe::N,ҡалҡыулыҡ,sere gir
104,Berg::N,тау,kaş
105,Gipfel::N,түбә,sere gir
106,Höhle::N,мәмерйә,şikeft
107,Abhang::N,ипкен,kaş
108,Quelle::N,шишмә,kanî
109,Bach::N,шишмә,çem
110,Fluss::N,йылға,çem
111,Fluss::N,йылға,rûbar
112,Ufer::N,яр,kevî
113,Küste::N,яр буйы,berav
114,Festland::N,ҡоро ер,bejahî
115,Meer::N,диңгез,behr
116,Bucht::N,бухта,derav
117,Insel::N,үтрау,girav
118,Blume::N,сәскә,kulînk
119,Gras::N,үлән,giha
120,Wurzel::N,тамыр,reh
121,Baum::N,ағас,dar
122,Stamm::N,олон,bavik
123,Stamm::N,көбәк,bavik
124,Rinde::N,ҡабыҡ,qaqil
125,Ast::N,ботаҡ,gulî
126,Zweig::N,ботаҡ,şax
127,Zweig::N,тармаҡ,şax
128,Blatt::N,япраҡ,pel
129,Birke::N,ҡайын,dara sipî
130,Kiefer[Baum]::N,ҡарғай,dara bî
131,Weide[Baum]::N,тал,dara belalûk
132,Tanne::N,шыршы,merx
133,Horn::N,мөғөҙ,strô
134,Feder::N,ҡауырһын,pîrtîk
135,Fell::N,тире,heyar
136,Flügel::N,ҡанат,per
137,Klaue::N,тырнаҡ,napîk
138,Kralle::N,аяҡ,dinik
139,Kralle::N,аяҡ,dirnax
140,Schwanz::N,ҡойроҡ,dûv
141,Ei::N,йомортҡа,hêk
142,Nest::N,оя,hêlîn
143,Bau::N,оң,avahî
144,Tier::N,жайуан,heywan
145,Tier::N,йыртҡыс,heywan
146,Herde::N,көтөү,hoz
147,Kuh::N,һыйыр,çêlek
148,Bulle::N,үгеҙ,ga
149,Pferd::N,ат,hesp
150,Schaf::N,һарыҡ,mîh
151,Schwein::N,сусҡа,beraz
152,Hund::N,эт,seh
153,Katze::N,бесәй,pişîk
154,Bär::N,айыу,hirç
155,Eichhörnchen::N,тейен,pilûr
156,Elch::N,мышы,pazkovî
157,Fuchs::N,төлкө,rovî
158,Hase::N,ҡуян,kîroşk
159,Maus::N,сысҡан,mişk
160,Wolf::N,бүре,gur
161,Vogel::N,ҡош,çûk
162,Schwarm::N,көтөү,lufik
163,Huhn::N,тауыҡ,mirîşk
164,Hahn::N,әтәс,dîk
165,Gans::N,ҡаҙ,qaz
166,Adler::N,бөркөт,eylo
167,Ente::N,өйрәк,werdek
168,Eule::N,өкө,bûm
169,Eule::N,өкө,kund
170,Eule::N,ябалаҡ,bûm
171,Eule::N,ябалаҡ,kund
172,Kranich::N,торна,quling
173,Krähe::N,ҡарға,qijik
174,Kuckuck::N,кәкүк,pepûk
175,Schwan::N,аҡҡош,qû
176,Fisch::N,балыҡ,masî
177,Barsch::N,алабуға,okûn
178,Hecht::N,суртан,mesîyê lûf
179,Schlange[Tier]::N,йылан,mar
180,Wurm::N,селяүсен,kurm
181,Spinne::N,үрмәксе,pîrê
182,Ameise::N,ҡырмыҫҡа,mîro
183,Ameise::N,ҡырмыҫҡа,gêrîk
184,Laus::N,бет,spi
185,Mücke::N,серәкәй,mêş
186,Fliege::N,себен,mêş
187,Schmetterling::N,күбәләк,perperîk
188,Beere::N,еләк,hirç
189,Apfel::N,алма,sêv
190,Pilz::N,бәшмәк,bîrov
191,Zwiebel::N,һуган,pîvaz
192,Saat::N,орлоҡ,tov
193,Korn::N,иген,dexl
194,Heu::N,бесән,sap
195,Schale::N,ҡабыҡ,qaşik
196,Grube::N,соҡор,çahl
197,Falle::N,тоҙак,dafik
198,Falle::N,ҡапҡан,dafik
199,Schlinge::N,тоҙак,dahf
200,Spur::N,әҫер,rêç
201,Asche::N,көл,xweli
202,Dreck::N,батҡаҡ,gemarî
203,Eisen::N,тимер,hesing
204,Gold::N,алтын,zêr
205,Silber::N,көмөш,zîv
206,Kohle::N,күмер,komir
207,Glas::N,быяла,qedeh
208,Lehm::N,балсыҡ,kelpîç
209,Sand::N,ҡом,qûm
210,Mensch::N,кеше,mirov
211,Mann::N,ир,mêr
212,Frau::N,ҡатын,jin
213,Kind::N,бала,zarok
214,Junge::N,малай,kur
215,Mädchen::N,ҡыҙ,keç
216,Mädchen::N,ҡыҙ,keçik
217,Mädchen::N,ҡыҙыҡай,keç
218,Mädchen::N,ҡыҙыҡай,keçik
219,Familie::N,ғаилә,malbat
220,Großvater::N,олатай,bapîr
221,Großmutter::N,әбәй,pîrik
222,Eltern::N,ата-әсә,bavudê
223,Vater::N,атай,bav
224,Mutter::N,әсә,dê
225,Mutter::N,әсә,dayik
226,Sohn::N,ул,kur
227,Tochter::N,ҡыҙ,keç
228,Bruder::N,агай,bira
229,Schwester::N,алай,xweh
230,Schwester::N,һеңле,xweh
231,Onkel::N,ағай,am
232,Onkel::N,ағай,xal
233,Tante::N,апай,metik
234,Tante::N,апай,xaltîk
235,Ehemann::N,ир,mêr
236,Ehefrau::N,ҡатын,kulfet
237,Freude::N,шатлыҡ,kêfxweşî
238,Freude::N,ҡыуаныс,kêfxweşî
239,Gelächter::N,көлөү,pîrqînî
240,Glück::N,бәхет,bext
241,Kummer::N,ҡайғы,derd
242,Wunsch::N,теләк,daxwaz
243,Wunsch::N,теләк,xwestek
244,Lust::N,әүәҫлек,şewq
245,Geist::N,аң,aqil
246,Geist::N,рух,aqil
247,Gedanke::N,уй,fikir
248,Gedanke::N,фекер,fikir
249,Gedächtnis::N,хәтер,aqil
250,Verstand::N,аҡыл,fêm
251,Sinn::N,мәғәня,aqil
252,Grund::N,сәбәп,asas
253,Wahrheit::N,дөрөҫлөк,rastî
254,Gespräch::N,әңгәмә,guftûgo
255,Märchen::N,әкиәт,çirok
256,Erzählung::N,хикәйә,çirok
257,Erzählung::N,хикәйә,vegotin
258,Nachricht::N,хәбәр,nûçe
259,Neuigkeit::N,яңылыҡ,hewal
260,Name::N,исем,nav
261,Name::N,исем,paşnav
262,Rätsel::N,йомаҡ,tiştonek
263,Rede::N,телмәр,gotar
264,Rede::N,телмәр,axavtin
265,Sprache::N,тел,ziman
266,Sprache::N,телмәр,ziman
267,Stimme::N,тауыш,pejn
268,Wort::N,һүҙ,gotin
269,Zeichen::N,билдә,şanek
270,Ruf::N,саҡырыу,hawar
271,Lärm::N,шаулау,xarbalix
272,Laut::N,тауыш,deng
273,Laut::N,тауыш,hês
274,Ton::N,яңғырау,awaz
275,Lied::N,йыр,sitran
276,Ruhe::N,ял,rihetî
277,Ruhe::N,тыныслыҡ,rihetî
278,Leute::N,кешеләр,xelk
279,Volk::N,халҡ,xelk
280,Arbeit::N,эш,xebat
281,Gast::N,ҡунаҡ,mêvan
282,Geschenk::N,бүләк,diyarî
283,Spiel::N,уйын,lîstik
284,Gesellschaft::N,йәмғиәт,komal
285,Hilfe::N,ярҙам,alîkarî
286,Freund::N,дуҫ,heval
287,Kamerad::N,иптәш,heval
288,Angelegenheit::N,әш,pirsgirêk
289,Anzahl::N,һан,çend
290,Art::N,төр,çeh
291,Stück::N,киҫәк,lib
292,Stück::N,киҫәк,parçe
293,Teil::N,өлөш,parçe
294,Hälfte::N,ярты,nîvî
295,Kreis::N,түңәрәк,çemil
