,Concept_ID,de,ro
0,Auge::N,Auge,ochi
1,Ohr::N,Ohr,ureche
2,Nase::N,Nase,nas
3,Mund::N,Mund,gură
4,Zahn::N,Zahn,dinte
5,Zunge::N,Zunge,limbă
6,Lippe::N,Lippe,buză
7,Wange::N,Wange,bucă
8,Wange::N,Wange,obraz
9,Gesicht::N,Gesicht,față
10,Gesicht::N,Gesicht,figură
11,Stirn::N,Stirn,frunte
12,Haar::N,Haar,păr
13,Schnurrbart::N,Schnurrbart,mustață
14,Bart::N,Bart,barbă
15,Kinn::N,Kinn,bărbie
16,Kiefer[Anatomie]::N,Kiefer,falcă
17,Kehle::N,Kehle,beregată
18,Hals::N,Hals,gât
19,Genick::N,Genick,ceafă
20,Kopf::N,Kopf,cap
21,Rücken::N,Rücken,dos
22,Rücken::N,Rücken,spate
23,Rücken::N,Rücken,spinare
24,Bauch::N,Bauch,burtă
25,Bauch::N,Bauch,pântece
26,Nabel::N,Nabel,buric
27,Busen::N,Busen,sân
28,Brust::N,Brust,piept
29,Schulter::N,Schulter,umăr
30,Schulter::N,Schulter,spate
31,Arm::N,Arm,braț
32,Ellenbogen::N,Ellenbogen,cot
33,Hand::N,Hand,mână
34,Handfläche::N,Handfläche,palmă
35,Finger::N,Finger,deget
36,Fingernagel::N,Fingernagel,unghie
37,Nagel[Anatomie]::N,Nagel,unghie
38,Zeh::N,Zeh,deget de la picior
39,Fuß::N,Fuß,picior
40,Ferse::N,Ferse,călcâi
41,Knie::N,Knie,genunchi
42,Oberschenkel::N,Oberschenkel,coapsă
43,Bein::N,Bein,picior
44,Körper::N,Körper,corp
45,Haut::N,Haut,piele
46,Blut::N,Blut,sânge
47,Ader::N,Ader,vână
48,Ader::N,Ader,arteră
49,Sehne::N,Sehne,tendon
50,Knochen::N,Knochen,os
51,Gehirn::N,Gehirn,creier
52,Herz::N,Herz,inimă
53,Magen::N,Magen,stomac
54,Leber::N,Leber,ficat
55,Atem::N,Atem,răsuflare
56,Atem::N,Atem,respirație
57,Hunger::N,Hunger,foame
58,Träne::N,Träne,lacrimă
59,Geschmack::N,Geschmack,gust
60,Geruch::N,Geruch,miros
61,Schlaf::N,Schlaf,somn
62,Traum::N,Traum,vis
63,Himmel::N,Himmel,cer
64,Sonne::N,Sonne,soare
65,Mond::N,Mond,lună
66,Stern::N,Stern,stea
67,Luft::N,Luft,aer
68,Wind::N,Wind,vânt
69,Welle::N,Welle,val
70,Welle::N,Welle,undă
71,Wasser::N,Wasser,apă
72,Stein::N,Stein,piatră
73,Boden::N,Boden,sol
