,Concept_ID,mrj,fa
0,Auge::N,сӹнзӓ,چشم
1,Ohr::N,пӹлӹш,گوش
2,Nase::N,нер,بینی
3,Mund::N,ышма,دهان
4,Zahn::N,пӱ,دندان
5,Zunge::N,йӹлмӹ,زبان
6,Lippe::N,тӹрвӹ,لب
7,Wange::N,шӹргӹ,لپ
8,Gesicht::N,лицӓ,رو
9,Gesicht::N,лицӓ,چهره
10,Stirn::N,лепкӓ,پیشانی
11,Haar::N,ӱп,مو
12,Schnurrbart::N,öрш,سبیل
13,Bart::N,пандаш,ریش
14,Kinn::N,онгылаш,چانه
15,Kiefer[Anatomie]::N,пӱ арата,فک
16,Kiefer[Anatomie]::N,пӱ арата,آرواره
17,Kehle::N,логер,حلق
18,Hals::N,шӱ,گردن
19,Genick::N,ланга,پشت گردن
20,Kopf::N,вуй,سر
21,Kopf::N,вуй,کله
22,Rücken::N,туп,پشت
23,Bauch::N,мӹшкӹр,شکم
24,Nabel::N,кӹлӹмдӹ,ناف
25,Busen::N,цӹзӹ,پستان
26,Brust::N,мел,سینه
27,Schulter::N,ӹнгӹжӓ,دوش
28,Schulter::N,ӹнгӹжӓ,شانه
29,Arm::N,кид,بازو
30,Ellenbogen::N,кӹнервуй,آرنج
31,Hand::N,лапа,دست
32,Handfläche::N,кид лапа,کف دست
33,Finger::N,парня,انگشت
34,Fingernagel::N,кӹч,ناخن دست
35,Nagel[Anatomie]::N,кӹч,ناخن
36,Zeh::N,парня,انگشت پا
37,Fuß::N,ял лапа,پا
38,Ferse::N,ялгавал,پاشنه
39,Ferse::N,ял кавал,پاشنه
40,Knie::N,пылвуй,زانو
41,Oberschenkel::N,ӓрдӹ,ران
42,Bein::N,ял,پا
43,Bein::N,ял,لنگ
44,Körper::N,монгыр,تن
45,Körper::N,монгыр,بدن
46,Haut::N,кавашты,پوست
47,Blut::N,вӹр,خون
48,Ader::N,вӹршӓр,رگ
49,Sehne::N,кукшышӱн,زردپی
50,Knochen::N,лу,استخوان
51,Gehirn::N,вим,مخ
52,Gehirn::N,вим,مغز
53,Herz::N,шӱм,دل
54,Herz::N,шӱм,قلب
55,Magen::N,шӱм,معده
56,Leber::N,мокш,کبد
57,Atem::N,шӱлӹш,نفس
58,Hunger::N,шужымаш,گرسنگی
59,Träne::N,сӹнзӓвӹд,اشک
60,Geschmack::N,тот,مزه
61,Geruch::N,пыш,بو
62,Schlaf::N,ом,خواب
63,Traum::N,ом,رؤیا
64,Himmel::N,пӹлгом,فلک
65,Himmel::N,пӹлгом,آسمان
66,Sonne::N,кечӹ,آفتاب
67,Sonne::N,кечӹ,خورشید
68,Mond::N,тӹлзӹ,ماه
69,Stern::N,шӹдӹр,ستاره
70,Luft::N,юж,هوا
71,Luft::N,воздух,هوا
72,Wind::N,мардеж,باد
73,Welle::N,ко,موج
74,Welle::N,коэ,موج
75,Wasser::N,вӹд,آب
76,Stein::N,кӱ,سنگ
77,Boden::N,рок,زمین
78,Erde::N,свет,خاک
79,Erde::N,свет,زمین
80,Staub::N,пырак,گرد
81,Staub::N,пырак,غبار
82,Rauch::N,шӹкш,دود
83,Funke::N,ип,جرقه
84,Funke::N,тылип,جرقه
85,Feuer::N,тыл,آتش
86,Licht::N,соты,نور
87,Licht::N,соты,روشنی
88,Licht::N,валгыды,نور
89,Licht::N,валгыды,روشنی
90,Schatten::N,ӹмӹл,سایه
91,Wetter::N,игечӹ,هوا
92,Nebel::N,тӹтӹрӓ,مه
93,Wolke::N,пӹл,ابر
94,Regen::N,юр,باران
95,Schnee::N,лым,برف
96,Eis::N,и,یخ
97,Frost::N,ӱштӹ,یخبندان
98,Kälte::N,ӱштӹ,سرما
99,Hitze::N,шокшы,گرما
100,Hitze::N,шокшы,حرارت
101,Raureif::N,пöрш,برف ریزه
102,Regenbogen::N,шанавӹл,رنگین‌کمان
103,Donner::N,хӹдӹртӹш,رعد
104,Strömung::N,йогы,جریان
105,Tropfen::N,капльы,قطره
106,Tropfen::N,капльык,قطره
107,Schaum::N,шонг,کف
108,Schmutz::N,лявӹрӓ,گل
109,Schmutz::N,лявӹрӓ,کثافت
110,See::N,йӓр,دریاچه
111,Sumpf::N,лӱкӹ,مرداب
112,Sumpf::N,лӱкӹ,باتلاق
113,Moor::N,куп,باتلاق
114,Wiese::N,алык,چمن
115,Wald::N,шӹргӹ,جنگل
116,Hügel::N,пӱгӹрикӓ,تل
117,Hügel::N,пӱгӹрикӓ,تپه
118,Anhöhe::N,кӱкшикӓ,بلندی
119,Berg::N,кырык,کوه
120,Gipfel::N,неркӓ,قله
121,Höhle::N,ы́раж,غار
122,Abhang::N,полом,سرازیری
123,Quelle::N,вӹдсӹнзӓ,چشمه
124,Bach::N,ӓнгӹр,نهر
125,Fluss::N,вӹд,رود
126,Ufer::N,сир,ساحل
127,Ufer::N,сир,کرانه
128,Küste::N,сир,ساحل
129,Festland::N,мӱлӓндӹ,خشکی
130,Meer::N,тангыж,دریا
131,Bucht::N,вӹдъял,خلیج
132,Insel::N,острок,جزیره
133,Blume::N,пеледӹш,گل
134,Gras::N,шуды,علف
135,Wurzel::N,важ,ریشه
136,Baum::N,пушӓнгӹ,درخت
137,Stamm::N,пушӓнгӹ тӹнг,تنه
138,Rinde::N,каргыж,توژ
139,Rinde::N,каргыж,پوست
140,Ast::N,укш,شاخه
141,Zweig::N,укш,شاخه
142,Blatt::N,листӹ,برگ
143,Birke::N,куги,غان
144,Kiefer[Baum]::N,йӓктӹ,کاج
