,Concept_ID,,ml
0,Auge::N,,കണ്ണ്
1,Ohr::N,,ചെവി
2,Nase::N,,മൂക്ക്
3,Mund::N,,വായ
4,Zahn::N,,പല്ല്
5,Zunge::N,,നാക്ക്
6,Lippe::N,,ചുണ്ട്
7,Wange::N,,കവിൾത്തടം
8,Gesicht::N,,മുഖം
9,Stirn::N,,നെറ്റി
10,Haar::N,,തലമുടി
11,Schnurrbart::N,,മീശ
12,Bart::N,,താടിരോമം
13,Kinn::N,,താടി
14,Kiefer[Anatomie]::N,,താടിയെല്ല്
15,Kehle::N,,കണ്ഠനാളം
16,Hals::N,,കഴുത്ത്
17,Genick::N,,പിടലി
18,Kopf::N,,തല
19,Rücken::N,,മുതുക്
20,Bauch::N,,നയറ്
21,Nabel::N,,നാഭി
22,Busen::N,,സ്തനം
23,Brust::N,,സ്തനം
24,Schulter::N,,തോൾ
25,Arm::N,,കൈ
26,Ellenbogen::N,,കൈമുട്ട്
27,Hand::N,,കൈ
28,Handfläche::N,,ഉള്ളം കൈ
29,Finger::N,,വിരൽ
30,Fingernagel::N,,നഖം
31,Nagel[Anatomie]::N,,നഖം
32,Zeh::N,,കാൽവിരൽ
33,Fuß::N,,കാൽപ്പാദം
34,Ferse::N,,ഉപ്പൂറ്റി
35,Knie::N,,കാൽമുട്ട്
36,Oberschenkel::N,,തുട
37,Bein::N,,കാൽ
38,Körper::N,,ശരീരം
39,Haut::N,,ചർമ്മം
40,Blut::N,,രക്തം
41,Ader::N,,ഞരമ്പ്
42,Sehne::N,,സ്നായു
43,Knochen::N,,അസ്ഥി
44,Gehirn::N,,തലച്ചോറ്
45,Herz::N,,ഹൃദയം
46,Magen::N,,വയർ
47,Leber::N,,കരൾ
48,Atem::N,,ശ്വാസം
49,Hunger::N,,വിശപ്പ്
50,Träne::N,,കണ്ണീർ
51,Geschmack::N,,രുചി
52,Geruch::N,,ഗന്ധം
53,Schlaf::N,,ഉറകും
54,Traum::N,,സ്വപ്നം
55,Himmel::N,,ആകാശം
56,Sonne::N,,സൂര്യൻ
57,Mond::N,,ചന്ദ്രൻ
58,Stern::N,,നക്ഷത്രം
59,Luft::N,,കാറ്റ്
60,Wind::N,,കാറ്റ്
61,Welle::N,,തിരമാല
62,Wasser::N,,വെള്ളം
63,Stein::N,,ശില
64,Stein::N,,കല്ല്
65,Boden::N,,തറ
66,Boden::N,,നിലം
67,Erde::N,,മണ്ണ്
68,Staub::N,,പൊടി
69,Rauch::N,,പുക
70,Funke::N,,തീപ്പൊരി
71,Feuer::N,,തീ
72,Licht::N,,വിളക്ക്
73,Licht::N,,സൂര്യപ്രകാശം
74,Schatten::N,,തണൽ
75,Wetter::N,,കാലാവസ്ഥ
76,Nebel::N,,മൂടൽമഞ്ഞ്
77,Wolke::N,,മേഘം
78,Regen::N,,മഴ
79,Schnee::N,,മഞ്ഞ്
80,Eis::N,,ഐസ്
81,Frost::N,,മൂടൽമഞ്ഞ്
82,Kälte::N,,തണുപ്പ്
83,Hitze::N,,ചൂട്
84,Raureif::N,,കോടമഞ്ഞ്
85,Regenbogen::N,,മഴവില്ല്
86,Donner::N,,ഇടി
87,Strömung::N,,പ്രവാഹം
88,Tropfen::N,,തുള്ളി
89,Schaum::N,,നുര
90,Schmutz::N,,അഴുക്ക്
91,See::N,,തടാകം
92,Sumpf::N,,ചതുപ്പുനിലം
93,Moor::N,,പാഴ്നിലം
94,Wiese::N,,പുൽത്തകിടി
95,Wald::N,,വനം
96,Wald::N,,കാട്
97,Hügel::N,,കുന്ന്
98,Anhöhe::N,,ഉയർന്ന ഭൂമി
99,Berg::N,,പർവ്വതം
100,Gipfel::N,,ഉച്ചകോടി
101,Höhle::N,,ഗുഹ
102,Abhang::N,,ചരിവ്
103,Quelle::N,,ഉറവിടം
104,Bach::N,,അരുവി
105,Fluss::N,,നദി
106,Ufer::N,,തീരം
107,Küste::N,,കടൽത്തീരം
108,Festland::N,,കര
109,Meer::N,,കടൽ
110,Bucht::N,,ഉൾക്കടല്
111,Insel::N,,ദ്വീപ്
112,Blume::N,,പൂവ്
113,Gras::N,,പുല്ല്
114,Wurzel::N,,വേര്
115,Baum::N,,മരം
116,Stamm::N,,തായ്ത്തടി
117,Rinde::N,,പട്ട
118,Ast::N,,ശാഖ
119,Zweig::N,,ശാഖ
120,Blatt::N,,ഇല
121,Birke::N,,പൂവരശ്
122,Kiefer[Baum]::N,,പൈൻമരം
123,Weide[Baum]::N,,വില്ലോ
124,Tanne::N,,ദേവദാരു
125,Horn::N,,മൃഗത്തിൻറെ കൊമ്പ്
126,Feder::N,,തൂവൽ
127,Fell::N,,മൃദുരോമം
128,Flügel::N,,ചിറക്
129,Klaue::N,,നഖം
130,Kralle::N,,നഖം
131,Schwanz::N,,വാൽ
132,Ei::N,,മുട്ട
133,Nest::N,,കൂട്
134,Bau::N,,മാളം
135,Tier::N,,മൃഗം
136,Herde::N,,കൂട്ടം
137,Kuh::N,,പശു
138,Bulle::N,,കാള
139,Pferd::N,,കുതിര
140,Schaf::N,,ആട്
141,Schwein::N,,പന്നി
142,Hund::N,,നായ്
143,Katze::N,,പൂച്ച
144,Bär::N,,കരടി
145,Eichhörnchen::N,,അണ്ണാൻ
146,Elch::N,,കടമാന്
147,Fuchs::N,,കുറുക്കൻ
148,Hase::N,,മുയൽ
149,Maus::N,,ചുണ്ടലി
150,Wolf::N,,ചെന്നായ
151,Vogel::N,,പക്ഷി
152,Schwarm::N,,കൂട്ടം
153,Huhn::N,,കോഴി
154,Hahn::N,,പൂവൻകോഴി
155,Gans::N,,അരയന്നം
156,Adler::N,,കഴുകൻ
157,Ente::N,,താറാവ്
158,Eule::N,,മൂങ്ങ
159,Kranich::N,,കൊക്ക്
160,Krähe::N,,കാക്ക
161,Kuckuck::N,,കുയിൽ
162,Schwan::N,,അരയന്നം
163,Fisch::N,,മത്സ്യം
164,Barsch::N,,ഒരിനം മത്സ്യം
165,Hecht::N,,ഒരു മത്സ്യം
166,Schlange[Tier]::N,,പാമ്പ്
167,Wurm::N,,വിര
168,Spinne::N,,ചിലന്തി
169,Ameise::N,,ഉറുമ്പ്
170,Laus::N,,പേന്
171,Mücke::N,,മശകം
172,Fliege::N,,ഈച്ച
173,Schmetterling::N,,ചിത്രശലഭം
174,Beere::N,,ബെറി
175,Apfel::N,,ആപ്പിൾ
176,Pilz::N,,കൂൺ
177,Zwiebel::N,,സവാള
178,Saat::N,,വിത്ത്
179,Korn::N,,ധാന്യം
180,Heu::N,,വയ്ക്കോൽ
181,Schale::N,,തൊലി
182,Grube::N,,കുഴി
183,Falle::N,,കെണി
184,Schlinge::N,,കുടുക്ക്
185,Spur::N,,ചുവട്
186,Asche::N,,ചാരം
187,Dreck::N,,അഴുക്ക്
188,Eisen::N,,ഇരുമ്പ്
189,Gold::N,,സ്വർണ്ണം
190,Silber::N,,വെള്ളി
191,Kohle::N,,കൽക്കരി
192,Glas::N,,ഗ്ലാസ്
193,Lehm::N,,കളിമണ്ണ്
194,Sand::N,,മണൽ
195,Mensch::N,,മനുഷ്യർ
196,Mann::N,,പുരുഷൻ
197,Frau::N,,സ്ത്രീ
198,Kind::N,,കുഞ്ഞ്
199,Junge::N,,ആൺകുട്ടി
200,Mädchen::N,,പെൺകുട്ടി
201,Familie::N,,കുടുംബം
202,Großvater::N,,അപ്പൂപ്പൻ
203,Großmutter::N,,അമ്മുമ്മ
204,Eltern::N,,മാതാപിതാക്കള്
205,Vater::N,,അച്ഛൻ
206,Mutter::N,,അമ്മ
207,Sohn::N,,മകൻ
208,Tochter::N,,മകൾ
209,Bruder::N,,ചേട്ടൻ
210,Bruder::N,,അനിയൻ
211,Schwester::N,,ചേച്ചി
212,Schwester::N,,അനിയത്തി
213,Onkel::N,,അമ്മാവൻ
214,Tante::N,,മാമി
215,Ehemann::N,,ഭർത്താവ്
216,Ehefrau::N,,ഭാര്യ
217,Freude::N,,ആഹ്ലാദം
218,Gelächter::N,,ചിരിയുടെ ശബ്ദം
219,Glück::N,,സന്തോഷം
220,Glück::N,,സന്തുഷ്ടി
221,Kummer::N,,ശോകം
222,Wunsch::N,,ആഗ്രഹം
223,Lust::N,,ആഗ്രഹം
224,Geist::N,,ചുറുചുറുക്ക്
225,Gedanke::N,,ചിന്ത
226,Gedächtnis::N,,ഓർമ്മശക്തി
227,Verstand::N,,മനസ്സ്
228,Sinn::N,,അർത്ഥം
229,Grund::N,,കാരണം
230,Wahrheit::N,,സത്യം
231,Gespräch::N,,സല്ലാപം
232,Märchen::N,,യക്ഷിക്കഥ
233,Erzählung::N,,കഥ
234,Nachricht::N,,സന്ദേശം
235,Neuigkeit::N,,വാർത്ത
236,Name::N,,പേര്
237,Rätsel::N,,പ്രഹേളിക
238,Rede::N,,സംസാരം
239,Sprache::N,,ഭാഷ
240,Stimme::N,,സ്വരം
241,Wort::N,,വാക്ക്
242,Zeichen::N,,സംജ്ഞ
243,Ruf::N,,വിളി
244,Lärm::N,,ആരവം
245,Laut::N,,ശബ്ദം
246,Ton::N,,സ്വരഭേദം
247,Lied::N,,പാട്ട്
248,Ruhe::N,,നിശ്ചലത
249,Leute::N,,ജനങ്ങൾ
250,Volk::N,,രാഷ്ടം
251,Arbeit::N,,ജോലി
252,Gast::N,,അതിലി
253,Geschenk::N,,സമ്മാനം
254,Spiel::N,,കളി
255,Gesellschaft::N,,കൂട്ടായ്മ
256,Hilfe::N,,സഹായം
257,Freund::N,,സുഹൃത്ത്
258,Kamerad::N,,കൂട്ടാളി
259,Angelegenheit::N,,കാര്യം
260,Anzahl::N,,എണ്ണം
261,Art::N,,തരം
262,Stück::N,,കഷണം
263,Teil::N,,ഭാഗം
264,Hälfte::N,,പകുതി
265,Kreis::N,,വൃത്തം
266,Kreuz::N,,കുരിശടയാളം
267,Linie::N,,വര
268,Linie::N,,രേഖ
269,Strich::N,,പക്ഷാഘാതം
270,Abstand::N,,വിടവ്
271,Entfernung::N,,അകലം
272,Gegend::N,,പ്രദേശം
273,Platz::N,,ഇടം
274,Ort::N,,സ്ഥലം
275,Seite::N,,വശം
276,Mitte::N,,മധ്യസ്ഥാനം
277,Gegenstand::N,,സാധനം
278,Sache::N,,വസ്തു
279,Rand::N,,തൊങ്ങൽ
280,Kante::N,,അറ്റം
281,Ecke::N,,മൂല
282,Spitze::N,,അഗ്രം
283,Ende::N,,അവസാനം
284,Loch::N,,ദ്വാരം
285,Winkel::N,,കോൺ
286,Muster::N,,ക്രമം
287,Größe::N,,വലുപ്പം
288,Länge::N,,നീളം
289,Höhe::N,,ഉയരം
290,Gewicht::N,,കട്ടി
291,Menge::N,,അളവ്
292,Haufen::N,,കൂമ്പാരം
293,Reihe::N,,വരി
294,Boot::N,,ബോട്ട്
295,Ruder::N,,പങ്കായം
296,Schlitten::N,,ഉരുളില്ലാവണ്ടി
297,Ski::N,,ഹിമപാദുകം
298,Lagerfeuer::N,,തീ
299,Last::N,,ഭാരം
300,Gang::N,,നടത്തം
301,Schritt::N,,ചുവട്
302,Norden::N,,വടക്ക്
303,Süden::N,,തെക്ക്
304,Westen::N,,പടിഞ്ഞാറ്
305,Osten::N,,കിഴക്ക്
306,Holz::N,,തടി
307,Brett::N,,ബോർഡ്
308,Platte::N,,തകിട്
309,Stütze::N,,താങ്ങ്
310,Stange::N,,കമ്പ്
311,Stock::N,,വടി
312,Stab::N,,കുറുവടി
313,Rohr::N,,കുഴൽ
314,Haus::N,,വീട്
315,Heim::N,,വീട്
316,Ofen::N,,സ്റ്റൌ
317,Fußboden::N,,തറ
318,Tisch::N,,മേശ
319,Stuhl::N,,കസേര
320,Wiege::N,,തൊട്ടിൽ
321,Bett::N,,കിടക്ക
322,Regal::N,,ഷെൽഫ്
323,Kiste::N,,പെട്ടി
324,Fenster::N,,ജനൽ
325,Tür::N,,വാതിൽ
326,Tor::N,,കവാടം
327,Zaun::N,,വേലി
328,Dach::N,,മേൽക്കുര
329,Leiter::N,,ഏണി
330,Besen::N,,ചൂല്
331,Spaten::N,,തൂമ്പ
332,Schaufel::N,,തൂമ്പ
333,Gabel::N,,മുൾക്കത്തി
334,Löffel::N,,സ്പൂൺ
335,Messer::N,,കത്തി
336,Nagel::N,,ആണി
337,Netz::N,,വല
338,Haken::N,,കൊളുത്ത്
339,Griff::N,,കൈപ്പിടി
340,Schloss::N,,പൂട്ട്
341,Bild::N,,ചിത്രം
342,Figur::N,,കണക്ക്
343,Puppe::N,,പാവ
344,Beutel::N,,ബാഗ്
345,Bündel::N,,കെട്ട്
346,Tasche::N,,ബാഗ്
347,Eimer::N,,ബക്കറ്റ്
348,Deckel::N,,ഉറ
349,Geschirr::N,,പിഞ്ഞാണം
350,Sack::N,,ചാക്ക്
351,Tasse::N,,കപ്പ്
352,Topf::N,,പാത്രം
353,Kessel::N,,കെറ്റ്ല്
354,Essen::N,,ആഹാരസമയം
355,Nahrung::N,,ഭക്ഷണം
356,Speise::N,,ഡിഷ്
357,Fleisch::N,,മാംസം
358,Getreide::N,,ചോളം
359,Brei::N,,കഞ്ഞി
360,Brot::N,,റോട്ടി
361,Scheibe::N,,തുണ്ട്
362,Fett::N,,കൊഴുപ്പ്
363,Butter::N,,വെണ്ണ
364,Öl::N,,എണ്ണ
365,Salz::N,,ഉപ്പ്
366,Suppe::N,,സൂപ്പ്
367,Honig::N,,തേൻ
368,Milch::N,,പാൽ
369,Tee::N,,ചായ
370,Leder::N,,തുകൽ
371,Wolle::N,,കമ്പിളി
372,Stoff::N,,തുണി
373,Nadel::N,,സൂചി
374,Faden::N,,നൂല്
375,Knopf::N,,ബട്ടൺ
376,Knoten::N,,കുരുക്ക്
377,Farbe::N,,പെയിൻറ്
378,Kleidung::N,,വസ്ത്രങ്ങൾ
379,Hemd::N,,ഷർട്ട്
380,Kragen::N,,കുപ്പായക്കഴുത്ത്
381,Ärmel::N,,കുപ്പായക്കൈ
382,Hose::N,,ട്രൌസർ
383,Gürtel::N,,ബെൽറ്റ്
384,Mütze::N,,തൊപ്പി
385,Schuh::N,,ഷൂ
386,Stiefel::N,,ബൂട്ട്
387,Ring::N,,മോതിരം
388,Band::N,,റിബൺ
389,Kamm::N,,ചീപ്പ്
390,Spiegel::N,,കണ്ണാടി
391,Riemen::N,,സ്ട്രാപ്പ്
392,Schnur::N,,ചരട്
393,Leine::N,,കെട്ടാനുള്ള തോൽവാർ
394,Decke::N,,പുതപ്പ്
395,Kissen::N,,തലയിണ
396,Tuch::N,,സ്കാർഫ്
397,Handtuch::N,,തോർത്ത്
398,Kraft::N,,ശക്തി
399,Stärke::N,,ശക്തി
400,Gesundheit::N,,ആരോഗ്യം
401,Krankheit::N,,അസുഖം
402,Schmerz::N,,വേദന
403,Wunde::N,,മുറിവ്
404,Fieber::N,,പനി
405,Arznei::N,,മരുന്ന്
406,Brücke::N,,പാലം
407,Brunnen::N,,കിണർ
408,Weide::N,,മേച്ചൽ
409,Pfad::N,,വഴി
410,Weg::N,,വഴി
411,Straße::N,,റോഡ്
412,Dorf::N,,ഗ്രാമം
413,Stadt::N,,നഗരം
414,Brief::N,,കത്ത്
415,Buch::N,,പുസ്തകം
416,Buchstabe::N,,അക്ഷരം
417,Zeitung::N,,വർത്തമാനപത്രം
418,Leben::N,,ജീവൻ
419,Tod::N,,മരണം
420,Grab::N,,ശവക്കുഴി
421,Kirche::N,,പള്ളി
